,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,STEPHEN-F-AUSTIN_homegame,STEPHEN-F-AUSTIN_homegame2,STEPHEN-F-AUSTIN_home,STEPHEN-F-AUSTIN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-stephen-f-austin,69.6,16,7.7,3,118.6,56.0,14,0.58,50,0.46,23,0.28,14,0.929,13,0,195,101.4,29.2,7,15,71,,2.9,2,0.46,23,0.522,12,42.9,21,0.627,27.2,21,27,0.40700000000000003,11,0.0,0,"November 6, 2018",60.0,18,7.4,2,101.4,70.8,17,0.5760000000000001,59,0.508,30,0.373,22,0.682,15,0,195,118.6,44.0,11,19,83,,10.0,7,0.33899999999999997,20,0.4,8,57.1,28,0.598,12.7,10,39,0.564,22,1.0,1,"William Johnson Coliseum, Nacogdoches, Texas","Texas Wesleyan
			","Texas Wesleyan
			",71.3,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,0,True,False,True,Home,True,8,22,59,28,49,12,11,50,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-19-stephen-f-austin,23.8,5,7.5,3,87.2,62.1,18,0.426,54,0.389,21,0.48100000000000004,26,0.8079999999999999,21,0,200,85.9,27.6,8,19,67,,14.1,11,0.33299999999999996,18,0.222,4,44.8,26,0.505,23.4,20,36,0.47200000000000003,17,0.0,0,"November 8, 2018",57.7,15,19.4,7,85.9,72.4,21,0.491,58,0.44799999999999995,26,0.24100000000000002,14,0.7859999999999999,11,0,200,87.2,37.9,11,22,68,,5.1,4,0.31,18,0.278,5,55.2,32,0.526,27.2,24,40,0.525,21,1.0,2,"William Johnson Coliseum, Nacogdoches, Texas","SW Assembl. of God
			","SW Assembl. of God
			",78.0,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,1,True,False,True,Home,True,5,21,58,32,58,4,17,54,1,0,8,22,59,0.576271186440678,28,49,0.5714285714285714,12,11,50,0.58,1.0
2,2018-11-13-19-miami-fl,33.3,8,8.7,4,139.1,54.3,19,0.426,61,0.39299999999999996,24,0.115,7,0.857,6,1,200,84.1,36.1,13,15,58,,7.2,5,0.213,13,0.308,4,45.1,32,0.451,21.0,17,48,0.41700000000000004,20,0.667,2,"November 13, 2018",59.5,22,12.5,6,84.1,63.9,23,0.616,69,0.536,37,0.261,18,0.611,11,0,200,139.1,45.7,16,11,96,,14.5,10,0.33299999999999996,23,0.478,11,54.9,39,0.619,9.4,8,46,0.565,26,1.0,2,"BankUnited Center, Coral Gables, Florida",STEPHEN-F-AUSTIN,Stephen F. Austin,68.9,Home,MIAMI-FL,Miami (FL),Stephen F. Austin,southland,2,False,False,False,Away,False,4,20,61,32,71,11,26,69,0,1,13,43,117,0.5341880341880342,60,107,0.5607476635514018,16,28,104,0.5,1.0
3,2018-11-20-20-stephen-f-austin,78.9,15,0.0,0,100.0,64.5,20,0.625,40,0.475,19,0.35,14,0.7140000000000001,10,3,200,93.8,8.7,2,23,60,,9.4,6,0.575,23,0.522,12,40.7,22,0.643,26.9,17,17,0.41200000000000003,7,0.25,1,"November 20, 2018",60.9,14,17.6,3,93.8,91.3,21,0.48100000000000004,54,0.426,23,0.37,20,0.6,12,1,200,100.0,35.5,11,20,64,,9.4,6,0.35200000000000004,19,0.316,6,59.3,32,0.504,18.2,14,35,0.486,17,0.75,3,"William Johnson Coliseum, Nacogdoches, Texas",MARIST,Marist,64.1,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,3,True,False,True,Home,True,6,17,54,32,54,12,7,40,1,0,17,63,178,0.49719101123595505,92,178,0.5168539325842697,27,54,173,0.546242774566474,0.6666666666666666
4,2018-11-25-17-stephen-f-austin,58.3,14,2.8,1,98.6,64.3,18,0.42200000000000004,64,0.375,24,0.188,12,0.5,6,0,200,81.1,26.8,11,19,60,,12.2,9,0.469,30,0.2,6,42.0,29,0.43,18.8,16,34,0.529,18,0.0,0,"November 25, 2018",79.2,19,11.8,4,81.1,73.2,30,0.551,49,0.49,24,0.5920000000000001,29,0.655,19,1,200,98.6,35.7,10,15,73,,13.5,10,0.265,13,0.462,6,58.0,40,0.581,24.5,20,36,0.5,18,0.8,4,"William Johnson Coliseum, Nacogdoches, Texas","St. Edward's
			","St. Edward's
			",73.7,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,4,True,False,True,Home,True,6,18,49,40,69,6,18,64,1,0,23,80,232,0.49353448275862066,124,232,0.5344827586206896,39,61,213,0.5610328638497653,0.75
5,2018-11-30-08-san-francisco,33.3,8,7.1,2,110.1,84.6,22,0.44799999999999995,58,0.414,24,0.172,10,0.6,6,2,200,84.1,21.9,7,20,58,,7.2,5,0.276,16,0.25,4,50.0,29,0.462,18.3,14,42,0.47600000000000003,20,0.667,4,"November 30, 2018",70.0,21,4.8,2,84.1,78.1,25,0.627,55,0.545,30,0.218,12,0.583,7,0,200,110.1,15.4,4,12,76,,5.8,4,0.491,27,0.33299999999999996,9,50.0,29,0.626,16.6,12,28,0.75,21,1.0,7,"SSE Arena, Belfast",STEPHEN-F-AUSTIN,Stephen F. Austin,69.2,Home,SAN-FRANCISCO,San Francisco,Stephen F. Austin,southland,5,False,False,False,Away,False,4,20,58,29,58,9,21,55,0,1,29,98,281,0.50355871886121,164,301,0.5448504983388704,45,79,277,0.5288808664259927,0.8
6,2018-12-01-08-stephen-f-austin,57.9,11,6.3,2,95.7,74.2,23,0.36200000000000004,58,0.32799999999999996,19,0.31,18,0.5,9,6,200,73.9,30.0,12,16,51,,7.2,5,0.466,27,0.14800000000000002,4,49.3,35,0.38299999999999995,18.5,15,31,0.484,15,0.25,2,"December 1, 2018",52.2,12,19.4,6,73.9,70.0,28,0.483,58,0.397,23,0.22399999999999998,13,0.769,10,2,200,95.7,25.8,8,18,66,,7.2,5,0.44799999999999995,26,0.385,10,50.7,36,0.514,16.9,13,32,0.406,13,0.7140000000000001,5,"SSE Arena, Belfast",MILWAUKEE,Milwaukee,69.4,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,6,True,False,True,Home,True,10,13,58,36,71,4,15,58,1,0,33,118,339,0.4941002949852507,193,359,0.5376044568245125,54,100,332,0.5451807228915663,0.6666666666666666
7,2018-12-07-19-stephen-f-austin,52.9,18,12.9,4,116.3,60.0,15,0.597,67,0.507,34,0.40299999999999997,27,0.593,16,3,225,120.0,31.4,11,18,96,,10.0,8,0.433,29,0.414,12,43.3,26,0.601,11.3,10,38,0.579,22,0.7,7,"December 7, 2018",51.4,18,13.2,5,120.0,68.6,24,0.664,64,0.547,35,0.188,12,0.667,8,3,225,116.3,40.0,10,31,93,,1.3,1,0.516,33,0.455,15,56.7,34,0.667,23.3,21,31,0.645,20,0.625,5,"William Johnson Coliseum, Nacogdoches, Texas",STEPHEN-F-AUSTIN,Stephen F. Austin,70.9,Away,LOUISIANA-TECH,Louisiana Tech,Stephen F. Austin,southland,7,False,True,True,Home,False,15,20,64,34,60,12,22,67,0,1,43,131,397,0.4924433249370277,229,430,0.5325581395348837,58,115,390,0.517948717948718,0.7142857142857143
8,2018-12-15-15-louisiana-monroe,35.0,7,23.8,5,104.2,73.3,22,0.41100000000000003,56,0.35700000000000004,20,0.304,17,0.706,12,4,200,81.7,28.6,10,24,58,,7.0,5,0.35700000000000004,20,0.3,6,49.2,32,0.45299999999999996,21.1,17,36,0.389,14,0.556,5,"December 15, 2018",76.2,16,8.3,3,81.7,71.4,25,0.529,52,0.40399999999999997,21,0.442,23,0.826,19,4,200,104.2,26.7,8,17,74,,8.5,6,0.596,31,0.419,13,50.8,33,0.588,19.5,15,21,0.381,8,0.556,5,"Fant-Ewing Coliseum, Monroe, Louisiana",STEPHEN-F-AUSTIN,Stephen F. Austin,70.5,Home,LOUISIANA-MONROE,Louisiana-Monroe,Stephen F. Austin,southland,8,False,False,False,Away,False,6,14,56,32,65,13,8,52,0,1,58,151,461,0.5162689804772235,263,490,0.536734693877551,70,137,457,0.5295404814004376,0.625
9,2018-12-18-20-baylor,45.5,10,16.1,5,82.9,64.9,24,0.49,52,0.423,22,0.26899999999999996,14,0.5710000000000001,8,4,200,84.3,20.7,6,19,59,,14.3,10,0.327,17,0.41200000000000003,7,45.5,30,0.503,24.6,19,35,0.429,15,0.6,6,"December 18, 2018",52.4,11,14.3,5,84.3,79.3,23,0.418,55,0.382,21,0.382,21,0.5710000000000001,12,4,200,82.9,35.1,13,16,58,,20.0,14,0.436,24,0.16699999999999998,4,54.5,36,0.446,20.9,17,31,0.5479999999999999,17,0.6,6,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,70.3,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,9,False,False,False,Away,True,7,15,52,30,66,4,17,55,1,0,64,165,517,0.504835589941973,295,555,0.5315315315315315,83,145,509,0.5294695481335953,0.5555555555555556
