,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WESTERN-KENTUCKY_homegame,WESTERN-KENTUCKY_homegame2,WESTERN-KENTUCKY_home,WESTERN-KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-washington,75.0,15,12.5,5,100.0,73.5,25,0.425,53,0.377,20,0.302,16,0.625,10,1,200,75.3,14.3,4,22,55,,4.1,3,0.245,13,0.385,5,46.8,29,0.45399999999999996,20.0,15,40,0.375,15,0.0,0,"November 6, 2018",42.3,11,22.5,9,75.3,85.7,24,0.43799999999999994,65,0.4,26,0.308,20,0.8,16,0,200,100.0,26.5,9,22,73,25.0,8.2,6,0.385,25,0.2,5,53.2,33,0.49,9.8,8,40,0.525,21,1.0,1,"Alaska Airlines Arena, Seattle, Washington",WESTERN-KENTUCKY,Western Kentucky,72.6,Home,WASHINGTON,Washington,Western Kentucky,cusa,0,False,False,False,Away,False,5,15,53,29,62,5,21,65,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-19-western-kentucky,40.0,10,6.3,3,114.7,61.3,19,0.49200000000000005,59,0.424,25,0.39,23,0.565,13,1,200,94.7,19.4,7,18,71,,8.0,6,0.424,25,0.32,8,38.8,26,0.508,15.8,13,34,0.5,17,0.5,1,"November 10, 2018",44.1,15,23.5,8,94.7,80.6,29,0.562,65,0.523,34,0.32299999999999995,21,0.619,13,1,200,114.7,38.7,12,19,86,,12.0,9,0.262,17,0.294,5,61.2,41,0.574,13.9,12,48,0.604,29,0.5,1,"E.A. Diddle Arena, Bowling Green, Kentucky",TENNESSEE-MARTIN,UT-Martin,75.5,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,1,True,False,True,Home,True,5,29,65,41,67,8,17,59,1,0,5,15,53,0.42452830188679247,29,62,0.46774193548387094,5,21,65,0.43846153846153846,0.0
2,2018-11-15-17-western-kentucky,62.5,15,0.0,0,120.3,53.6,15,0.467,61,0.39299999999999996,24,0.295,18,0.778,14,1,200,102.9,31.4,11,24,71,,7.2,5,0.508,31,0.29,9,41.3,26,0.51,13.8,11,30,0.5,15,0.5,1,"November 15, 2018",48.1,13,13.3,4,102.9,68.6,24,0.594,53,0.509,27,0.623,33,0.606,20,1,200,120.3,46.4,13,19,83,,11.6,8,0.321,17,0.529,9,58.7,37,0.604,16.1,13,36,0.5,18,0.667,2,"The HTC Center, Conway, South Carolina",VALPARAISO,Valparaiso,69.1,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,2,True,False,True,Home,True,9,18,53,37,63,9,15,61,1,0,10,44,118,0.5,70,129,0.5426356589147286,13,38,124,0.4637096774193548,0.5
3,2018-11-16-21-west-virginia,23.5,4,17.2,5,77.0,71.0,22,0.34,53,0.321,17,0.642,34,0.794,27,1,200,85.1,27.8,10,22,63,,20.3,15,0.17,9,0.222,2,47.8,32,0.456,15.0,12,44,0.341,15,0.75,3,"November 16, 2018",61.1,11,15.9,7,85.1,72.2,26,0.389,54,0.33299999999999996,18,0.35200000000000004,19,0.789,15,2,200,77.0,29.0,9,22,57,,9.5,7,0.46299999999999997,25,0.24,6,52.2,35,0.452,26.1,22,29,0.414,12,0.33299999999999996,1,"The HTC Center, Conway, South Carolina",WEST-VIRGINIA,West Virginia,73.6,Away,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,3,False,False,False,Away,True,2,15,53,32,67,6,12,54,1,0,19,62,171,0.5292397660818714,107,192,0.5572916666666666,22,53,185,0.4648648648648649,0.6666666666666666
4,2018-11-18-18-western-kentucky,71.4,20,7.0,3,87.3,75.0,24,0.6,55,0.509,28,0.436,24,0.5,12,1,200,109.9,25.9,7,17,78,,9.9,7,0.364,20,0.5,10,52.5,31,0.5870000000000001,14.4,11,35,0.514,18,0.8,4,"November 18, 2018",68.2,15,11.4,4,109.9,74.1,20,0.436,55,0.4,22,0.382,21,0.667,14,2,200,87.3,25.0,8,24,62,,9.9,7,0.218,12,0.33299999999999996,4,47.5,28,0.47700000000000004,18.9,15,43,0.419,18,0.6,3,"The HTC Center, Conway, South Carolina",WESTERN-KENTUCKY,Western Kentucky,71.2,Away,CENTRAL-FLORIDA,UCF,Western Kentucky,cusa,4,False,True,True,Home,False,4,18,55,28,59,10,18,55,0,1,21,77,224,0.484375,139,259,0.5366795366795367,28,65,239,0.4476987447698745,0.75
5,2018-11-24-14-indiana-state,38.1,8,15.8,6,95.5,71.9,23,0.40399999999999997,57,0.368,21,0.21100000000000002,12,0.667,8,3,200,81.8,35.3,12,16,54,,9.1,6,0.316,18,0.222,4,53.0,35,0.431,19.4,15,39,0.436,17,0.5,3,"November 24, 2018",56.5,13,10.3,4,81.8,64.7,22,0.491,56,0.41100000000000003,23,0.23199999999999998,13,0.615,8,1,200,95.5,28.1,9,18,63,,7.6,5,0.321,18,0.5,9,47.0,31,0.507,17.4,13,38,0.368,14,0.75,3,"Hulman Center, Terre Haute, Indiana",WESTERN-KENTUCKY,Western Kentucky,65.9,Home,INDIANA-STATE,Indiana State,Western Kentucky,cusa,5,False,False,False,Away,False,4,17,57,35,66,9,14,56,0,1,25,95,279,0.47491039426523296,167,318,0.5251572327044025,38,83,294,0.47619047619047616,0.6
6,2018-12-01-19-western-kentucky,48.0,12,8.6,3,117.3,69.0,20,0.509,54,0.46299999999999997,25,0.46299999999999997,25,0.76,19,5,200,98.7,25.9,7,34,74,,5.3,4,0.33299999999999996,18,0.278,5,48.2,27,0.562,21.7,18,36,0.556,20,0.28600000000000003,2,"December 1, 2018",25.0,6,19.4,7,98.7,74.1,20,0.542,48,0.5,24,0.938,45,0.8,36,3,200,117.3,31.0,9,21,88,,9.3,7,0.271,13,0.308,4,51.8,29,0.634,16.1,13,35,0.5710000000000001,20,0.5710000000000001,4,"E.A. Diddle Arena, Bowling Green, Kentucky",TENNESSEE-STATE,Tennessee State,75.1,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,6,True,False,True,Home,True,4,20,48,29,56,5,20,54,1,0,29,112,336,0.46279761904761907,202,384,0.5260416666666666,47,97,350,0.4785714285714286,0.5
7,2018-12-05-20-missouri-state,34.5,10,9.1,3,120.0,70.4,19,0.579,57,0.509,29,0.281,16,0.75,12,4,200,111.4,22.2,6,13,78,,11.4,8,0.263,15,0.5329999999999999,8,46.3,25,0.604,15.8,12,42,0.5,21,0.5,4,"December 5, 2018",45.5,15,9.5,4,111.4,77.8,21,0.642,60,0.55,33,0.15,9,0.778,7,5,200,120.0,29.6,8,11,84,,7.1,5,0.45,27,0.40700000000000003,11,53.7,29,0.653,16.9,13,33,0.667,22,0.444,4,"JQH Arena, Springfield, Missouri",WESTERN-KENTUCKY,Western Kentucky,69.9,Home,MISSOURI-STATE,Missouri State,Western Kentucky,cusa,7,False,False,False,Away,False,8,21,57,25,54,11,22,60,0,1,33,132,384,0.47265625,231,440,0.525,52,117,404,0.48267326732673266,0.5714285714285714
8,2018-12-08-15-arkansas,62.1,18,18.2,8,104.1,79.4,27,0.578,58,0.5,29,0.293,17,0.647,11,4,200,105.4,20.0,6,15,78,,5.4,4,0.379,22,0.409,9,51.6,33,0.59,15.5,12,36,0.556,20,0.556,5,"December 8, 2018",33.3,10,11.1,4,105.4,80.0,24,0.493,69,0.435,30,0.23199999999999998,16,0.563,9,2,200,104.1,20.6,7,13,77,,8.1,6,0.36200000000000004,25,0.32,8,48.4,31,0.503,8.4,7,44,0.5,22,0.75,6,"Bud Walton Arena, Fayetteville, Arkansas",ARKANSAS,Arkansas,74.3,Away,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,8,False,False,False,Away,True,9,20,58,33,64,8,22,69,1,0,41,153,441,0.48639455782312924,256,494,0.5182186234817814,63,139,464,0.5032327586206896,0.5
9,2018-12-16-15-western-kentucky,60.6,20,12.8,6,105.2,59.0,23,0.639,61,0.541,33,0.19699999999999998,12,0.75,9,5,200,113.0,20.0,6,20,87,,7.8,6,0.41,25,0.48,12,42.0,29,0.652,17.4,14,36,0.583,21,0.5,5,"December 16, 2018",42.3,11,2.8,1,113.0,80.0,24,0.431,65,0.4,26,0.47700000000000004,31,0.8059999999999999,25,5,200,105.2,41.0,16,16,81,,14.3,11,0.27699999999999997,18,0.222,4,58.0,40,0.508,16.9,16,47,0.46799999999999997,22,0.5,5,"E.A. Diddle Arena, Bowling Green, Kentucky",WESTERN-KENTUCKY,Western Kentucky,77.2,Away,TROY,Troy,Western Kentucky,cusa,9,False,True,True,Home,False,4,22,65,40,69,12,21,61,0,1,50,173,499,0.4969939879759519,289,558,0.517921146953405,71,161,533,0.50187617260788,0.5555555555555556
10,2018-12-19-19-belmont,42.3,11,13.2,5,102.6,93.8,30,0.466,59,0.441,26,0.33899999999999997,20,0.95,19,6,200,94.9,23.5,8,13,74,,11.5,9,0.254,15,0.2,3,57.6,38,0.54,19.1,16,44,0.523,23,0.455,5,"December 19, 2018",66.7,20,6.8,3,94.9,76.5,26,0.563,63,0.47600000000000003,30,0.19,12,0.75,9,1,200,102.6,6.3,2,15,80,,14.1,11,0.397,25,0.44,11,42.4,28,0.5820000000000001,14.9,12,38,0.5,19,0.9,9,"Curb Event Center, Nashville, Tennessee",WESTERN-KENTUCKY,Western Kentucky,77.6,Home,BELMONT,Belmont,Western Kentucky,cusa,10,False,False,False,Away,False,3,23,59,38,66,11,19,63,0,1,54,195,564,0.48936170212765956,329,627,0.5247208931419458,83,182,594,0.515993265993266,0.5
11,2018-12-22-15-western-kentucky,30.8,8,5.3,2,102.9,90.9,20,0.469,64,0.406,26,0.141,9,0.889,8,6,200,98.6,34.3,12,16,68,,7.2,5,0.266,17,0.47100000000000003,8,56.1,32,0.498,16.1,13,47,0.38299999999999995,18,0.5710000000000001,8,"December 22, 2018",41.4,12,19.1,9,98.6,65.7,23,0.64,50,0.58,29,0.24,12,0.583,7,6,200,102.9,9.1,2,15,71,,10.1,7,0.24,12,0.5,6,43.9,25,0.637,21.3,15,38,0.605,23,0.5,6,"E.A. Diddle Arena, Bowling Green, Kentucky",SAINT-MARYS-CA,Saint Mary's,69.0,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,11,True,False,True,Home,True,6,23,50,25,57,8,18,64,1,0,57,218,623,0.4871589085072231,367,693,0.5295815295815296,94,201,657,0.5205479452054794,0.45454545454545453
12,2018-12-29-17-western-kentucky,29.0,9,2.3,1,113.7,81.5,22,0.5,68,0.456,31,0.162,11,0.727,8,3,200,104.1,19.4,7,17,76,15.0,6.8,5,0.309,21,0.28600000000000003,6,46.0,29,0.519,8.8,7,47,0.532,25,0.769,10,"December 29, 2018",59.4,19,14.9,7,104.1,80.6,29,0.603,58,0.552,32,0.276,16,0.813,13,6,200,113.7,18.5,5,14,83,,6.8,5,0.259,15,0.4,6,54.0,34,0.633,16.7,13,43,0.605,26,0.5379999999999999,7,"E.A. Diddle Arena, Bowling Green, Kentucky",WISCONSIN,Wisconsin,73.4,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,12,True,False,True,Home,True,6,26,58,34,63,6,25,68,1,0,63,241,673,0.4985141158989599,392,750,0.5226666666666666,102,219,721,0.5159500693481276,0.5
13,2019-01-03-19-charlotte,58.3,14,22.7,5,84.7,93.3,28,0.625,48,0.5,24,0.25,12,0.667,8,6,200,115.3,26.1,6,13,68,,6.8,4,0.583,28,0.429,12,64.2,34,0.633,17.1,11,20,0.6,12,0.5710000000000001,8,"January 3, 2019",35.3,6,0.0,0,115.3,73.9,17,0.43799999999999994,48,0.354,17,0.271,13,0.615,8,9,200,84.7,6.7,2,13,50,,5.1,3,0.542,26,0.308,8,35.8,19,0.461,11.5,7,22,0.409,9,0.25,3,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,58.9,Away,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,13,False,False,False,Away,True,12,12,48,34,53,8,9,48,1,0,69,267,731,0.5068399452804377,426,813,0.5239852398523985,108,244,789,0.514575411913815,0.5384615384615384
