,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOUISIANA-MONROE_homegame,LOUISIANA-MONROE_homegame2,LOUISIANA-MONROE_home,LOUISIANA-MONROE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-jackson-state,58.3,14,16.2,6,97.1,72.7,24,0.557,53,0.45299999999999996,24,0.377,20,0.8,16,0,200,110.3,30.0,9,16,75,,10.3,7,0.434,23,0.478,11,52.4,33,0.6,19.5,15,30,0.433,13,1.0,1,"November 6, 2018",50.0,12,16.7,5,110.3,70.0,21,0.473,56,0.429,24,0.33899999999999997,19,0.684,13,1,200,97.1,27.3,9,20,66,,11.8,8,0.33899999999999997,19,0.263,5,47.6,30,0.507,14.6,11,37,0.514,19,0.0,0,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi",JACKSON-STATE,Jackson State,67.8,Away,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,0,False,False,False,Away,True,11,13,53,33,63,5,19,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-13-louisiana-monroe,59.1,13,7.5,3,125.3,56.7,17,0.36200000000000004,69,0.319,22,0.10099999999999999,7,0.28600000000000003,2,0,200,69.3,37.5,15,25,52,,5.3,4,0.29,20,0.3,6,45.7,32,0.359,19.1,17,49,0.327,16,0.0,0,"November 10, 2018",46.9,15,18.4,9,69.3,62.5,25,0.581,62,0.516,32,0.532,33,0.667,22,0,200,125.3,43.3,13,8,94,,9.3,7,0.355,22,0.364,8,54.3,38,0.605,12.6,11,40,0.6,24,1.0,2,"Fant-Ewing Coliseum, Monroe, Louisiana","Millsaps
			","Millsaps
			",75.0,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,1,True,False,True,Home,True,8,24,62,38,70,6,16,69,1,0,11,13,53,0.5566037735849056,33,63,0.5238095238095238,5,19,56,0.4732142857142857,1.0
2,2018-11-12-20-texas,22.7,5,2.7,1,94.2,74.3,26,0.42100000000000004,57,0.386,22,0.21100000000000002,12,0.583,7,1,200,79.7,18.8,6,13,55,,5.8,4,0.281,16,0.25,4,47.8,32,0.439,18.4,14,41,0.439,18,0.667,2,"November 12, 2018",46.2,12,12.2,5,79.7,81.3,26,0.46799999999999997,62,0.419,26,0.177,11,0.636,7,0,200,94.2,25.7,9,13,65,,11.6,8,0.40299999999999997,25,0.24,6,52.2,35,0.483,11.9,9,37,0.541,20,1.0,3,"Frank Erwin Center, Austin, Texas",LOUISIANA-MONROE,Louisiana-Monroe,69.0,Home,TEXAS,Texas,Louisiana-Monroe,sun-belt,2,False,False,False,Away,False,4,18,57,32,67,6,20,62,0,1,19,37,115,0.5695652173913044,71,133,0.5338345864661654,11,35,125,0.412,1.0
3,2018-11-14-19-michigan-state,33.3,6,0.0,0,111.1,64.3,27,0.34700000000000003,59,0.305,18,0.424,25,0.72,18,2,200,81.9,19.5,8,19,59,,6.9,5,0.322,19,0.263,5,42.2,35,0.41600000000000004,10.3,8,40,0.325,13,0.5,2,"November 14, 2018",46.4,13,17.5,7,81.9,80.5,33,0.44299999999999995,70,0.4,28,0.314,22,0.818,18,1,200,111.1,35.7,15,18,80,11.0,9.7,7,0.414,29,0.207,6,57.8,48,0.49700000000000005,8.1,7,41,0.537,22,0.667,2,"Breslin Events Center, East Lansing, Michigan",LOUISIANA-MONROE,Louisiana-Monroe,71.7,Home,MICHIGAN-STATE,Michigan State,Louisiana-Monroe,sun-belt,3,False,False,False,Away,False,5,13,59,35,83,6,22,70,0,1,23,55,172,0.5203488372093024,103,200,0.515,17,55,187,0.4304812834224599,0.6666666666666666
4,2018-11-23-19-tennessee-tech,61.9,13,2.6,1,111.3,57.6,19,0.446,56,0.375,21,0.46399999999999997,26,0.885,23,3,200,102.8,12.1,4,22,73,,5.6,4,0.321,18,0.444,8,34.8,23,0.534,11.8,9,38,0.342,13,0.4,2,"November 23, 2018",44.4,12,13.2,5,102.8,87.9,29,0.5539999999999999,56,0.48200000000000004,27,0.5710000000000001,32,0.531,17,5,200,111.3,42.4,14,19,79,,2.8,2,0.304,17,0.47100000000000003,8,65.2,43,0.555,13.6,11,39,0.48700000000000004,19,0.16699999999999998,1,"Eblen Center, Cookeville, Tennessee",LOUISIANA-MONROE,Louisiana-Monroe,70.8,Home,TENNESSEE-TECH,Tennessee Tech,Louisiana-Monroe,sun-belt,4,False,False,False,Away,False,8,13,56,23,66,8,19,56,0,1,28,68,231,0.47619047619047616,138,283,0.4876325088339223,23,77,257,0.433852140077821,0.5
5,2018-11-27-19-northwestern-state,60.7,17,5.6,2,78.8,59.0,23,0.645,55,0.509,28,0.2,11,0.818,9,3,200,121.2,33.3,8,11,80,,13.6,9,0.509,28,0.536,15,49.2,31,0.664,17.8,13,27,0.48100000000000004,13,0.5,3,"November 27, 2018",47.4,9,3.7,1,121.2,66.7,16,0.344,64,0.297,19,0.172,11,0.727,8,5,200,78.8,41.0,16,13,52,,12.1,8,0.43799999999999994,28,0.214,6,50.8,32,0.376,16.9,14,36,0.361,13,0.28600000000000003,2,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,66.2,Away,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,5,False,False,False,Away,True,15,13,55,31,63,6,13,64,1,0,36,81,287,0.47038327526132406,161,349,0.46131805157593125,31,96,313,0.45527156549520764,0.4
6,2018-12-01-14-mississippi,70.0,14,0.0,0,123.9,60.7,17,0.452,52,0.385,20,0.365,19,0.684,13,4,200,89.6,15.6,5,11,60,,6.0,4,0.40399999999999997,21,0.33299999999999996,7,36.7,22,0.49200000000000005,15.4,11,31,0.419,13,0.429,3,"December 1, 2018",75.8,25,9.7,3,89.6,84.4,27,0.611,63,0.524,33,0.127,8,0.75,6,2,200,123.9,39.3,11,19,83,,10.4,7,0.46,29,0.379,11,63.3,38,0.621,14.2,11,34,0.647,22,0.7140000000000001,5,"The Pavilion at Ole Miss, Oxford, Mississippi",LOUISIANA-MONROE,Louisiana-Monroe,66.9,Home,MISSISSIPPI,Ole Miss,Louisiana-Monroe,sun-belt,6,False,False,False,Away,False,7,13,52,22,60,11,22,63,0,1,51,94,342,0.49853801169590645,192,412,0.46601941747572817,37,109,377,0.4363395225464191,0.5
7,2018-12-11-20-louisiana-monroe,45.0,9,16.7,5,104.3,81.6,31,0.45899999999999996,49,0.408,20,0.5920000000000001,29,0.759,22,6,200,97.1,26.7,8,26,67,,2.9,2,0.327,16,0.313,5,57.4,39,0.534,19.5,15,33,0.455,15,0.4,4,"December 11, 2018",40.0,8,9.1,3,97.1,73.3,22,0.435,54,0.37,20,0.648,35,0.7140000000000001,25,4,200,104.3,18.4,7,20,72,,10.1,7,0.444,24,0.292,7,42.6,29,0.51,6.7,5,30,0.433,13,0.5,4,"Fant-Ewing Coliseum, Monroe, Louisiana",GRAMBLING,Grambling,69.2,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,7,True,False,True,Home,True,7,13,54,29,68,5,15,49,1,0,58,107,394,0.49238578680203043,214,472,0.4533898305084746,48,131,440,0.46136363636363636,0.42857142857142855
8,2018-12-15-15-louisiana-monroe,35.0,7,23.8,5,104.2,73.3,22,0.41100000000000003,56,0.35700000000000004,20,0.304,17,0.706,12,4,200,81.7,28.6,10,24,58,,7.0,5,0.35700000000000004,20,0.3,6,49.2,32,0.45299999999999996,21.1,17,36,0.389,14,0.556,5,"December 15, 2018",76.2,16,8.3,3,81.7,71.4,25,0.529,52,0.40399999999999997,21,0.442,23,0.826,19,4,200,104.2,26.7,8,17,74,,8.5,6,0.596,31,0.419,13,50.8,33,0.588,19.5,15,21,0.381,8,0.556,5,"Fant-Ewing Coliseum, Monroe, Louisiana",STEPHEN-F-AUSTIN,Stephen F. Austin,70.5,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,8,True,False,True,Home,True,13,8,52,33,65,6,14,56,1,0,65,120,448,0.48549107142857145,243,540,0.45,53,146,489,0.4611451942740286,0.5
9,2018-12-18-20-louisiana-monroe,45.8,11,7.1,3,130.1,69.0,20,0.444,63,0.381,24,0.222,14,0.857,12,6,200,93.2,31.4,11,21,68,,0.0,0,0.413,26,0.308,8,48.4,31,0.488,18.8,16,37,0.43200000000000005,16,0.455,5,"December 18, 2018",54.5,18,10.8,4,93.2,68.6,24,0.627,59,0.5589999999999999,33,0.475,28,0.75,21,4,200,130.1,31.0,9,16,95,,5.5,4,0.28800000000000003,17,0.47100000000000003,8,51.6,33,0.657,11.2,9,42,0.595,25,0.6,6,"Fant-Ewing Coliseum, Monroe, Louisiana",NICHOLLS-STATE,Nicholls State,73.5,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,9,True,False,True,Home,True,8,25,59,33,64,8,16,63,1,0,78,128,500,0.49,276,605,0.456198347107438,59,160,545,0.4559633027522936,0.5555555555555556
