,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OAKLAND_homegame,OAKLAND_homegame2,OAKLAND_home,OAKLAND_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-oakland,56.7,17,8.1,3,126.5,70.6,24,0.66,50,0.6,30,0.5,25,0.84,21,0,200,127.9,31.8,7,20,87,,2.9,2,0.24,12,0.5,6,55.4,31,0.703,17.6,13,38,0.632,24,1.0,1,"November 9, 2018",78.1,25,5.3,2,127.9,68.2,15,0.57,64,0.5,32,0.359,23,0.565,13,1,200,126.5,29.4,10,22,86,,8.8,6,0.42200000000000004,27,0.33299999999999996,9,44.6,25,0.574,3.9,3,37,0.622,23,0.0,0,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,67.9,Away,TOLEDO,Toledo,Oakland,horizon,0,False,True,True,Home,False,9,23,64,25,56,6,24,50,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-19-oakland,50.0,14,12.8,5,91.7,85.4,35,0.484,62,0.452,28,0.516,32,0.7809999999999999,25,1,225,101.2,31.0,9,20,85,,9.5,8,0.306,19,0.21100000000000002,4,62.9,44,0.551,15.5,14,43,0.5579999999999999,24,0.667,2,"November 13, 2018",72.0,18,14.0,6,101.2,69.0,20,0.44799999999999995,67,0.373,25,0.358,24,0.708,17,2,225,91.7,14.6,6,24,77,,7.1,6,0.418,28,0.35700000000000004,10,37.1,26,0.491,14.4,13,39,0.385,15,0.0,0,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,74.5,Away,WESTERN-MICHIGAN,Western Michigan,Oakland,horizon,1,False,True,True,Home,False,10,15,67,26,70,4,24,62,0,1,9,23,64,0.5703125,25,56,0.44642857142857145,6,24,50,0.66,0.0
2,2018-11-16-22-nevada-las-vegas,40.0,8,6.8,3,112.1,55.6,15,0.415,53,0.377,20,0.434,23,0.7390000000000001,17,3,200,92.4,20.6,7,11,61,,6.1,4,0.302,16,0.25,4,36.1,22,0.47700000000000004,13.7,10,37,0.43200000000000005,16,0.0,0,"November 16, 2018",45.2,14,10.8,4,92.4,79.4,27,0.5589999999999999,59,0.525,31,0.18600000000000003,11,0.727,8,1,200,112.1,44.4,12,21,74,,4.5,3,0.254,15,0.267,4,63.9,39,0.5760000000000001,15.8,12,44,0.614,27,0.667,2,"Thomas & Mack Center, Las Vegas, Nevada",OAKLAND,Oakland,65.6,Home,NEVADA-LAS-VEGAS,UNLV,Oakland,horizon,2,False,False,False,Away,False,4,16,53,22,61,4,27,59,0,1,19,38,131,0.5076335877862596,51,126,0.40476190476190477,10,48,112,0.5625,0.0
3,2018-11-19-19-oakland,61.1,11,0.0,0,144.4,71.4,15,0.368,57,0.316,18,0.12300000000000001,7,0.7140000000000001,5,0,200,74.6,30.6,11,18,47,,9.5,6,0.40399999999999997,23,0.261,6,45.6,26,0.39,20.0,15,34,0.353,12,0.0,0,"November 19, 2018",84.4,27,23.5,8,74.6,69.4,25,0.79,50,0.64,32,0.36,18,0.667,12,3,200,144.4,28.6,6,9,91,,14.3,9,0.54,27,0.556,15,54.4,31,0.777,14.7,10,23,0.7390000000000001,17,0.25,1,"Athletics Center O'rena, Rochester, Michigan","Defiance
			","Defiance
			",63.4,Home,OAKLAND,Oakland,Oakland,horizon,3,True,False,True,Home,True,15,17,50,31,57,6,12,57,1,0,23,54,184,0.48097826086956524,73,187,0.39037433155080214,14,75,171,0.5614035087719298,0.0
4,2018-11-23-14-oakland,69.0,20,7.4,2,122.2,74.1,20,0.5329999999999999,61,0.475,29,0.14800000000000002,9,0.444,4,2,200,109.5,42.4,14,16,69,,9.5,6,0.24600000000000002,15,0.467,7,56.7,34,0.529,15.6,12,46,0.478,22,0.667,4,"November 23, 2018",84.6,22,4.3,2,109.5,57.6,19,0.585,53,0.491,26,0.321,17,0.882,15,3,200,122.2,25.9,7,13,77,,11.1,7,0.491,26,0.385,10,43.3,26,0.63,11.7,8,27,0.593,16,0.4,2,"Athletics Center O'rena, Rochester, Michigan",JAMES-MADISON,James Madison,62.7,Home,OAKLAND,Oakland,Oakland,horizon,4,True,False,True,Home,True,10,16,53,26,60,7,22,61,1,0,38,71,234,0.5470085470085471,104,244,0.4262295081967213,20,87,228,0.5131578947368421,0.25
5,2018-11-24-14-oakland,58.6,17,6.5,2,129.9,63.6,14,0.551,59,0.49200000000000005,29,0.254,15,0.733,11,6,200,113.4,46.4,13,23,76,,10.4,7,0.33899999999999997,20,0.35,7,54.0,27,0.575,17.6,14,39,0.564,22,0.25,2,"November 24, 2018",88.5,23,12.8,5,113.4,53.6,15,0.575,53,0.491,26,0.528,28,0.929,26,3,200,129.9,36.4,8,16,87,,13.4,9,0.415,22,0.409,9,46.0,23,0.6559999999999999,10.9,8,31,0.5479999999999999,17,0.5,3,"Athletics Center O'rena, Rochester, Michigan",ORAL-ROBERTS,Oral Roberts,66.7,Home,OAKLAND,Oakland,Oakland,horizon,5,True,False,True,Home,True,9,17,53,23,50,7,22,59,1,0,48,87,287,0.554006968641115,130,304,0.4276315789473684,27,109,289,0.5173010380622838,0.4
6,2018-11-25-15-oakland,62.2,23,3.1,1,116.1,76.7,23,0.759,56,0.6609999999999999,37,0.161,9,0.778,7,2,200,148.4,36.8,7,15,92,,8.1,5,0.321,18,0.611,11,61.2,30,0.763,10.5,7,38,0.684,26,0.667,4,"November 25, 2018",80.0,20,5.3,2,148.4,63.2,12,0.534,58,0.431,25,0.24100000000000002,14,0.7140000000000001,10,4,200,116.1,23.3,7,12,72,,4.8,3,0.44799999999999995,26,0.462,12,38.8,19,0.557,9.8,7,32,0.406,13,0.429,3,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,62.5,Away,NORTHERN-ILLINOIS,Northern Illinois,Oakland,horizon,6,False,True,True,Home,False,12,13,58,19,49,11,26,56,0,1,57,104,340,0.5573529411764706,153,354,0.4322033898305085,34,131,348,0.5229885057471264,0.5
7,2018-12-01-12-xavier,60.0,15,7.5,3,117.7,62.5,20,0.545,56,0.446,25,0.125,7,0.28600000000000003,2,5,200,101.6,23.5,8,18,63,,6.5,4,0.5,28,0.39299999999999996,11,42.4,28,0.531,15.7,11,28,0.5,14,0.375,3,"December 1, 2018",48.0,12,3.6,1,101.6,76.5,26,0.491,55,0.455,25,0.418,23,0.826,19,3,200,117.7,37.5,12,14,73,,14.5,9,0.273,15,0.267,4,57.6,38,0.5539999999999999,10.9,8,40,0.525,21,0.625,5,"Cintas Center, Cincinnati, Ohio",OAKLAND,Oakland,62.1,Home,XAVIER,Xavier,Oakland,horizon,7,False,False,False,Away,False,11,14,56,28,66,4,21,55,0,1,69,117,398,0.5540201005025126,172,403,0.4267990074441687,45,157,404,0.5556930693069307,0.42857142857142855
8,2018-12-06-19-fairfield,78.6,22,7.1,3,119.4,60.0,18,0.7020000000000001,47,0.596,28,0.511,24,0.875,21,5,200,120.8,28.6,6,18,87,,5.6,4,0.447,21,0.47600000000000003,10,47.1,24,0.745,24.8,19,26,0.6920000000000001,18,0.444,4,"December 6, 2018",53.1,17,0.0,0,120.8,71.4,15,0.57,64,0.5,32,0.281,18,0.722,13,7,200,119.4,40.0,12,23,86,,16.7,12,0.344,22,0.409,9,52.9,27,0.593,14.3,12,42,0.5479999999999999,23,0.222,2,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",FAIRFIELD,Fairfield,72.0,Away,OAKLAND,Oakland,Oakland,horizon,8,False,False,False,Away,True,10,18,47,24,51,9,23,64,1,0,80,131,454,0.552863436123348,200,469,0.42643923240938164,49,178,459,0.5479302832244008,0.375
9,2018-12-08-16-northeastern,48.1,13,2.9,1,126.0,69.2,18,0.588,57,0.474,27,0.35100000000000003,20,0.8,16,6,200,113.7,10.3,3,20,83,,13.7,10,0.474,27,0.48100000000000004,13,38.2,21,0.624,13.2,10,30,0.467,14,0.4,4,"December 8, 2018",53.1,17,13.3,4,113.7,89.7,26,0.6890000000000001,53,0.604,32,0.547,29,0.655,19,5,200,126.0,30.8,8,20,92,,4.1,3,0.34,18,0.5,9,61.8,34,0.6890000000000001,17.6,14,35,0.657,23,0.5,5,"Matthews Arena, Boston, Massachusetts",OAKLAND,Oakland,73.1,Home,NORTHEASTERN,Northeastern,Oakland,horizon,9,False,False,False,Away,False,13,14,57,21,55,9,23,53,0,1,90,149,501,0.5668662674650699,224,520,0.4307692307692308,58,201,523,0.5506692160611855,0.4444444444444444
