,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PORTLAND_homegame,PORTLAND_homegame2,PORTLAND_home,PORTLAND_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-portland,54.1,20,3.4,2,130.6,71.1,27,0.632,76,0.48700000000000004,37,0.11800000000000001,9,0.778,7,0,200,121.2,10.5,4,20,103,,2.4,2,0.6579999999999999,50,0.44,22,40.8,31,0.642,10.1,9,26,0.5770000000000001,15,0.0,0,"November 6, 2018",50.0,22,11.5,3,121.2,89.5,34,0.596,78,0.564,44,0.33299999999999996,26,0.6920000000000001,18,0,200,130.6,28.9,11,12,111,,7.1,6,0.256,20,0.25,5,59.2,45,0.614,6.3,6,58,0.672,39,1.0,1,"Chiles Center, Portland, Oregon","Multnomah
			","Multnomah
			",85.3,Home,PORTLAND,Portland,Portland,wcc,0,True,False,True,Home,True,5,39,78,45,76,22,15,76,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-23-hawaii,47.1,8,8.6,3,117.1,69.4,25,0.46399999999999997,42,0.405,17,0.81,34,0.735,25,1,200,91.4,12.0,3,17,64,,7.1,5,0.405,17,0.294,5,45.9,28,0.55,19.7,14,25,0.48,12,0.5,1,"November 9, 2018",71.0,22,20.0,5,91.4,88.0,22,0.5529999999999999,66,0.47,31,0.212,14,0.643,9,0,200,117.1,30.6,11,25,82,,10.0,7,0.47,31,0.355,11,54.1,33,0.564,11.1,9,35,0.5710000000000001,20,1.0,1,"Stan Sheriff Center, Honolulu, Hawaii",PORTLAND,Portland,69.9,Home,HAWAII,Hawaii,Portland,wcc,1,False,False,False,Away,False,5,12,42,28,61,11,20,66,0,1,5,39,78,0.5961538461538461,45,76,0.5921052631578947,22,15,76,0.631578947368421,1.0
2,2018-11-10-21-north-texas,24.0,6,9.1,3,121.9,70.0,14,0.5670000000000001,52,0.48100000000000004,25,0.40399999999999997,21,0.667,14,2,200,114.1,23.1,6,14,73,,7.8,5,0.40399999999999997,21,0.429,9,43.5,20,0.589,12.8,9,31,0.516,16,0.33299999999999996,1,"November 10, 2018",60.7,17,9.7,3,114.1,76.9,20,0.604,53,0.528,28,0.34,18,0.778,14,0,200,121.9,30.0,6,18,78,,4.7,3,0.377,20,0.4,8,56.5,26,0.634,11.6,8,33,0.606,20,1.0,3,"Stan Sheriff Center, Honolulu, Hawaii",PORTLAND,Portland,64.3,Home,NORTH-TEXAS,North Texas,Portland,wcc,2,False,False,False,Away,False,9,16,52,20,46,8,20,53,0,1,10,51,120,0.55,73,137,0.5328467153284672,33,35,142,0.5950704225352113,0.5
3,2018-11-17-21-cal-state-northridge,35.5,11,8.9,4,106.9,67.6,25,0.5539999999999999,65,0.47700000000000004,31,0.16899999999999998,11,0.727,8,2,200,111.1,27.3,9,21,80,,9.7,7,0.27699999999999997,18,0.556,10,48.6,34,0.57,13.6,11,47,0.447,21,0.5,2,"November 17, 2018",62.1,18,8.5,4,111.1,72.7,24,0.524,63,0.46,29,0.28600000000000003,18,0.611,11,3,200,106.9,32.4,12,20,77,,4.2,3,0.28600000000000003,18,0.444,8,51.4,36,0.5379999999999999,15.5,13,45,0.467,21,0.0,0,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,72.4,Away,PORTLAND,Portland,Portland,wcc,3,False,False,False,Away,True,10,21,65,34,70,8,21,63,1,0,19,67,172,0.5552325581395349,93,183,0.5081967213114754,41,55,195,0.5974358974358974,0.3333333333333333
4,2018-11-19-22-portland,57.1,12,2.1,1,105.5,64.7,22,0.435,54,0.389,21,0.35200000000000004,19,0.526,10,0,200,78.1,11.8,4,28,57,,6.8,5,0.5,27,0.185,5,38.2,26,0.452,18.3,14,27,0.593,16,0.0,0,"November 19, 2018",52.0,13,11.1,3,78.1,88.2,30,0.442,60,0.41700000000000004,25,0.5,30,0.8,24,2,200,105.5,35.3,12,16,77,,8.2,6,0.2,12,0.25,3,61.8,42,0.519,13.1,11,48,0.45799999999999996,22,0.6,3,"Chiles Center, Portland, Oregon","Lewis &amp; Clark
			","Lewis &amp; Clark
			",73.1,Home,PORTLAND,Portland,Portland,wcc,4,True,False,True,Home,True,3,22,60,42,68,5,16,54,1,0,29,88,237,0.5548523206751055,127,253,0.5019762845849802,49,76,258,0.5794573643410853,0.5
5,2018-11-21-22-portland,55.6,10,2.9,1,97.3,77.8,28,0.34600000000000003,65,0.27699999999999997,18,0.215,14,0.7859999999999999,11,3,200,74.7,14.6,6,18,56,,10.7,8,0.508,33,0.273,9,44.2,34,0.391,13.4,11,32,0.281,9,0.25,1,"November 21, 2018",64.0,16,9.4,3,74.7,85.4,35,0.5,59,0.424,25,0.33899999999999997,20,0.7,14,2,200,97.3,22.2,8,17,73,,8.0,6,0.40700000000000003,24,0.375,9,55.8,43,0.5329999999999999,16.1,13,35,0.457,16,0.667,4,"Chiles Center, Portland, Oregon",SOUTH-CAROLINA-UPSTATE,USC Upstate,75.1,Home,PORTLAND,Portland,Portland,wcc,5,True,False,True,Home,True,9,16,59,43,77,9,9,65,1,0,32,110,297,0.531986531986532,169,321,0.5264797507788161,54,92,312,0.5544871794871795,0.6
6,2018-11-23-22-portland,64.0,16,9.5,2,102.9,83.9,26,0.446,65,0.385,25,0.185,12,0.75,9,4,200,95.7,27.8,10,24,67,,5.7,4,0.431,28,0.28600000000000003,8,53.7,36,0.474,12.5,10,37,0.45899999999999996,17,0.2,1,"November 23, 2018",85.7,18,21.6,8,95.7,72.2,26,0.54,50,0.42,21,0.56,28,0.643,18,2,200,102.9,16.1,5,15,72,,8.6,6,0.58,29,0.414,12,46.3,31,0.569,15.0,11,21,0.429,9,0.7140000000000001,5,"Chiles Center, Portland, Oregon",CAL-POLY,Cal Poly,70.0,Home,PORTLAND,Portland,Portland,wcc,6,True,False,True,Home,True,12,9,50,31,67,8,17,65,1,0,41,126,356,0.526685393258427,212,398,0.5326633165829145,63,101,377,0.5185676392572944,0.6666666666666666
7,2018-11-24-20-portland,64.7,22,11.1,3,94.4,77.1,27,0.604,67,0.507,34,0.19399999999999998,13,0.769,10,1,200,126.4,33.3,10,26,91,,8.3,6,0.40299999999999997,27,0.48100000000000004,13,56.9,37,0.622,12.1,10,40,0.525,21,0.833,5,"November 24, 2018",72.2,13,10.0,4,126.4,66.7,20,0.423,52,0.34600000000000003,18,0.5579999999999999,29,0.828,24,3,200,94.4,22.9,8,17,68,,5.6,4,0.48100000000000004,25,0.32,8,43.1,28,0.517,16.7,13,27,0.37,10,0.625,5,"Chiles Center, Portland, Oregon",PORTLAND,Portland,72.0,Away,TEXAS-STATE,Texas State,Portland,wcc,7,False,True,True,Home,False,8,10,52,28,65,13,21,67,0,1,53,135,406,0.5283251231527094,243,465,0.5225806451612903,71,118,442,0.5079185520361991,0.7142857142857143
8,2018-11-28-21-colorado,37.0,10,7.3,3,114.8,68.8,22,0.47600000000000003,63,0.429,27,0.20600000000000002,13,0.6920000000000001,9,4,200,85.2,11.8,4,25,69,,9.9,8,0.349,22,0.273,6,39.4,26,0.499,19.8,17,41,0.512,21,0.556,5,"November 28, 2018",35.5,11,4.9,2,85.2,88.2,30,0.556,63,0.49200000000000005,31,0.47600000000000003,30,0.767,23,1,200,114.8,31.3,10,13,93,,9.9,8,0.349,22,0.364,8,60.6,40,0.602,14.6,13,41,0.561,23,0.8,4,"Coors Events/Conference Center, Boulder, Colorado",PORTLAND,Portland,81.2,Home,COLORADO,Colorado,Portland,wcc,8,False,False,False,Away,False,6,21,63,26,66,8,23,63,0,1,61,145,458,0.5163755458515283,271,530,0.5113207547169811,84,139,509,0.5206286836935167,0.625
9,2018-12-05-22-portland-state,53.6,15,9.8,5,113.0,38.5,15,0.534,59,0.475,28,0.441,26,0.5770000000000001,15,5,200,101.3,12.9,4,17,78,,13.0,10,0.40700000000000003,24,0.292,7,27.1,19,0.547,12.4,10,35,0.6,21,0.5,5,"December 5, 2018",43.3,13,22.9,8,101.3,87.1,27,0.473,74,0.405,30,0.311,23,0.7390000000000001,17,3,200,113.0,61.5,24,25,87,,7.8,6,0.311,23,0.435,10,72.9,51,0.512,15.1,15,51,0.392,20,0.625,5,"Pamplin Sports Center, Portland, Oregon",PORTLAND,Portland,76.6,Home,PORTLAND-STATE,Portland State,Portland,wcc,9,False,False,False,Away,False,7,21,59,19,70,10,20,74,0,1,67,166,521,0.5115163147792706,297,596,0.4983221476510067,92,162,572,0.5244755244755245,0.5555555555555556
