,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-FLORIDA_homegame,SOUTH-FLORIDA_homegame2,SOUTH-FLORIDA_home,SOUTH-FLORIDA_location,total_threes_made,total_fg_made,total_fg_attempts,pregame_total_threes_made,pregame_total_fg_made,pregame_total_fg_attempts,pregame_eFG,team_win_bool,total_2pt_made,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_2pt_made,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-south-florida,81.8,18,0.0,0,111.1,60.9,14,0.51,52,0.423,22,0.26899999999999996,14,0.7140000000000001,10,1,200,87.5,28.6,8,24,63,,15.3,11,0.48100000000000004,25,0.36,9,43.1,22,0.537,26.5,21,27,0.48100000000000004,13,0.0,0,"November 6, 2018",66.7,20,14.8,4,87.5,71.4,20,0.6509999999999999,53,0.5660000000000001,30,0.34,18,0.611,11,0,200,111.1,39.1,9,15,80,,15.3,11,0.396,21,0.429,9,56.9,29,0.65,24.7,20,32,0.6559999999999999,21,1.0,1,"Sun Dome, Tampa, Florida",ALABAMA-AM,Alabama A&M,72.1,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,0,True,False,True,Home,9,30,53,0,0,0,,True,21,29,51,9,13,52,1,0,0,0,0,,0,0,0,,
1,2018-11-12-19-south-florida,72.2,13,10.8,4,91.4,68.2,30,0.391,55,0.327,18,0.655,36,0.75,27,2,225,86.4,23.7,9,29,70,,7.4,6,0.29100000000000004,16,0.43799999999999994,7,47.6,39,0.485,20.3,18,39,0.282,11,0.33299999999999996,1,"November 12, 2018",45.8,11,15.4,6,86.4,76.3,29,0.457,58,0.414,24,0.7070000000000001,41,0.512,21,0,225,91.4,31.8,14,28,74,,13.6,11,0.36200000000000004,21,0.23800000000000002,5,52.4,43,0.478,19.1,18,37,0.514,19,1.0,2,"Sun Dome, Tampa, Florida",AUSTIN-PEAY,Austin Peay,72.3,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,1,True,False,True,Home,5,24,58,9,30,53,0.6509433962264151,True,19,43,82,7,11,55,1,0,21,29,51,0.5686274509803921,9,13,52,0.5096153846153846,1.0
2,2018-11-16-16-south-florida,43.8,7,6.1,2,94.8,82.8,24,0.309,55,0.29100000000000004,16,0.327,18,0.667,12,1,200,59.7,22.0,9,19,46,,9.1,7,0.455,25,0.08,2,47.1,33,0.36200000000000004,24.1,20,30,0.467,14,0.667,2,"November 16, 2018",66.7,16,6.7,2,59.7,78.0,32,0.491,55,0.436,24,0.473,26,0.731,19,0,200,94.8,17.2,5,21,73,,14.3,11,0.4,22,0.273,6,52.9,37,0.542,20.4,17,33,0.545,18,1.0,3,"Montego Bay Convention Centre, Montego Bay",OHIO,Ohio,77.0,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,2,True,False,True,Home,6,24,55,14,54,111,0.5495495495495496,True,18,37,70,2,14,55,1,0,40,72,133,0.5413533834586466,16,24,107,0.4485981308411215,1.0
3,2018-11-18-12-georgetown,58.3,14,7.5,3,96.2,80.6,25,0.4320000000000001,66,0.364,24,0.409,27,0.593,16,1,225,92.4,28.6,12,23,73,,7.6,6,0.379,25,0.36,9,50.7,37,0.46299999999999997,13.4,12,41,0.366,15,0.75,3,"November 18, 2018",44.0,11,12.2,5,92.4,71.4,30,0.474,58,0.431,25,0.466,27,0.778,21,1,225,96.2,19.4,6,22,76,,7.6,6,0.31,18,0.278,5,49.3,36,0.537,17.7,15,40,0.5,20,0.8,4,"Montego Bay Convention Centre, Montego Bay",SOUTH-FLORIDA,South Florida,70.5,Home,GEORGETOWN,Georgetown,South Florida,aac,3,False,False,False,Away,9,24,66,20,78,166,0.5301204819277109,False,15,37,73,5,20,58,0,1,58,109,203,0.5369458128078818,18,38,162,0.4012345679012346,1.0
4,2018-11-21-19-south-florida,60.9,14,19.0,8,104.5,61.1,22,0.591,44,0.523,23,0.386,17,0.41200000000000003,7,3,200,89.4,15.4,4,23,59,,6.1,4,0.386,17,0.353,6,41.9,26,0.5660000000000001,21.4,14,27,0.63,17,0.4,2,"November 21, 2018",73.9,17,7.4,2,89.4,84.6,22,0.424,59,0.39,23,0.508,30,0.633,19,1,200,104.5,38.9,14,18,69,,10.6,7,0.28800000000000003,17,0.235,4,58.1,36,0.47100000000000003,12.2,10,42,0.452,19,0.8,4,"Sun Dome, Tampa, Florida",FLORIDA-AM,Florida A&M,65.7,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,4,True,False,True,Home,4,23,59,29,102,232,0.5021551724137931,True,19,36,62,6,17,44,1,0,73,146,276,0.5289855072463768,23,58,220,0.4204545454545455,0.75
5,2018-11-24-14-south-florida,53.3,16,0.0,0,109.5,62.5,20,0.623,61,0.4920000000000001,30,0.16399999999999998,10,0.8,8,2,200,113.5,23.1,6,21,84,,8.1,6,0.59,36,0.444,16,44.8,26,0.639,18.7,15,25,0.56,14,0.667,4,"November 24, 2018",57.1,16,8.0,2,113.5,76.9,20,0.508,62,0.452,28,0.371,23,0.7829999999999999,18,2,200,109.5,37.5,12,13,81,,8.1,6,0.419,26,0.26899999999999996,7,55.2,32,0.555,15.3,13,36,0.583,21,0.667,4,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,74.3,Away,CITADEL,Citadel,South Florida,aac,5,False,True,True,Home,7,28,62,33,125,291,0.4862542955326461,False,21,32,58,16,14,61,0,1,92,182,338,0.5384615384615384,29,75,264,0.4488636363636364,0.8
6,2018-11-28-19-south-florida,75.0,21,21.1,8,107.1,54.5,18,0.5529999999999999,57,0.491,28,0.24600000000000002,14,0.5710000000000001,8,7,200,101.4,25.8,8,26,71,,10.0,7,0.35100000000000003,20,0.35,7,40.6,26,0.5579999999999999,18.1,14,37,0.568,21,0.125,1,"November 28, 2018",70.8,17,13.5,5,101.4,74.2,23,0.48200000000000004,56,0.429,24,0.589,33,0.636,21,2,200,107.1,45.5,15,14,75,,12.9,9,0.321,18,0.33299999999999996,6,59.4,38,0.523,15.6,13,38,0.474,18,0.7140000000000001,5,"Sun Dome, Tampa, Florida",STETSON,Stetson,69.7,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,6,True,False,True,Home,6,24,56,40,153,353,0.4900849858356941,True,18,38,64,7,21,57,1,0,113,214,396,0.5404040404040404,45,89,325,0.4815384615384615,0.6666666666666666
7,2018-11-30-20-south-florida,60.0,12,6.3,2,102.8,76.0,19,0.5,51,0.392,20,0.373,19,0.632,12,3,200,88.7,30.8,8,23,63,,7.0,5,0.588,30,0.3670000000000001,11,52.9,27,0.525,25.2,20,21,0.429,9,0.625,5,"November 30, 2018",40.9,9,19.0,4,88.7,69.2,18,0.521,47,0.46799999999999997,22,0.7020000000000001,33,0.727,24,2,200,102.8,24.0,6,19,73,,15.5,11,0.319,15,0.33299999999999996,5,47.1,24,0.5820000000000001,17.4,13,32,0.531,17,0.75,6,"Sun Dome, Tampa, Florida",COLGATE,Colgate,70.9,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,7,True,False,True,Home,5,22,47,46,177,409,0.4889975550122249,True,17,24,51,11,9,51,1,0,131,252,460,0.5478260869565217,52,110,382,0.4921465968586388,0.7142857142857143
8,2018-12-15-13-south-florida,40.9,9,12.8,6,102.7,59.0,23,0.43799999999999994,56,0.39299999999999996,22,0.429,24,0.833,20,6,200,93.2,17.6,6,22,69,,4.1,3,0.39299999999999996,22,0.22699999999999998,5,39.7,29,0.512,15.3,12,34,0.5,17,0.4,4,"December 15, 2018",48.1,13,5.9,2,93.2,82.4,28,0.484,62,0.435,27,0.452,28,0.5710000000000001,16,2,200,102.7,41.0,16,24,76,,10.8,8,0.242,15,0.4,6,60.3,44,0.505,17.7,16,47,0.447,21,0.778,7,"Sun Dome, Tampa, Florida",APPALACHIAN-STATE,Appalachian State,74.4,Home,SOUTH-FLORIDA,South Florida,South Florida,aac,8,True,False,True,Home,6,27,62,51,199,456,0.4923245614035088,True,21,44,73,5,17,56,1,0,148,276,511,0.5401174168297456,63,119,433,0.4930715935334873,0.75
9,2018-12-18-19-florida-international,52.0,13,10.0,3,85.9,75.0,24,0.652,46,0.5429999999999999,25,0.804,37,0.595,22,2,200,96.5,41.7,10,28,82,,17.6,15,0.304,14,0.7140000000000001,10,60.7,34,0.645,33.9,32,32,0.469,15,0.8,8,"December 18, 2018",66.7,14,9.4,3,96.5,58.3,14,0.44299999999999995,53,0.396,21,0.642,34,0.765,26,3,200,85.9,25.0,8,31,73,,16.5,14,0.434,23,0.217,5,39.3,22,0.528,26.1,24,30,0.5329999999999999,16,0.727,8,"FIU Arena, Miami, Florida",FLORIDA-INTERNATIONAL,Florida International,85.4,Away,SOUTH-FLORIDA,South Florida,South Florida,aac,9,False,False,False,Away,10,25,46,57,226,518,0.4913127413127413,True,15,34,56,5,16,53,1,0,169,320,584,0.547945205479452,68,136,489,0.4867075664621677,0.7777777777777778
