,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,KANSAS_homegame,KANSAS_homegame2,KANSAS_home,KANSAS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-21-arizona-state,48.1,13,11.9,5,102.6,69.2,27,0.469,65,0.415,27,0.24600000000000002,16,0.938,15,1,200,97.4,29.4,10,22,76,1.0,7.7,6,0.431,28,0.25,7,50.7,37,0.523,18.2,16,37,0.541,20,0.909,10,"December 22, 2018",50.0,13,13.5,5,97.4,70.6,24,0.47600000000000003,63,0.413,26,0.508,32,0.625,20,2,200,102.6,30.8,12,12,80,18.0,11.5,9,0.33299999999999996,21,0.381,8,49.3,36,0.512,12.5,11,42,0.429,18,0.818,9,"Wells Fargo Arena, Tempe, Arizona",KANSAS,Kansas,77.9,Home,ARIZONA-STATE,Arizona State,Kansas,big-12,10,False,False,False,Away,False,7,20,65,37,73,8,18,63,0,1,71,228,612,0.5465686274509803,361,683,0.5285505124450952,89,159,613,0.47716150081566067,1.0
11,2018-12-29-14-kansas,33.3,7,2.9,1,111.5,74.1,20,0.34299999999999997,70,0.3,21,0.32899999999999996,23,0.652,15,7,200,80.8,36.5,19,23,63,,11.5,9,0.457,32,0.188,6,49.4,39,0.389,16.6,16,38,0.395,15,0.462,6,"December 29, 2018",80.6,25,10.5,4,80.8,63.5,33,0.616,56,0.5539999999999999,31,0.46399999999999997,26,0.6920000000000001,18,1,200,111.5,25.9,7,20,87,5.0,9.0,7,0.375,21,0.33299999999999996,7,50.6,40,0.636,20.1,17,35,0.6859999999999999,24,0.917,11,"Allen Fieldhouse, Lawrence, Kansas",EASTERN-MICHIGAN,Eastern Michigan,78.1,Home,KANSAS,Kansas,Kansas,big-12,11,True,False,True,Home,True,7,24,56,40,79,6,15,70,1,0,78,248,677,0.5391432791728212,398,756,0.5264550264550265,97,177,676,0.4770710059171598,0.9090909090909091
12,2019-01-02-21-kansas,36.0,9,4.8,2,93.3,70.0,28,0.444,62,0.40299999999999997,25,0.21,13,0.615,8,2,200,84.0,25.6,10,17,63,23.0,6.7,5,0.355,22,0.22699999999999998,5,48.1,38,0.462,19.1,16,40,0.5,20,0.846,11,"January 2, 2019",38.5,10,15.0,6,84.0,74.4,29,0.444,63,0.413,26,0.349,22,0.636,14,1,200,93.3,30.0,12,17,70,5.0,14.7,11,0.33299999999999996,21,0.19,4,51.9,41,0.47700000000000004,16.2,14,42,0.524,22,0.9229999999999999,12,"Allen Fieldhouse, Lawrence, Kansas",OKLAHOMA,Oklahoma,74.8,Home,KANSAS,Kansas,Kansas,big-12,12,True,False,True,Home,True,4,22,63,41,79,5,20,62,1,0,85,272,733,0.5450204638472033,438,835,0.5245508982035928,103,192,746,0.4644772117962466,0.9166666666666666
13,2019-01-05-17-iowa-state,50.0,12,2.8,1,105.5,84.8,28,0.48200000000000004,56,0.429,24,0.196,11,0.545,6,2,200,82.2,34.5,10,10,60,5.0,8.2,6,0.35700000000000004,20,0.3,6,61.3,38,0.49,27.4,23,36,0.5,18,0.857,12,"January 5, 2019",64.3,18,11.1,4,82.2,65.5,19,0.5660000000000001,61,0.45899999999999996,28,0.16399999999999998,10,0.8,8,2,200,105.5,15.2,5,12,77,,17.8,13,0.41,25,0.52,13,38.7,24,0.586,14.4,11,36,0.41700000000000004,15,0.857,12,"James H. Hilton Coliseum , Ames, Iowa",KANSAS,Kansas,73.0,Home,IOWA-STATE,Iowa State,Kansas,big-12,13,False,False,False,Away,False,6,18,56,38,62,13,15,61,0,1,89,294,796,0.5370603015075377,479,914,0.524070021881838,108,212,808,0.4628712871287129,0.9230769230769231
14,2019-01-09-21-kansas,48.0,12,7.7,3,105.5,73.0,27,0.546,54,0.46299999999999997,25,0.24100000000000002,13,0.6920000000000001,9,2,200,93.2,23.3,7,18,68,25.0,8.2,6,0.389,21,0.429,9,50.7,34,0.565,23.2,18,33,0.485,16,0.857,12,"January 9, 2019",50.0,13,6.1,2,93.2,76.7,23,0.475,60,0.433,26,0.45,27,0.741,20,2,200,105.5,27.0,10,13,77,7.0,13.7,10,0.35,21,0.23800000000000002,5,49.3,33,0.529,14.3,12,39,0.5379999999999999,21,0.867,13,"Allen Fieldhouse, Lawrence, Kansas",TEXAS-CHRISTIAN,TCU,73.0,Home,KANSAS,Kansas,Kansas,big-12,14,True,False,True,Home,True,5,21,60,33,67,9,16,54,1,0,95,312,852,0.5334507042253521,517,976,0.5297131147540983,121,227,869,0.4700805523590334,0.8571428571428571
15,2019-01-12-16-baylor,54.2,13,25.0,11,97.1,50.0,22,0.648,44,0.545,24,0.614,27,0.593,16,2,200,104.3,15.4,4,19,73,7.0,8.6,6,0.364,16,0.563,9,37.1,26,0.642,20.0,14,28,0.536,15,0.875,14,"January 12, 2019",52.0,13,10.7,3,104.3,84.6,22,0.39299999999999996,75,0.33299999999999996,25,0.2,15,0.6,9,6,200,97.1,50.0,22,23,68,,12.9,9,0.413,31,0.29,9,62.9,44,0.414,14.6,14,44,0.364,16,0.6,9,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,70.5,Away,KANSAS,Kansas,Kansas,big-12,15,False,False,False,Away,True,9,15,44,26,70,9,16,75,1,0,100,333,912,0.5296052631578947,550,1043,0.5273250239693192,130,243,923,0.4745395449620802,0.8666666666666667
16,2019-01-14-21-kansas,65.5,19,6.3,2,125.0,85.7,24,0.514,69,0.42,29,0.10099999999999999,7,1.0,7,7,200,121.9,34.2,13,18,78,,3.1,2,0.493,34,0.382,13,56.1,37,0.539,6.5,5,35,0.457,16,0.588,10,"January 14, 2019",48.3,14,2.9,1,121.9,65.8,25,0.639,54,0.537,29,0.389,21,0.524,11,2,200,125.0,14.3,4,12,80,7.0,7.8,5,0.40700000000000003,22,0.5,11,43.9,29,0.625,5.9,4,32,0.563,18,0.882,15,"Allen Fieldhouse, Lawrence, Kansas",TEXAS,Texas,64.2,Home,KANSAS,Kansas,Kansas,big-12,16,True,False,True,Home,True,11,18,54,29,66,13,16,69,1,0,109,348,956,0.5350418410041841,576,1113,0.5175202156334232,139,259,998,0.468436873747495,0.875
17,2019-01-19-14-west-virginia,25.0,6,2.5,1,94.2,81.5,22,0.48200000000000004,55,0.436,24,0.23600000000000002,13,0.846,11,3,200,92.8,29.0,9,15,64,7.0,10.1,7,0.29100000000000004,16,0.313,5,53.4,31,0.523,22.9,18,39,0.48700000000000004,19,0.833,15,"January 19, 2019",48.0,12,5.1,2,92.8,71.0,22,0.509,54,0.46299999999999997,25,0.259,14,0.7140000000000001,10,9,200,94.2,18.5,5,14,65,,15.9,11,0.259,14,0.35700000000000004,5,46.6,27,0.536,17.8,13,40,0.5,20,0.5,9,"WVU Coliseum, Morgantown, West Virginia",KANSAS,Kansas,69.4,Home,WEST-VIRGINIA,West Virginia,Kansas,big-12,17,False,False,False,Away,False,5,19,55,31,58,5,20,54,0,1,120,366,1010,0.5405940594059406,605,1179,0.5131467345207803,152,275,1067,0.47141518275538896,0.8823529411764706
18,2019-01-21-21-kansas,44.4,12,6.0,3,111.1,69.7,23,0.532,62,0.435,27,0.27399999999999997,17,0.588,10,5,200,105.6,33.3,12,18,76,24.0,9.7,7,0.484,30,0.4,12,50.7,35,0.542,16.8,14,32,0.469,15,0.737,14,"January 21, 2019",30.3,10,9.4,3,105.6,66.7,24,0.563,64,0.516,33,0.203,13,0.615,8,3,200,111.1,30.3,10,17,80,9.0,9.7,7,0.21899999999999997,14,0.429,6,49.3,34,0.57,13.6,11,50,0.54,27,0.8420000000000001,16,"Allen Fieldhouse, Lawrence, Kansas",IOWA-STATE,Iowa State,71.6,Home,KANSAS,Kansas,Kansas,big-12,18,True,False,True,Home,True,6,27,64,34,69,12,15,62,1,0,125,385,1065,0.5375586854460094,636,1237,0.5141471301535974,157,295,1121,0.47323818019625336,0.8333333333333334
19,2019-01-26-18-kentucky,39.1,9,4.3,2,102.9,63.4,26,0.43700000000000006,63,0.365,23,0.175,11,0.727,8,4,200,91.3,22.0,9,21,63,9.0,5.8,4,0.365,23,0.391,9,42.7,35,0.462,10.5,8,40,0.35,14,0.8,16,"January 26, 2019",56.0,14,20.0,8,91.3,78.0,32,0.42200000000000004,64,0.391,25,0.359,23,0.7390000000000001,17,3,200,102.9,36.6,15,13,71,8.0,5.8,4,0.281,18,0.222,4,57.3,47,0.474,12.9,11,46,0.457,21,0.8420000000000001,16,"Rupp Arena, Lexington, Kentucky",KANSAS,Kansas,69.1,Home,KENTUCKY,Kentucky,Kansas,big-12,19,False,False,False,Away,False,9,14,63,35,82,4,21,64,0,1,131,412,1129,0.5389725420726307,670,1306,0.5130168453292496,169,310,1183,0.47633136094674555,0.8421052631578947
20,2019-01-29-19-texas,45.5,10,18.2,4,115.9,67.9,19,0.49,51,0.431,22,0.314,16,0.813,13,5,200,100.0,26.9,7,20,63,11.0,12.7,8,0.353,18,0.33299999999999996,6,48.1,26,0.5379999999999999,14.7,10,33,0.485,16,0.762,16,"January 29, 2019",61.9,13,6.1,2,100.0,73.1,19,0.52,50,0.42,21,0.46,23,0.9129999999999999,21,9,200,115.9,32.1,9,13,73,,7.9,5,0.56,28,0.35700000000000004,10,51.9,28,0.599,16.6,12,22,0.5,11,0.5710000000000001,12,"Frank Erwin Center, Austin, Texas",KANSAS,Kansas,62.8,Home,TEXAS,Texas,Kansas,big-12,20,False,False,False,Away,False,6,16,51,26,54,10,11,50,0,1,140,426,1192,0.5335570469798657,705,1388,0.5079250720461095,173,331,1247,0.4735364875701684,0.8
21,2019-02-02-16-kansas,36.4,8,17.2,5,106.8,84.4,27,0.391,64,0.344,22,0.344,22,0.591,13,5,200,85.1,29.5,13,15,63,16.0,9.5,7,0.43799999999999994,28,0.214,6,52.6,40,0.423,12.0,10,36,0.444,16,0.773,17,"February 2, 2019",70.4,19,8.3,3,85.1,70.5,31,0.568,59,0.45799999999999996,27,0.322,19,0.632,12,5,200,106.8,15.6,5,18,79,11.0,8.1,6,0.508,30,0.433,13,47.4,36,0.581,16.2,13,29,0.483,14,0.773,17,"Allen Fieldhouse, Lawrence, Kansas",TEXAS-TECH,Texas Tech,73.7,Home,KANSAS,Kansas,Kansas,big-12,21,True,False,True,Home,True,13,14,59,36,76,6,16,64,1,0,146,442,1243,0.5317779565567177,731,1442,0.5069348127600555,183,342,1297,0.4753276792598304,0.7619047619047619
22,2019-02-05-21-kansas-state,45.8,11,11.8,4,101.4,69.7,23,0.529,52,0.462,24,0.308,16,0.75,12,6,200,91.8,29.6,8,23,67,13.0,12.3,9,0.385,20,0.35,7,51.7,31,0.562,28.0,23,32,0.531,17,0.7390000000000001,17,"February 5, 2019",68.0,17,3.1,1,91.8,70.4,19,0.517,58,0.431,25,0.414,24,0.583,14,5,200,101.4,30.3,10,15,74,,15.1,11,0.414,24,0.41700000000000004,10,48.3,29,0.5329999999999999,14.9,12,34,0.441,15,0.773,17,"Bramlage Coliseum, Manhattan, Kansas",KANSAS,Kansas,73.0,Home,KANSAS-STATE,Kansas State,Kansas,big-12,22,False,False,False,Away,False,7,17,52,31,60,10,15,58,0,1,159,456,1302,0.533410138248848,767,1518,0.505270092226614,189,358,1361,0.4713445995591477,0.7727272727272727
23,2019-02-09-12-kansas,45.8,11,9.1,3,131.3,57.6,19,0.518,55,0.436,24,0.327,18,0.833,15,14,200,112.5,20.7,6,15,72,,6.3,4,0.364,20,0.45,9,40.3,25,0.5660000000000001,11.3,8,35,0.429,15,0.391,9,"February 9, 2019",45.2,14,8.6,3,112.5,79.3,23,0.589,62,0.5,31,0.242,15,0.733,11,6,200,131.3,42.4,14,15,84,13.0,7.8,5,0.46799999999999997,29,0.379,11,59.7,37,0.608,10.4,8,33,0.606,20,0.75,18,"Allen Fieldhouse, Lawrence, Kansas",OKLAHOMA-STATE,Oklahoma State,64.3,Home,KANSAS,Kansas,Kansas,big-12,23,True,False,True,Home,True,11,20,62,37,62,9,15,55,1,0,166,473,1354,0.5332348596750369,798,1578,0.5057034220532319,199,373,1419,0.47322057787174066,0.7391304347826086
24,2019-02-11-21-texas-christian,46.4,13,11.1,5,91.7,79.1,34,0.478,68,0.41200000000000003,28,0.33799999999999997,23,0.7390000000000001,17,6,225,97.6,30.0,12,22,82,14.0,6.0,5,0.441,30,0.3,9,55.4,46,0.519,16.1,15,38,0.5,19,0.76,19,"February 11, 2019",48.1,13,10.5,4,97.6,70.0,28,0.43700000000000006,71,0.38,27,0.33799999999999997,24,0.625,15,7,225,91.7,20.9,9,18,77,,9.5,8,0.366,26,0.308,8,44.6,37,0.467,12.8,12,45,0.42200000000000004,19,0.708,17,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",TEXAS-CHRISTIAN,TCU,74.4,Away,KANSAS,Kansas,Kansas,big-12,24,False,False,False,Away,True,9,19,68,46,83,8,19,71,1,0,177,493,1416,0.5356638418079096,835,1640,0.5091463414634146,208,388,1474,0.47489823609226595,0.75
25,2019-02-16-16-kansas,70.0,14,12.1,4,102.6,76.9,20,0.364,59,0.33899999999999997,20,0.254,15,0.667,10,15,200,69.7,35.3,12,18,53,,14.5,11,0.39,23,0.13,3,53.3,32,0.401,26.8,24,36,0.47200000000000003,17,0.4,10,"February 16, 2019",60.7,17,16.7,6,69.7,64.7,22,0.604,53,0.528,28,0.34,18,0.778,14,6,200,102.6,23.1,6,16,78,14.0,9.2,7,0.377,20,0.4,8,46.7,28,0.634,23.8,19,33,0.606,20,0.769,20,"Allen Fieldhouse, Lawrence, Kansas",WEST-VIRGINIA,West Virginia,76.3,Home,KANSAS,Kansas,Kansas,big-12,25,True,False,True,Home,True,8,20,53,28,60,3,17,59,1,0,186,512,1484,0.5330188679245284,881,1723,0.5113174695298898,216,407,1545,0.47313915857605177,0.76
26,2019-02-23-20-texas-tech,36.4,8,6.7,2,146.8,69.2,18,0.552,48,0.45799999999999996,22,0.25,12,0.75,9,7,200,100.0,20.8,5,17,62,12.0,4.8,3,0.43799999999999994,21,0.429,9,46.0,23,0.5770000000000001,19.6,13,27,0.48100000000000004,13,0.741,20,"February 23, 2019",55.9,19,7.4,2,100.0,79.2,19,0.75,56,0.607,34,0.23199999999999998,13,0.5379999999999999,7,5,200,146.8,30.8,8,11,91,14.0,8.1,5,0.46399999999999997,26,0.615,16,54.0,27,0.732,11.5,8,30,0.6,18,0.815,22,"United Supermarkets Arena, Lubbock, Texas",KANSAS,Kansas,61.9,Home,TEXAS-TECH,Texas Tech,Kansas,big-12,26,False,False,False,Away,False,9,13,48,23,50,16,18,56,0,1,194,532,1537,0.5354586857514639,909,1783,0.5098149186763881,219,424,1604,0.46913965087281795,0.7692307692307693
27,2019-02-25-21-kansas,50.0,9,13.8,4,103.2,66.7,20,0.386,57,0.316,18,0.08800000000000001,5,1.0,5,7,200,79.0,24.2,8,17,49,16.0,8.1,5,0.368,21,0.381,8,44.4,28,0.413,15.7,11,36,0.278,10,0.75,21,"February 25, 2019",66.7,14,16.7,6,79.0,75.8,25,0.47200000000000003,53,0.396,21,0.358,19,0.737,14,7,200,103.2,33.3,10,8,64,15.0,9.7,6,0.45299999999999996,24,0.33299999999999996,8,55.6,35,0.516,14.0,10,29,0.44799999999999995,13,0.75,21,"Allen Fieldhouse, Lawrence, Kansas",KANSAS-STATE,Kansas State,62.2,Home,KANSAS,Kansas,Kansas,big-12,27,True,False,True,Home,True,8,13,53,35,63,8,10,57,1,0,203,545,1585,0.5359621451104101,932,1833,0.508456082924168,235,442,1660,0.4786144578313253,0.7407407407407407
