,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OLD-DOMINION_homegame,OLD-DOMINION_homegame2,OLD-DOMINION_home,OLD-DOMINION_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-old-dominion,64.3,9,3.4,1,101.5,64.9,24,0.295,56,0.25,14,0.321,18,0.611,11,1,200,66.7,21.1,8,23,44,,6.1,4,0.375,21,0.23800000000000002,5,42.7,32,0.341,16.9,13,35,0.257,9,0.0,0,"November 6, 2018",75.0,15,22.9,8,66.7,78.9,30,0.446,56,0.35700000000000004,20,0.46399999999999997,26,0.654,17,0,200,101.5,35.1,13,19,67,,12.1,8,0.48200000000000004,27,0.37,10,57.3,43,0.49,10.6,8,29,0.345,10,1.0,1,"Ted Constant Convocation Ctr., Norfolk, Virginia",NAVY,Navy,66.5,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,0,True,False,True,Home,True,10,10,56,43,75,5,9,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-saint-josephs,39.1,9,3.0,1,114.5,88.9,24,0.46,62,0.371,23,0.177,11,0.636,7,1,200,92.8,20.0,7,16,64,,5.8,4,0.452,28,0.39299999999999996,11,50.0,31,0.47600000000000003,11.9,9,34,0.353,12,0.5,1,"November 9, 2018",46.2,12,2.9,1,92.8,80.0,28,0.574,54,0.48100000000000004,26,0.40700000000000003,22,0.773,17,0,200,114.5,11.1,3,11,79,,2.9,2,0.389,21,0.47600000000000003,10,50.0,31,0.613,11.2,8,33,0.485,16,1.0,1,"Hagan Arena, Philadelphia, Pennsylvania",OLD-DOMINION,Old Dominion,69.3,Home,SAINT-JOSEPHS,St. Joseph's,Old Dominion,cusa,1,False,False,False,Away,False,11,12,62,31,62,10,16,54,0,1,10,10,56,0.44642857142857145,43,75,0.5733333333333334,5,9,56,0.29464285714285715,1.0
2,2018-11-16-13-oregon-state,42.9,9,9.4,3,95.3,62.9,22,0.42200000000000004,58,0.36200000000000004,21,0.24100000000000002,14,0.5,7,2,200,87.5,28.6,10,19,56,,6.3,4,0.431,25,0.28,7,45.7,32,0.433,14.6,11,33,0.424,14,0.33299999999999996,1,"November 16, 2018",52.4,11,12.1,4,87.5,71.4,25,0.461,51,0.41200000000000003,21,0.431,22,0.636,14,0,200,95.3,37.1,13,15,61,,7.8,5,0.373,19,0.263,5,54.3,38,0.496,18.7,14,32,0.5,16,1.0,3,"Virgin Islands Sport & Fitness Center , St. Thomas",OLD-DOMINION,Old Dominion,64.1,Home,OREGON-STATE,Oregon State,Old Dominion,cusa,2,False,False,False,Away,False,7,14,58,32,70,5,16,51,0,1,21,22,118,0.4533898305084746,74,137,0.5401459854014599,15,25,110,0.4318181818181818,0.5
3,2018-11-17-15-kennesaw-state,42.3,11,6.8,3,67.1,87.5,35,0.517,58,0.44799999999999995,26,0.155,9,0.556,5,2,200,92.9,29.0,9,17,65,,8.6,6,0.379,22,0.364,8,62.0,44,0.522,19.5,15,36,0.5,18,0.5,2,"November 17, 2018",50.0,9,0.0,0,92.9,71.0,22,0.33899999999999997,56,0.321,18,0.321,18,0.5,9,4,200,67.1,12.5,5,11,47,,10.0,7,0.214,12,0.16699999999999998,2,38.0,27,0.364,16.9,13,44,0.364,16,0.2,1,"Virgin Islands Sport & Fitness Center , St. Thomas",KENNESAW-STATE,Kennesaw State,70.4,Away,OLD-DOMINION,Old Dominion,Old Dominion,cusa,3,False,False,False,Away,True,8,18,58,44,71,2,16,56,1,0,28,36,176,0.4431818181818182,106,207,0.5120772946859904,20,41,161,0.4409937888198758,0.3333333333333333
4,2018-11-19-15-northern-iowa,45.0,9,8.3,2,85.7,88.5,23,0.385,61,0.32799999999999996,20,0.14800000000000002,9,0.667,6,3,200,84.1,30.0,12,12,53,,11.1,7,0.39299999999999996,24,0.292,7,53.0,35,0.406,13.3,10,37,0.35100000000000003,13,0.4,2,"November 19, 2018",66.7,12,0.0,0,84.1,70.0,28,0.48,49,0.36700000000000005,18,0.184,9,0.778,7,2,200,85.7,11.5,3,10,54,,6.3,4,0.51,25,0.44,11,47.0,31,0.507,18.5,12,24,0.292,7,0.6,3,"Virgin Islands Sport & Fitness Center , St. Thomas",OLD-DOMINION,Old Dominion,62.8,Home,NORTHERN-IOWA,Northern Iowa,Old Dominion,cusa,4,False,False,False,Away,False,7,13,61,35,66,11,7,49,0,1,36,54,234,0.46153846153846156,150,278,0.539568345323741,22,57,217,0.4147465437788018,0.5
5,2018-11-23-19-old-dominion,43.5,10,3.1,1,109.1,75.0,24,0.5,57,0.40399999999999997,23,0.193,11,0.727,8,3,200,98.5,21.9,7,17,65,,1.5,1,0.456,26,0.423,11,48.4,31,0.522,15.1,11,31,0.387,12,0.5,3,"November 23, 2018",60.0,15,16.1,5,98.5,78.1,25,0.518,57,0.439,25,0.298,17,0.765,13,3,200,109.1,25.0,8,14,72,,7.6,5,0.439,25,0.36,9,51.6,33,0.5529999999999999,11.0,8,32,0.5,16,0.5,3,"Ted Constant Convocation Ctr., Norfolk, Virginia",NORTHERN-IOWA,Northern Iowa,65.7,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,5,True,False,True,Home,True,9,16,57,33,64,11,12,57,1,0,43,67,295,0.4457627118644068,185,344,0.5377906976744186,33,64,266,0.4266917293233083,0.4
6,2018-11-28-19-old-dominion,47.1,8,4.8,2,92.5,66.7,24,0.408,49,0.34700000000000003,17,0.34700000000000003,17,0.706,12,2,200,77.6,16.7,5,20,52,,1.5,1,0.408,20,0.3,6,43.9,29,0.456,19.9,14,29,0.379,11,0.7140000000000001,5,"November 28, 2018",38.1,8,24.1,7,77.6,83.3,25,0.38299999999999995,60,0.35,21,0.38299999999999995,23,0.696,16,3,200,92.5,33.3,12,16,62,,7.5,5,0.3,18,0.222,4,56.1,37,0.43700000000000006,10.2,8,42,0.405,17,0.5710000000000001,4,"Ted Constant Convocation Ctr., Norfolk, Virginia",VIRGINIA-COMMONWEALTH,VCU,66.5,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,6,True,False,True,Home,True,4,17,60,37,66,6,11,49,1,0,52,83,352,0.45738636363636365,218,408,0.5343137254901961,44,76,323,0.43962848297213625,0.5
7,2018-12-01-19-old-dominion,40.0,6,0.0,0,106.3,65.6,21,0.317,52,0.28800000000000003,15,0.308,16,0.563,9,4,200,66.7,28.2,11,18,42,,11.1,7,0.26899999999999996,14,0.214,3,45.1,32,0.35200000000000004,20.3,15,38,0.316,12,0.6,6,"December 1, 2018",64.0,16,21.1,8,66.7,71.8,28,0.527,55,0.455,25,0.218,12,0.75,9,3,200,106.3,34.4,11,20,67,,9.5,6,0.382,21,0.381,8,54.9,39,0.552,17.7,13,34,0.5,17,0.625,5,"Ted Constant Convocation Ctr., Norfolk, Virginia",JAMES-MADISON,James Madison,63.2,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,7,True,False,True,Home,True,8,17,55,39,71,3,12,52,1,0,56,100,412,0.44660194174757284,255,474,0.5379746835443038,50,87,372,0.43548387096774194,0.5714285714285714
8,2018-12-05-19-old-dominion,52.4,11,0.0,0,104.4,80.8,21,0.392,60,0.35,21,0.217,13,0.462,6,7,200,77.9,20.5,8,11,53,,5.9,4,0.433,26,0.192,5,44.6,29,0.4,12.0,9,34,0.47100000000000003,16,0.222,2,"December 5, 2018",59.3,16,11.8,4,77.9,79.5,31,0.593,54,0.5,27,0.16699999999999998,9,0.778,7,3,200,104.4,19.2,5,17,71,,5.9,4,0.426,23,0.435,10,55.4,36,0.609,20.6,15,31,0.5479999999999999,17,0.667,6,"Ted Constant Convocation Ctr., Norfolk, Virginia",WILLIAM-MARY,William & Mary,67.7,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,8,True,False,True,Home,True,10,17,54,36,65,5,16,60,1,0,64,117,467,0.45610278372591007,294,545,0.5394495412844037,53,99,424,0.4209905660377358,0.625
9,2018-12-09-13-old-dominion,68.2,15,9.8,4,114.5,77.4,24,0.45899999999999996,61,0.361,22,0.24600000000000002,15,0.867,13,8,200,100.0,25.6,10,24,69,,5.8,4,0.557,34,0.353,12,48.6,34,0.506,11.7,9,27,0.37,10,0.2,2,"December 9, 2018",65.4,17,11.1,3,100.0,74.4,29,0.518,56,0.46399999999999997,26,0.536,30,0.7,21,3,200,114.5,22.6,7,15,79,,4.3,3,0.268,15,0.4,6,51.4,36,0.562,9.2,7,41,0.488,20,0.7,7,"Ted Constant Convocation Ctr., Norfolk, Virginia",FAIRFIELD,Fairfield,68.7,Home,OLD-DOMINION,Old Dominion,Old Dominion,cusa,9,True,False,True,Home,True,6,20,56,36,70,12,10,61,1,0,74,134,521,0.47024952015355087,330,610,0.5409836065573771,58,115,484,0.41735537190082644,0.6666666666666666
