,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MISSISSIPPI_homegame,MISSISSIPPI_homegame2,MISSISSIPPI_home,MISSISSIPPI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-10-16-mississippi,75.0,15,0.0,0,121.6,60.0,15,0.48,49,0.408,20,0.429,21,0.81,17,1,200,86.5,27.3,6,18,64,,5.4,4,0.38799999999999996,19,0.368,7,44.7,21,0.5429999999999999,29.2,24,30,0.433,13,0.5,1,"November 10, 2018",42.4,14,16.7,5,86.5,72.7,16,0.623,61,0.541,33,0.295,18,0.778,14,0,200,121.6,40.0,10,20,90,,20.3,15,0.361,22,0.455,10,55.3,26,0.647,13.8,11,39,0.59,23,1.0,1,"The Pavilion at Ole Miss, Oxford, Mississippi",WESTERN-MICHIGAN,Western Michigan,73.8,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,0,True,False,True,Home,True,10,23,61,26,47,7,13,49,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-16-20-butler,53.8,14,9.7,3,118.6,69.2,18,0.563,56,0.46399999999999997,26,0.375,21,0.619,13,1,200,108.6,33.3,9,25,76,,5.7,4,0.46399999999999997,26,0.423,11,50.9,27,0.5760000000000001,18.7,15,30,0.5,15,0.5,1,"November 16, 2018",48.0,12,10.0,3,108.6,66.7,18,0.556,54,0.46299999999999997,25,0.5,27,0.852,23,0,200,118.6,30.8,8,18,83,,5.7,4,0.426,23,0.435,10,49.1,26,0.621,12.0,9,31,0.484,15,1.0,3,"Hinkle Fieldhouse, Indianapolis, Indiana",MISSISSIPPI,Ole Miss,69.9,Home,BUTLER,Butler,Mississippi,sec,1,False,False,False,Away,False,11,15,56,27,53,10,15,54,0,1,10,23,61,0.6229508196721312,26,47,0.5531914893617021,7,13,49,0.47959183673469385,1.0
2,2018-11-20-19-mississippi,50.0,11,8.1,3,100.0,70.8,17,0.392,65,0.33799999999999997,22,0.092,6,0.667,4,4,200,73.3,13.2,5,20,55,,12.0,9,0.369,24,0.292,7,35.5,22,0.405,17.1,14,41,0.366,15,0.33299999999999996,2,"November 20, 2018",80.8,21,14.6,6,73.3,86.8,33,0.537,54,0.48100000000000004,26,0.426,23,0.7390000000000001,17,1,200,100.0,29.2,7,8,75,,5.3,4,0.315,17,0.353,6,64.5,40,0.578,19.0,15,37,0.541,20,0.667,2,"The Pavilion at Ole Miss, Oxford, Mississippi",NICHOLLS-STATE,Nicholls State,74.9,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,2,True,False,True,Home,True,6,20,54,40,62,7,15,65,1,0,21,38,117,0.594017094017094,53,100,0.53,17,28,103,0.5194174757281553,0.5
3,2018-11-23-21-mississippi,44.0,11,8.3,3,101.3,67.9,19,0.48100000000000004,54,0.46299999999999997,25,0.40700000000000003,22,0.818,18,2,200,90.9,20.0,6,27,70,,9.1,7,0.33299999999999996,18,0.111,2,43.1,25,0.5429999999999999,22.0,18,36,0.639,23,0.6,3,"November 23, 2018",63.6,14,11.1,4,90.9,80.0,24,0.43799999999999994,56,0.39299999999999996,22,0.643,36,0.8059999999999999,29,1,200,101.3,32.1,9,21,78,,10.4,8,0.35700000000000004,20,0.25,5,56.9,33,0.534,15.3,13,36,0.47200000000000003,17,0.75,3,"The Arena, Niceville, Florida",BAYLOR,Baylor,76.8,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,3,True,False,True,Home,True,5,17,56,33,58,2,23,54,1,0,27,58,171,0.5760233918128655,93,162,0.5740740740740741,24,43,168,0.47023809523809523,0.6666666666666666
4,2018-11-24-19-mississippi,45.0,9,20.0,6,87.7,78.6,22,0.46,50,0.4,20,0.7,35,0.7140000000000001,25,1,200,109.2,30.8,8,17,71,,6.2,4,0.28,14,0.429,6,55.6,30,0.5329999999999999,9.7,7,36,0.389,14,0.833,5,"November 24, 2018",15.8,3,16.7,6,109.2,69.2,18,0.402,51,0.373,19,0.33299999999999996,17,0.941,16,2,200,87.7,21.4,6,26,57,,4.6,3,0.41200000000000003,21,0.14300000000000002,3,44.4,24,0.48200000000000004,15.8,11,30,0.5329999999999999,16,0.6,3,"The Arena, Niceville, Florida",MISSISSIPPI,Ole Miss,64.9,Away,CINCINNATI,Cincinnati,Mississippi,sec,4,False,True,True,Home,False,3,16,51,24,54,6,14,50,0,1,32,75,227,0.5418502202643172,126,220,0.5727272727272728,26,66,222,0.47297297297297297,0.75
5,2018-11-28-19-mississippi,67.7,21,0.0,0,124.0,69.6,16,0.555,64,0.484,31,0.281,18,0.833,15,2,200,114.7,21.9,7,21,86,,8.0,6,0.359,23,0.391,9,41.8,23,0.593,15.3,13,41,0.537,22,0.7140000000000001,5,"November 28, 2018",60.6,20,9.8,4,114.7,78.1,25,0.6759999999999999,54,0.611,33,0.426,23,0.87,20,2,200,124.0,30.4,7,19,93,,9.3,7,0.29600000000000004,16,0.43799999999999994,7,58.2,32,0.716,17.9,14,38,0.684,26,0.667,4,"The Pavilion at Ole Miss, Oxford, Mississippi",SAN-DIEGO,San Diego,75.2,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,5,True,False,True,Home,True,7,26,54,32,55,9,22,64,1,0,35,91,278,0.5161870503597122,150,274,0.5474452554744526,32,80,272,0.47058823529411764,0.6
6,2018-12-01-14-mississippi,70.0,14,0.0,0,123.9,60.7,17,0.452,52,0.385,20,0.365,19,0.684,13,4,200,89.6,15.6,5,11,60,,6.0,4,0.40399999999999997,21,0.33299999999999996,7,36.7,22,0.49200000000000005,15.4,11,31,0.419,13,0.429,3,"December 1, 2018",75.8,25,9.7,3,89.6,84.4,27,0.611,63,0.524,33,0.127,8,0.75,6,2,200,123.9,39.3,11,19,83,,10.4,7,0.46,29,0.379,11,63.3,38,0.621,14.2,11,34,0.647,22,0.7140000000000001,5,"The Pavilion at Ole Miss, Oxford, Mississippi",LOUISIANA-MONROE,Louisiana-Monroe,66.9,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,6,True,False,True,Home,True,11,22,63,38,60,7,13,52,1,0,42,117,332,0.5421686746987951,182,329,0.5531914893617021,41,102,336,0.48660714285714285,0.6666666666666666
7,2018-12-08-20-illinois-state,53.3,16,5.3,2,102.8,75.0,30,0.588,57,0.526,30,0.263,15,0.9329999999999999,14,2,200,112.5,34.6,9,18,81,,9.7,7,0.33299999999999996,19,0.368,7,59.1,39,0.632,20.1,16,38,0.605,23,0.75,6,"December 8, 2018",57.7,15,7.9,3,112.5,65.4,17,0.49200000000000005,63,0.413,26,0.302,19,0.632,12,5,200,102.8,25.0,10,15,74,,9.7,7,0.397,25,0.4,10,40.9,27,0.514,12.3,10,38,0.42100000000000004,16,0.545,6,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,71.6,Away,MISSISSIPPI,Ole Miss,Mississippi,sec,7,False,False,False,Away,True,7,23,57,39,66,10,16,63,1,0,53,139,395,0.5531645569620253,220,389,0.5655526992287918,48,115,388,0.48195876288659795,0.7142857142857143
8,2018-12-12-19-mississippi,78.9,15,2.5,1,115.0,64.0,16,0.392,51,0.373,19,0.196,10,0.7,7,5,200,78.3,19.2,5,11,47,,3.3,2,0.33299999999999996,17,0.11800000000000001,2,41.2,21,0.42200000000000004,16.6,11,34,0.5,17,0.444,4,"December 12, 2018",57.1,16,8.8,3,78.3,80.8,21,0.585,53,0.528,28,0.226,12,0.583,7,2,200,115.0,36.0,9,15,69,,8.3,5,0.245,13,0.462,6,58.8,30,0.588,13.4,9,40,0.55,22,0.778,7,"Mississippi Coliseum, Jackson, Mississippi",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,60.2,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,8,True,False,True,Home,True,6,22,53,30,51,2,17,51,1,0,60,162,452,0.5575221238938053,259,455,0.5692307692307692,58,131,451,0.48337028824833705,0.75
9,2018-12-16-18-mississippi,70.4,19,8.3,3,118.4,78.9,15,0.56,58,0.466,27,0.172,10,0.5,5,7,200,92.1,21.4,6,22,70,,1.3,1,0.36200000000000004,21,0.524,11,44.7,21,0.5579999999999999,26.1,22,37,0.43200000000000005,16,0.41700000000000004,5,"December 16, 2018",62.5,20,16.2,6,92.1,78.6,22,0.7020000000000001,52,0.615,32,0.48100000000000004,25,0.68,17,2,200,118.4,21.1,4,16,90,,14.5,11,0.308,16,0.563,9,55.3,26,0.705,18.2,14,36,0.639,23,0.8,8,"The Pavilion at Ole Miss, Oxford, Mississippi",CHATTANOOGA,Chattanooga,76.3,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,9,True,False,True,Home,True,9,23,52,26,47,11,16,58,1,0,66,184,505,0.5603960396039604,289,506,0.5711462450592886,60,148,502,0.47410358565737054,0.7777777777777778
10,2018-12-21-20-middle-tennessee,44.8,13,9.5,4,78.9,74.3,26,0.569,58,0.5,29,0.24100000000000002,14,0.5710000000000001,8,2,200,104.2,37.9,11,16,74,,12.7,9,0.379,22,0.364,8,57.8,37,0.5720000000000001,20.0,16,36,0.583,21,0.818,9,"December 21, 2018",36.8,7,5.6,2,104.2,62.1,18,0.384,56,0.33899999999999997,19,0.33899999999999997,19,0.684,13,9,200,78.9,25.7,9,15,56,,11.3,8,0.25,14,0.35700000000000004,5,42.2,27,0.431,20.9,17,42,0.33299999999999996,14,0.25,3,"Bridgestone Arena, Nashville, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,71.3,Away,MISSISSIPPI,Ole Miss,Mississippi,sec,10,False,False,False,Away,True,8,21,58,37,64,5,14,56,1,0,75,207,557,0.573608617594255,315,553,0.569620253164557,71,164,560,0.4830357142857143,0.8
11,2018-12-29-14-mississippi,61.9,13,14.3,5,127.9,57.7,15,0.462,52,0.40399999999999997,21,0.231,12,0.75,9,10,200,83.8,28.1,9,17,57,,2.9,2,0.308,16,0.375,6,41.4,24,0.494,24.9,19,36,0.41700000000000004,15,0.33299999999999996,5,"December 29, 2018",71.0,22,13.9,5,83.8,71.9,23,0.617,60,0.517,31,0.3,18,0.722,13,2,200,127.9,42.3,11,13,87,,16.2,11,0.41700000000000004,25,0.48,12,58.6,34,0.635,12.8,10,35,0.5429999999999999,19,0.833,10,"The Pavilion at Ole Miss, Oxford, Mississippi",FLORIDA-GULF-COAST,Florida Gulf Coast,67.6,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,11,True,False,True,Home,True,12,19,60,34,58,6,15,52,1,0,83,228,615,0.573170731707317,352,617,0.5705024311183144,76,178,616,0.474025974025974,0.8181818181818182
12,2019-01-05-20-vanderbilt,53.6,15,15.0,6,98.6,73.7,28,0.544,57,0.491,28,0.386,22,0.8640000000000001,19,2,200,112.5,25.0,7,21,81,,8.3,6,0.316,18,0.33299999999999996,6,53.0,35,0.6,15.3,12,39,0.564,22,0.846,11,"January 5, 2019",54.2,13,12.8,5,112.5,75.0,21,0.45,60,0.4,24,0.483,29,0.586,17,4,200,98.6,26.3,10,16,71,,9.7,7,0.33299999999999996,20,0.3,6,47.0,31,0.48100000000000004,9.9,8,40,0.45,18,0.6920000000000001,9,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,72.1,Away,MISSISSIPPI,Ole Miss,Mississippi,sec,12,False,False,False,Away,True,6,22,57,35,66,6,18,60,1,0,95,247,675,0.577037037037037,386,675,0.5718518518518518,82,193,668,0.47305389221556887,0.8333333333333334
13,2019-01-09-19-mississippi,50.0,11,17.6,6,103.8,72.4,21,0.433,67,0.32799999999999996,22,0.254,17,0.529,9,3,200,84.8,27.5,11,23,67,11.0,7.6,6,0.5820000000000001,39,0.359,14,46.4,32,0.446,16.8,15,28,0.28600000000000003,8,0.7859999999999999,11,"January 9, 2019",54.2,13,7.1,2,84.8,72.5,29,0.519,53,0.45299999999999996,24,0.698,37,0.73,27,2,200,103.8,27.6,8,15,82,,13.9,11,0.358,19,0.368,7,53.6,37,0.581,19.7,17,34,0.5,17,0.857,12,"The Pavilion at Ole Miss, Oxford, Mississippi",AUBURN,Auburn,79.3,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,13,True,False,True,Home,True,7,17,53,37,69,14,8,67,1,0,101,269,732,0.5744535519125683,421,741,0.5681511470985156,88,211,728,0.47115384615384615,0.8461538461538461
14,2019-01-12-13-mississippi-state,55.6,15,7.0,3,104.1,65.6,21,0.569,58,0.466,27,0.345,20,0.75,15,2,200,109.5,20.0,6,17,81,,4.1,3,0.534,31,0.387,12,43.5,27,0.6,13.0,10,27,0.556,15,0.867,13,"January 12, 2019",36.7,11,14.8,4,109.5,80.0,24,0.516,64,0.469,30,0.25,16,0.688,11,3,200,104.1,34.4,11,17,77,14.0,10.8,8,0.32799999999999996,21,0.28600000000000003,6,56.5,35,0.5379999999999999,17.4,15,43,0.5579999999999999,24,0.8,12,"Humphrey Coliseum, Starkville, Mississippi",MISSISSIPPI-STATE,Mississippi State,73.6,Away,MISSISSIPPI,Ole Miss,Mississippi,sec,14,False,False,False,Away,True,12,15,58,27,62,6,24,64,1,0,108,286,785,0.5707006369426751,458,810,0.5654320987654321,102,219,795,0.4679245283018868,0.8571428571428571
15,2019-01-15-21-mississippi,63.0,17,19.4,7,89.6,77.1,27,0.5529999999999999,57,0.474,27,0.526,30,0.667,20,3,200,107.8,29.4,10,20,83,,13.0,10,0.33299999999999996,19,0.474,9,53.6,37,0.5820000000000001,15.6,13,38,0.474,18,0.812,13,"January 15, 2019",53.8,14,7.9,3,107.8,70.6,24,0.469,64,0.406,26,0.266,17,0.529,9,3,200,89.6,22.9,8,23,69,18.0,10.4,8,0.43799999999999994,28,0.28600000000000003,8,46.4,32,0.479,18.3,16,36,0.5,18,0.812,13,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,77.2,Away,LOUISIANA-STATE,LSU,Mississippi,sec,15,False,True,True,Home,False,8,18,64,32,69,9,18,57,0,1,120,301,843,0.5705812574139977,485,872,0.5561926605504587,108,243,859,0.47147846332945287,0.8666666666666667
16,2019-01-19-13-mississippi,63.6,14,7.1,3,113.5,65.6,21,0.455,55,0.4,22,0.382,21,0.81,17,7,200,90.5,25.0,9,15,67,,8.1,6,0.418,23,0.261,6,44.1,30,0.516,20.9,17,32,0.5,16,0.588,10,"January 19, 2019",61.3,19,9.4,3,90.5,75.0,27,0.539,64,0.484,31,0.266,17,0.882,15,3,200,113.5,34.4,11,18,84,18.0,17.6,13,0.344,22,0.318,7,55.9,38,0.583,15.4,13,42,0.5710000000000001,24,0.8240000000000001,14,"The Pavilion at Ole Miss, Oxford, Mississippi",ARKANSAS,Arkansas,73.5,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,16,True,False,True,Home,True,7,24,64,38,68,6,16,55,1,0,128,319,907,0.5633958103638368,517,941,0.5494155154091392,117,261,916,0.47652838427947597,0.8125
17,2019-01-22-21-alabama,30.0,6,9.3,4,110.4,55.3,21,0.46,50,0.4,20,0.28,14,0.5,7,4,200,79.1,25.0,7,20,53,20.0,1.5,1,0.4,20,0.3,6,42.4,28,0.46799999999999997,22.2,16,30,0.467,14,0.778,14,"January 22, 2019",32.0,8,30.0,9,79.1,75.0,21,0.43799999999999994,65,0.385,25,0.33799999999999997,22,0.773,17,6,200,110.4,44.7,17,16,74,,13.4,9,0.33799999999999997,22,0.318,7,57.6,38,0.49,10.8,9,43,0.419,18,0.667,12,"Coleman Coliseum , Tuscaloosa, Alabama",MISSISSIPPI,Ole Miss,66.6,Home,ALABAMA,Alabama,Mississippi,sec,17,False,False,False,Away,False,6,14,50,28,66,7,18,65,0,1,135,343,971,0.5617919670442842,555,1009,0.5500495540138751,123,277,971,0.4752832131822863,0.8235294117647058
18,2019-01-26-12-mississippi,68.4,26,6.7,3,101.4,68.3,28,0.764,55,0.691,38,0.073,4,0.75,3,5,200,120.8,18.8,3,14,87,24.0,1.4,1,0.273,15,0.5329999999999999,8,54.4,31,0.764,25.1,19,40,0.75,30,0.75,15,"January 26, 2019",40.0,10,0.0,0,120.8,81.3,13,0.42,69,0.36200000000000004,25,0.24600000000000002,17,0.882,15,5,200,101.4,31.7,13,11,73,20.0,11.1,8,0.348,24,0.33299999999999996,8,45.6,26,0.474,9.5,8,45,0.37799999999999995,17,0.737,14,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,72.5,Away,IOWA-STATE,Iowa State,Mississippi,sec,18,False,True,True,Home,False,8,17,69,26,57,8,30,55,0,1,141,357,1021,0.5568070519098922,583,1075,0.5423255813953488,130,295,1036,0.47297297297297297,0.7777777777777778
19,2019-01-30-18-florida,34.5,10,2.7,1,115.4,75.0,24,0.508,63,0.46,29,0.413,26,0.846,22,6,225,110.3,40.6,13,23,86,,9.0,7,0.365,23,0.261,6,57.8,37,0.5710000000000001,17.7,16,40,0.575,23,0.7,14,"January 30, 2019",58.1,18,2.5,1,110.3,59.4,19,0.579,63,0.49200000000000005,31,0.349,22,0.773,17,8,225,115.4,25.0,8,20,90,,7.7,6,0.413,26,0.423,11,42.2,27,0.613,15.2,13,37,0.541,20,0.6,12,"Stephen C. O'Connell Center, Gainesville, Florida",MISSISSIPPI,Ole Miss,69.7,Home,FLORIDA,Florida,Mississippi,sec,19,False,False,False,Away,False,6,23,63,37,64,11,20,63,0,1,149,374,1090,0.5481651376146789,609,1132,0.5379858657243817,138,325,1091,0.48762603116406966,0.7368421052631579
