,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAVANNAH-STATE_homegame,SAVANNAH-STATE_homegame2,SAVANNAH-STATE_home,SAVANNAH-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-11-20-south-dakota-state,48.1,13,7.5,4,151.1,72.2,26,0.418,79,0.342,27,0.139,11,0.545,6,8,200,78.3,13.5,7,14,72,,5.4,5,0.6579999999999999,52,0.231,12,37.5,33,0.42700000000000005,15.2,15,27,0.556,15,0.273,3,"December 11, 2018",60.4,32,14.8,4,78.3,86.5,45,0.741,87,0.609,53,0.184,16,0.625,10,3,200,151.1,27.8,10,10,139,,7.6,7,0.391,34,0.6759999999999999,23,62.5,55,0.735,7.8,8,53,0.5660000000000001,30,0.75,9,"Frost Arena, Brookings, South Dakota",SAVANNAH-STATE,Savannah State,92.4,Home,SOUTH-DAKOTA-STATE,South Dakota State,Savannah State,meac,10,False,False,False,Away,False,12,15,79,33,88,23,30,87,0,1,130,147,759,0.4505928853754941,370,815,0.4539877300613497,108,250,728,0.5659340659340659,0.3
11,2018-12-13-20-wisconsin,66.7,16,6.3,2,144.3,56.7,17,0.49200000000000005,60,0.4,24,0.033,2,0.5,1,9,200,85.7,9.1,3,15,60,,7.1,5,0.65,39,0.282,11,31.7,20,0.49200000000000005,17.6,13,21,0.619,13,0.25,3,"December 13, 2018",75.7,28,9.5,2,85.7,90.9,30,0.682,66,0.561,37,0.212,14,0.7859999999999999,11,2,200,144.3,43.3,13,5,101,16.0,14.3,10,0.515,34,0.47100000000000003,16,68.3,43,0.695,12.2,10,32,0.6559999999999999,21,0.818,9,"Kohl Center, Madison, Wisconsin",SAVANNAH-STATE,Savannah State,70.3,Home,WISCONSIN,Wisconsin,Savannah State,meac,11,False,False,False,Away,False,11,13,60,20,63,16,21,66,0,1,142,162,838,0.44749403341288785,403,903,0.44629014396456257,131,280,815,0.5846625766871165,0.2727272727272727
12,2018-12-20-19-tennessee-tech,51.5,17,11.5,6,121.3,65.9,27,0.5770000000000001,65,0.508,33,0.12300000000000001,8,0.625,5,10,200,106.7,32.3,10,23,80,,5.3,4,0.415,27,0.33299999999999996,9,51.4,37,0.581,18.9,16,38,0.632,24,0.231,3,"December 20, 2018",53.3,16,5.3,2,106.7,67.7,21,0.486,69,0.435,30,0.493,34,0.706,24,8,200,121.3,34.1,14,10,91,,12.0,9,0.24600000000000002,17,0.41200000000000003,7,48.6,35,0.534,5.6,5,52,0.442,23,0.33299999999999996,4,"Eblen Center, Cookeville, Tennessee",SAVANNAH-STATE,Savannah State,75.5,Home,TENNESSEE-TECH,Tennessee Tech,Savannah State,meac,12,False,False,False,Away,False,9,24,65,37,72,7,23,69,0,1,153,175,898,0.45044543429844097,423,966,0.43788819875776397,147,301,881,0.5919409761634506,0.25
13,2018-12-22-13-iowa,64.0,16,3.6,1,141.0,75.8,25,0.434,68,0.368,25,0.132,9,0.556,5,11,200,82.1,22.7,10,17,64,,3.8,3,0.485,33,0.273,9,45.5,35,0.44299999999999995,18.2,16,35,0.457,16,0.214,3,"December 22, 2018",76.9,30,5.7,2,82.1,77.3,34,0.693,70,0.557,39,0.314,22,0.591,13,2,200,141.0,24.2,8,10,110,23.0,10.3,8,0.6,42,0.452,19,54.5,42,0.684,7.0,6,28,0.7140000000000001,20,0.833,10,"Carver-Hawkeye Arena, Iowa City, Iowa",SAVANNAH-STATE,Savannah State,78.4,Home,IOWA,Iowa,Savannah State,meac,13,False,False,False,Away,False,9,16,68,35,77,19,20,70,0,1,162,199,963,0.45898234683281414,460,1038,0.44315992292870904,154,324,950,0.5842105263157895,0.23076923076923078
14,2019-01-05-16-coppin-state,50.0,11,12.9,4,91.3,82.9,29,0.35600000000000004,73,0.301,22,0.342,25,0.6,15,12,200,83.8,26.9,14,22,67,,8.8,7,0.6579999999999999,48,0.16699999999999998,8,49.4,43,0.395,10.6,10,25,0.56,14,0.2,3,"January 5, 2019",43.5,10,16.0,4,83.8,73.1,38,0.48200000000000004,55,0.418,23,0.473,26,0.769,20,15,200,91.3,17.1,6,18,73,,6.3,5,0.436,24,0.292,7,50.6,44,0.542,20.4,17,31,0.516,16,0.062,1,"Physical Education Complex, Baltimore, Maryland",SAVANNAH-STATE,Savannah State,79.6,Home,COPPIN-STATE,Coppin State,Savannah State,meac,14,False,False,False,Away,False,8,14,73,43,87,7,16,55,0,1,171,215,1031,0.4573229873908826,495,1115,0.4439461883408072,173,344,1020,0.5916666666666667,0.21428571428571427
15,2019-01-07-19-morgan-state,60.6,20,6.0,3,102.4,59.0,23,0.568,66,0.5,33,0.28800000000000003,19,0.684,13,12,225,103.5,35.5,11,19,88,,10.6,9,0.485,32,0.281,9,48.6,34,0.586,22.0,21,34,0.706,24,0.25,4,"January 7, 2019",67.7,21,0.0,0,103.5,64.5,20,0.493,73,0.425,31,0.315,23,0.652,15,9,225,102.4,41.0,16,19,87,,7.1,6,0.315,23,0.435,10,51.4,36,0.518,17.0,17,50,0.42,21,0.4,6,"Hill Field House, Baltimore, Maryland",MORGAN-STATE,Morgan State,75.5,Away,SAVANNAH-STATE,Savannah State,Savannah State,meac,15,False,False,False,Away,True,9,24,66,34,70,10,21,73,1,0,179,229,1104,0.45063405797101447,538,1202,0.4475873544093178,180,360,1075,0.586046511627907,0.2
16,2019-01-12-16-florida-am,33.3,7,2.6,1,95.8,64.5,20,0.44,58,0.36200000000000004,21,0.379,22,0.591,13,13,200,88.9,27.0,10,18,64,,11.1,8,0.586,34,0.265,9,44.1,30,0.467,17.1,14,24,0.5,12,0.235,4,"January 12, 2019",56.0,14,0.0,0,88.9,73.0,27,0.5,56,0.446,25,0.375,21,0.619,13,13,200,95.8,35.5,11,19,69,,5.6,4,0.304,17,0.353,6,55.9,38,0.523,19.7,16,39,0.48700000000000004,19,0.278,5,"Al Lawson Center, Tallahassee, Florida",SAVANNAH-STATE,Savannah State,71.7,Home,FLORIDA-AM,Florida A&M,Savannah State,meac,16,False,False,False,Away,False,9,12,58,30,68,6,19,56,0,1,188,253,1170,0.45726495726495725,572,1272,0.449685534591195,190,381,1148,0.5801393728222997,0.25
17,2019-01-19-18-savannah-state,53.6,15,8.3,2,90.5,83.3,30,0.542,60,0.467,28,0.4,24,0.708,17,10,200,97.6,35.3,12,13,82,,6.0,5,0.433,26,0.34600000000000003,9,60.0,42,0.574,27.7,27,34,0.5589999999999999,19,0.5,10,"January 19, 2019",57.7,15,11.8,4,97.6,64.7,22,0.516,64,0.406,26,0.21899999999999997,14,0.7140000000000001,10,14,200,90.5,16.7,6,19,76,,11.9,10,0.625,40,0.35,14,40.0,28,0.5379999999999999,18.6,16,24,0.5,12,0.222,4,"Tiger Arena, Savannah, Georgia",SAVANNAH-STATE,Savannah State,83.5,Away,NORFOLK-STATE,Norfolk State,Savannah State,meac,17,False,True,True,Home,False,14,12,64,28,70,9,19,60,0,1,197,265,1228,0.4564332247557003,602,1340,0.44925373134328356,196,400,1204,0.5764119601328903,0.23529411764705882
18,2019-01-26-18-savannah-state,67.9,19,3.1,1,121.1,76.0,19,0.47,66,0.424,28,0.47,31,0.8390000000000001,26,18,200,115.8,36.8,14,19,88,,7.9,6,0.28800000000000003,19,0.316,6,52.4,33,0.545,11.2,10,47,0.46799999999999997,22,0.182,4,"January 26, 2019",50.0,16,10.6,5,115.8,63.2,24,0.625,60,0.5329999999999999,32,0.35,21,0.81,17,14,200,121.1,24.0,6,22,92,,10.5,8,0.467,28,0.39299999999999996,11,47.6,30,0.657,14.8,12,32,0.6559999999999999,21,0.263,5,"Tiger Arena, Savannah, Georgia",SOUTH-CAROLINA-STATE,South Carolina State,76.4,Home,SAVANNAH-STATE,Savannah State,Savannah State,meac,18,True,False,True,Home,True,11,21,60,30,63,6,22,66,1,0,211,277,1292,0.45936532507739936,630,1410,0.44680851063829785,205,419,1264,0.5747626582278481,0.2222222222222222
19,2019-01-28-19-savannah-state,63.3,19,18.5,5,102.6,88.9,32,0.579,57,0.526,30,0.456,26,0.615,16,11,200,107.9,34.6,9,13,82,,6.6,5,0.281,16,0.375,6,66.1,41,0.591,19.9,17,41,0.585,24,0.47600000000000003,10,"January 28, 2019",53.6,15,12.2,5,107.9,65.4,17,0.532,62,0.452,28,0.258,16,0.75,12,15,200,102.6,11.1,4,21,78,,15.8,12,0.565,35,0.28600000000000003,10,33.9,21,0.56,11.5,9,27,0.667,18,0.25,5,"Tiger Arena, Savannah, Georgia",SAVANNAH-STATE,Savannah State,76.0,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,Savannah State,meac,19,False,True,True,Home,False,10,18,62,21,62,6,24,57,0,1,222,298,1352,0.46671597633136097,660,1473,0.4480651731160896,211,441,1330,0.5695488721804511,0.2631578947368421
20,2019-02-02-16-delaware-state,59.1,13,7.0,3,104.3,52.5,21,0.473,56,0.39299999999999996,22,0.536,30,0.767,23,15,200,108.6,33.3,10,20,76,,14.3,10,0.589,33,0.273,9,44.3,31,0.541,10.4,8,23,0.565,13,0.28600000000000003,6,"February 2, 2019",32.0,8,0.0,0,108.6,66.7,20,0.425,67,0.373,25,0.313,21,0.762,16,18,200,104.3,47.5,19,21,73,,7.1,5,0.358,24,0.292,7,55.7,39,0.474,15.5,14,43,0.419,18,0.14300000000000002,3,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,70.1,Away,SAVANNAH-STATE,Savannah State,Savannah State,meac,20,False,False,False,Away,True,9,13,56,31,70,7,18,67,1,0,232,316,1414,0.4695898161244696,681,1535,0.4436482084690554,217,465,1387,0.5699351117519827,0.25
21,2019-02-04-19-maryland-eastern-shore,52.2,12,7.9,3,88.7,78.8,26,0.483,58,0.397,23,0.259,15,0.8,12,15,200,95.8,35.5,11,16,68,,12.7,9,0.552,32,0.313,10,57.8,37,0.522,19.9,16,26,0.5,13,0.318,7,"February 4, 2019",56.5,13,15.4,4,95.8,64.5,20,0.47200000000000003,54,0.426,23,0.315,17,0.706,12,21,200,88.7,21.2,7,18,63,,11.3,8,0.29600000000000004,16,0.313,5,42.2,27,0.507,21.7,17,38,0.474,18,0.16,4,"Hytche Athletic Center, Princess Anne, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,71.1,Away,SAVANNAH-STATE,Savannah State,Savannah State,meac,21,False,False,False,Away,True,10,13,58,37,64,5,18,54,1,0,241,329,1470,0.4697278911564626,712,1605,0.44361370716510906,224,483,1454,0.563273727647868,0.2857142857142857
22,2019-02-09-18-savannah-state,76.5,13,0.0,0,97.3,71.8,28,0.46799999999999997,47,0.36200000000000004,17,0.46799999999999997,22,0.818,18,20,200,84.9,3.2,1,17,62,,11.0,8,0.66,31,0.32299999999999995,10,41.4,29,0.54,22.0,16,16,0.43799999999999994,7,0.2,5,"February 9, 2019",77.3,17,0.0,0,84.9,96.8,30,0.484,62,0.355,22,0.306,19,0.579,11,15,200,97.3,28.2,11,19,71,,11.0,8,0.774,48,0.33299999999999996,16,58.6,41,0.5,16.6,14,14,0.429,6,0.348,8,"Tiger Arena, Savannah, Georgia",COPPIN-STATE,Coppin State,73.2,Home,SAVANNAH-STATE,Savannah State,Savannah State,meac,22,True,False,True,Home,True,16,6,62,41,70,10,7,47,1,0,251,342,1528,0.47022251308900526,749,1669,0.4487717195925704,229,501,1508,0.5600132625994695,0.3181818181818182
23,2019-02-11-19-savannah-state,53.6,15,4.3,1,108.6,80.8,21,0.41600000000000004,77,0.364,28,0.364,28,0.75,21,16,200,104.9,40.0,16,18,85,,11.1,9,0.28600000000000003,22,0.364,8,56.1,37,0.47100000000000003,11.0,11,55,0.364,20,0.33299999999999996,8,"February 11, 2019",71.9,23,18.2,10,104.9,60.0,24,0.684,57,0.561,32,0.298,17,0.588,10,15,200,108.6,19.2,5,21,88,,6.2,5,0.596,34,0.41200000000000003,14,43.9,29,0.6759999999999999,19.9,16,23,0.7829999999999999,18,0.375,9,"Tiger Arena, Savannah, Georgia",MORGAN-STATE,Morgan State,80.7,Home,SAVANNAH-STATE,Savannah State,Savannah State,meac,23,True,False,True,Home,True,14,18,57,29,66,8,20,77,1,0,267,348,1590,0.4707547169811321,790,1739,0.4542840713053479,239,508,1555,0.5572347266881029,0.34782608695652173
24,2019-02-16-18-savannah-state,64.3,18,6.5,2,105.7,63.3,19,0.58,56,0.5,28,0.304,17,0.765,13,16,200,111.4,42.9,12,15,78,,15.7,11,0.35700000000000004,20,0.45,9,53.4,31,0.609,21.1,17,36,0.528,19,0.40700000000000003,11,"February 16, 2019",38.5,10,8.3,3,111.4,57.1,16,0.508,59,0.441,26,0.305,18,0.778,14,16,200,105.7,36.7,11,17,74,,18.6,13,0.475,28,0.28600000000000003,8,46.6,27,0.5479999999999999,17.3,14,31,0.581,18,0.36,9,"Tiger Arena, Savannah, Georgia",SAVANNAH-STATE,Savannah State,69.8,Away,FLORIDA-AM,Florida A&M,Savannah State,meac,24,False,True,True,Home,False,8,18,59,27,58,9,19,56,0,1,281,366,1647,0.4781420765027322,819,1805,0.45373961218836567,247,528,1632,0.5505514705882353,0.375
25,2019-02-18-19-savannah-state,46.2,12,13.8,4,98.8,74.2,23,0.396,72,0.361,26,0.319,23,0.565,13,15,200,87.5,30.0,12,18,70,,8.8,7,0.34700000000000003,25,0.2,5,49.3,35,0.42200000000000004,12.7,12,47,0.447,21,0.444,12,"February 18, 2019",63.0,17,8.5,4,87.5,70.0,28,0.542,59,0.45799999999999996,27,0.373,22,0.682,15,16,200,98.8,25.8,8,18,79,,6.3,5,0.508,30,0.33299999999999996,10,50.7,36,0.569,17.9,15,29,0.586,17,0.385,10,"Tiger Arena, Savannah, Georgia",BETHUNE-COOKMAN,Bethune-Cookman,79.7,Home,SAVANNAH-STATE,Savannah State,Savannah State,meac,25,True,False,True,Home,True,10,17,59,36,71,5,21,72,1,0,289,384,1706,0.4791910902696366,846,1863,0.45410628019323673,256,547,1688,0.5515402843601895,0.36
26,2019-02-23-16-north-carolina-central,50.0,14,8.3,3,108.3,69.4,25,0.508,64,0.43799999999999994,28,0.109,7,0.5710000000000001,4,17,200,95.8,31.3,10,20,69,,8.3,6,0.516,33,0.273,9,51.5,35,0.512,15.2,12,31,0.613,19,0.37,10,"February 23, 2019",64.0,16,6.5,2,95.8,68.8,22,0.452,62,0.40299999999999997,25,0.435,27,0.815,22,14,200,108.3,30.6,11,13,78,,8.3,6,0.419,26,0.231,6,48.5,33,0.521,11.9,10,36,0.528,19,0.5,14,"McLendon-McDougald Gym, Durham, North Carolina",SAVANNAH-STATE,Savannah State,71.6,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,Savannah State,meac,26,False,False,False,Away,False,9,19,64,35,68,6,19,62,0,1,299,401,1765,0.4813031161473088,882,1934,0.4560496380558428,261,568,1760,0.5451704545454545,0.38461538461538464
