,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEW-HAMPSHIRE_homegame,NEW-HAMPSHIRE_homegame2,NEW-HAMPSHIRE_home,NEW-HAMPSHIRE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-new-hampshire,36.8,7,2.6,1,144.0,41.9,13,0.375,60,0.317,19,0.16699999999999998,10,0.9,9,0,200,72.0,11.1,4,22,54,,2.7,2,0.4,24,0.292,7,25.4,17,0.41700000000000004,18.9,15,36,0.33299999999999996,12,0.0,0,"November 6, 2018",53.7,22,13.9,5,72.0,88.9,32,0.6990000000000001,68,0.603,41,0.33799999999999997,23,0.565,13,0,200,144.0,58.1,18,14,108,,6.7,5,0.426,29,0.44799999999999995,13,74.6,50,0.684,14.3,13,39,0.718,28,1.0,1,"Lundholm Gymnasium, Durham, New Hampshire","Rivier
			","Rivier
			",74.8,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east,0,True,False,True,Home,True,13,28,68,50,67,7,12,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-massachusetts,65.4,17,0.0,0,135.1,83.3,15,0.484,64,0.406,26,0.32799999999999996,21,0.619,13,1,200,97.4,28.6,10,24,75,,2.6,2,0.375,24,0.41700000000000004,10,47.2,25,0.507,14.1,12,40,0.4,16,0.5,1,"November 9, 2018",70.6,24,10.0,4,97.4,71.4,25,0.765,51,0.667,34,0.627,32,0.813,26,0,200,135.1,16.7,3,21,104,,6.5,5,0.373,19,0.526,10,52.8,28,0.785,17.7,14,32,0.75,24,1.0,2,"Mullins Center, Amherst, Massachusetts",NEW-HAMPSHIRE,New Hampshire,76.6,Home,MASSACHUSETTS,UMass,New Hampshire,america-east,1,False,False,False,Away,False,10,16,64,25,53,10,24,51,0,1,13,28,68,0.6985294117647058,50,67,0.746268656716418,7,12,60,0.375,1.0
2,2018-11-12-13-new-hampshire,41.2,7,2.3,1,120.5,57.1,24,0.43200000000000005,44,0.386,17,0.818,36,0.639,23,0,200,73.5,3.2,1,24,61,,9.6,8,0.341,15,0.267,4,34.2,25,0.499,27.8,23,29,0.44799999999999995,13,0.0,0,"November 12, 2018",42.9,15,3.4,1,73.5,96.8,30,0.547,74,0.473,35,0.419,31,0.613,19,1,200,120.5,42.9,18,29,100,,9.6,8,0.405,30,0.36700000000000005,11,65.8,48,0.564,12.9,13,44,0.545,24,0.667,2,"Lundholm Gymnasium, Durham, New Hampshire","Mount Saint Vincent
			","Mount Saint Vincent
			",83.4,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east,2,True,False,True,Home,True,11,24,74,48,73,4,13,44,1,0,23,44,132,0.5946969696969697,75,120,0.625,17,36,111,0.5540540540540541,0.5
3,2018-11-16-19-american,47.1,8,8.3,3,101.5,87.1,27,0.336,61,0.27899999999999997,17,0.066,4,0.75,3,2,200,65.7,23.8,10,16,44,,4.5,3,0.377,23,0.304,7,50.7,37,0.35,19.3,15,38,0.263,10,0.5,2,"November 16, 2018",41.7,10,15.8,6,65.7,76.2,32,0.5,54,0.444,24,0.389,21,0.667,14,1,200,101.5,12.9,4,7,68,,9.0,6,0.33299999999999996,18,0.33299999999999996,6,49.3,36,0.531,10.0,7,36,0.5,18,0.667,2,"Bender Arena, Washington, District of Columbia",NEW-HAMPSHIRE,New Hampshire,67.4,Home,AMERICAN,American,New Hampshire,america-east,3,False,False,False,Away,False,7,10,61,37,73,6,18,54,0,1,34,68,206,0.5776699029126213,123,193,0.6373056994818653,21,49,155,0.5193548387096775,0.6666666666666666
4,2018-11-20-19-new-hampshire,39.1,9,2.6,1,85.1,82.5,33,0.509,57,0.40399999999999997,23,0.368,21,0.524,11,2,200,93.2,40.0,14,18,69,,5.4,4,0.526,30,0.4,12,62.7,47,0.515,23.2,20,27,0.40700000000000003,11,0.33299999999999996,1,"November 20, 2018",22.7,5,7.4,2,93.2,60.0,21,0.42100000000000004,63,0.349,22,0.254,16,0.625,10,3,200,85.1,17.5,7,23,63,,10.8,8,0.381,24,0.375,9,37.3,28,0.446,13.6,11,39,0.33299999999999996,13,0.4,2,"Lundholm Gymnasium, Durham, New Hampshire",NEW-HAMPSHIRE,New Hampshire,73.8,Away,QUINNIPIAC,Quinnipiac,New Hampshire,america-east,4,False,True,True,Home,False,9,13,63,28,75,12,11,57,0,1,41,78,267,0.5224719101123596,160,266,0.6015037593984962,27,67,209,0.5143540669856459,0.5
5,2018-11-24-12-connecticut,52.0,13,8.2,4,121.3,67.7,21,0.433,67,0.373,25,0.22399999999999998,15,0.5329999999999999,8,4,200,88.0,20.5,9,22,66,,5.3,4,0.44799999999999995,30,0.267,8,40.0,30,0.445,9.8,8,37,0.45899999999999996,17,0.33299999999999996,2,"November 24, 2018",41.2,14,5.4,2,88.0,79.5,35,0.5539999999999999,65,0.523,34,0.431,28,0.679,19,1,200,121.3,32.3,10,18,91,,6.7,5,0.24600000000000002,16,0.25,4,60.0,45,0.581,10.4,9,49,0.612,30,0.833,5,"XL Center, Hartford, Connecticut",NEW-HAMPSHIRE,New Hampshire,75.2,Home,CONNECTICUT,UConn,New Hampshire,america-east,5,False,False,False,Away,False,8,17,67,30,75,4,30,65,0,1,50,91,330,0.503030303030303,188,341,0.5513196480938416,39,78,266,0.5131578947368421,0.4
6,2018-11-28-19-new-hampshire,40.6,13,7.4,2,77.9,69.2,27,0.623,61,0.525,32,0.115,7,0.857,6,4,200,120.6,14.8,4,24,82,,4.4,3,0.44299999999999995,27,0.444,12,47.0,31,0.637,14.7,11,34,0.588,20,0.5,4,"November 28, 2018",35.7,5,2.9,1,120.6,85.2,23,0.344,48,0.292,14,0.667,32,0.625,20,5,200,77.9,30.8,12,12,53,,4.4,3,0.43799999999999994,21,0.23800000000000002,5,53.0,35,0.419,18.4,14,27,0.33299999999999996,9,0.28600000000000003,2,"Lundholm Gymnasium, Durham, New Hampshire",NEW-HAMPSHIRE,New Hampshire,68.3,Away,BOSTON-UNIVERSITY,Boston University,New Hampshire,america-east,6,False,True,True,Home,False,5,9,48,35,66,12,20,61,0,1,58,108,397,0.491183879093199,218,416,0.5240384615384616,43,108,331,0.5211480362537765,0.3333333333333333
7,2018-12-01-13-bryant,56.5,13,18.5,5,105.6,72.7,24,0.509,56,0.41100000000000003,23,0.214,12,0.667,8,6,200,91.5,24.2,8,19,65,,7.0,5,0.39299999999999996,22,0.5,11,48.5,32,0.527,20.7,16,34,0.353,12,0.25,2,"December 1, 2018",50.0,12,17.6,6,91.5,75.8,25,0.5,58,0.414,24,0.431,25,0.68,17,5,200,105.6,27.3,9,19,75,,12.7,9,0.534,31,0.32299999999999995,10,51.5,34,0.537,14.8,12,27,0.519,14,0.28600000000000003,2,"Chace Athletic Center , Smithfield, Rhode Island",NEW-HAMPSHIRE,New Hampshire,71.3,Home,BRYANT,Bryant,New Hampshire,america-east,7,False,False,False,Away,False,11,12,56,32,66,10,14,58,0,1,63,117,445,0.4752808988764045,253,482,0.524896265560166,55,128,392,0.5369897959183674,0.2857142857142857
8,2018-12-04-18-seton-hall,66.7,14,2.8,1,113.2,68.8,22,0.473,56,0.375,21,0.107,6,0.667,4,7,200,83.8,12.9,4,20,57,,1.5,1,0.518,29,0.379,11,41.3,26,0.484,19.3,14,27,0.37,10,0.222,2,"December 4, 2018",55.6,15,14.8,4,83.8,87.1,27,0.544,57,0.474,27,0.386,22,0.682,15,3,200,113.2,31.3,10,13,77,,8.8,6,0.368,21,0.381,8,58.7,37,0.5710000000000001,13.0,10,36,0.528,19,0.625,5,"Prudential Center, Newark, New Jersey",NEW-HAMPSHIRE,New Hampshire,68.2,Home,SETON-HALL,Seton Hall,New Hampshire,america-east,8,False,False,False,Away,False,11,10,56,26,63,8,19,57,0,1,74,129,501,0.47904191616766467,285,548,0.5200729927007299,65,142,450,0.5322222222222223,0.25
9,2018-12-09-12-niagara,52.0,13,8.8,3,102.9,85.7,30,0.44,67,0.373,25,0.134,9,0.889,8,8,200,97.1,20.0,8,15,67,,5.8,4,0.507,34,0.265,9,50.7,38,0.47,7.8,6,33,0.485,16,0.2,2,"December 9, 2018",44.4,12,9.1,3,97.1,80.0,32,0.508,60,0.45,27,0.217,13,0.769,10,4,200,102.9,14.3,5,12,71,,4.3,3,0.433,26,0.26899999999999996,7,49.3,37,0.536,9.6,7,34,0.588,20,0.5,4,"Gallagher Center, Niagara University, New York",NEW-HAMPSHIRE,New Hampshire,68.7,Home,NIAGARA,Niagara,New Hampshire,america-east,9,False,False,False,Away,False,9,16,67,38,75,7,20,60,0,1,85,139,557,0.4784560143626571,311,611,0.5090016366612111,73,161,507,0.5335305719921104,0.2222222222222222
