,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ALABAMA-STATE_homegame,ALABAMA-STATE_homegame2,ALABAMA-STATE_home,ALABAMA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-12-campbell,30.8,8,8.3,2,114.8,70.6,24,0.635,48,0.542,26,0.271,13,0.615,8,9,200,113.1,40.9,9,11,69,,3.3,2,0.521,25,0.36,9,58.9,33,0.637,22.9,16,23,0.7390000000000001,17,0.182,2,"December 22, 2018",53.6,15,4.3,1,113.1,59.1,13,0.557,61,0.45899999999999996,28,0.115,7,0.28600000000000003,2,6,200,114.8,29.4,10,12,70,,14.8,9,0.607,37,0.324,12,41.1,23,0.544,9.8,7,24,0.667,16,0.5,6,"McArthur Gymnasium, St. Petersburg, Florida",ALABAMA-STATE,Alabama State,61.3,Home,CAMPBELL,Campbell,Alabama State,swac,10,False,False,False,Away,False,9,17,48,33,56,12,16,61,0,1,74,153,578,0.45674740484429066,305,656,0.4649390243902439,89,172,566,0.5397526501766784,0.2
11,2019-01-05-18-alabama-state,38.9,7,10.5,4,100.0,65.8,25,0.366,56,0.321,18,0.33899999999999997,19,0.632,12,8,200,71.6,12.8,5,15,53,,8.1,6,0.304,17,0.294,5,39.0,30,0.408,18.9,15,39,0.33299999999999996,13,0.429,6,"January 5, 2019",48.1,13,12.8,5,71.6,87.2,34,0.516,63,0.429,27,0.254,16,0.563,9,9,200,100.0,34.2,13,18,74,,5.4,4,0.397,25,0.44,11,61.0,47,0.524,17.6,15,38,0.42100000000000004,16,0.25,3,,GRAMBLING,Grambling,73.8,Home,ALABAMA-STATE,Alabama State,Alabama State,swac,11,True,False,True,Home,True,11,16,63,47,77,5,13,56,1,0,83,170,626,0.4704472843450479,338,712,0.4747191011235955,101,188,627,0.5414673046251993,0.18181818181818182
12,2019-01-07-20-alabama-state,63.2,12,5.3,1,86.8,89.7,26,0.46,50,0.38,19,0.36,18,0.611,11,11,200,83.8,23.5,8,26,57,,5.9,4,0.44,22,0.364,8,54.0,34,0.48700000000000004,24.7,19,28,0.39299999999999996,11,0.267,4,"January 7, 2019",62.5,10,10.7,3,83.8,76.5,26,0.48700000000000004,39,0.41,16,0.846,33,0.636,21,9,200,86.8,10.3,3,18,59,,13.2,9,0.513,20,0.3,6,46.0,29,0.54,21.9,15,19,0.526,10,0.308,4,,JACKSON-STATE,Jackson State,68.1,Home,ALABAMA-STATE,Alabama State,Alabama State,swac,12,True,False,True,Home,True,6,10,39,29,63,8,11,50,1,0,94,186,689,0.4746008708272859,385,789,0.4879594423320659,106,201,683,0.527086383601757,0.25
13,2019-01-12-20-arkansas-pine-bluff,43.5,10,8.6,3,115.5,68.0,17,0.519,52,0.442,23,0.5379999999999999,28,0.607,17,10,200,100.0,20.0,7,25,71,,8.5,6,0.327,17,0.47100000000000003,8,40.0,24,0.544,15.7,12,35,0.429,15,0.28600000000000003,4,"January 12, 2019",48.1,13,8.6,3,100.0,80.0,28,0.649,47,0.574,27,0.723,34,0.618,21,10,200,115.5,32.0,8,21,82,,9.9,7,0.255,12,0.583,7,60.0,36,0.649,21.5,17,35,0.5710000000000001,20,0.33299999999999996,5,"H.O. Clemmons Arena, Pine Bluff, Arkansas",ALABAMA-STATE,Alabama State,71.2,Home,ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,Alabama State,swac,13,False,False,False,Away,False,8,15,52,24,60,7,20,47,0,1,100,196,728,0.47527472527472525,414,852,0.4859154929577465,114,212,733,0.5225102319236017,0.3076923076923077
14,2019-01-14-20-mississippi-valley-state,29.6,8,8.7,4,100.0,65.7,23,0.426,74,0.365,27,0.33799999999999997,25,0.72,18,10,225,102.5,35.0,14,23,81,,6.3,5,0.35100000000000003,26,0.34600000000000003,9,49.3,37,0.47200000000000003,11.5,11,48,0.375,18,0.33299999999999996,5,"January 14, 2019",69.2,18,10.4,5,102.5,65.0,26,0.446,65,0.4,26,0.385,25,0.84,21,14,225,100.0,34.3,12,21,79,,7.6,6,0.292,19,0.316,6,50.7,38,0.514,12.6,11,46,0.435,20,0.17600000000000002,3,"Harrison HPER Complex, Itta Bena, Mississippi",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,70.6,Away,ALABAMA-STATE,Alabama State,Alabama State,swac,14,False,False,False,Away,True,9,18,74,37,75,6,20,65,1,0,108,211,780,0.4782051282051282,438,912,0.48026315789473684,121,232,780,0.5301282051282051,0.2857142857142857
15,2019-01-19-18-alabama-am,37.9,11,15.2,5,80.6,75.9,22,0.517,60,0.483,29,0.25,15,0.667,10,10,200,107.5,41.9,13,12,72,,17.9,12,0.35,21,0.19,4,58.3,35,0.536,16.3,13,39,0.6409999999999999,25,0.375,6,"January 19, 2019",36.4,8,0.0,0,107.5,58.1,18,0.5,50,0.44,22,0.18,9,0.444,4,17,200,80.6,24.1,7,16,54,,10.4,7,0.34,17,0.353,6,41.7,25,0.49700000000000005,27.0,20,33,0.485,16,0.105,2,"Bill Harris Arena, Birmingham, Alabama",ALABAMA-AM,Alabama A&M,67.2,Away,ALABAMA-STATE,Alabama State,Alabama State,swac,15,False,False,False,Away,True,4,25,60,35,60,6,16,50,1,0,117,229,854,0.47365339578454335,475,987,0.48125633232016213,127,252,845,0.5236686390532544,0.3333333333333333
16,2019-01-26-18-alabama-state,42.1,8,8.6,3,105.7,69.2,18,0.384,56,0.33899999999999997,19,0.304,17,0.941,16,13,200,84.3,31.3,10,16,59,,10.0,7,0.39299999999999996,22,0.22699999999999998,5,48.3,28,0.46,20.1,16,34,0.41200000000000003,14,0.316,6,"January 26, 2019",42.9,12,11.8,4,84.3,68.8,22,0.5529999999999999,57,0.491,28,0.281,16,0.688,11,10,200,105.7,30.8,8,17,74,,15.7,11,0.386,22,0.318,7,51.7,30,0.573,16.9,13,35,0.6,21,0.41200000000000003,7,,ALCORN-STATE,Alcorn State,69.8,Home,ALABAMA-STATE,Alabama State,Alabama State,swac,16,True,False,True,Home,True,7,21,57,30,58,5,14,56,1,0,121,254,914,0.4764770240700219,510,1047,0.4871060171919771,133,268,895,0.5223463687150838,0.375
17,2019-01-28-20-alabama-state,44.0,11,0.0,0,89.6,66.7,18,0.45799999999999996,60,0.41700000000000004,25,0.28300000000000003,17,0.588,10,18,200,84.4,34.2,13,29,65,,14.3,11,0.233,14,0.35700000000000004,5,47.7,31,0.47700000000000004,23.7,21,46,0.435,20,0.14300000000000002,3,"January 28, 2019",33.3,7,10.9,5,84.4,65.8,25,0.5,46,0.457,21,0.87,40,0.575,23,10,200,89.6,33.3,9,20,69,,7.8,6,0.261,12,0.33299999999999996,4,52.3,34,0.531,24.8,21,34,0.5,17,0.444,8,,SOUTHERN,Southern,76.5,Home,ALABAMA-STATE,Alabama State,Alabama State,swac,17,True,False,True,Home,True,4,17,46,34,65,5,20,60,1,0,128,275,971,0.48094747682801237,540,1105,0.48868778280542985,138,282,951,0.5141955835962145,0.4117647058823529
18,2019-02-02-20-texas-southern,62.5,15,3.7,2,118.6,41.2,14,0.40399999999999997,68,0.353,24,0.162,11,0.364,4,11,200,84.3,34.1,14,15,59,,11.4,8,0.353,24,0.292,7,37.3,28,0.40299999999999997,13.1,11,44,0.386,17,0.42100000000000004,8,"February 2, 2019",61.8,21,11.4,5,84.3,65.9,27,0.514,70,0.486,34,0.2,14,0.7859999999999999,11,11,200,118.6,58.8,20,15,83,,7.1,5,0.22899999999999998,16,0.25,4,62.7,47,0.541,15.5,14,54,0.556,30,0.47600000000000003,10,"Health & Physical Education Arena, Houston, Texas",ALABAMA-STATE,Alabama State,70.4,Home,TEXAS-SOUTHERN,Texas Southern,Alabama State,swac,18,False,False,False,Away,False,7,17,68,28,75,4,30,70,0,1,132,292,1017,0.48180924287118976,574,1170,0.4905982905982906,143,302,1011,0.5108803165182987,0.4444444444444444
19,2019-02-04-20-prairie-view,31.8,7,6.3,2,100.0,63.6,21,0.39299999999999996,61,0.361,22,0.426,26,0.731,19,12,200,97.1,48.7,19,20,67,,2.9,2,0.361,22,0.182,4,55.6,40,0.457,18.1,16,39,0.462,18,0.4,8,"February 4, 2019",66.7,16,2.6,1,97.1,51.3,20,0.48200000000000004,57,0.42100000000000004,24,0.368,21,0.667,14,11,200,100.0,36.4,12,22,69,,8.7,6,0.439,25,0.28,7,44.4,32,0.515,16.4,13,32,0.531,17,0.5,11,"William J. Nicks Building, Prairie View, Texas",ALABAMA-STATE,Alabama State,69.2,Home,PRAIRIE-VIEW,Prairie View,Alabama State,swac,19,False,False,False,Away,False,4,18,61,40,72,7,17,57,0,1,139,309,1085,0.4769585253456221,602,1245,0.4835341365461847,147,332,1081,0.5111008325624422,0.42105263157894735
20,2019-02-09-18-alabama-state,33.3,8,10.3,4,97.2,57.9,22,0.643,42,0.5710000000000001,24,0.738,31,0.677,21,15,200,105.6,13.0,3,22,75,,11.3,8,0.262,11,0.545,6,41.0,25,0.6609999999999999,24.4,18,31,0.581,18,0.348,8,"February 9, 2019",31.8,7,6.5,2,105.6,87.0,20,0.42100000000000004,57,0.386,22,0.526,30,0.7,21,13,200,97.2,42.1,16,20,69,,11.3,8,0.316,18,0.222,4,59.0,36,0.484,17.6,15,39,0.462,18,0.381,8,,ALABAMA-STATE,Alabama State,71.0,Away,ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,Alabama State,swac,20,False,True,True,Home,False,4,18,57,36,61,6,18,42,0,1,143,327,1146,0.4725130890052356,642,1317,0.4874715261958998,154,349,1138,0.5096660808435852,0.4
21,2019-02-11-20-alabama-state,23.8,5,5.1,2,112.3,70.6,24,0.348,66,0.318,21,0.28800000000000003,19,0.684,13,22,200,80.8,41.3,19,20,59,,4.1,3,0.212,14,0.28600000000000003,4,53.8,43,0.39299999999999996,17.7,16,52,0.327,17,0.12,3,"February 11, 2019",32.1,9,19.2,10,80.8,58.7,27,0.5,65,0.431,28,0.308,20,0.85,17,13,200,112.3,29.4,10,16,82,,12.3,9,0.4,26,0.34600000000000003,9,46.3,37,0.55,10.9,9,39,0.48700000000000004,19,0.409,9,,MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,72.8,Home,ALABAMA-STATE,Alabama State,Alabama State,swac,21,True,False,True,Home,True,9,19,65,37,80,4,17,66,1,0,147,345,1203,0.470074812967581,678,1378,0.49201741654571846,160,367,1180,0.514406779661017,0.38095238095238093
22,2019-02-16-18-alabama-state,48.0,12,12.9,4,103.0,75.8,25,0.491,58,0.431,25,0.155,9,0.556,5,21,200,93.9,22.6,7,20,62,,9.1,6,0.31,18,0.389,7,50.0,32,0.498,15.1,11,40,0.45,18,0.192,5,"February 16, 2019",65.0,13,10.0,4,93.9,77.4,24,0.5,51,0.392,20,0.47100000000000003,24,0.708,17,13,200,103.0,24.2,8,11,68,,13.6,9,0.392,20,0.55,11,50.0,32,0.545,15.2,11,31,0.29,9,0.435,10,,ALABAMA-AM,Alabama A&M,65.8,Home,ALABAMA-STATE,Alabama State,Alabama State,swac,22,True,False,True,Home,True,11,9,51,32,64,7,18,58,1,0,156,364,1268,0.471608832807571,715,1458,0.49039780521262005,164,384,1246,0.5056179775280899,0.4090909090909091
23,2019-02-23-18-alcorn-state,61.9,13,0.0,0,101.4,64.7,22,0.418,61,0.344,21,0.39299999999999996,24,0.75,18,14,225,94.5,27.8,10,19,69,,6.8,5,0.49200000000000005,30,0.3,9,45.7,32,0.47700000000000004,12.3,10,31,0.387,12,0.41700000000000004,10,"February 23, 2019",58.6,17,16.1,5,94.5,72.2,26,0.517,60,0.483,29,0.35,21,0.5710000000000001,12,17,225,101.4,35.3,12,23,74,,11.0,8,0.33299999999999996,20,0.2,4,54.3,38,0.529,18.8,16,40,0.625,25,0.34600000000000003,9,"Davey L. Whitney Complex, Alcorn State, Mississippi",ALABAMA-STATE,Alabama State,65.1,Home,ALCORN-STATE,Alcorn State,Alabama State,swac,23,False,False,False,Away,False,9,12,61,32,70,4,25,60,0,1,167,373,1319,0.4727065959059894,747,1522,0.4908015768725361,171,402,1304,0.5049846625766872,0.43478260869565216
24,2019-02-25-20-southern,35.0,7,3.3,1,87.7,64.3,18,0.45799999999999996,48,0.41700000000000004,20,0.41700000000000004,20,0.8,16,14,200,92.3,27.6,8,17,60,,10.8,7,0.375,18,0.222,4,45.6,26,0.522,23.0,17,30,0.5329999999999999,16,0.44,11,"February 25, 2019",84.2,16,3.3,1,92.3,72.4,21,0.439,49,0.38799999999999996,19,0.327,16,0.875,14,23,200,87.7,35.7,10,19,57,,10.8,7,0.38799999999999996,19,0.263,5,54.4,31,0.504,23.3,17,30,0.467,14,0.179,5,"F. G. Clark Activity Center, Baton Rouge, Louisiana",SOUTHERN,Southern,65.1,Away,ALABAMA-STATE,Alabama State,Alabama State,swac,24,False,False,False,Away,True,4,16,48,26,57,5,14,49,1,0,176,385,1380,0.4702898550724638,779,1592,0.48932160804020103,175,427,1364,0.5054985337243402,0.4166666666666667
25,2019-03-02-18-alabama-state,50.0,14,11.1,4,90.7,75.7,28,0.585,53,0.528,28,0.509,27,0.593,16,11,200,104.0,43.5,10,16,78,,10.7,8,0.415,22,0.273,6,63.3,38,0.5920000000000001,23.6,20,31,0.71,22,0.607,17,"March 2, 2019",45.8,11,9.7,3,104.0,56.5,13,0.452,63,0.381,24,0.27,17,0.647,11,15,200,90.7,24.3,9,18,68,,9.3,7,0.429,27,0.33299999999999996,9,36.7,22,0.478,15.6,13,36,0.41700000000000004,15,0.423,11,,ALABAMA-STATE,Alabama State,75.5,Away,TEXAS-SOUTHERN,Texas Southern,Alabama State,swac,25,False,True,True,Home,False,9,15,63,22,60,6,22,53,0,1,180,401,1428,0.4698879551820728,805,1649,0.4881746513038205,180,441,1413,0.5031847133757962,0.44
26,2019-03-04-21-alabama-state,42.4,14,4.2,1,95.8,70.4,19,0.682,55,0.6,33,0.527,29,0.7240000000000001,21,12,200,133.3,25.0,6,28,96,,6.9,5,0.418,23,0.391,9,49.0,25,0.698,10.6,8,32,0.75,24,0.586,17,"March 4, 2019",52.6,10,12.5,4,133.3,75.0,18,0.45899999999999996,49,0.38799999999999996,19,0.6729999999999999,33,0.727,24,16,200,95.8,29.6,8,26,69,,2.8,2,0.51,25,0.28,7,51.0,26,0.5329999999999999,21.1,17,24,0.5,12,0.40700000000000003,11,,ALABAMA-STATE,Alabama State,72.2,Away,PRAIRIE-VIEW,Prairie View,Alabama State,swac,26,False,True,True,Home,False,7,12,49,26,51,9,24,55,0,1,189,416,1491,0.4691482226693494,827,1709,0.483908718548859,186,463,1466,0.5061391541609823,0.4230769230769231
