,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PURDUE_homegame,PURDUE_homegame2,PURDUE_home,PURDUE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-purdue,36.4,8,0.0,0,130.4,61.9,13,0.433,60,0.36700000000000005,22,0.15,9,0.556,5,1,200,82.6,22.2,8,17,57,,7.2,5,0.36700000000000005,22,0.364,8,36.8,21,0.44299999999999995,14.7,11,38,0.368,14,0.0,0,"November 6, 2018",53.1,17,7.9,3,82.6,77.8,28,0.6609999999999999,59,0.542,32,0.254,15,0.8,12,0,200,130.4,38.1,8,17,90,24.0,5.8,4,0.508,30,0.467,14,63.2,36,0.6809999999999999,16.5,13,29,0.621,18,1.0,1,"Mackey Arena, West Lafayette, Indiana",FAIRFIELD,Fairfield,69.2,Home,PURDUE,Purdue,Purdue,big-ten,0,True,False,True,Home,True,14,18,59,36,57,8,14,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-20-purdue,36.0,9,5.4,2,115.1,52.6,20,0.5870000000000001,52,0.48100000000000004,25,0.365,19,0.737,14,1,201,102.7,26.9,7,24,75,,5.5,4,0.442,23,0.478,11,42.2,27,0.615,23.0,18,29,0.483,14,0.5,1,"November 10, 2018",56.7,17,17.2,5,102.7,73.1,19,0.486,69,0.435,30,0.348,24,0.708,17,0,201,115.1,47.4,18,22,84,24.0,5.5,4,0.46399999999999997,32,0.21899999999999997,7,57.8,37,0.522,12.1,11,37,0.622,23,1.0,2,"Mackey Arena, West Lafayette, Indiana",BALL-STATE,Ball State,72.4,Home,PURDUE,Purdue,Purdue,big-ten,1,True,False,True,Home,True,7,23,69,37,64,11,14,52,1,0,14,18,59,0.6610169491525424,36,57,0.631578947368421,8,14,60,0.43333333333333335,1.0
2,2018-11-15-17-appalachian-state,44.4,16,17.9,5,94.6,80.0,24,0.644,66,0.545,36,0.152,10,0.7,7,0,200,124.3,33.3,10,18,92,23.0,10.8,8,0.47,31,0.419,13,56.7,34,0.65,14.6,12,35,0.657,23,1.0,3,"November 15, 2018",52.2,12,5.7,2,124.3,66.7,20,0.48200000000000004,56,0.41100000000000003,23,0.429,24,0.667,16,2,200,94.6,20.0,6,12,70,,5.4,4,0.5,28,0.28600000000000003,8,43.3,26,0.519,17.4,14,28,0.536,15,0.33299999999999996,1,"TD Arena, Charleston, South Carolina",APPALACHIAN-STATE,Appalachian State,74.1,Away,PURDUE,Purdue,Purdue,big-ten,2,False,False,False,Away,True,13,23,66,34,60,8,15,56,1,0,21,41,128,0.56640625,73,121,0.6033057851239669,19,28,112,0.5044642857142857,1.0
3,2018-11-16-18-davidson,50.0,14,4.8,1,87.9,86.7,26,0.515,67,0.418,28,0.19399999999999998,13,0.769,10,0,200,119.7,41.7,15,11,79,23.0,4.5,3,0.507,34,0.382,13,62.1,41,0.54,12.1,10,33,0.455,15,1.0,4,"November 16, 2018",52.2,12,3.0,1,119.7,58.3,21,0.5379999999999999,52,0.442,23,0.115,6,0.33299999999999996,2,1,200,87.9,13.3,4,17,58,,4.5,3,0.596,31,0.32299999999999995,10,37.9,25,0.529,19.2,13,21,0.619,13,0.75,3,"TD Arena, Charleston, South Carolina",DAVIDSON,Davidson,66.0,Away,PURDUE,Purdue,Purdue,big-ten,3,False,False,False,Away,True,13,15,67,41,66,10,13,52,1,0,34,64,194,0.5927835051546392,107,181,0.5911602209944752,27,43,168,0.49702380952380953,1.0
4,2018-11-18-20-purdue,50.0,15,3.6,1,118.6,60.7,17,0.636,55,0.545,30,0.473,26,0.731,19,0,200,127.1,17.4,4,14,89,16.0,8.6,6,0.436,24,0.41700000000000004,10,41.2,21,0.6609999999999999,11.9,9,31,0.645,20,1.0,4,"November 18, 2018",58.1,18,3.2,1,127.1,82.6,19,0.623,61,0.508,31,0.18,11,0.636,7,1,200,118.6,39.3,11,21,83,23.0,10.0,7,0.541,33,0.424,14,58.8,30,0.627,16.5,13,28,0.607,17,0.8,4,"TD Arena, Charleston, South Carolina",PURDUE,Purdue,70.3,Away,VIRGINIA-TECH,Virginia Tech,Purdue,big-ten,4,False,True,True,Home,False,14,17,61,30,51,10,20,55,0,1,47,79,261,0.5727969348659003,148,247,0.5991902834008097,37,56,220,0.5068181818181818,1.0
5,2018-11-23-14-purdue,47.1,8,6.5,2,123.5,58.1,18,0.35200000000000004,54,0.315,17,0.185,10,0.8,8,3,200,67.6,22.9,8,20,46,,8.8,6,0.29600000000000004,16,0.25,4,39.4,26,0.391,22.5,17,38,0.342,13,0.5,3,"November 23, 2018",69.2,18,23.7,9,67.6,77.1,27,0.552,58,0.44799999999999995,26,0.397,23,0.87,20,1,200,123.5,41.9,13,15,84,24.0,13.2,9,0.466,27,0.444,12,60.6,40,0.609,16.0,13,31,0.452,14,0.833,5,"Mackey Arena, West Lafayette, Indiana",ROBERT-MORRIS,Robert Morris,68.3,Home,PURDUE,Purdue,Purdue,big-ten,5,True,False,True,Home,True,12,14,58,40,66,4,13,54,1,0,61,96,322,0.5822981366459627,178,298,0.5973154362416108,47,76,275,0.5327272727272727,0.8
6,2018-11-28-21-florida-state,50.0,11,0.0,0,98.6,71.4,20,0.539,51,0.431,22,0.49,25,0.68,17,2,200,97.3,34.6,9,19,72,19.0,6.8,5,0.588,30,0.36700000000000005,11,53.7,29,0.573,24.4,20,21,0.524,11,0.7140000000000001,5,"November 28, 2018",50.0,12,14.3,3,97.3,65.4,17,0.509,55,0.436,24,0.364,20,0.85,17,1,200,98.6,28.6,8,24,73,15.0,8.1,6,0.509,28,0.28600000000000003,8,46.3,25,0.5660000000000001,21.0,17,27,0.593,16,0.857,6,"Donald L. Tucker Center, Tallahassee, Florida",PURDUE,Purdue,73.7,Home,FLORIDA-STATE,Florida State,Purdue,big-ten,6,False,False,False,Away,False,11,11,51,29,54,8,16,55,0,1,73,110,380,0.5776315789473684,218,364,0.5989010989010989,51,89,329,0.5030395136778115,0.8333333333333334
7,2018-12-01-15-michigan,54.5,12,10.3,3,116.9,80.0,20,0.42700000000000005,62,0.355,22,0.09699999999999999,6,0.667,4,3,200,87.7,32.4,12,12,57,19.0,6.2,4,0.387,24,0.375,9,51.6,32,0.439,12.2,9,38,0.342,13,0.625,5,"December 1, 2018",57.7,15,5.3,2,87.7,67.6,25,0.591,55,0.473,26,0.23600000000000002,13,0.846,11,0,200,116.9,20.0,5,9,76,7.0,4.6,3,0.473,26,0.5,13,48.4,30,0.621,15.3,11,29,0.44799999999999995,13,1.0,8,"Crisler Arena, Ann Arbor, Michigan",PURDUE,Purdue,64.5,Home,MICHIGAN,Michigan,Purdue,big-ten,7,False,False,False,Away,False,9,13,62,32,62,13,13,55,0,1,84,121,431,0.5730858468677494,247,418,0.5909090909090909,59,105,384,0.50390625,0.7142857142857143
8,2018-12-06-19-purdue,50.0,10,20.8,5,92.5,75.0,21,0.43,57,0.35100000000000003,20,0.24600000000000002,14,0.7859999999999999,11,2,200,89.6,41.9,13,15,60,23.0,10.4,7,0.474,27,0.33299999999999996,9,57.6,34,0.47100000000000003,20.2,16,30,0.36700000000000005,11,0.778,7,"December 6, 2018",55.0,11,23.3,7,89.6,58.1,18,0.49,50,0.4,20,0.32,16,0.813,13,3,200,92.5,25.0,7,15,62,,11.9,8,0.52,26,0.34600000000000003,9,42.4,25,0.5379999999999999,21.9,16,24,0.45799999999999996,11,0.667,6,"Mackey Arena, West Lafayette, Indiana",MARYLAND,Maryland,66.6,Home,PURDUE,Purdue,Purdue,big-ten,8,True,False,True,Home,True,9,11,50,25,59,9,11,57,1,0,93,134,493,0.5547667342799188,279,480,0.58125,72,118,439,0.5148063781321185,0.625
9,2018-12-09-18-texas,22.2,6,13.6,3,109.1,86.4,19,0.485,65,0.415,27,0.10800000000000001,7,0.7140000000000001,5,4,200,103.0,21.2,7,19,68,,9.1,6,0.49200000000000005,32,0.281,9,47.3,26,0.498,8.1,6,33,0.545,18,0.6,6,"December 9, 2018",73.9,17,21.2,7,103.0,78.8,26,0.606,47,0.489,23,0.34,16,0.938,15,3,200,109.1,13.6,3,11,72,,1.5,1,0.532,25,0.44,11,52.7,29,0.659,20.6,14,22,0.545,12,0.667,6,"Frank Erwin Center, Austin, Texas",PURDUE,Purdue,66.5,Home,TEXAS,Texas,Purdue,big-ten,9,False,False,False,Away,False,9,18,65,26,55,11,12,47,0,1,102,145,543,0.5488029465930019,304,539,0.5640074211502782,81,129,496,0.5050403225806451,0.6666666666666666
