,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FRESNO-STATE_homegame,FRESNO-STATE_homegame2,FRESNO-STATE_home,FRESNO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-fresno-state,54.5,12,3.6,1,119.7,82.9,29,0.4,65,0.33799999999999997,22,0.215,14,0.7859999999999999,11,0,200,82.9,30.0,12,22,63,,3.9,3,0.446,29,0.276,8,54.7,41,0.44,18.4,16,36,0.389,14,0.0,0,"November 6, 2018",55.2,16,16.7,6,82.9,70.0,28,0.574,61,0.475,29,0.44299999999999995,27,0.778,21,0,200,119.7,17.1,6,18,91,,13.2,10,0.541,33,0.364,12,45.3,34,0.616,9.9,8,28,0.607,17,1.0,1,"Save Mart Center, Fresno, California","Alaska-Anchorage
			","Alaska-Anchorage
			",75.7,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,0,True,False,True,Home,True,12,17,61,34,75,8,14,65,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-15-21-texas-christian,63.0,17,7.1,3,102.7,73.3,22,0.444,71,0.38,27,0.113,8,0.75,6,1,200,92.0,26.8,11,18,69,,12.0,9,0.366,26,0.34600000000000003,9,46.5,33,0.461,15.8,14,45,0.4,18,0.5,1,"November 15, 2018",66.7,20,22.2,10,92.0,73.2,30,0.578,58,0.517,30,0.24100000000000002,14,0.7140000000000001,10,0,200,102.7,26.7,8,12,77,21.0,10.7,8,0.276,16,0.43799999999999994,7,53.5,38,0.596,18.9,15,42,0.5479999999999999,23,1.0,3,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",FRESNO-STATE,Fresno State,74.7,Home,TEXAS-CHRISTIAN,TCU,Fresno State,mwc,1,False,False,False,Away,False,9,18,71,33,71,7,23,58,0,1,12,17,61,0.5737704918032787,34,75,0.4533333333333333,8,14,65,0.4,1.0
2,2018-11-22-16-fresno-state,61.1,11,8.0,2,111.4,79.2,19,0.41200000000000003,51,0.353,18,0.451,23,0.7390000000000001,17,1,200,84.3,21.4,6,23,59,,4.3,3,0.431,22,0.273,6,48.1,25,0.47600000000000003,19.7,15,29,0.414,12,0.75,3,"November 22, 2018",75.0,18,3.4,1,84.3,78.6,22,0.615,48,0.5,24,0.521,25,0.76,19,1,200,111.4,20.8,5,21,78,,5.7,4,0.479,23,0.478,11,51.9,27,0.6509999999999999,20.3,15,25,0.52,13,0.667,2,"Titan Gym, Fullerton, California",NORTHWESTERN,Northwestern,70.4,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,2,True,False,True,Home,True,11,13,48,27,52,6,12,51,1,0,21,35,132,0.5037878787878788,67,146,0.4589041095890411,15,37,123,0.483739837398374,0.5
3,2018-11-23-14-fresno-state,48.0,12,2.9,1,100.0,68.8,22,0.5,57,0.439,25,0.491,28,0.75,21,0,200,102.6,18.8,6,20,78,,9.2,7,0.386,22,0.318,7,43.8,28,0.555,13.7,11,35,0.514,18,1.0,5,"November 23, 2018",59.3,16,14.3,5,102.6,81.3,26,0.5429999999999999,58,0.466,27,0.31,18,0.722,13,2,200,100.0,31.3,10,25,76,,5.3,4,0.397,23,0.391,9,56.3,36,0.5710000000000001,23.3,20,35,0.514,18,0.5,2,"Titan Gym, Fullerton, California",FRESNO-STATE,Fresno State,75.9,Away,MIAMI-FL,Miami (FL),Fresno State,mwc,3,False,True,True,Home,False,9,18,58,36,64,7,18,57,0,1,32,48,180,0.5333333333333333,94,198,0.47474747474747475,21,49,174,0.46264367816091956,0.6666666666666666
4,2018-11-25-16-hawaii,61.5,16,7.1,2,97.0,82.1,23,0.63,50,0.52,26,0.38,19,0.8420000000000001,16,2,200,119.7,15.4,4,19,79,,6.1,4,0.4,20,0.55,11,50.0,27,0.669,14.6,10,30,0.5,15,0.6,3,"November 25, 2018",47.8,11,3.3,1,119.7,84.6,22,0.48100000000000004,54,0.426,23,0.278,15,0.8,12,3,200,97.0,17.9,5,16,64,,4.5,3,0.48100000000000004,26,0.231,6,50.0,27,0.524,15.4,11,28,0.607,17,0.5710000000000001,4,"Titan Gym, Fullerton, California",HAWAII,Hawaii,66.1,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,4,False,False,False,Away,True,11,15,50,27,54,6,17,54,1,0,41,66,238,0.5357142857142857,130,262,0.4961832061068702,28,67,231,0.47186147186147187,0.5
5,2018-11-28-22-fresno-state,50.0,14,14.7,5,103.8,67.6,23,0.516,64,0.43799999999999994,28,0.266,17,0.706,12,4,225,100.0,29.7,11,22,78,,7.7,6,0.359,23,0.435,10,47.9,34,0.541,21.0,19,41,0.439,18,0.556,5,"November 28, 2018",58.6,17,17.1,7,100.0,70.3,26,0.55,60,0.483,29,0.38299999999999995,23,0.652,15,2,225,103.8,32.4,11,19,81,,12.8,10,0.433,26,0.308,8,52.1,37,0.5710000000000001,18.6,16,34,0.618,21,0.667,4,"Save Mart Center, Fresno, California",PACIFIC,Pacific,69.3,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,5,True,False,True,Home,True,8,21,60,37,71,10,18,64,1,0,52,81,288,0.5520833333333334,157,316,0.49683544303797467,34,84,285,0.47368421052631576,0.6
6,2018-12-01-15-fresno-state,45.8,11,8.0,2,115.2,75.9,22,0.45299999999999996,64,0.375,24,0.172,11,0.818,9,5,200,101.5,40.0,14,21,67,,7.6,5,0.43799999999999994,28,0.35700000000000004,10,56.3,36,0.484,15.9,13,36,0.389,14,0.28600000000000003,2,"December 1, 2018",45.5,10,19.4,7,101.5,60.0,21,0.541,49,0.449,22,0.5920000000000001,29,0.7929999999999999,23,2,200,115.2,24.1,7,12,76,,10.6,7,0.49,24,0.375,9,43.8,28,0.605,10.2,7,25,0.52,13,0.7140000000000001,5,"Save Mart Center, Fresno, California",CAL-POLY,Cal Poly,65.5,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,6,True,False,True,Home,True,9,13,49,28,64,10,14,64,1,0,60,102,348,0.5517241379310345,194,387,0.5012919896640827,44,102,349,0.4813753581661891,0.6666666666666666
7,2018-12-05-22-fresno-state,17.6,3,7.7,3,94.7,73.5,25,0.373,51,0.33299999999999996,17,0.451,23,0.609,14,3,200,69.3,12.5,5,20,52,,14.7,11,0.392,20,0.2,4,40.5,30,0.42,21.8,17,31,0.419,13,0.625,5,"December 5, 2018",48.1,13,6.5,2,69.3,87.5,35,0.5,61,0.44299999999999995,27,0.24600000000000002,15,0.667,10,2,200,94.7,26.5,9,19,71,,12.0,9,0.361,22,0.318,7,59.5,44,0.521,19.1,16,39,0.513,20,0.75,6,"Save Mart Center, Fresno, California",WEBER-STATE,Weber State,74.5,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,7,True,False,True,Home,True,7,20,61,44,74,4,13,51,1,0,69,115,397,0.5503778337531486,222,451,0.49223946784922396,54,116,413,0.47699757869249393,0.7142857142857143
8,2018-12-08-19-fresno-state,40.9,9,11.1,5,117.9,61.5,24,0.449,59,0.373,22,0.39,23,0.7829999999999999,18,8,200,91.0,24.3,9,16,71,,9.0,7,0.373,22,0.409,9,43.4,33,0.508,19.7,17,37,0.35100000000000003,13,0.273,3,"December 8, 2018",44.4,16,10.8,4,91.0,75.7,28,0.547,75,0.48,36,0.17300000000000001,13,0.769,10,2,200,117.9,38.5,15,22,92,,14.1,11,0.4,30,0.33299999999999996,10,56.6,43,0.5670000000000001,12.9,12,45,0.578,26,0.778,7,"Save Mart Center, Fresno, California",LONG-BEACH-STATE,Long Beach State,78.1,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,8,True,False,True,Home,True,10,26,75,43,76,9,13,59,1,0,76,135,458,0.5436681222707423,266,525,0.5066666666666667,58,129,464,0.46551724137931033,0.75
9,2018-12-19-22-fresno-state,35.7,10,13.9,5,125.0,64.3,18,0.518,57,0.491,28,0.316,18,0.778,14,6,200,96.1,17.9,5,28,73,,9.2,7,0.263,15,0.2,3,41.1,23,0.557,16.7,13,42,0.595,25,0.4,4,"December 19, 2018",58.6,17,7.1,3,96.1,82.1,23,0.579,57,0.509,29,0.667,38,0.763,29,2,200,125.0,35.7,10,17,95,,10.5,8,0.368,21,0.381,8,58.9,33,0.633,15.0,13,36,0.583,21,0.8,8,"Save Mart Center, Fresno, California",CALIFORNIA,California,75.8,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,9,True,False,True,Home,True,8,21,57,33,56,3,25,57,1,0,86,161,533,0.5440900562851783,309,601,0.5141430948419301,67,142,523,0.46367112810707456,0.7777777777777778
