,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHWESTERN-STATE_homegame,NORTHWESTERN-STATE_homegame2,NORTHWESTERN-STATE_home,NORTHWESTERN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-northwestern-state,36.0,9,4.4,2,127.5,57.5,23,0.396,72,0.34700000000000003,25,0.125,9,0.556,5,0,200,77.5,26.7,12,24,62,,12.5,10,0.40299999999999997,29,0.24100000000000002,7,41.2,35,0.406,15.6,14,43,0.419,18,0.0,0,"November 6, 2018",60.0,21,25.6,11,77.5,73.3,33,0.583,72,0.486,35,0.361,26,0.6920000000000001,18,0,200,127.5,42.5,17,13,102,,8.8,7,0.375,27,0.519,14,58.8,50,0.605,14.4,14,45,0.467,21,1.0,1,"Prather Coliseum, Natchitoches, Louisiana","Centenary (LA)
			","Centenary (LA)
			",79.8,Home,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,0,True,False,True,Home,True,14,21,72,50,85,7,18,72,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-20-southern-methodist,66.7,12,10.3,3,101.5,56.4,22,0.457,46,0.391,18,0.522,24,0.667,16,1,200,85.3,24.1,7,20,58,,10.3,7,0.457,21,0.28600000000000003,6,42.6,29,0.505,23.1,17,25,0.48,12,0.5,1,"November 8, 2018",68.0,17,20.0,5,85.3,75.9,22,0.45399999999999996,65,0.385,25,0.24600000000000002,16,0.625,10,0,200,101.5,43.6,17,16,69,,14.7,10,0.5539999999999999,36,0.25,9,57.4,39,0.475,15.3,13,29,0.552,16,1.0,1,"Moody Coliseum, Dallas, Texas",NORTHWESTERN-STATE,Northwestern State,68.0,Home,SOUTHERN-METHODIST,SMU,Northwestern State,southland,1,False,False,False,Away,False,6,12,46,29,68,9,16,65,0,1,14,21,72,0.5833333333333334,50,85,0.5882352941176471,7,18,72,0.3958333333333333,1.0
2,2018-11-13-21-brigham-young,35.0,7,2.7,1,105.1,76.7,23,0.359,64,0.313,20,0.23399999999999999,15,0.733,11,2,200,73.1,18.6,8,22,57,,10.3,8,0.297,19,0.316,6,42.5,31,0.401,16.5,14,45,0.311,14,0.33299999999999996,1,"November 13, 2018",53.6,15,17.8,8,73.1,81.4,35,0.534,59,0.475,28,0.424,25,0.76,19,1,200,105.1,23.3,7,15,82,,6.4,5,0.373,22,0.318,7,57.5,42,0.578,17.6,15,37,0.568,21,0.667,2,"Marriott Center, Provo, Utah",NORTHWESTERN-STATE,Northwestern State,78.0,Home,BRIGHAM-YOUNG,BYU,Northwestern State,southland,2,False,False,False,Away,False,6,14,64,31,73,7,21,59,0,1,20,33,118,0.5338983050847458,79,153,0.5163398692810458,16,34,137,0.4233576642335766,0.5
3,2018-11-17-15-rice,37.9,11,7.7,3,122.9,66.7,26,0.46399999999999997,69,0.42,29,0.23199999999999998,16,0.625,10,3,200,89.2,22.0,9,21,74,,8.4,7,0.29,20,0.3,6,43.8,35,0.483,16.5,15,49,0.469,23,0.25,1,"November 17, 2018",70.3,26,10.2,5,89.2,78.0,32,0.62,71,0.521,37,0.33799999999999997,24,0.583,14,2,200,122.9,33.3,13,20,102,,10.8,9,0.451,32,0.43799999999999994,14,56.3,45,0.619,13.7,13,39,0.59,23,0.6,3,"Tudor Fieldhouse, Houston, Texas",NORTHWESTERN-STATE,Northwestern State,82.5,Home,RICE,Rice,Northwestern State,southland,3,False,False,False,Away,False,6,23,69,35,80,14,23,71,0,1,26,47,182,0.4725274725274725,110,226,0.48672566371681414,23,55,196,0.45663265306122447,0.3333333333333333
4,2018-11-19-20-houston,30.0,6,16.1,5,132.3,51.4,18,0.44299999999999995,53,0.377,20,0.28300000000000003,15,0.5329999999999999,8,4,200,88.7,35.3,12,18,55,,3.2,2,0.45299999999999996,24,0.292,7,43.5,30,0.457,20.1,15,29,0.44799999999999995,13,0.2,1,"November 19, 2018",71.4,20,13.8,4,88.7,64.7,22,0.5489999999999999,61,0.45899999999999996,28,0.426,26,0.5770000000000001,15,0,200,132.3,48.6,17,15,82,,14.5,9,0.49200000000000005,30,0.36700000000000005,11,56.5,39,0.5589999999999999,5.2,4,31,0.5479999999999999,17,1.0,3,"Health & Physical Education Arena, Houston, Texas",NORTHWESTERN-STATE,Northwestern State,61.7,Home,HOUSTON,Houston,Northwestern State,southland,4,False,False,False,Away,False,7,13,53,30,69,11,17,61,0,1,32,70,251,0.4701195219123506,145,306,0.4738562091503268,37,78,267,0.5,0.25
5,2018-11-23-19-northwestern-state,69.2,18,9.8,4,92.1,76.3,29,0.483,58,0.44799999999999995,26,0.259,15,0.667,10,5,225,86.8,35.3,12,20,66,,6.6,5,0.276,16,0.25,4,56.9,41,0.507,25.4,22,42,0.524,22,0.0,0,"November 23, 2018",30.8,8,9.5,4,86.8,64.7,22,0.431,65,0.4,26,0.33799999999999997,22,0.636,14,4,225,92.1,23.7,9,14,70,,13.2,10,0.369,24,0.16699999999999998,4,43.1,31,0.46399999999999997,12.8,11,41,0.537,22,0.33299999999999996,2,"Prather Coliseum, Natchitoches, Louisiana",ALABAMA-AM,Alabama A&M,67.8,Home,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,5,True,False,True,Home,True,4,22,65,31,72,4,22,58,1,0,39,83,304,0.4654605263157895,175,375,0.4666666666666667,48,95,328,0.5091463414634146,0.2
6,2018-11-27-19-northwestern-state,60.7,17,5.6,2,78.8,59.0,23,0.645,55,0.509,28,0.2,11,0.818,9,3,200,121.2,33.3,8,11,80,,13.6,9,0.509,28,0.536,15,49.2,31,0.664,17.8,13,27,0.48100000000000004,13,0.5,3,"November 27, 2018",47.4,9,3.7,1,121.2,66.7,16,0.344,64,0.297,19,0.172,11,0.727,8,5,200,78.8,41.0,16,13,52,,12.1,8,0.43799999999999994,28,0.214,6,50.8,32,0.376,16.9,14,36,0.361,13,0.28600000000000003,2,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,66.2,Away,LOUISIANA-MONROE,Louisiana-Monroe,Northwestern State,southland,6,False,True,True,Home,False,6,13,64,32,63,15,13,55,0,1,43,105,369,0.45934959349593496,206,447,0.4608501118568233,52,117,386,0.5051813471502591,0.3333333333333333
7,2018-12-01-21-texas-el-paso,25.0,4,0.0,0,104.1,75.8,25,0.38,46,0.348,16,0.478,22,0.545,12,6,200,63.5,14.3,5,23,47,,8.1,6,0.37,17,0.17600000000000002,3,44.1,30,0.41600000000000004,28.3,22,29,0.44799999999999995,13,0.25,2,"December 1, 2018",55.6,15,17.2,5,63.5,85.7,30,0.583,54,0.5,27,0.5,27,0.519,14,4,200,104.1,24.2,8,19,77,,8.1,6,0.389,21,0.429,9,55.9,38,0.5760000000000001,18.5,15,33,0.545,18,0.429,3,"Don Haskins Center, El Paso, Texas",NORTHWESTERN-STATE,Northwestern State,73.6,Home,TEXAS-EL-PASO,UTEP,Northwestern State,southland,7,False,False,False,Away,False,3,13,46,30,68,9,18,54,0,1,49,118,433,0.44226327944572746,238,510,0.4666666666666667,67,130,441,0.5226757369614512,0.2857142857142857
8,2018-12-03-20-texas-am,36.4,8,7.1,2,105.3,73.1,19,0.38299999999999995,64,0.344,22,0.156,10,1.0,10,7,200,77.6,26.3,10,20,59,,2.6,2,0.32799999999999996,21,0.23800000000000002,5,45.3,29,0.429,20.8,18,43,0.395,17,0.222,2,"December 3, 2018",56.0,14,27.9,12,77.6,73.7,28,0.5479999999999999,52,0.48100000000000004,25,0.596,31,0.742,23,4,200,105.3,26.9,7,14,80,,13.2,10,0.462,24,0.292,7,54.7,35,0.599,18.6,15,28,0.643,18,0.429,3,"Reed Arena, College Station, Texas",NORTHWESTERN-STATE,Northwestern State,75.7,Home,TEXAS-AM,Texas A&M,Northwestern State,southland,8,False,False,False,Away,False,5,17,64,29,64,7,18,52,0,1,52,131,479,0.4363256784968685,268,578,0.46366782006920415,76,148,495,0.5292929292929293,0.25
9,2018-12-12-19-texas-tech,46.2,6,10.8,4,108.2,70.4,19,0.28300000000000003,53,0.245,13,0.415,22,0.636,14,8,200,60.3,18.9,7,20,44,,6.8,5,0.358,19,0.21100000000000002,4,40.6,26,0.34700000000000003,22.3,18,34,0.265,9,0.2,2,"December 12, 2018",55.2,16,17.6,6,60.3,81.1,30,0.5670000000000001,60,0.483,29,0.28300000000000003,17,0.647,11,0,200,108.2,29.6,8,20,79,11.0,11.0,8,0.38299999999999995,23,0.435,10,59.4,38,0.58,15.1,12,37,0.514,19,1.0,9,"United Supermarkets Arena, Lubbock, Texas",NORTHWESTERN-STATE,Northwestern State,73.3,Home,TEXAS-TECH,Texas Tech,Northwestern State,southland,9,False,False,False,Away,False,4,9,53,26,64,10,19,60,0,1,57,148,543,0.4300184162062615,297,642,0.46261682242990654,83,166,547,0.5310786106032906,0.2222222222222222
