,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MOREHEAD-STATE_homegame,MOREHEAD-STATE_homegame2,MOREHEAD-STATE_home,MOREHEAD-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-18-morehead-state,40.0,12,3.3,2,127.5,40.0,14,0.5710000000000001,63,0.47600000000000003,30,0.23800000000000002,15,0.667,10,0,200,102.5,18.8,6,11,82,,7.5,6,0.49200000000000005,31,0.387,12,29.9,20,0.585,19.6,17,32,0.563,18,0.0,0,"November 6, 2018",38.6,17,6.3,2,102.5,81.3,26,0.579,82,0.537,44,0.122,10,0.7,7,0,200,127.5,60.0,21,14,102,,11.3,9,0.268,22,0.318,7,70.1,47,0.588,13.1,13,60,0.617,37,1.0,1,"Ellis T. Johnson Arena, Morehead, Kentucky","Kentucky Christian
			","Kentucky Christian
			",79.9,Home,MOREHEAD-STATE,Morehead State,Morehead State,ovc,0,True,False,True,Home,True,7,37,82,47,67,12,18,63,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-19-connecticut,56.0,14,9.3,4,105.3,73.1,19,0.47600000000000003,62,0.40299999999999997,25,0.242,15,0.733,11,1,200,92.1,29.4,10,16,70,,7.9,6,0.452,28,0.321,9,48.3,29,0.506,19.9,17,34,0.47100000000000003,16,0.5,1,"November 8, 2018",45.2,14,23.5,8,92.1,70.6,24,0.539,64,0.484,31,0.266,17,0.647,11,0,200,105.3,26.9,7,20,80,,7.9,6,0.32799999999999996,21,0.33299999999999996,7,51.7,31,0.555,13.3,11,43,0.5579999999999999,24,1.0,1,"Harry A. Gampel Pavilion, Storrs, Connecticut",MOREHEAD-STATE,Morehead State,76.1,Home,CONNECTICUT,UConn,Morehead State,ovc,1,False,False,False,Away,False,9,16,62,29,60,7,24,64,0,1,7,37,82,0.5792682926829268,47,67,0.7014925373134329,12,18,63,0.5714285714285714,1.0
2,2018-11-10-19-syracuse,50.0,14,5.8,3,103.7,60.0,21,0.45,70,0.4,28,0.171,12,0.583,7,2,200,86.4,20.5,8,24,70,,8.6,7,0.34299999999999997,24,0.292,7,39.2,29,0.462,13.7,12,46,0.457,21,0.33299999999999996,1,"November 10, 2018",39.3,11,17.4,8,86.4,79.5,31,0.434,68,0.41200000000000003,28,0.441,30,0.833,25,0,200,103.7,40.0,14,18,84,16.0,7.4,6,0.235,16,0.188,3,60.8,45,0.511,14.7,14,52,0.48100000000000004,25,1.0,2,"Carrier Dome, Syracuse, New York",MOREHEAD-STATE,Morehead State,81.0,Home,SYRACUSE,Syracuse,Morehead State,ovc,2,False,False,False,Away,False,7,21,70,29,74,3,25,68,0,1,16,53,144,0.5347222222222222,76,127,0.5984251968503937,19,42,127,0.5551181102362205,0.5
3,2018-11-16-17-morehead-state,41.9,13,9.5,4,128.6,69.2,27,0.573,62,0.5,31,0.355,22,0.818,18,4,200,115.6,37.5,12,28,89,,6.5,5,0.355,22,0.409,9,54.9,39,0.614,17.3,15,40,0.55,22,0.0,0,"November 16, 2018",46.9,15,7.5,3,115.6,62.5,20,0.581,68,0.47100000000000003,32,0.426,29,0.69,20,2,200,128.6,30.8,12,20,99,,10.4,8,0.382,26,0.5770000000000001,15,45.1,32,0.605,9.0,8,42,0.405,17,0.5,2,"Reese Court, Cheney, Washington",MISSOURI-KANSAS-CITY,UMKC,76.6,Home,MOREHEAD-STATE,Morehead State,Morehead State,ovc,3,True,False,True,Home,True,15,17,68,32,71,9,22,62,1,0,23,74,214,0.5070093457943925,105,201,0.5223880597014925,22,67,195,0.5128205128205128,0.3333333333333333
4,2018-11-17-16-morehead-state,54.5,18,4.9,2,98.6,63.4,26,0.59,67,0.493,33,0.19399999999999998,13,0.615,8,2,200,122.5,31.4,11,22,87,,5.6,4,0.373,25,0.52,13,48.7,37,0.594,11.0,9,42,0.47600000000000003,20,0.6,3,"November 17, 2018",33.3,8,2.4,1,122.5,68.6,24,0.396,67,0.358,24,0.299,20,0.85,17,3,200,98.6,36.6,15,20,70,,5.6,4,0.38799999999999996,26,0.192,5,51.3,39,0.45799999999999996,11.7,10,41,0.46299999999999997,19,0.4,2,"Reese Court, Cheney, Washington",MOREHEAD-STATE,Morehead State,71.3,Away,GREEN-BAY,Green Bay,Morehead State,ovc,4,False,True,True,Home,False,5,19,67,39,76,13,20,67,0,1,38,91,282,0.524822695035461,137,272,0.5036764705882353,31,89,257,0.5272373540856031,0.5
5,2018-11-25-14-morehead-state,65.6,21,7.5,3,72.4,75.0,27,0.551,69,0.46399999999999997,32,0.203,14,0.7859999999999999,11,1,200,114.5,25.7,9,15,87,,11.8,9,0.435,30,0.4,12,50.7,36,0.575,11.7,10,39,0.513,20,0.833,5,"November 25, 2018",50.0,11,15.4,6,114.5,74.3,26,0.379,62,0.355,22,0.129,8,1.0,8,4,200,72.4,25.0,9,19,55,,2.6,2,0.355,22,0.136,3,49.3,35,0.418,21.6,18,40,0.475,19,0.33299999999999996,2,"Ellis T. Johnson Arena, Morehead, Kentucky",MOREHEAD-STATE,Morehead State,75.7,Away,LIPSCOMB,Lipscomb,Morehead State,ovc,5,False,True,True,Home,False,3,19,62,35,71,12,20,69,0,1,43,110,349,0.5,176,348,0.5057471264367817,44,109,324,0.5401234567901234,0.4
6,2018-11-27-19-morehead-state,62.2,23,19.4,6,92.2,86.5,32,0.7290000000000001,59,0.627,37,0.136,8,0.875,7,1,200,120.8,20.0,4,27,93,,6.5,5,0.35600000000000004,21,0.5710000000000001,12,63.2,36,0.74,21.4,17,38,0.6579999999999999,25,0.875,7,"November 27, 2018",61.9,13,15.8,6,120.8,80.0,16,0.44,58,0.36200000000000004,21,0.552,32,0.625,20,5,200,92.2,13.5,5,11,71,,14.3,11,0.466,27,0.33299999999999996,9,36.8,21,0.485,11.1,9,31,0.387,12,0.28600000000000003,2,"Ellis T. Johnson Arena, Morehead, Kentucky",MOREHEAD-STATE,Morehead State,76.5,Away,NORTHERN-KENTUCKY,Northern Kentucky,Morehead State,ovc,6,False,True,True,Home,False,9,12,58,21,57,12,25,59,0,1,46,129,411,0.48175182481751827,211,419,0.5035799522673031,56,129,393,0.5419847328244275,0.3333333333333333
7,2018-11-30-11-morehead-state,35.3,6,7.3,3,139.2,60.0,15,0.37,54,0.315,17,0.204,11,0.909,10,0,200,67.6,8.1,3,17,50,,10.8,8,0.519,28,0.214,6,29.0,18,0.42200000000000004,21.4,16,26,0.423,11,0.0,0,"November 30, 2018",61.5,24,15.4,4,67.6,91.9,34,0.679,67,0.5820000000000001,39,0.284,19,0.632,12,5,200,139.2,40.0,10,10,103,,17.6,13,0.38799999999999996,26,0.5,13,71.0,44,0.677,10.7,9,41,0.634,26,0.375,3,"Ellis T. Johnson Arena, Morehead, Kentucky","Ohio-Chillicothe
			","Ohio-Chillicothe
			",73.6,Home,MOREHEAD-STATE,Morehead State,Morehead State,ovc,7,True,False,True,Home,True,13,26,67,44,62,6,11,54,1,0,55,141,469,0.47654584221748403,232,476,0.48739495798319327,68,154,452,0.5663716814159292,0.2857142857142857
8,2018-12-10-19-marshall,45.0,9,7.1,2,97.4,78.1,25,0.40399999999999997,57,0.35100000000000003,20,0.474,27,0.667,18,6,200,82.1,28.9,11,16,64,,9.0,7,0.316,18,0.33299999999999996,6,51.4,36,0.45799999999999996,22.5,20,39,0.359,14,0.33299999999999996,3,"December 10, 2018",61.5,16,28.2,11,82.1,71.1,27,0.534,59,0.441,26,0.28800000000000003,17,0.765,13,4,200,97.4,21.9,7,24,76,,10.3,8,0.525,31,0.355,11,48.6,34,0.5670000000000001,20.4,17,28,0.536,15,0.6,6,"Henderson Center, Huntington, West Virginia",MOREHEAD-STATE,Morehead State,78.0,Home,MARSHALL,Marshall,Morehead State,ovc,8,False,False,False,Away,False,6,14,57,36,70,11,15,59,0,1,68,167,536,0.5018656716417911,276,538,0.5130111524163569,74,165,506,0.5454545454545454,0.375
9,2018-12-13-19-samford,42.9,12,8.8,3,100.0,75.0,21,0.414,76,0.368,28,0.19699999999999998,15,0.6,9,7,225,93.5,31.3,15,19,72,,11.7,9,0.342,26,0.26899999999999996,7,47.4,36,0.433,11.8,11,50,0.42,21,0.3,3,"December 13, 2018",40.7,11,12.0,6,93.5,68.8,33,0.5770000000000001,52,0.519,27,0.462,24,0.708,17,2,225,100.0,25.0,7,15,77,,9.1,7,0.34600000000000003,18,0.33299999999999996,6,52.6,40,0.607,22.3,18,34,0.618,21,0.818,9,"Pete Hanna Center, Birmingham, Alabama",MOREHEAD-STATE,Morehead State,68.2,Home,SAMFORD,Samford,Morehead State,ovc,9,False,False,False,Away,False,7,21,76,36,76,6,21,52,0,1,74,181,593,0.4924114671163575,312,608,0.5131578947368421,85,180,565,0.5442477876106194,0.3333333333333333
