,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DENVER_homegame,DENVER_homegame2,DENVER_home,DENVER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-denver,55.6,10,14.3,4,100.0,82.8,24,0.379,58,0.31,18,0.19,11,0.545,6,1,200,79.4,30.2,13,14,50,,3.2,2,0.483,28,0.28600000000000003,8,51.4,37,0.395,17.1,13,30,0.33299999999999996,10,0.0,0,"November 6, 2018",63.6,14,23.3,7,79.4,69.8,30,0.519,53,0.415,22,0.20800000000000002,11,0.727,8,0,200,100.0,17.2,5,16,63,,12.7,8,0.47200000000000003,25,0.44,11,48.6,35,0.541,13.5,9,28,0.39299999999999996,11,1.0,1,"Magness Arena, Denver, Colorado",MAINE,Maine,62.7,Home,DENVER,Denver,Denver,summit,0,True,False,True,Home,True,11,11,53,35,72,8,10,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-21-kansas-state,36.8,7,3.0,1,88.9,73.2,30,0.433,52,0.365,19,0.308,16,0.688,11,1,200,77.8,12.5,4,21,56,,5.6,4,0.5579999999999999,29,0.24100000000000002,7,46.6,34,0.47,22.4,17,23,0.522,12,0.5,1,"November 12, 2018",56.5,13,13.0,3,77.8,87.5,28,0.433,60,0.38299999999999995,23,0.45,27,0.444,12,0,200,88.9,26.8,11,18,64,12.0,13.9,10,0.45,27,0.222,6,53.4,39,0.439,11.1,9,33,0.515,17,1.0,2,"Bramlage Coliseum, Manhattan, Kansas",DENVER,Denver,71.7,Home,KANSAS-STATE,Kansas State,Denver,summit,1,False,False,False,Away,False,7,12,52,34,73,6,17,60,0,1,11,11,53,0.5188679245283019,35,72,0.4861111111111111,8,10,58,0.3793103448275862,1.0
2,2018-11-15-21-denver,72.7,16,13.9,5,100.0,70.0,21,0.551,49,0.449,22,0.327,16,0.813,13,0,200,109.8,18.5,5,15,67,,8.2,5,0.49,24,0.41700000000000004,10,45.6,26,0.5920000000000001,13.8,9,25,0.48,12,1.0,3,"November 15, 2018",44.0,11,16.0,4,109.8,81.5,22,0.578,51,0.49,25,0.21600000000000003,11,0.182,2,2,200,100.0,30.0,9,18,61,,1.6,1,0.294,15,0.6,9,54.4,31,0.542,21.2,15,36,0.444,16,0.33299999999999996,1,"Magness Arena, Denver, Colorado",DENVER,Denver,61.4,Away,ABILENE-CHRISTIAN,Abilene Christian,Denver,summit,2,False,True,True,Home,False,9,16,51,31,57,10,12,49,0,1,18,23,105,0.47619047619047616,69,145,0.47586206896551725,14,27,118,0.4067796610169492,0.5
3,2018-11-23-15-seattle,43.5,10,11.1,4,115.5,77.8,28,0.434,61,0.377,23,0.213,13,0.769,10,3,200,88.7,21.1,8,17,63,,2.8,2,0.27899999999999997,17,0.41200000000000003,7,48.6,36,0.469,15.2,12,44,0.364,16,0.25,1,"November 23, 2018",51.7,15,9.1,4,88.7,78.9,30,0.556,63,0.46,29,0.28600000000000003,18,0.667,12,2,200,115.5,22.2,8,15,82,,4.2,3,0.429,27,0.444,12,51.4,38,0.573,9.0,7,36,0.47200000000000003,17,0.667,4,"Connolly Center, Seattle, Washington",DENVER,Denver,70.9,Home,SEATTLE,Seattle,Denver,summit,3,False,False,False,Away,False,7,16,61,36,74,12,17,63,0,1,27,39,156,0.5096153846153846,100,202,0.49504950495049505,24,39,167,0.4491017964071856,0.3333333333333333
4,2018-11-24-15-longwood,56.0,14,3.4,1,98.4,76.9,20,0.588,51,0.49,25,0.157,8,0.5,4,3,200,101.6,20.7,6,13,64,,9.5,6,0.47100000000000003,24,0.41700000000000004,10,47.3,26,0.584,21.6,15,27,0.556,15,0.4,2,"November 24, 2018",16.7,4,7.4,2,101.6,79.3,23,0.519,53,0.45299999999999996,24,0.132,7,1.0,7,2,200,98.4,23.1,6,16,62,,14.3,9,0.45299999999999996,24,0.292,7,52.7,29,0.55,17.6,12,29,0.586,17,0.7140000000000001,5,"Connolly Center, Seattle, Washington",LONGWOOD,Longwood,63.1,Away,DENVER,Denver,Denver,summit,4,False,False,False,Away,True,10,15,51,26,55,7,17,53,1,0,34,55,217,0.48847926267281105,136,276,0.4927536231884058,36,56,230,0.4782608695652174,0.25
5,2018-11-25-15-fairfield,34.5,10,13.5,5,126.5,80.0,24,0.615,48,0.604,29,0.6459999999999999,31,0.8390000000000001,26,4,200,125.0,36.4,8,12,85,,8.8,6,0.188,9,0.111,1,61.5,32,0.6779999999999999,16.3,12,39,0.718,28,0.33299999999999996,2,"November 25, 2018",47.1,16,0.0,0,125.0,63.6,14,0.664,61,0.557,34,0.14800000000000002,9,0.556,5,5,200,126.5,20.0,6,23,86,,8.8,6,0.39299999999999996,24,0.542,13,38.5,20,0.659,13.3,10,37,0.568,21,0.28600000000000003,2,"Connolly Center, Seattle, Washington",DENVER,Denver,68.0,Home,FAIRFIELD,Fairfield,Denver,summit,5,False,False,False,Away,False,1,28,48,32,52,13,21,61,0,1,44,70,268,0.5074626865671642,162,331,0.48942598187311176,43,73,283,0.48586572438162545,0.4
6,2018-11-28-21-denver,45.5,15,5.8,3,97.3,71.9,23,0.617,64,0.516,33,0.203,13,0.6920000000000001,9,1,200,118.9,33.3,9,12,88,,4.1,3,0.42200000000000004,27,0.48100000000000004,13,54.2,32,0.627,14.7,12,37,0.541,20,0.8,4,"November 28, 2018",45.2,14,13.5,5,118.9,66.7,18,0.515,66,0.47,31,0.076,5,0.8,4,5,200,97.3,28.1,9,18,72,,12.2,9,0.212,14,0.429,6,45.8,27,0.527,18.0,15,52,0.48100000000000004,25,0.28600000000000003,2,"Magness Arena, Denver, Colorado",DENVER,Denver,73.8,Away,NORTHERN-COLORADO,Northern Colorado,Denver,summit,6,False,True,True,Home,False,6,25,66,27,59,13,20,64,0,1,45,98,316,0.5237341772151899,194,383,0.5065274151436031,56,94,344,0.5174418604651163,0.3333333333333333
7,2018-12-01-21-utah-valley,50.0,13,3.4,1,127.3,75.9,22,0.508,60,0.433,26,0.3,18,0.778,14,6,200,97.4,15.6,5,21,75,,9.1,7,0.41700000000000004,25,0.36,9,44.3,27,0.547,15.0,12,35,0.486,17,0.25,2,"December 1, 2018",51.6,16,0.0,0,97.4,84.4,27,0.647,58,0.534,31,0.603,35,0.657,23,3,200,127.3,24.1,7,17,98,,5.2,4,0.5,29,0.44799999999999995,13,55.7,34,0.657,12.0,10,29,0.621,18,0.667,6,"UCCU Center, Orem, Utah",DENVER,Denver,76.6,Home,UTAH-VALLEY,Utah Valley,Denver,summit,7,False,False,False,Away,False,9,17,60,27,61,13,18,58,0,1,51,123,382,0.5222513089005235,221,442,0.5,69,114,408,0.5330882352941176,0.2857142857142857
8,2018-12-05-21-air-force,69.6,16,0.0,0,107.4,81.5,22,0.483,59,0.39,23,0.22,13,0.615,8,7,200,95.6,31.6,12,22,65,,5.9,4,0.45799999999999996,27,0.40700000000000003,11,52.3,34,0.499,18.8,15,32,0.375,12,0.222,2,"December 5, 2018",75.0,18,9.4,3,95.6,68.4,26,0.55,50,0.48,24,0.42,21,0.857,18,5,200,107.4,18.5,5,16,73,,10.3,7,0.52,26,0.26899999999999996,7,47.7,31,0.609,16.8,12,24,0.708,17,0.444,4,"Clune Arena , Colorado Springs, Colorado",DENVER,Denver,67.6,Home,AIR-FORCE,Air Force,Denver,summit,8,False,False,False,Away,False,11,12,59,34,65,7,17,50,0,1,60,140,442,0.5203619909502263,248,503,0.49304174950298213,82,132,466,0.5472103004291845,0.25
9,2018-12-09-15-denver,50.0,12,6.5,3,117.7,63.9,23,0.469,65,0.369,24,0.24600000000000002,16,0.5,8,0,200,87.3,23.8,10,23,69,,8.9,7,0.462,30,0.433,13,42.3,33,0.475,19.1,17,35,0.314,11,0.0,0,"December 9, 2018",54.5,18,14.3,5,87.3,76.2,32,0.568,66,0.5,33,0.39399999999999996,26,0.6920000000000001,18,7,200,117.7,36.1,13,16,93,,6.3,5,0.303,20,0.45,9,57.7,45,0.593,15.3,14,46,0.522,24,0.3,3,"Magness Arena, Denver, Colorado","Western Colorado
			","Western Colorado
			",79.5,Home,DENVER,Denver,Denver,summit,9,True,False,True,Home,True,9,24,66,45,78,13,11,65,1,0,71,152,501,0.5159680638722555,282,568,0.4964788732394366,89,149,516,0.5474806201550387,0.2222222222222222
