,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BOISE-STATE_homegame,BOISE-STATE_homegame2,BOISE-STATE_home,BOISE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-10-21-boise-state,59.1,13,8.1,3,97.2,66.7,22,0.483,58,0.379,22,0.32799999999999996,19,0.8420000000000001,16,1,200,100.0,16.1,5,22,72,,2.8,2,0.431,25,0.48,12,42.2,27,0.537,15.3,12,33,0.303,10,0.5,1,"November 10, 2018",48.0,12,9.1,3,100.0,83.9,26,0.46799999999999997,62,0.40299999999999997,25,0.371,23,0.522,12,1,200,97.2,33.3,11,19,70,,4.2,3,0.40299999999999997,25,0.32,8,57.8,37,0.48,11.1,9,37,0.45899999999999996,17,0.0,0,"Taco Bell Arena, Boise, Idaho",BOISE-STATE,Boise State,72.5,Away,IDAHO-STATE,Idaho State,Boise State,mwc,0,False,True,True,Home,False,8,17,62,37,64,12,10,58,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-16-22-boise-state,33.3,8,0.0,0,98.6,85.7,24,0.425,60,0.4,24,0.067,4,0.5,2,3,200,74.6,17.6,6,18,53,,7.0,5,0.233,14,0.214,3,48.4,30,0.428,21.6,17,46,0.457,21,0.0,0,"November 16, 2018",52.0,13,10.9,5,74.6,82.4,28,0.519,52,0.48100000000000004,25,0.365,19,0.8420000000000001,16,1,200,98.6,14.3,4,12,70,,9.9,7,0.385,20,0.2,4,51.6,32,0.574,17.7,13,32,0.6559999999999999,21,0.5,1,"Taco Bell Arena, Boise, Idaho",JACKSON-STATE,Jackson State,71.5,Home,BOISE-STATE,Boise State,Boise State,mwc,1,True,False,True,Home,True,4,21,52,32,62,3,21,60,1,0,8,17,62,0.46774193548387094,37,64,0.578125,12,10,58,0.4827586206896552,0.0
2,2018-11-19-19-creighton,25.0,8,8.6,3,127.0,76.0,19,0.5479999999999999,62,0.516,32,0.355,22,0.636,14,2,200,110.8,25.7,9,20,82,,8.1,6,0.242,15,0.267,4,46.7,28,0.5660000000000001,13.3,11,47,0.596,28,0.33299999999999996,1,"November 19, 2018",69.7,23,2.1,1,110.8,74.3,26,0.684,57,0.579,33,0.386,22,0.727,16,1,200,127.0,24.0,6,18,94,,5.4,4,0.386,22,0.545,12,53.3,32,0.6970000000000001,15.3,12,35,0.6,21,0.75,3,"John Gray Gymnasium, Grand Cayman",BOISE-STATE,Boise State,74.0,Home,CREIGHTON,Creighton,Boise State,mwc,2,False,False,False,Away,False,4,28,62,28,60,12,21,57,0,1,12,38,114,0.49122807017543857,69,126,0.5476190476190477,15,31,118,0.4533898305084746,0.5
3,2018-11-20-17-boise-state,29.4,5,10.5,2,114.3,73.7,14,0.368,53,0.321,17,0.28300000000000003,15,0.867,13,4,200,82.5,18.2,6,13,52,,4.8,3,0.321,17,0.294,5,38.5,20,0.43200000000000005,14.4,10,36,0.33299999999999996,12,0.2,1,"November 20, 2018",64.0,16,2.8,1,82.5,81.8,27,0.733,43,0.581,25,0.233,10,0.9,9,2,200,114.3,26.3,5,17,72,,6.3,4,0.5579999999999999,24,0.542,13,61.5,32,0.754,28.6,19,19,0.632,12,0.5,2,"John Gray Gymnasium, Grand Cayman",ST-BONAVENTURE,St. Bonaventure,62.9,Home,BOISE-STATE,Boise State,Boise State,mwc,3,True,False,True,Home,True,13,12,43,32,52,5,12,53,1,0,16,66,176,0.5113636363636364,97,186,0.521505376344086,27,52,175,0.5285714285714286,0.3333333333333333
4,2018-11-21-13-illinois-state,57.7,15,4.9,2,101.4,82.4,28,0.546,54,0.48100000000000004,26,0.24100000000000002,13,0.846,11,3,200,97.2,16.0,4,17,70,,5.6,4,0.444,24,0.292,7,54.2,32,0.5820000000000001,21.1,16,30,0.633,19,0.4,2,"November 21, 2018",53.6,15,3.3,1,97.2,84.0,21,0.525,61,0.45899999999999996,28,0.24600000000000002,15,0.6,9,2,200,101.4,17.6,6,14,73,,11.1,8,0.32799999999999996,20,0.4,8,45.8,27,0.536,11.7,9,41,0.488,20,0.667,4,"John Gray Gymnasium, Grand Cayman",BOISE-STATE,Boise State,71.7,Home,ILLINOIS-STATE,Illinois State,Boise State,mwc,4,False,False,False,Away,False,7,19,54,32,59,8,20,61,0,1,29,78,219,0.5547945205479452,129,238,0.542016806722689,32,64,228,0.49122807017543857,0.5
5,2018-11-27-20-drake,39.3,11,11.4,4,109.2,78.1,25,0.49200000000000005,65,0.431,28,0.231,15,0.667,10,4,200,97.4,21.6,8,27,74,,7.9,6,0.369,24,0.33299999999999996,8,47.8,33,0.513,15.4,13,41,0.488,20,0.33299999999999996,2,"November 27, 2018",56.0,14,24.4,10,97.4,78.4,29,0.474,58,0.431,25,0.586,34,0.8240000000000001,28,1,200,109.2,21.9,7,17,83,,11.8,9,0.397,23,0.217,5,52.2,36,0.56,9.9,8,35,0.5710000000000001,20,0.8,4,"Knapp Center, Des Moines, Iowa",BOISE-STATE,Boise State,76.1,Home,DRAKE,Drake,Boise State,mwc,5,False,False,False,Away,False,8,20,65,33,69,5,20,58,0,1,36,97,273,0.5531135531135531,161,297,0.5420875420875421,40,84,289,0.4982698961937716,0.4
6,2018-12-01-21-grand-canyon,18.5,5,16.1,5,103.0,73.9,17,0.6,50,0.54,27,0.24,12,0.583,7,5,200,100.0,28.0,7,22,67,,11.9,8,0.3,15,0.4,6,50.0,24,0.601,22.4,16,35,0.6,21,0.28600000000000003,2,"December 1, 2018",38.5,10,8.6,3,100.0,72.0,18,0.546,54,0.48100000000000004,26,0.33299999999999996,18,0.556,10,3,200,103.0,26.1,6,17,69,,7.5,5,0.426,23,0.304,7,50.0,24,0.552,16.2,12,31,0.613,19,0.625,5,"Grand Canyon University Arena, Phoenix, Arizona",BOISE-STATE,Boise State,66.6,Home,GRAND-CANYON,Grand Canyon,Boise State,mwc,6,False,False,False,Away,False,6,21,50,24,48,7,19,54,0,1,44,117,338,0.5414201183431953,194,366,0.5300546448087432,45,104,347,0.4942363112391931,0.3333333333333333
7,2018-12-08-16-boise-state,33.3,9,15.0,6,118.8,66.7,22,0.536,55,0.491,27,0.091,5,0.6,3,0,200,89.9,17.9,5,22,62,,8.7,6,0.345,19,0.263,5,44.3,27,0.54,21.9,16,36,0.611,22,0.0,0,"December 8, 2018",46.4,13,2.8,1,89.9,82.1,23,0.5429999999999999,58,0.483,28,0.517,30,0.633,19,5,200,118.8,33.3,11,11,82,,11.6,8,0.31,18,0.389,7,55.7,34,0.5670000000000001,10.1,8,40,0.525,21,0.375,3,"Taco Bell Arena, Boise, Idaho","Central Washington
			","Central Washington
			",68.8,Home,BOISE-STATE,Boise State,Boise State,mwc,7,True,False,True,Home,True,7,21,58,34,61,5,22,55,1,0,50,138,388,0.5489690721649485,218,414,0.5265700483091788,52,123,401,0.5012468827930174,0.2857142857142857
8,2018-12-12-21-boise-state,45.5,10,7.7,2,104.7,72.4,21,0.449,59,0.373,22,0.153,9,0.444,4,5,200,89.1,26.3,10,19,57,,7.8,5,0.424,25,0.36,9,46.3,31,0.45,16.0,12,34,0.382,13,0.28600000000000003,2,"December 12, 2018",63.6,14,8.8,3,89.1,73.7,28,0.531,49,0.449,22,0.408,20,0.75,15,5,200,104.7,27.6,8,15,67,,7.8,5,0.469,23,0.348,8,53.7,36,0.573,18.4,13,26,0.5379999999999999,14,0.444,4,"Taco Bell Arena, Boise, Idaho",ALABAMA-STATE,Alabama State,64.4,Home,BOISE-STATE,Boise State,Boise State,mwc,8,True,False,True,Home,True,8,14,49,36,67,9,13,59,1,0,57,159,446,0.5482062780269058,252,475,0.5305263157894737,57,145,456,0.5054824561403509,0.375
9,2018-12-15-21-oregon,27.8,5,3.4,1,104.8,77.3,17,0.42200000000000004,51,0.353,18,0.353,18,0.611,11,6,200,85.7,17.6,6,17,54,,6.3,4,0.314,16,0.43799999999999994,7,41.1,23,0.45299999999999996,14.5,10,35,0.314,11,0.4,4,"December 15, 2018",33.3,7,8.6,3,85.7,82.4,28,0.535,43,0.488,21,0.581,25,0.8,20,3,200,104.8,22.7,5,17,66,,7.9,5,0.326,14,0.28600000000000003,4,58.9,33,0.601,18.2,12,29,0.586,17,0.7,7,"Matthew Knight Arena, Eugene, Oregon",BOISE-STATE,Boise State,62.7,Home,OREGON,Oregon,Boise State,mwc,9,False,False,False,Away,False,7,11,51,23,56,4,17,43,0,1,65,173,495,0.5464646464646464,288,542,0.5313653136531366,66,158,515,0.49902912621359224,0.4444444444444444
