,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHEASTERN-LOUISIANA_homegame,SOUTHEASTERN-LOUISIANA_homegame2,SOUTHEASTERN-LOUISIANA_home,SOUTHEASTERN-LOUISIANA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-louisiana-state,36.4,8,2.4,1,132.4,51.3,20,0.47200000000000003,54,0.40700000000000003,22,0.35200000000000004,19,0.632,12,1,200,88.7,30.3,10,21,63,,5.6,4,0.426,23,0.304,7,41.7,30,0.5,23.4,19,31,0.484,15,0.0,0,"November 6, 2018",43.8,14,12.9,4,88.7,69.7,23,0.53,66,0.485,32,0.47,31,0.774,24,0,200,132.4,48.7,19,17,94,23.0,18.3,13,0.364,24,0.25,6,58.3,42,0.5820000000000001,10.2,9,42,0.619,26,1.0,1,"Maravich Assembly Center, Baton Rouge, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,71.4,Home,LOUISIANA-STATE,LSU,Southeastern Louisiana,southland,0,False,False,False,Away,False,7,15,54,30,72,6,26,66,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-southeastern-louisiana,27.3,6,11.4,5,100.0,66.7,24,0.418,55,0.4,22,0.273,15,0.733,11,0,200,73.1,19.4,6,15,57,,9.0,7,0.218,12,0.16699999999999998,2,44.8,30,0.45899999999999996,27.2,23,43,0.465,20,0.0,0,"November 9, 2018",62.1,18,16.3,7,73.1,80.6,25,0.5,66,0.439,29,0.258,17,0.706,12,1,200,100.0,33.3,12,18,78,,15.4,12,0.33299999999999996,22,0.364,8,55.2,37,0.526,17.0,15,44,0.47700000000000004,21,0.5,1,"University Center, Hammond, Louisiana","William Carey
			","William Carey
			",78.1,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Southeastern Louisiana,southland,1,True,False,True,Home,True,8,21,66,37,67,2,20,55,1,0,7,15,54,0.4722222222222222,30,72,0.4166666666666667,6,26,66,0.5303030303030303,0.0
2,2018-11-11-16-nebraska,53.3,8,6.7,2,114.5,76.9,20,0.295,56,0.268,15,0.071,4,0.5,2,2,200,46.1,16.7,6,18,35,,11.8,9,0.304,17,0.17600000000000002,3,41.9,26,0.302,30.2,25,39,0.308,12,0.33299999999999996,1,"November 11, 2018",67.7,21,20.5,8,46.1,83.3,30,0.636,55,0.564,31,0.4,22,0.773,17,0,200,114.5,23.1,6,14,87,,18.4,14,0.455,25,0.32,8,58.1,36,0.665,18.8,15,30,0.767,23,1.0,2,"Pinnacle Bank Arena, Lincoln, Nebraska",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,75.7,Home,NEBRASKA,Nebraska,Southeastern Louisiana,southland,2,False,False,False,Away,False,3,12,56,26,62,8,23,55,0,1,15,36,120,0.4875,67,139,0.48201438848920863,8,46,121,0.4793388429752066,0.5
3,2018-11-13-19-texas-tech,58.3,7,3.0,1,89.4,80.8,21,0.315,46,0.261,12,0.391,18,0.611,11,3,200,60.6,8.8,3,18,40,,6.1,4,0.63,29,0.172,5,40.0,24,0.36700000000000005,20.6,14,17,0.41200000000000003,7,0.25,1,"November 13, 2018",54.5,12,29.4,5,60.6,91.2,31,0.47100000000000003,52,0.423,22,0.308,16,0.625,10,0,200,89.4,19.2,5,19,59,,9.1,6,0.365,19,0.263,5,60.0,36,0.495,15.7,11,33,0.515,17,1.0,3,"United Supermarkets Arena, Lubbock, Texas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,65.6,Home,TEXAS-TECH,Texas Tech,Southeastern Louisiana,southland,3,False,False,False,Away,False,5,7,46,24,60,5,17,52,0,1,18,48,176,0.42613636363636365,93,201,0.4626865671641791,16,69,176,0.5284090909090909,0.3333333333333333
4,2018-11-17-17-southeastern-louisiana,31.6,6,0.0,0,100.0,61.3,19,0.44799999999999995,48,0.396,19,0.542,26,0.5379999999999999,14,3,200,82.6,25.7,9,26,57,,7.2,5,0.292,14,0.35700000000000004,5,42.4,28,0.47200000000000003,24.2,19,34,0.41200000000000003,14,0.25,1,"November 17, 2018",59.1,13,5.9,2,82.6,74.3,26,0.469,49,0.449,22,0.612,30,0.767,23,3,200,100.0,38.7,12,21,69,,5.8,4,0.306,15,0.133,2,57.6,38,0.545,20.5,16,34,0.588,20,0.4,2,"University Center, Hammond, Louisiana",STETSON,Stetson,68.8,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Southeastern Louisiana,southland,4,True,False,True,Home,True,2,20,49,38,66,5,14,48,1,0,23,55,222,0.40315315315315314,117,261,0.4482758620689655,21,86,228,0.5153508771929824,0.25
5,2018-11-20-19-mississippi-valley-state,72.7,16,7.5,4,93.2,63.6,21,0.419,62,0.355,22,0.226,14,0.5,7,4,200,79.7,26.2,11,21,59,,10.8,8,0.435,27,0.29600000000000004,8,42.7,32,0.43,19.0,16,35,0.4,14,0.33299999999999996,2,"November 20, 2018",46.2,12,14.3,5,79.7,73.8,31,0.42200000000000004,64,0.406,26,0.266,17,0.882,15,5,200,93.2,36.4,12,16,69,,10.8,8,0.172,11,0.182,2,57.3,43,0.479,17.3,15,53,0.45299999999999996,24,0.16699999999999998,1,"Harrison HPER Complex, Itta Bena, Mississippi",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,74.4,Home,MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,Southeastern Louisiana,southland,5,False,False,False,Away,False,8,14,62,32,75,2,24,64,0,1,25,75,271,0.4151291512915129,155,327,0.4740061162079511,26,100,276,0.5036231884057971,0.4
6,2018-11-26-20-southeastern-louisiana,64.0,16,7.1,3,111.7,72.0,18,0.536,56,0.446,25,0.268,15,0.733,11,0,200,92.2,33.3,11,22,71,,10.4,8,0.429,24,0.41700000000000004,10,50.0,29,0.562,27.7,24,32,0.469,15,0.0,0,"November 26, 2018",47.1,16,12.5,4,92.2,66.7,22,0.652,56,0.607,34,0.41100000000000003,23,0.565,13,4,200,111.7,28.0,7,21,86,,16.9,13,0.25,14,0.35700000000000004,5,50.0,29,0.643,21.4,18,42,0.69,29,0.429,3,"University Center, Hammond, Louisiana","Louisiana College
			","Louisiana College
			",77.0,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Southeastern Louisiana,southland,6,True,False,True,Home,True,5,29,56,29,58,10,15,56,1,0,33,89,333,0.4159159159159159,187,402,0.4651741293532338,28,124,340,0.48823529411764705,0.3333333333333333
7,2018-12-01-16-tulane,44.0,11,3.1,1,87.1,88.9,24,0.467,60,0.41700000000000004,25,0.15,9,0.667,6,4,200,88.6,18.8,6,19,62,,12.9,9,0.317,19,0.316,6,50.8,30,0.48200000000000004,15.8,12,41,0.46299999999999997,19,0.5,4,"December 1, 2018",54.5,12,19.5,8,88.6,81.3,26,0.52,49,0.449,22,0.306,15,0.667,10,5,200,87.1,11.1,3,15,61,,11.4,8,0.34700000000000003,17,0.41200000000000003,7,49.2,29,0.5429999999999999,23.4,17,32,0.469,15,0.28600000000000003,2,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,70.2,Away,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Southeastern Louisiana,southland,7,False,False,False,Away,True,6,19,60,30,59,7,15,49,1,0,38,118,389,0.4498714652956298,216,460,0.46956521739130436,38,139,396,0.494949494949495,0.42857142857142855
8,2018-12-12-19-mississippi,78.9,15,2.5,1,115.0,64.0,16,0.392,51,0.373,19,0.196,10,0.7,7,5,200,78.3,19.2,5,11,47,,3.3,2,0.33299999999999996,17,0.11800000000000001,2,41.2,21,0.42200000000000004,16.6,11,34,0.5,17,0.444,4,"December 12, 2018",57.1,16,8.8,3,78.3,80.8,21,0.585,53,0.528,28,0.226,12,0.583,7,2,200,115.0,36.0,9,15,69,,8.3,5,0.245,13,0.462,6,58.8,30,0.588,13.4,9,40,0.55,22,0.778,7,"Mississippi Coliseum, Jackson, Mississippi",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,60.2,Home,MISSISSIPPI,Ole Miss,Southeastern Louisiana,southland,8,False,False,False,Away,False,2,17,51,21,51,6,22,53,0,1,44,137,449,0.4521158129175947,246,519,0.47398843930635837,45,154,445,0.49775280898876406,0.5
9,2018-12-17-20-southeastern-louisiana,28.0,7,9.1,3,76.5,79.4,27,0.63,46,0.5429999999999999,25,0.391,18,0.833,15,5,200,107.4,23.8,5,20,73,,4.4,3,0.435,20,0.4,8,58.2,32,0.669,24.0,17,26,0.654,17,0.545,6,"December 17, 2018",63.2,12,11.5,3,107.4,76.2,16,0.431,51,0.373,19,0.353,18,0.444,8,6,200,76.5,20.6,7,15,52,,13.2,9,0.353,18,0.33299999999999996,6,41.8,23,0.43700000000000006,21.4,16,33,0.39399999999999996,13,0.4,4,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,67.6,Away,CALIFORNIA-BAPTIST,California Baptist,Southeastern Louisiana,southland,9,False,True,True,Home,False,6,13,51,23,55,8,17,46,0,1,46,154,500,0.446,267,570,0.46842105263157896,51,176,498,0.5070281124497992,0.4444444444444444
10,2018-12-19-19-grambling,45.5,10,2.4,1,98.6,78.6,22,0.47100000000000003,52,0.423,22,0.519,27,0.7040000000000001,19,7,200,97.1,43.3,13,18,68,,8.6,6,0.308,16,0.313,5,60.3,35,0.524,20.0,16,36,0.47200000000000003,17,0.364,4,"December 19, 2018",45.5,10,11.1,4,97.1,56.7,17,0.48,51,0.431,22,0.49,25,0.8,20,6,200,98.6,21.4,6,19,69,,8.6,6,0.196,10,0.5,5,39.7,23,0.5489999999999999,20.5,16,41,0.415,17,0.5,6,"Assembly Center, Grambling, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,70.4,Home,GRAMBLING,Grambling,Southeastern Louisiana,southland,10,False,False,False,Away,False,5,17,52,35,58,5,17,51,0,1,52,167,551,0.44464609800362975,290,625,0.464,59,193,544,0.5174632352941176,0.4
11,2018-12-22-14-bradley,75.0,15,6.3,2,101.6,67.6,23,0.5429999999999999,47,0.426,20,0.298,14,0.643,9,8,200,96.8,37.0,10,30,60,,1.6,1,0.489,23,0.478,11,54.1,33,0.5589999999999999,23.1,16,24,0.375,9,0.33299999999999996,4,"December 22, 2018",50.0,8,25.0,6,96.8,63.0,17,0.39399999999999996,47,0.34,16,0.83,39,0.667,26,5,200,101.6,32.4,11,18,63,,6.5,4,0.319,15,0.33299999999999996,5,45.9,28,0.48100000000000004,12.3,9,32,0.344,11,0.615,8,"Carver Arena, Peoria, Illinois",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,61.6,Home,BRADLEY,Bradley,Southeastern Louisiana,southland,11,False,False,False,Away,False,11,9,47,33,61,5,11,47,0,1,57,184,603,0.4469320066334992,325,683,0.47584187408491946,64,210,595,0.5142857142857142,0.36363636363636365
12,2018-12-29-17-southeastern-louisiana,25.9,7,24.1,7,94.7,73.5,25,0.455,66,0.409,27,0.273,18,0.722,13,4,200,96.1,31.6,12,22,73,,10.5,8,0.33299999999999996,22,0.273,6,51.4,37,0.49,19.6,18,44,0.47700000000000004,21,0.6920000000000001,9,"December 29, 2018",56.5,13,13.6,6,96.1,68.4,26,0.55,50,0.46,23,0.64,32,0.531,17,9,200,94.7,26.5,9,19,72,,14.5,11,0.42,21,0.429,9,48.6,35,0.552,19.0,15,29,0.483,14,0.308,4,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,75.9,Away,LOUISIANA-LAFAYETTE,Louisiana,Southeastern Louisiana,southland,12,False,True,True,Home,False,9,14,50,35,72,6,21,66,0,1,68,193,650,0.45384615384615384,358,744,0.48118279569892475,69,221,642,0.5054517133956387,0.3333333333333333
