,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOYOLA-IL_homegame,LOYOLA-IL_homegame2,LOYOLA-IL_home,LOYOLA-IL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-loyola-il,41.2,7,0.0,0,104.1,82.8,24,0.35100000000000003,57,0.298,17,0.33299999999999996,19,0.263,5,1,200,61.6,13.3,6,20,45,,15.1,11,0.35100000000000003,20,0.3,6,40.5,30,0.341,17.6,14,37,0.297,11,0.0,0,"November 6, 2018",58.6,17,13.5,5,61.6,86.7,39,0.623,53,0.547,29,0.396,21,0.47600000000000003,10,0,200,104.1,17.2,5,16,76,,11.0,8,0.415,22,0.364,8,59.5,44,0.603,18.4,14,31,0.677,21,1.0,1,"Joseph J. Gentile Center, Chicago, Illinois",MISSOURI-KANSAS-CITY,UMKC,73.0,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,0,True,False,True,Home,True,8,21,53,44,74,6,11,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-loyola-il,42.9,9,20.6,7,78.4,81.8,27,0.436,55,0.382,21,0.309,17,0.706,12,0,200,81.1,12.1,4,20,60,,12.2,9,0.4,22,0.273,6,47.0,31,0.47600000000000003,20.4,16,33,0.455,15,1.0,2,"November 9, 2018",50.0,10,15.2,5,81.1,87.9,29,0.39799999999999996,54,0.37,20,0.46299999999999997,25,0.6,15,1,200,78.4,18.2,6,13,58,,13.5,10,0.37,20,0.15,3,53.0,35,0.44,16.7,13,34,0.5,17,0.5,1,"Joseph J. Gentile Center, Chicago, Illinois",LOYOLA-IL,Loyola (IL),74.0,Away,FURMAN,Furman,Loyola (IL),mvc,1,False,True,True,Home,False,3,17,54,35,66,6,15,55,0,1,8,21,53,0.6226415094339622,44,74,0.5945945945945946,6,11,57,0.3508771929824561,1.0
2,2018-11-14-20-loyola-il,47.4,9,10.3,4,107.1,79.3,23,0.34600000000000003,65,0.292,19,0.292,19,0.895,17,1,200,88.6,29.8,14,16,62,,4.3,3,0.354,23,0.304,7,48.7,37,0.419,10.9,9,42,0.28600000000000003,12,0.5,1,"November 14, 2018",53.3,16,14.3,6,88.6,70.2,33,0.56,58,0.517,30,0.293,17,0.588,10,1,200,107.1,20.7,6,17,75,,8.6,6,0.32799999999999996,19,0.263,5,51.3,39,0.568,13.2,10,39,0.6409999999999999,25,0.667,2,"Joseph J. Gentile Center, Chicago, Illinois",NIAGARA,Niagara,69.6,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,2,True,False,True,Home,True,5,25,58,39,76,7,12,65,1,0,11,38,107,0.5093457943925234,79,140,0.5642857142857143,12,26,112,0.39285714285714285,0.5
3,2018-11-16-20-loyola-il,53.8,14,6.9,2,108.1,100.0,24,0.45899999999999996,61,0.426,26,0.213,13,0.615,8,2,200,86.5,20.0,7,23,64,,12.2,9,0.16399999999999998,10,0.4,4,52.5,31,0.47600000000000003,17.3,14,51,0.431,22,0.33299999999999996,1,"November 16, 2018",65.4,17,9.8,5,86.5,80.0,28,0.6559999999999999,45,0.578,26,0.667,30,0.7,21,1,200,108.1,0.0,0,15,80,,10.8,8,0.35600000000000004,16,0.43799999999999994,7,47.5,28,0.675,19.4,14,29,0.655,19,0.75,3,"Joseph J. Gentile Center, Chicago, Illinois",GRAMBLING,Grambling,73.7,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,3,True,False,True,Home,True,7,19,45,28,59,4,22,61,1,0,16,63,165,0.5272727272727272,118,216,0.5462962962962963,19,38,177,0.3757062146892655,0.6666666666666666
4,2018-11-19-18-richmond,32.3,10,0.0,0,95.7,95.8,23,0.7,50,0.62,31,0.5,25,0.48,12,1,200,118.8,36.0,9,18,82,,10.1,7,0.38,19,0.42100000000000004,8,65.3,32,0.6629999999999999,21.8,17,31,0.742,23,0.8,4,"November 19, 2018",44.0,11,3.2,1,118.8,64.0,16,0.604,48,0.521,25,0.25,12,0.667,8,2,200,95.7,4.2,1,19,66,,11.6,8,0.45799999999999996,22,0.364,8,34.7,17,0.615,22.0,15,26,0.654,17,0.5,2,"Suncoast Credit Union Arena, Fort Myers, Florida",RICHMOND,Richmond,68.8,Away,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,4,False,False,False,Away,True,8,23,50,32,49,8,17,48,1,0,23,82,210,0.5547619047619048,146,275,0.5309090909090909,23,60,238,0.39705882352941174,0.75
5,2018-11-21-19-boston-college,60.9,14,0.0,0,104.0,89.3,25,0.48200000000000004,55,0.418,23,0.29100000000000004,16,0.813,13,2,200,88.0,9.4,3,19,66,,13.3,10,0.436,24,0.292,7,46.7,28,0.527,18.4,14,31,0.516,16,0.667,4,"November 21, 2018",46.7,14,12.9,4,88.0,90.6,29,0.578,58,0.517,30,0.293,17,0.647,11,1,200,104.0,10.7,3,15,78,,5.3,4,0.36200000000000004,21,0.33299999999999996,7,53.3,32,0.59,16.6,13,37,0.622,23,0.8,4,"Suncoast Credit Union Arena, Fort Myers, Florida",LOYOLA-IL,Loyola (IL),74.8,Home,BOSTON-COLLEGE,Boston College,Loyola (IL),mvc,5,False,False,False,Away,False,7,16,55,28,60,7,23,58,0,1,31,105,260,0.5826923076923077,178,324,0.5493827160493827,31,77,286,0.4318181818181818,0.8
6,2018-11-27-20-loyola-il,46.9,15,15.0,6,100.0,75.0,27,0.636,55,0.5820000000000001,32,0.273,15,0.6,9,0,200,121.5,24.0,6,11,79,5.0,10.8,7,0.255,14,0.429,6,54.1,33,0.636,10.2,7,41,0.634,26,1.0,7,"November 27, 2018",57.7,15,14.6,6,121.5,76.0,19,0.49200000000000005,60,0.433,26,0.133,8,0.75,6,3,200,100.0,25.0,9,18,65,,6.2,4,0.33299999999999996,20,0.35,7,45.9,28,0.509,15.9,12,40,0.475,19,0.5710000000000001,4,"Joseph J. Gentile Center, Chicago, Illinois",LOYOLA-IL,Loyola (IL),65.0,Away,NEVADA,Nevada,Loyola (IL),mvc,6,False,True,True,Home,False,7,19,60,28,61,6,26,55,0,1,38,121,315,0.5650793650793651,206,384,0.5364583333333334,38,100,344,0.4563953488372093,0.6666666666666666
7,2018-12-01-16-illinois-chicago,69.0,20,6.8,3,92.8,67.6,25,0.618,51,0.569,29,0.33299999999999996,17,0.588,10,3,200,105.8,4.2,1,11,73,,5.8,4,0.255,13,0.385,5,42.6,26,0.618,13.3,9,38,0.632,24,0.625,5,"December 1, 2018",63.0,17,13.2,5,105.8,95.8,23,0.44,67,0.40299999999999997,27,0.11900000000000001,8,0.625,5,5,200,92.8,32.4,12,18,64,,7.2,5,0.34299999999999997,23,0.217,5,57.4,35,0.452,15.6,13,44,0.5,22,0.375,3,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,69.4,Away,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,7,False,False,False,Away,True,5,24,51,26,61,5,22,67,1,0,45,140,375,0.5533333333333333,234,445,0.5258426966292135,44,126,399,0.48120300751879697,0.5714285714285714
8,2018-12-05-21-loyola-il,53.6,15,12.5,4,97.2,78.8,26,0.653,49,0.5710000000000001,28,0.306,15,0.733,11,3,200,105.6,15.0,3,18,75,,11.3,8,0.34700000000000003,17,0.47100000000000003,8,54.7,29,0.6679999999999999,23.4,17,32,0.625,20,0.667,6,"December 5, 2018",60.9,14,0.0,0,105.6,85.0,17,0.48100000000000004,54,0.426,23,0.426,23,0.7390000000000001,17,4,200,97.2,21.2,7,14,69,,9.9,7,0.40700000000000003,22,0.273,6,45.3,24,0.531,16.9,13,32,0.531,17,0.556,5,"Joseph J. Gentile Center, Chicago, Illinois",LOYOLA-IL,Loyola (IL),70.5,Away,BALL-STATE,Ball State,Loyola (IL),mvc,8,False,True,True,Home,False,6,17,54,24,53,8,20,49,0,1,50,164,426,0.5610328638497653,260,506,0.5138339920948617,49,148,466,0.47532188841201717,0.625
9,2018-12-08-16-maryland,31.3,5,4.5,1,87.3,81.8,18,0.34700000000000003,49,0.327,16,0.184,9,0.778,7,5,200,65.1,25.8,8,12,41,,7.9,5,0.28600000000000003,14,0.14300000000000002,2,49.1,26,0.385,26.4,19,35,0.4,14,0.5,5,"December 8, 2018",47.6,10,37.1,13,65.1,74.2,23,0.532,47,0.447,21,0.149,7,0.7140000000000001,5,2,200,87.3,18.2,4,13,55,23.0,9.5,6,0.532,25,0.32,8,50.9,27,0.546,23.0,15,22,0.591,13,0.8,8,"Royal Farms Arena, Baltimore, Maryland",LOYOLA-IL,Loyola (IL),62.8,Home,MARYLAND,Maryland,Loyola (IL),mvc,9,False,False,False,Away,False,2,14,49,26,53,8,13,47,0,1,56,181,480,0.5520833333333334,284,559,0.5080500894454383,57,168,515,0.49223300970873785,0.5555555555555556
10,2018-12-16-16-loyola-il,73.7,14,5.3,1,127.0,73.3,11,0.409,55,0.345,19,0.109,6,0.667,4,8,200,77.8,17.6,6,16,49,,19.0,12,0.345,19,0.368,7,34.7,17,0.424,19.5,14,36,0.33299999999999996,12,0.33299999999999996,4,"December 16, 2018",85.7,24,16.7,6,77.8,82.4,28,0.841,41,0.6829999999999999,28,0.39,16,0.688,11,5,200,127.0,26.7,4,9,80,,4.8,3,0.537,22,0.591,13,65.3,32,0.823,25.0,16,19,0.789,15,0.545,6,"Joseph J. Gentile Center, Chicago, Illinois",NORFOLK-STATE,Norfolk State,63.2,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,10,True,False,True,Home,True,13,15,41,32,49,7,12,55,1,0,58,195,529,0.5330812854442344,310,612,0.5065359477124183,65,181,562,0.49555160142348753,0.5
11,2018-12-18-20-loyola-il,70.6,12,0.0,0,111.9,82.6,19,0.413,52,0.327,17,0.077,4,1.0,4,0,200,70.1,9.1,3,19,47,,6.0,4,0.5770000000000001,30,0.3,9,39.3,22,0.436,24.0,17,22,0.364,8,0.0,0,"December 18, 2018",72.4,21,13.6,3,70.1,90.9,30,0.66,47,0.617,29,0.426,20,0.65,13,5,200,111.9,17.4,4,10,75,,13.4,9,0.27699999999999997,13,0.308,4,60.7,34,0.664,18.9,13,34,0.735,25,0.583,7,"Joseph J. Gentile Center, Chicago, Illinois","Benedictine (IL)
			","Benedictine (IL)
			",66.7,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,11,True,False,True,Home,True,4,25,47,34,56,9,8,52,1,0,71,210,570,0.5552631578947368,342,661,0.5173978819969742,72,193,617,0.4878444084278768,0.5454545454545454
