,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ROBERT-MORRIS_homegame,ROBERT-MORRIS_homegame2,ROBERT-MORRIS_home,ROBERT-MORRIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-23-southern-california,66.7,16,4.5,2,107.8,76.9,20,0.379,70,0.34299999999999997,24,0.157,11,0.818,9,1,200,80.5,24.4,11,23,62,,7.8,6,0.429,30,0.16699999999999998,5,43.7,31,0.41200000000000003,12.8,11,40,0.475,19,0.0,0,"November 6, 2018",53.3,16,12.5,5,80.5,75.6,34,0.588,57,0.526,30,0.439,25,0.64,16,0,200,107.8,23.1,6,15,83,,6.5,5,0.228,13,0.5379999999999999,7,56.3,40,0.603,18.1,15,44,0.523,23,1.0,1,"Galen Center, Los Angeles, California",ROBERT-MORRIS,Robert Morris,76.6,Home,SOUTHERN-CALIFORNIA,USC,Robert Morris,northeast,0,False,False,False,Away,False,5,19,70,31,71,7,23,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-missouri-state,73.7,14,15.6,5,96.1,88.5,23,0.385,61,0.311,19,0.32799999999999996,20,0.65,13,2,200,77.9,27.5,11,25,60,,10.4,8,0.557,34,0.265,9,51.5,34,0.426,21.4,19,27,0.37,10,0.0,0,"November 9, 2018",52.2,12,11.1,3,77.9,72.5,29,0.52,49,0.469,23,0.5710000000000001,28,0.821,23,0,200,96.1,11.5,3,18,74,,10.4,8,0.34700000000000003,17,0.294,5,48.5,32,0.594,21.7,17,32,0.563,18,1.0,2,"JQH Arena, Springfield, Missouri",ROBERT-MORRIS,Robert Morris,77.4,Home,MISSOURI-STATE,Missouri State,Robert Morris,northeast,1,False,False,False,Away,False,9,10,61,34,66,5,18,49,0,1,5,19,70,0.37857142857142856,31,71,0.43661971830985913,7,23,57,0.5877192982456141,0.0
2,2018-11-14-19-robert-morris,44.4,8,0.0,0,144.4,62.1,18,0.406,48,0.375,18,0.396,19,0.9470000000000001,18,0,200,79.2,32.1,9,21,57,,4.2,3,0.292,14,0.214,3,47.4,27,0.5,30.7,25,34,0.441,15,0.0,0,"November 14, 2018",80.6,25,2.9,1,79.2,67.9,19,0.6890000000000001,61,0.508,31,0.39299999999999996,24,0.833,20,2,200,144.4,37.9,11,20,104,,18.1,13,0.705,43,0.512,22,52.6,30,0.718,11.2,9,18,0.5,9,0.33299999999999996,1,"North Athletic Complex, Pittsburgh, Pennsylvania","Mt. Aloysius
			","Mt. Aloysius
			",71.7,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,2,True,False,True,Home,True,22,9,61,30,57,3,15,48,1,0,14,29,131,0.3816793893129771,65,137,0.4744525547445255,12,41,106,0.5566037735849056,0.0
3,2018-11-17-19-robert-morris,42.1,8,0.0,0,100.0,66.7,18,0.34700000000000003,59,0.322,19,0.424,25,0.72,18,5,200,86.8,24.4,10,19,59,,10.3,7,0.305,18,0.16699999999999998,3,41.2,28,0.41600000000000004,13.6,11,41,0.39,16,0.0,0,"November 17, 2018",68.0,17,7.3,3,86.8,75.6,31,0.547,53,0.47200000000000003,25,0.264,14,0.7140000000000001,10,2,200,100.0,33.3,9,21,68,,8.8,6,0.434,23,0.348,8,58.8,40,0.57,19.1,14,30,0.5670000000000001,17,0.5,2,"North Athletic Complex, Pittsburgh, Pennsylvania",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,68.3,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,3,True,False,True,Home,True,8,17,53,40,68,3,16,59,1,0,36,38,192,0.4791666666666667,95,194,0.4896907216494845,15,56,154,0.5097402597402597,0.3333333333333333
4,2018-11-19-19-stetson,50.0,13,2.6,1,102.9,58.6,17,0.6459999999999999,48,0.542,26,0.5,24,0.792,19,2,200,115.7,29.2,7,15,81,,10.0,7,0.45799999999999996,22,0.455,10,45.3,24,0.682,21.5,16,26,0.615,16,0.6,3,"November 19, 2018",56.7,17,3.8,1,115.7,70.8,17,0.524,63,0.47600000000000003,30,0.127,8,0.75,6,4,200,102.9,41.4,12,25,72,,8.6,6,0.381,24,0.25,6,54.7,29,0.539,20.4,17,39,0.615,24,0.2,1,"Edmunds Center, DeLand, Florida",STETSON,Stetson,70.1,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,4,False,False,False,Away,True,10,16,48,24,53,6,24,63,1,0,44,55,245,0.49387755102040815,135,262,0.5152671755725191,18,72,213,0.4647887323943662,0.5
5,2018-11-23-14-purdue,47.1,8,6.5,2,123.5,58.1,18,0.35200000000000004,54,0.315,17,0.185,10,0.8,8,3,200,67.6,22.9,8,20,46,,8.8,6,0.29600000000000004,16,0.25,4,39.4,26,0.391,22.5,17,38,0.342,13,0.5,3,"November 23, 2018",69.2,18,23.7,9,67.6,77.1,27,0.552,58,0.44799999999999995,26,0.397,23,0.87,20,1,200,123.5,41.9,13,15,84,24.0,13.2,9,0.466,27,0.444,12,60.6,40,0.609,16.0,13,31,0.452,14,0.833,5,"Mackey Arena, West Lafayette, Indiana",ROBERT-MORRIS,Robert Morris,68.3,Home,PURDUE,Purdue,Robert Morris,northeast,5,False,False,False,Away,False,4,13,54,26,66,12,14,58,0,1,54,71,293,0.5187713310580204,159,315,0.5047619047619047,24,96,276,0.4782608695652174,0.6
6,2018-11-28-19-robert-morris,35.0,7,5.3,2,110.1,78.1,25,0.447,57,0.35100000000000003,20,0.175,10,0.5,5,5,200,81.2,26.5,9,23,56,,2.9,2,0.596,34,0.324,11,51.5,34,0.45299999999999996,21.7,17,23,0.391,9,0.375,3,"November 28, 2018",64.0,16,8.7,2,81.2,73.5,25,0.518,57,0.439,25,0.42100000000000004,24,0.708,17,3,200,110.1,21.9,7,15,76,,14.5,10,0.33299999999999996,19,0.474,9,48.5,32,0.556,9.4,7,38,0.42100000000000004,16,0.5710000000000001,4,"North Athletic Complex, Pittsburgh, Pennsylvania",YOUNGSTOWN-STATE,Youngstown State,69.1,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,6,True,False,True,Home,True,9,16,57,32,66,11,9,57,1,0,58,84,347,0.49279538904899134,185,381,0.48556430446194226,36,110,334,0.49101796407185627,0.5
7,2018-12-01-14-drexel,53.6,15,7.7,3,110.8,55.0,11,0.49200000000000005,64,0.43799999999999994,28,0.188,12,0.5,6,4,200,93.2,16.7,6,23,69,,10.8,8,0.32799999999999996,21,0.33299999999999996,7,30.4,17,0.495,14.8,12,43,0.488,21,0.5,4,"December 1, 2018",59.3,16,11.6,5,93.2,83.3,30,0.534,58,0.466,27,0.379,22,0.909,20,4,200,110.8,45.0,9,18,82,,4.1,3,0.32799999999999996,19,0.42100000000000004,8,69.6,39,0.599,16.1,13,39,0.48700000000000004,19,0.5,4,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",ROBERT-MORRIS,Robert Morris,74.1,Home,DREXEL,Drexel,Robert Morris,northeast,7,False,False,False,Away,False,7,21,64,17,56,8,19,58,0,1,67,100,404,0.4962871287128713,217,447,0.4854586129753915,47,119,391,0.4846547314578005,0.5714285714285714
8,2018-12-05-19-canisius,47.1,8,9.1,3,95.8,74.1,20,0.392,51,0.33299999999999996,17,0.608,31,0.71,22,5,200,87.3,25.0,9,23,62,,11.3,8,0.392,20,0.3,6,46.0,29,0.47200000000000003,17.8,14,31,0.355,11,0.444,4,"December 5, 2018",47.8,11,6.5,2,87.3,75.0,27,0.532,47,0.489,23,0.532,25,0.72,18,6,200,95.8,25.9,7,23,68,,9.9,7,0.298,14,0.28600000000000003,4,54.0,34,0.5770000000000001,24.7,19,33,0.5760000000000001,19,0.25,2,"Koessler Athletic Center, Buffalo, New York",ROBERT-MORRIS,Robert Morris,70.8,Home,CANISIUS,Canisius,Robert Morris,northeast,8,False,False,False,Away,False,6,11,51,29,63,4,19,47,0,1,74,121,468,0.49572649572649574,234,503,0.46520874751491054,55,138,449,0.4910913140311804,0.5
9,2018-12-08-16-robert-morris,48.1,13,2.6,1,116.4,82.6,19,0.613,53,0.509,27,0.245,13,0.6920000000000001,9,6,200,121.3,23.1,6,16,74,,6.6,4,0.47200000000000003,25,0.44,11,51.0,25,0.625,13.3,9,28,0.5710000000000001,16,0.4,4,"December 8, 2018",33.3,9,3.6,1,121.3,76.9,20,0.625,48,0.563,27,0.375,18,0.611,11,6,200,116.4,17.4,4,15,71,,4.9,3,0.20800000000000002,10,0.6,6,49.0,24,0.628,12.5,8,38,0.5529999999999999,21,0.4,4,"North Athletic Complex, Pittsburgh, Pennsylvania",ROBERT-MORRIS,Robert Morris,61.4,Away,SIENA,Siena,Robert Morris,northeast,9,False,True,True,Home,False,6,21,48,24,49,11,16,53,0,1,80,132,519,0.48554913294797686,263,566,0.46466431095406363,59,157,496,0.4949596774193548,0.4444444444444444
