,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HARVARD_homegame,HARVARD_homegame2,HARVARD_home,HARVARD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-harvard,47.8,11,9.7,3,108.3,72.0,18,0.425,60,0.38299999999999995,23,0.317,19,0.789,15,0,200,91.7,30.3,10,18,66,,8.3,6,0.267,16,0.313,5,48.3,28,0.478,16.0,13,44,0.409,18,0.0,0,"November 6, 2018",53.3,16,15.9,7,91.7,69.7,23,0.618,55,0.545,30,0.255,14,0.7140000000000001,10,0,200,108.3,28.0,7,18,78,,5.6,4,0.436,24,0.33299999999999996,8,51.7,30,0.633,22.7,18,31,0.71,22,1.0,1,"Lavietes Pavilion, Boston, Massachusetts","MIT
			","MIT
			",72.3,Home,HARVARD,Harvard,Harvard,ivy,0,True,False,True,Home,True,8,22,55,30,58,5,18,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-harvard,54.2,13,3.6,1,104.4,84.0,21,0.6629999999999999,46,0.522,24,0.478,22,0.909,20,1,200,119.1,14.3,3,14,81,,13.2,9,0.5,23,0.565,13,52.2,24,0.7170000000000001,21.2,15,23,0.478,11,0.5,1,"November 9, 2018",50.0,13,8.7,2,119.1,85.7,18,0.618,51,0.51,26,0.275,14,0.5710000000000001,8,1,200,104.4,16.0,4,20,71,,11.8,8,0.451,23,0.478,11,47.8,22,0.616,18.5,13,28,0.536,15,0.5,1,"Lavietes Pavilion, Boston, Massachusetts",HARVARD,Harvard,67.6,Away,NORTHEASTERN,Northeastern,Harvard,ivy,1,False,True,True,Home,False,11,15,51,22,46,13,11,46,0,1,8,22,55,0.6181818181818182,30,58,0.5172413793103449,5,18,60,0.425,1.0
2,2018-11-13-19-massachusetts,75.0,21,15.4,6,106.0,78.1,25,0.552,58,0.483,28,0.207,12,0.833,10,1,200,110.4,25.0,7,17,74,,4.5,3,0.397,23,0.348,8,53.3,32,0.581,13.6,10,35,0.5710000000000001,20,0.667,2,"November 13, 2018",53.8,14,8.6,3,110.4,75.0,21,0.5,59,0.441,26,0.254,15,0.8,12,1,200,106.0,21.9,7,16,71,,7.5,5,0.33899999999999997,20,0.35,7,46.7,28,0.537,12.1,9,39,0.48700000000000004,19,0.667,2,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,67.4,Away,HARVARD,Harvard,Harvard,ivy,2,False,False,False,Away,True,8,20,58,32,60,7,19,59,1,0,19,37,106,0.6179245283018868,52,104,0.5,18,29,106,0.5283018867924528,0.5
3,2018-11-16-19-rhode-island,66.7,18,7.1,3,107.0,71.9,23,0.608,51,0.529,27,0.294,15,0.8,12,2,200,104.2,30.8,8,18,74,,5.6,4,0.41200000000000003,21,0.381,8,53.4,31,0.637,25.8,20,30,0.633,19,0.5,2,"November 16, 2018",40.7,11,13.3,4,104.2,69.2,18,0.49200000000000005,60,0.45,27,0.35,21,0.81,17,1,200,107.0,28.1,9,19,76,,15.5,11,0.3,18,0.278,5,46.6,27,0.5429999999999999,13.7,11,42,0.524,22,0.667,2,"Ryan Center, Kingston, Rhode Island",HARVARD,Harvard,71.1,Home,RHODE-ISLAND,Rhode Island,Harvard,ivy,3,False,False,False,Away,False,8,19,51,31,58,5,22,60,0,1,27,57,164,0.5945121951219512,84,164,0.5121951219512195,25,48,165,0.5181818181818182,0.6666666666666666
4,2018-11-21-22-san-francisco,27.3,6,13.6,6,81.3,73.8,31,0.387,62,0.355,22,0.19399999999999998,12,0.75,9,3,200,76.0,21.6,8,20,57,,6.7,5,0.33899999999999997,21,0.19,4,49.4,39,0.42100000000000004,16.2,13,41,0.439,18,0.4,2,"November 21, 2018",30.0,6,7.3,3,76.0,78.4,29,0.33899999999999997,62,0.32299999999999995,20,0.452,28,0.679,19,0,200,81.3,26.2,11,17,61,,12.0,9,0.29,18,0.111,2,50.6,40,0.405,13.9,12,44,0.409,18,1.0,5,"War Memorial Gymnasium, San Francisco, California",HARVARD,Harvard,74.5,Home,SAN-FRANCISCO,San Francisco,Harvard,ivy,4,False,False,False,Away,False,4,18,62,39,79,2,18,62,0,1,35,76,215,0.5976744186046512,115,222,0.5180180180180181,30,70,225,0.5111111111111111,0.5
5,2018-11-24-21-saint-marys-ca,38.5,10,6.1,2,100.0,67.6,23,0.5920000000000001,49,0.531,26,0.49,24,0.667,16,3,200,108.8,29.6,8,23,74,,10.3,7,0.38799999999999996,19,0.316,6,50.8,31,0.613,19.0,14,30,0.667,20,0.5,3,"November 24, 2018",20.8,5,0.0,0,108.8,70.4,19,0.473,55,0.436,24,0.473,26,0.615,16,3,200,100.0,32.4,11,23,68,,11.8,8,0.4,22,0.182,4,49.2,30,0.505,16.4,13,33,0.606,20,0.5,3,"McKeon Pavilion, Moraga, California",SAINT-MARYS-CA,Saint Mary's,67.9,Away,HARVARD,Harvard,Harvard,ivy,5,False,False,False,Away,True,6,20,49,31,61,4,20,55,1,0,39,94,277,0.5505415162454874,154,301,0.5116279069767442,32,88,287,0.4738675958188153,0.4
6,2018-11-28-19-harvard,72.7,16,6.1,2,105.8,65.5,19,0.529,51,0.431,22,0.255,13,0.615,8,3,200,89.9,3.4,1,17,62,,14.5,10,0.451,23,0.435,10,34.5,20,0.542,18.6,13,28,0.429,12,0.5710000000000001,4,"November 28, 2018",50.0,14,14.3,4,89.9,96.6,28,0.613,53,0.528,28,0.264,14,0.5710000000000001,8,3,200,105.8,34.5,10,11,73,,10.1,7,0.377,20,0.45,9,65.5,38,0.612,24.3,19,33,0.5760000000000001,19,0.5710000000000001,4,"Lavietes Pavilion, Boston, Massachusetts",HOLY-CROSS,Holy Cross,68.9,Home,HARVARD,Harvard,Harvard,ivy,6,True,False,True,Home,True,9,19,53,38,58,10,12,51,1,0,45,114,326,0.5567484662576687,185,362,0.511049723756906,36,108,342,0.47368421052631576,0.5
7,2018-12-01-15-siena,36.0,9,6.1,2,106.3,70.6,24,0.57,50,0.5,25,0.28,14,0.5,7,4,200,101.6,34.6,9,14,64,,6.3,4,0.36,18,0.389,7,55.0,33,0.565,21.1,15,32,0.563,18,0.5,4,"December 1, 2018",60.0,15,12.5,4,101.6,65.4,17,0.518,56,0.446,25,0.304,17,0.529,9,5,200,106.3,29.4,10,17,67,,11.1,7,0.41100000000000003,23,0.348,8,45.0,27,0.523,12.4,9,33,0.515,17,0.375,3,"Times Union Center , Albany, New York",HARVARD,Harvard,62.9,Home,SIENA,Siena,Harvard,ivy,7,False,False,False,Away,False,7,18,50,33,60,8,17,56,0,1,54,133,379,0.5646437994722955,223,420,0.530952380952381,46,120,393,0.48091603053435117,0.5714285714285714
8,2018-12-08-19-vermont,52.0,13,18.2,6,102.9,89.7,26,0.588,51,0.49,25,0.157,8,0.625,5,5,200,94.2,29.2,7,19,65,,1.4,1,0.529,27,0.37,10,62.3,33,0.593,26.8,20,24,0.625,15,0.444,4,"December 8, 2018",44.0,11,8.3,2,94.2,70.8,17,0.536,56,0.446,25,0.35700000000000004,20,0.55,11,3,200,102.9,10.3,3,16,71,,13.0,9,0.41100000000000003,23,0.435,10,37.7,20,0.542,9.7,7,33,0.455,15,0.7,7,"Roy L. Patrick Gymnasium, Burlington, Vermont",HARVARD,Harvard,68.7,Home,VERMONT,Vermont,Harvard,ivy,8,False,False,False,Away,False,10,15,51,33,53,10,15,56,0,1,61,151,429,0.5652680652680653,256,480,0.5333333333333333,54,137,449,0.48552338530066813,0.5
9,2018-12-22-14-harvard,39.1,9,9.1,3,111.9,59.0,23,0.52,50,0.46,23,0.4,20,0.45,9,9,200,91.0,12.5,4,19,61,,7.5,5,0.3,15,0.4,6,38.0,27,0.513,14.5,10,35,0.486,17,0.25,3,"December 22, 2018",59.3,16,5.7,2,91.0,87.5,28,0.508,63,0.429,27,0.317,20,0.55,11,5,200,111.9,41.0,16,17,75,,10.4,7,0.47600000000000003,30,0.33299999999999996,10,62.0,44,0.517,14.3,12,33,0.515,17,0.5,5,"Lavietes Pavilion, Boston, Massachusetts",GEORGE-WASHINGTON,George Washington,67.0,Home,HARVARD,Harvard,Harvard,ivy,9,True,False,True,Home,True,10,17,63,44,71,6,17,50,1,0,71,166,480,0.5677083333333334,289,533,0.5422138836772983,64,152,505,0.4910891089108911,0.4444444444444444
