,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CLEMSON_homegame,CLEMSON_homegame2,CLEMSON_home,CLEMSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-clemson,26.9,7,0.0,0,125.0,77.8,21,0.534,58,0.44799999999999995,26,0.431,25,0.72,18,1,200,100.0,6.1,2,19,80,,8.8,7,0.466,27,0.37,10,38.3,23,0.5720000000000001,16.9,14,31,0.516,16,0.0,0,"November 6, 2018",58.8,20,12.9,4,100.0,93.9,31,0.648,61,0.557,34,0.41,25,0.84,21,0,200,125.0,22.2,6,20,100,22.0,10.0,8,0.426,26,0.423,11,61.7,37,0.6859999999999999,14.3,12,35,0.657,23,1.0,1,"Littlejohn Coliseum, Clemson, South Carolina",CITADEL,Citadel,80.4,Home,CLEMSON,Clemson,Clemson,acc,0,True,False,True,Home,True,11,23,61,37,60,10,16,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-clemson,44.4,8,4.3,1,101.4,82.1,23,0.364,55,0.327,18,0.273,15,0.733,11,1,200,72.9,28.1,9,22,51,,7.1,5,0.327,18,0.222,4,53.3,32,0.41,24.5,20,37,0.37799999999999995,14,0.0,0,"November 9, 2018",78.3,18,18.9,7,72.9,71.9,23,0.56,50,0.46,23,0.42,21,0.7140000000000001,15,0,200,101.4,17.9,5,17,71,22.0,11.4,8,0.54,27,0.37,10,46.7,28,0.5920000000000001,15.7,11,23,0.565,13,1.0,2,"Littlejohn Coliseum, Clemson, South Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,69.6,Home,CLEMSON,Clemson,Clemson,acc,1,True,False,True,Home,True,10,13,50,28,60,4,14,55,1,0,11,23,61,0.6475409836065574,37,60,0.6166666666666667,10,16,58,0.5344827586206896,1.0
2,2018-11-14-19-clemson,45.5,10,3.8,1,112.1,72.7,16,0.413,63,0.349,22,0.127,8,0.875,7,2,200,89.4,20.6,7,15,59,,7.6,5,0.381,24,0.33299999999999996,8,41.1,23,0.442,10.7,8,39,0.359,14,0.5,2,"November 14, 2018",53.8,14,12.8,5,89.4,79.4,27,0.622,49,0.531,26,0.36700000000000005,18,0.722,13,0,200,112.1,27.3,6,11,74,19.0,9.1,6,0.469,23,0.391,9,58.9,33,0.643,17.4,12,26,0.654,17,1.0,3,"Littlejohn Coliseum, Clemson, South Carolina",SAM-HOUSTON-STATE,Sam Houston State,65.7,Home,CLEMSON,Clemson,Clemson,acc,2,True,False,True,Home,True,9,17,49,33,56,8,14,63,1,0,21,36,111,0.6081081081081081,65,120,0.5416666666666666,14,30,113,0.45132743362831856,1.0
3,2018-11-19-11-clemson,47.8,11,2.6,1,101.4,66.7,20,0.5379999999999999,53,0.434,23,0.28300000000000003,15,0.8,12,1,200,97.2,7.7,2,24,69,,8.5,6,0.547,29,0.379,11,39.3,22,0.574,20.1,15,24,0.5,12,0.75,3,"November 19, 2018",36.0,9,0.0,0,97.2,92.3,24,0.529,51,0.49,25,0.569,29,0.621,18,0,200,101.4,33.3,10,18,72,16.0,8.5,6,0.255,13,0.308,4,60.7,34,0.556,18.0,14,38,0.5529999999999999,21,1.0,4,"John Gray Gymnasium, Grand Cayman",AKRON,Akron,71.0,Home,CLEMSON,Clemson,Clemson,acc,3,True,False,True,Home,True,4,21,51,34,56,11,12,53,1,0,30,53,160,0.6125,98,176,0.5568181818181818,22,44,176,0.4375,1.0
4,2018-11-20-13-clemson,42.1,8,16.3,7,92.8,72.2,26,0.43,50,0.38,19,0.24,12,0.5,6,2,200,71.0,8.6,3,13,49,,4.3,3,0.36,18,0.278,5,40.8,29,0.44,22.4,16,32,0.43799999999999994,14,0.6,3,"November 20, 2018",32.0,8,3.1,1,71.0,91.4,32,0.43700000000000006,63,0.397,25,0.19,12,0.75,9,0,200,92.8,27.8,10,11,64,16.0,13.0,9,0.317,20,0.25,5,59.2,42,0.466,12.8,10,43,0.465,20,1.0,5,"John Gray Gymnasium, Grand Cayman",GEORGIA,Georgia,68.7,Home,CLEMSON,Clemson,Clemson,acc,4,True,False,True,Home,True,5,20,63,42,71,5,14,50,1,0,34,74,211,0.5924170616113744,132,232,0.5689655172413793,33,56,229,0.4606986899563319,1.0
5,2018-11-21-19-clemson,44.8,13,5.1,2,103.8,76.7,23,0.654,52,0.5579999999999999,29,0.48100000000000004,25,0.76,19,1,200,110.1,11.5,3,19,87,,8.9,7,0.5,26,0.385,10,46.4,26,0.6809999999999999,20.3,16,26,0.731,19,0.833,5,"November 21, 2018",35.5,11,7.7,2,110.1,88.5,23,0.578,58,0.534,31,0.379,22,0.682,15,1,200,103.8,23.3,7,22,82,16.0,2.5,2,0.32799999999999996,19,0.263,5,53.6,30,0.599,21.9,19,39,0.667,26,0.833,5,"John Gray Gymnasium, Grand Cayman",CLEMSON,Clemson,78.7,Away,CREIGHTON,Creighton,Clemson,acc,5,False,True,True,Home,False,5,26,58,30,56,10,19,52,0,1,39,94,274,0.5565693430656934,174,303,0.5742574257425742,38,70,279,0.4551971326164875,1.0
6,2018-11-26-19-clemson,38.5,10,7.3,3,110.0,65.5,19,0.536,55,0.473,26,0.2,11,0.818,9,1,200,113.3,32.1,9,13,68,,8.3,5,0.4,22,0.318,7,49.1,28,0.565,13.1,9,33,0.5760000000000001,19,0.857,6,"November 26, 2018",57.7,15,9.1,3,113.3,67.9,19,0.528,53,0.491,26,0.226,12,0.833,10,2,200,110.0,34.5,10,14,66,,5.0,3,0.226,12,0.33299999999999996,4,50.9,29,0.562,15.9,11,41,0.537,22,0.7140000000000001,5,"Littlejohn Coliseum, Clemson, South Carolina",CLEMSON,Clemson,60.0,Away,NEBRASKA,Nebraska,Clemson,acc,6,False,True,True,Home,False,4,22,53,29,57,7,19,55,0,1,44,120,332,0.5602409638554217,204,359,0.5682451253481894,48,89,331,0.486404833836858,0.8333333333333334
7,2018-12-04-19-clemson,34.8,8,17.6,6,103.2,70.4,19,0.5,56,0.41100000000000003,23,0.107,6,0.667,4,6,200,95.2,21.2,7,22,60,,7.9,5,0.375,21,0.47600000000000003,10,43.3,26,0.51,15.8,11,35,0.371,13,0.25,2,"December 4, 2018",30.0,6,11.4,4,95.2,78.8,26,0.43799999999999994,48,0.41700000000000004,20,0.625,30,0.767,23,2,200,103.2,29.6,8,12,65,,9.5,6,0.292,14,0.14300000000000002,2,56.7,34,0.522,12.8,9,34,0.529,18,0.75,6,"Littlejohn Coliseum, Clemson, South Carolina",SAINT-PETERS,St. Peter's,63.1,Home,CLEMSON,Clemson,Clemson,acc,7,True,False,True,Home,True,2,18,48,34,60,10,13,56,1,0,48,142,385,0.5558441558441558,233,416,0.5600961538461539,55,108,386,0.49352331606217614,0.7142857142857143
8,2018-12-08-16-mississippi-state,55.6,15,27.3,6,120.6,77.8,14,0.484,62,0.435,27,0.27399999999999997,17,0.647,11,3,200,104.4,28.6,10,12,71,,8.8,6,0.435,27,0.222,6,45.3,24,0.507,11.5,9,35,0.6,21,0.667,6,"December 8, 2018",78.6,22,2.9,1,104.4,71.4,25,0.721,52,0.5379999999999999,28,0.212,11,0.636,7,1,200,120.6,22.2,4,16,82,22.0,7.4,5,0.5770000000000001,30,0.633,19,54.7,29,0.716,18.6,13,22,0.409,9,0.889,8,"Prudential Center, Newark, New Jersey",CLEMSON,Clemson,67.7,Home,MISSISSIPPI-STATE,Mississippi State,Clemson,acc,8,False,False,False,Away,False,6,21,62,24,53,19,9,52,0,1,50,160,433,0.5427251732101617,267,476,0.5609243697478992,65,121,442,0.49434389140271495,0.75
9,2018-12-15-15-clemson,40.0,10,6.3,2,113.8,55.2,16,0.59,50,0.5,25,0.22,11,0.636,7,4,200,101.5,20.0,5,17,66,,10.8,7,0.32,16,0.563,9,38.9,21,0.598,20.3,14,34,0.47100000000000003,16,0.6,6,"December 15, 2018",30.8,8,8.8,3,101.5,80.0,20,0.536,55,0.473,26,0.364,20,0.75,15,3,200,113.8,44.8,13,13,74,,9.2,6,0.418,23,0.304,7,61.1,33,0.574,18.0,14,32,0.594,19,0.7,7,"Littlejohn Coliseum, Clemson, South Carolina",RADFORD,Radford,64.9,Home,CLEMSON,Clemson,Clemson,acc,9,True,False,True,Home,True,7,19,55,33,54,9,16,50,1,0,56,181,495,0.5353535353535354,291,529,0.5500945179584121,84,130,494,0.5182186234817814,0.6666666666666666
