,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-STATE_homegame,NORTH-CAROLINA-STATE_homegame2,NORTH-CAROLINA-STATE_home,NORTH-CAROLINA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-north-carolina-state,40.0,8,5.8,3,138.2,51.4,19,0.369,61,0.32799999999999996,20,0.262,16,0.625,10,1,200,72.4,20.5,8,19,55,,5.3,4,0.344,21,0.23800000000000002,5,35.5,27,0.401,20.9,18,40,0.375,15,0.0,0,"November 6, 2018",43.9,18,15.0,6,72.4,79.5,31,0.622,74,0.5539999999999999,41,0.27,20,0.65,13,0,200,138.2,48.6,18,13,105,,15.8,12,0.297,22,0.455,10,64.5,49,0.629,8.8,8,52,0.596,31,1.0,1,"PNC Arena, Raleigh, North Carolina",MOUNT-ST-MARYS,Mount St. Mary's,76.1,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,0,True,False,True,Home,True,10,31,74,49,76,5,15,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-12-north-carolina-state,52.9,9,11.4,4,135.7,56.5,13,0.361,54,0.315,17,0.29600000000000004,16,0.625,10,2,200,70.0,18.9,7,17,49,,12.9,9,0.35200000000000004,19,0.263,5,33.3,20,0.39799999999999996,16.4,12,35,0.34299999999999997,12,0.0,0,"November 10, 2018",65.7,23,8.6,3,70.0,81.1,30,0.653,62,0.565,35,0.27399999999999997,17,0.8240000000000001,14,0,200,135.7,43.5,10,20,95,,5.7,4,0.435,27,0.40700000000000003,11,66.7,40,0.6779999999999999,15.8,13,35,0.6859999999999999,24,1.0,2,"PNC Arena, Raleigh, North Carolina",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,69.8,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,1,True,False,True,Home,True,11,24,62,40,60,5,12,54,1,0,10,31,74,0.6216216216216216,49,76,0.6447368421052632,5,15,61,0.36885245901639346,1.0
2,2018-11-13-19-north-carolina-state,64.7,11,12.0,6,125.0,59.4,19,0.392,51,0.33299999999999996,17,0.314,16,0.563,9,1,200,61.3,5.7,2,22,49,,6.3,5,0.392,20,0.3,6,31.3,21,0.418,26.6,21,31,0.355,11,0.5,1,"November 13, 2018",59.5,22,22.6,7,61.3,94.3,33,0.5870000000000001,69,0.536,37,0.36200000000000004,25,0.76,19,0,200,125.0,40.6,13,21,100,,16.3,13,0.275,19,0.368,7,68.7,46,0.618,15.8,15,50,0.6,30,1.0,3,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,80.2,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,2,True,False,True,Home,True,7,30,69,46,67,6,11,51,1,0,21,55,136,0.6360294117647058,89,136,0.6544117647058824,10,27,115,0.3652173913043478,1.0
3,2018-11-17-14-north-carolina-state,65.4,17,7.9,3,117.1,51.4,18,0.574,47,0.5529999999999999,26,0.38299999999999995,18,0.5,9,4,200,90.0,9.1,2,8,63,,14.3,10,0.298,14,0.14300000000000002,2,35.1,20,0.5670000000000001,23.6,17,33,0.727,24,0.0,0,"November 17, 2018",70.0,21,6.1,2,90.0,90.9,20,0.53,67,0.44799999999999995,30,0.239,16,0.688,11,0,200,117.1,48.6,17,14,82,,15.7,11,0.433,29,0.379,11,64.9,37,0.55,12.9,11,38,0.5,19,1.0,4,"PNC Arena, Raleigh, North Carolina",MAINE,Maine,69.6,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,3,True,False,True,Home,True,11,19,67,37,57,2,24,47,1,0,28,85,205,0.6195121951219512,135,203,0.6650246305418719,16,38,166,0.37349397590361444,1.0
4,2018-11-20-19-north-carolina-state,44.4,8,3.1,1,119.7,76.0,19,0.37,54,0.33299999999999996,18,0.48100000000000004,26,0.654,17,3,200,80.3,27.3,9,23,57,,7.0,5,0.389,21,0.19,4,48.3,28,0.43,17.6,14,33,0.424,14,0.25,1,"November 20, 2018",74.1,20,18.2,6,80.3,72.7,24,0.615,52,0.519,27,0.519,27,0.778,21,0,200,119.7,24.0,6,21,85,,8.5,6,0.385,20,0.5,10,51.7,30,0.6559999999999999,15.8,12,32,0.531,17,1.0,5,"PNC Arena, Raleigh, North Carolina",SAINT-PETERS,St. Peter's,71.1,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,4,True,False,True,Home,True,10,17,52,30,58,4,14,54,1,0,39,104,272,0.5974264705882353,172,260,0.6615384615384615,18,62,213,0.41784037558685444,1.0
5,2018-11-24-17-north-carolina-state,39.1,9,0.0,0,104.0,65.8,25,0.557,44,0.523,23,0.773,34,0.735,25,3,200,98.7,16.7,3,28,74,,6.7,5,0.273,12,0.25,3,50.0,28,0.615,27.2,22,32,0.625,20,0.5,3,"November 24, 2018",44.4,12,6.3,2,98.7,83.3,15,0.517,60,0.45,27,0.483,29,0.552,16,0,200,104.0,34.2,13,25,78,,10.7,8,0.45,27,0.29600000000000004,8,50.0,28,0.529,13.1,11,33,0.5760000000000001,19,1.0,6,"PNC Arena, Raleigh, North Carolina",MERCER,Mercer,75.5,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,5,True,False,True,Home,True,8,19,60,28,56,3,20,44,1,0,49,121,324,0.6003086419753086,202,318,0.6352201257861635,22,76,267,0.40823970037453183,1.0
6,2018-11-27-21-wisconsin,29.0,9,5.6,2,111.3,78.1,25,0.523,66,0.47,31,0.121,8,0.75,6,1,200,105.6,29.0,9,24,75,,7.0,5,0.273,18,0.389,7,54.0,34,0.537,13.7,11,48,0.5,24,0.857,6,"November 27, 2018",57.1,16,8.3,4,105.6,71.0,22,0.588,57,0.491,28,0.35100000000000003,20,0.6,12,1,200,111.3,21.9,7,12,79,22.0,4.2,3,0.368,21,0.524,11,46.0,29,0.594,13.2,10,36,0.47200000000000003,17,0.857,6,"Kohl Center, Madison, Wisconsin",NORTH-CAROLINA-STATE,NC State,70.7,Home,WISCONSIN,Wisconsin,NC State,acc,6,False,False,False,Away,False,7,24,66,34,63,11,17,57,0,1,57,140,384,0.5872395833333334,230,374,0.6149732620320856,25,96,311,0.4292604501607717,1.0
7,2018-12-01-17-north-carolina-state,40.9,9,14.3,7,109.6,64.3,18,0.42,56,0.39299999999999996,22,0.536,30,0.6,18,2,200,89.0,31.6,12,21,65,,5.5,4,0.39299999999999996,22,0.136,3,45.5,30,0.46299999999999997,14.8,12,34,0.5589999999999999,19,0.7140000000000001,5,"December 1, 2018",53.3,16,0.0,0,89.0,68.4,26,0.508,64,0.469,30,0.344,22,0.682,15,1,200,109.6,35.7,10,24,80,,4.1,3,0.23399999999999999,15,0.33299999999999996,5,54.5,36,0.537,14.0,12,49,0.51,25,0.875,7,"American Airlines Arena, Miami, Florida",VANDERBILT,Vanderbilt,73.4,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,7,True,False,True,Home,True,5,25,64,36,66,3,19,56,1,0,64,164,450,0.5777777777777777,264,437,0.6041189931350115,36,113,368,0.453804347826087,0.8571428571428571
8,2018-12-05-19-north-carolina-state,42.9,9,4.3,2,114.9,80.6,25,0.511,47,0.447,21,0.638,30,0.633,19,8,200,77.0,27.6,8,22,67,,5.7,5,0.40399999999999997,19,0.316,6,55.0,33,0.547,35.4,33,28,0.536,15,0.2,2,"December 5, 2018",54.1,20,10.7,3,77.0,72.4,21,0.616,69,0.536,37,0.348,24,0.625,15,1,200,114.9,19.4,6,22,100,,14.9,13,0.33299999999999996,23,0.478,11,45.0,27,0.622,14.0,13,46,0.565,26,0.889,8,"PNC Arena, Raleigh, North Carolina",WESTERN-CAROLINA,Western Carolina,86.8,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,8,True,False,True,Home,True,11,26,69,27,60,6,15,47,1,0,69,189,514,0.5690661478599222,300,503,0.5964214711729622,39,132,424,0.4492924528301887,0.875
9,2018-12-15-14-penn-state,41.2,14,2.1,1,97.5,80.5,33,0.67,56,0.607,34,0.35700000000000004,20,0.7,14,1,200,111.3,20.8,5,25,89,,7.5,6,0.25,14,0.5,7,58.5,38,0.679,20.8,17,42,0.643,27,0.9,9,"December 15, 2018",48.1,13,4.8,2,111.3,79.2,19,0.469,64,0.42200000000000004,27,0.42200000000000004,27,0.667,18,5,200,97.5,19.5,8,20,78,,11.3,9,0.266,17,0.353,6,41.5,27,0.508,15.6,14,47,0.447,21,0.5,5,"Boardwalk Hall, Atlantic City, New Jersey",PENN-STATE,Penn State,80.2,Away,NORTH-CAROLINA-STATE,NC State,NC State,acc,9,False,False,False,Away,True,7,27,56,38,65,6,21,64,1,0,80,215,583,0.5746140651801029,327,563,0.5808170515097691,45,147,471,0.4554140127388535,0.8888888888888888
