,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHERN-ILLINOIS_homegame,NORTHERN-ILLINOIS_homegame2,NORTHERN-ILLINOIS_home,NORTHERN-ILLINOIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-northern-illinois,42.9,9,0.0,0,117.7,58.3,14,0.392,60,0.35,21,0.2,12,0.583,7,0,200,68.4,17.1,6,20,54,,7.6,6,0.267,16,0.313,5,33.9,20,0.41100000000000003,25.2,22,44,0.364,16,0.0,0,"November 6, 2018",54.1,20,9.1,4,68.4,82.9,29,0.6579999999999999,60,0.617,37,0.35,21,0.667,14,0,200,117.7,41.7,10,16,93,,15.2,12,0.33299999999999996,20,0.25,5,66.1,39,0.665,19.7,17,40,0.8,32,1.0,1,"Convocation Center, DeKalb, Illinois","Rockford
			","Rockford
			",79.3,Home,NORTHERN-ILLINOIS,Northern Illinois,Northern Illinois,mac,0,True,False,True,Home,True,5,32,60,39,59,5,16,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-northern-illinois,50.0,15,5.7,3,101.2,71.4,30,0.607,61,0.49200000000000005,30,0.44299999999999995,27,0.519,14,0,250,104.8,16.2,6,25,88,,8.3,7,0.541,33,0.424,14,45.6,36,0.596,14.1,12,28,0.5710000000000001,16,1.0,2,"November 9, 2018",38.7,12,10.7,3,104.8,83.8,31,0.447,76,0.408,31,0.303,23,0.7390000000000001,17,1,250,101.2,28.6,12,26,85,,3.6,3,0.303,23,0.261,6,54.4,43,0.489,13.1,13,53,0.47200000000000003,25,0.5,1,"Convocation Center, DeKalb, Illinois",NORTHERN-ILLINOIS,Northern Illinois,67.1,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Illinois,mac,1,False,True,True,Home,False,6,25,76,43,79,14,16,61,0,1,5,32,60,0.6583333333333333,39,59,0.6610169491525424,5,16,60,0.39166666666666666,1.0
2,2018-11-17-15-northern-illinois,58.3,14,0.0,0,100.0,81.3,26,0.474,58,0.414,24,0.31,18,0.611,11,0,200,90.4,26.5,9,23,66,,6.8,5,0.431,25,0.28,7,53.0,35,0.496,19.5,16,33,0.515,17,0.0,0,"November 17, 2018",42.3,11,3.0,1,90.4,73.5,25,0.48200000000000004,57,0.456,26,0.42100000000000004,24,0.75,18,1,200,100.0,18.8,6,18,73,,8.2,6,0.281,16,0.188,3,47.0,31,0.534,14.0,11,41,0.561,23,0.667,2,"Convocation Center, DeKalb, Illinois","Illinois Tech
			","Illinois Tech
			",73.5,Home,NORTHERN-ILLINOIS,Northern Illinois,Northern Illinois,mac,2,True,False,True,Home,True,3,23,57,31,66,7,17,58,1,0,11,57,136,0.5404411764705882,82,138,0.5942028985507246,19,32,121,0.5,0.5
3,2018-11-23-12-oral-roberts,69.7,23,7.7,2,94.3,82.1,23,0.5670000000000001,67,0.493,33,0.22399999999999998,15,0.733,11,1,200,124.3,40.6,13,15,87,,12.9,9,0.34299999999999997,23,0.435,10,60.0,36,0.5870000000000001,12.0,10,44,0.523,23,0.75,3,"November 23, 2018",70.8,17,9.1,4,124.3,59.4,19,0.57,50,0.48,24,0.28,14,0.643,9,5,200,94.3,17.9,5,19,66,,7.1,5,0.48,24,0.375,9,40.0,24,0.583,24.3,18,26,0.5770000000000001,15,0.28600000000000003,2,"Athletics Center O'rena, Rochester, Michigan",ORAL-ROBERTS,Oral Roberts,70.4,Away,NORTHERN-ILLINOIS,Northern Illinois,Northern Illinois,mac,3,False,False,False,Away,True,10,23,67,36,60,9,15,50,1,0,14,80,193,0.5233160621761658,113,204,0.553921568627451,26,49,179,0.49162011173184356,0.6666666666666666
4,2018-11-24-12-james-madison,57.1,16,0.0,0,130.0,64.0,16,0.573,55,0.509,28,0.255,14,0.7859999999999999,11,2,200,123.3,33.3,8,15,74,,5.0,3,0.273,15,0.467,7,49.0,24,0.6,10.3,7,40,0.525,21,0.6,3,"November 24, 2018",72.0,18,5.0,2,123.3,66.7,16,0.596,52,0.48100000000000004,25,0.327,17,0.941,16,2,200,130.0,36.0,9,13,78,,3.3,2,0.5,26,0.462,12,51.0,25,0.649,11.9,8,26,0.5,13,0.7140000000000001,5,"Athletics Center O'rena, Rochester, Michigan",NORTHERN-ILLINOIS,Northern Illinois,59.9,Home,JAMES-MADISON,James Madison,Northern Illinois,mac,4,False,False,False,Away,False,7,21,55,24,49,12,13,52,0,1,24,103,260,0.5346153846153846,149,264,0.5643939393939394,35,64,229,0.5087336244541485,0.75
5,2018-11-25-15-oakland,62.2,23,3.1,1,116.1,76.7,23,0.759,56,0.6609999999999999,37,0.161,9,0.778,7,2,200,148.4,36.8,7,15,92,,8.1,5,0.321,18,0.611,11,61.2,30,0.763,10.5,7,38,0.684,26,0.667,4,"November 25, 2018",80.0,20,5.3,2,148.4,63.2,12,0.534,58,0.431,25,0.24100000000000002,14,0.7140000000000001,10,4,200,116.1,23.3,7,12,72,,4.8,3,0.44799999999999995,26,0.462,12,38.8,19,0.557,9.8,7,32,0.406,13,0.429,3,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,62.5,Away,NORTHERN-ILLINOIS,Northern Illinois,Northern Illinois,mac,5,False,False,False,Away,True,11,26,56,30,49,12,13,58,1,0,31,124,315,0.5412698412698412,173,313,0.5527156549520766,47,77,281,0.5249110320284698,0.6
6,2018-11-28-20-green-bay,24.3,9,5.3,2,118.1,75.9,22,0.606,66,0.561,37,0.152,10,0.3,3,3,200,115.3,41.9,13,20,83,,8.3,6,0.28800000000000003,19,0.316,6,58.3,35,0.5870000000000001,18.5,16,47,0.66,31,0.5710000000000001,4,"November 28, 2018",42.4,14,4.3,2,115.3,58.1,18,0.608,60,0.55,33,0.317,19,0.632,12,3,200,118.1,24.1,7,15,85,,16.7,12,0.36700000000000005,22,0.318,7,41.7,25,0.616,11.6,9,38,0.684,26,0.5710000000000001,4,"Resch Center, Green Bay, Wisconsin",NORTHERN-ILLINOIS,Northern Illinois,72.4,Home,GREEN-BAY,Green Bay,Northern Illinois,mac,6,False,False,False,Away,False,6,31,66,35,60,7,26,60,0,1,42,150,371,0.5741239892183289,203,362,0.5607734806629834,59,90,339,0.5265486725663717,0.6666666666666666
7,2018-12-05-20-northern-illinois,77.3,17,5.1,2,102.9,65.4,17,0.451,61,0.361,22,0.19699999999999998,12,0.583,7,7,200,89.9,18.9,7,18,62,,7.2,5,0.541,33,0.33299999999999996,11,38.1,24,0.465,13.1,10,28,0.39299999999999996,11,0.222,2,"December 5, 2018",52.0,13,14.3,4,89.9,81.1,30,0.5379999999999999,52,0.48100000000000004,25,0.423,22,0.682,15,3,200,102.9,34.6,9,16,71,,1.4,1,0.25,13,0.462,6,61.9,39,0.568,19.6,15,39,0.48700000000000004,19,0.625,5,"Convocation Center, DeKalb, Illinois",CALIFORNIA-DAVIS,UC-Davis,69.1,Home,NORTHERN-ILLINOIS,Northern Illinois,Northern Illinois,mac,7,True,False,True,Home,True,6,19,52,39,63,11,11,61,1,0,48,181,437,0.5789473684210527,238,422,0.5639810426540285,66,116,399,0.5388471177944862,0.5714285714285714
8,2018-12-08-16-butler,34.8,8,4.2,1,148.4,86.4,19,0.5539999999999999,46,0.5,23,0.565,26,0.654,17,4,200,106.3,18.8,6,17,68,,6.3,4,0.304,14,0.35700000000000004,5,46.3,25,0.583,14.8,10,32,0.563,18,0.556,5,"December 8, 2018",79.4,27,0.0,0,106.3,81.3,26,0.759,56,0.607,34,0.179,10,1.0,10,2,200,148.4,13.6,3,23,95,,4.7,3,0.5710000000000001,32,0.531,17,53.7,29,0.782,10.4,7,24,0.708,17,0.778,7,"Hinkle Fieldhouse, Indianapolis, Indiana",NORTHERN-ILLINOIS,Northern Illinois,63.6,Home,BUTLER,Butler,Northern Illinois,mac,8,False,False,False,Away,False,5,18,46,25,54,17,17,56,0,1,54,200,489,0.5746421267893661,277,485,0.5711340206185567,77,127,460,0.5271739130434783,0.625
9,2018-12-17-21-northern-illinois,42.3,11,8.1,3,126.4,68.0,17,0.469,65,0.4,26,0.27699999999999997,18,0.833,15,8,200,105.6,23.5,8,16,76,,9.7,7,0.354,23,0.391,9,42.4,25,0.517,8.8,7,42,0.405,17,0.33299999999999996,4,"December 17, 2018",44.1,15,4.8,2,105.6,76.5,26,0.696,56,0.607,34,0.33899999999999997,19,0.684,13,4,200,126.4,32.0,8,15,91,,4.2,3,0.33899999999999997,19,0.526,10,57.6,34,0.7,17.9,14,37,0.649,24,0.6,6,"Convocation Center, DeKalb, Illinois",WESTERN-ILLINOIS,Western Illinois,71.8,Home,NORTHERN-ILLINOIS,Northern Illinois,Northern Illinois,mac,9,True,False,True,Home,True,10,24,56,34,59,9,17,65,1,0,59,218,535,0.5728971962616822,302,539,0.5602968460111317,94,144,516,0.5523255813953488,0.5555555555555556
