,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LONGWOOD_homegame,LONGWOOD_homegame2,LONGWOOD_home,LONGWOOD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-longwood,52.4,11,11.1,3,95.5,82.1,32,0.41,61,0.344,21,0.16399999999999998,10,0.6,6,0,200,63.6,10.0,4,24,56,,6.8,6,0.41,25,0.32,8,45.6,36,0.426,28.4,26,36,0.361,13,0.0,0,"November 6, 2018",56.0,14,2.8,1,63.6,90.0,36,0.47600000000000003,63,0.397,25,0.47600000000000003,30,0.8,24,0,200,95.5,17.9,7,17,84,,18.2,16,0.5710000000000001,36,0.278,10,54.4,43,0.544,18.2,17,27,0.556,15,1.0,1,"Willett Hall, Farmville, Virginia","Randolph
			","Randolph
			",87.5,Home,LONGWOOD,Longwood,Longwood,big-south,0,True,False,True,Home,True,10,15,63,43,79,8,13,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-richmond,41.7,10,11.8,4,77.3,85.0,34,0.529,52,0.462,24,0.25,13,0.615,8,0,201,84.0,15.4,4,18,63,,9.3,7,0.48100000000000004,25,0.28,7,57.6,38,0.541,25.7,20,27,0.63,17,1.0,2,"November 9, 2018",39.1,9,11.1,3,84.0,84.6,22,0.433,60,0.38299999999999995,23,0.267,16,0.375,6,1,201,77.3,15.0,6,13,58,,13.3,10,0.433,26,0.231,6,42.4,28,0.429,17.3,14,34,0.5,17,0.0,0,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,74.5,Away,LONGWOOD,Longwood,Longwood,big-south,1,False,False,False,Away,True,7,17,52,38,66,6,17,60,1,0,10,15,63,0.47619047619047616,43,79,0.5443037974683544,8,13,61,0.4098360655737705,1.0
2,2018-11-13-19-maryland-eastern-shore,61.1,11,3.8,1,98.4,77.1,27,0.615,39,0.462,18,0.564,22,0.818,18,0,200,103.1,14.3,3,19,66,,4.7,3,0.667,26,0.462,12,53.6,30,0.667,24.7,16,13,0.462,6,1.0,3,"November 13, 2018",76.2,16,7.7,1,103.1,85.7,18,0.44799999999999995,58,0.36200000000000004,21,0.259,15,0.733,11,3,200,98.4,22.9,8,20,63,,9.4,6,0.552,32,0.313,10,46.4,26,0.484,12.2,9,26,0.423,11,0.0,0,"Hytche Athletic Center, Princess Anne, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,64.3,Away,LONGWOOD,Longwood,Longwood,big-south,2,False,False,False,Away,True,12,6,39,30,56,10,11,58,1,0,17,32,115,0.5,81,145,0.5586206896551724,14,30,121,0.4214876033057851,1.0
3,2018-11-16-19-longwood,64.0,16,16.7,4,127.1,62.5,20,0.5539999999999999,56,0.446,25,0.23199999999999998,13,0.846,11,4,200,104.3,16.7,5,19,73,,5.7,4,0.5710000000000001,32,0.375,12,40.3,25,0.5870000000000001,18.5,14,24,0.542,13,0.0,0,"November 16, 2018",71.4,20,4.2,1,104.3,83.3,25,0.602,59,0.475,28,0.441,26,0.6920000000000001,18,0,200,127.1,37.5,12,14,89,,11.4,8,0.593,35,0.429,15,59.7,37,0.624,12.4,10,24,0.542,13,1.0,4,"Willett Hall, Farmville, Virginia",DELAWARE-STATE,Delaware State,70.3,Home,LONGWOOD,Longwood,Longwood,big-south,3,True,False,True,Home,True,15,13,59,37,62,12,13,56,1,0,29,38,154,0.5292207792207793,111,201,0.5522388059701493,24,41,179,0.4301675977653631,1.0
4,2018-11-19-19-charlotte,37.5,6,10.0,2,68.9,84.4,27,0.4,45,0.35600000000000004,16,0.111,5,0.6,3,1,200,63.9,20.0,6,16,39,,8.2,5,0.42200000000000004,19,0.21100000000000002,4,53.2,33,0.41200000000000003,29.8,20,26,0.462,12,0.8,4,"November 19, 2018",72.7,8,15.4,4,63.9,80.0,24,0.33299999999999996,42,0.262,11,0.452,19,0.737,14,2,200,68.9,15.6,5,12,42,,9.8,6,0.524,22,0.273,6,46.8,29,0.41200000000000003,21.8,14,20,0.25,5,0.5,2,"Dale F. Halton Arena, Charlotte, North Carolina",LONGWOOD,Longwood,60.7,Home,CHARLOTTE,Charlotte,Longwood,big-south,4,False,False,False,Away,False,4,12,45,33,62,6,5,42,0,1,44,51,213,0.5492957746478874,148,263,0.5627376425855514,36,54,235,0.4595744680851064,1.0
5,2018-11-23-18-longwood,50.0,12,4.5,1,103.1,63.2,12,0.474,58,0.414,24,0.24100000000000002,14,0.7140000000000001,10,4,200,100.0,21.2,7,16,65,,12.3,8,0.431,25,0.28,7,36.5,19,0.503,11.1,8,33,0.515,17,0.2,1,"November 23, 2018",43.5,10,9.1,3,100.0,78.8,26,0.5870000000000001,46,0.5,23,0.326,15,0.867,13,1,200,103.1,36.8,7,15,67,,4.6,3,0.522,24,0.33299999999999996,8,63.5,33,0.631,26.5,19,22,0.682,15,0.833,5,"Connolly Center, Seattle, Washington",FAIRFIELD,Fairfield,65.4,Home,LONGWOOD,Longwood,Longwood,big-south,5,True,False,True,Home,True,8,15,46,33,52,7,17,58,1,0,48,63,258,0.5232558139534884,181,325,0.556923076923077,42,59,277,0.4404332129963899,0.8
6,2018-11-24-15-longwood,56.0,14,3.4,1,98.4,76.9,20,0.588,51,0.49,25,0.157,8,0.5,4,3,200,101.6,20.7,6,13,64,,9.5,6,0.47100000000000003,24,0.41700000000000004,10,47.3,26,0.584,21.6,15,27,0.556,15,0.4,2,"November 24, 2018",16.7,4,7.4,2,101.6,79.3,23,0.519,53,0.45299999999999996,24,0.132,7,1.0,7,2,200,98.4,23.1,6,16,62,,14.3,9,0.45299999999999996,24,0.292,7,52.7,29,0.55,17.6,12,29,0.586,17,0.7140000000000001,5,"Connolly Center, Seattle, Washington",LONGWOOD,Longwood,63.1,Away,DENVER,Denver,Longwood,big-south,6,False,True,True,Home,False,7,17,53,29,55,10,15,51,0,1,56,78,304,0.5328947368421053,214,377,0.5676392572944297,49,76,335,0.4462686567164179,0.8333333333333334
7,2018-11-25-18-seattle,44.4,8,7.1,2,107.7,72.2,26,0.375,56,0.321,18,0.23199999999999998,13,0.615,8,3,200,76.9,26.8,11,20,50,,9.2,6,0.46399999999999997,26,0.231,6,48.1,37,0.402,17.4,13,30,0.4,12,0.625,5,"November 25, 2018",73.9,17,16.7,5,76.9,73.2,30,0.483,59,0.39,23,0.305,18,0.722,13,2,200,107.7,27.8,10,19,70,,9.2,6,0.525,31,0.355,11,51.9,40,0.518,11.9,9,28,0.429,12,0.75,6,"KeyArena, Seattle, Washington",LONGWOOD,Longwood,65.4,Home,SEATTLE,Seattle,Longwood,big-south,7,False,False,False,Away,False,6,12,56,37,77,11,12,59,0,1,63,95,357,0.530812324929972,243,432,0.5625,59,91,386,0.4650259067357513,0.7142857142857143
8,2018-12-01-15-longwood,64.7,11,6.3,2,94.2,73.0,27,0.317,63,0.27,17,0.19,12,0.41700000000000004,5,4,200,65.2,18.6,8,18,45,,5.8,4,0.524,33,0.182,6,43.8,35,0.32799999999999996,11.6,9,30,0.36700000000000005,11,0.556,5,"December 1, 2018",54.5,12,10.0,3,65.2,81.4,35,0.44,58,0.379,22,0.345,20,0.7,14,3,200,94.2,27.0,10,13,65,,7.2,5,0.44799999999999995,26,0.26899999999999996,7,56.3,45,0.48100000000000004,14.1,11,32,0.469,15,0.667,6,"Willett Hall, Farmville, Virginia",VIRGINIA-MILITARY-INSTITUTE,VMI,69.1,Home,LONGWOOD,Longwood,Longwood,big-south,8,True,False,True,Home,True,7,15,58,45,80,6,11,63,1,0,69,107,413,0.5096852300242131,280,509,0.550098231827112,70,103,445,0.46741573033707867,0.625
9,2018-12-07-19-longwood,54.2,13,11.4,5,84.0,70.0,35,0.45299999999999996,64,0.375,24,0.188,12,0.583,7,0,225,80.2,27.0,10,21,65,,6.2,5,0.43799999999999994,28,0.35700000000000004,10,51.7,45,0.466,21.5,19,36,0.389,14,0.0,0,"December 7, 2018",37.5,9,5.6,2,80.2,73.0,27,0.37200000000000005,74,0.324,24,0.284,21,0.619,13,3,225,84.0,30.0,15,14,68,,9.9,8,0.405,30,0.233,7,48.3,42,0.405,15.3,15,44,0.386,17,0.7,7,"Willett Hall, Farmville, Virginia","Frostburg State
			","Frostburg State
			",72.3,Home,LONGWOOD,Longwood,Longwood,big-south,9,True,False,True,Home,True,7,17,74,42,87,10,14,64,1,0,76,122,471,0.5010615711252654,325,589,0.5517826825127334,76,114,508,0.44881889763779526,0.6666666666666666
