,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SIENA_homegame,SIENA_homegame2,SIENA_home,SIENA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-18-providence,69.6,16,0.0,0,128.3,58.3,14,0.569,51,0.451,23,0.255,13,0.6920000000000001,9,1,200,111.7,29.6,8,12,67,,10.0,6,0.5489999999999999,28,0.429,12,43.1,22,0.586,17.5,12,23,0.478,11,0.0,0,"November 6, 2018",55.2,16,8.7,2,111.7,70.4,19,0.67,53,0.547,29,0.132,7,0.857,6,0,200,128.3,41.7,10,13,77,,6.7,4,0.47200000000000003,25,0.52,13,56.9,29,0.684,18.8,13,28,0.5710000000000001,16,1.0,1,"Dunkin' Donuts Center, Providence, Rhode Island",SIENA,Siena,60.3,Home,PROVIDENCE,Providence,Siena,maac,0,False,False,False,Away,False,12,11,51,22,51,13,16,53,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-19-george-washington,60.0,15,11.1,4,101.7,75.8,25,0.5,63,0.397,25,0.175,11,0.545,6,1,200,115.0,35.1,13,12,69,,11.7,7,0.54,34,0.382,13,54.3,38,0.506,8.1,6,29,0.414,12,0.5,1,"November 8, 2018",43.5,10,10.3,3,115.0,64.9,24,0.5,54,0.426,23,0.24100000000000002,13,0.5379999999999999,7,2,200,101.7,24.2,8,11,61,,5.0,3,0.33299999999999996,18,0.444,8,45.7,32,0.507,10.5,7,36,0.41700000000000004,15,0.0,0,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,60.2,Away,SIENA,Siena,Siena,maac,1,False,False,False,Away,True,13,12,63,38,70,8,15,54,1,0,12,11,51,0.5686274509803921,22,51,0.43137254901960786,13,16,53,0.6698113207547169,0.0
2,2018-11-16-20-siena,50.0,11,7.7,1,101.7,92.0,23,0.429,56,0.39299999999999996,22,0.214,12,0.833,10,3,200,96.7,29.0,9,21,58,,6.7,4,0.429,24,0.16699999999999998,4,57.1,32,0.47,11.5,8,32,0.563,18,0.4,2,"November 16, 2018",72.2,13,3.1,1,96.7,71.0,22,0.547,43,0.419,18,0.488,21,0.667,14,1,200,101.7,8.0,2,12,61,,10.0,6,0.698,30,0.36700000000000005,11,42.9,24,0.5760000000000001,14.7,9,13,0.5379999999999999,7,0.667,2,"Mohegan Sun Arena, Uncasville, Connecticut",NORFOLK-STATE,Norfolk State,60.3,Home,SIENA,Siena,Siena,maac,2,True,False,True,Home,True,11,7,43,24,56,4,18,56,1,0,25,23,114,0.5307017543859649,60,121,0.49586776859504134,21,31,107,0.5841121495327103,0.5
3,2018-11-18-11-holy-cross,30.0,6,10.7,3,111.8,76.0,19,0.45,50,0.4,20,0.04,2,0.0,0,2,200,88.2,29.6,8,9,45,,7.8,4,0.48,24,0.20800000000000002,5,51.9,27,0.442,12.1,7,26,0.5770000000000001,15,0.5,2,"November 18, 2018",70.8,17,23.1,6,88.2,70.4,19,0.5379999999999999,53,0.45299999999999996,24,0.019,1,0.0,0,2,200,111.8,24.0,6,9,57,,11.8,6,0.47200000000000003,25,0.36,9,48.1,25,0.5329999999999999,8.6,5,28,0.536,15,0.6,3,"Mohegan Sun Arena, Uncasville, Connecticut",SIENA,Siena,51.2,Home,HOLY-CROSS,Holy Cross,Siena,maac,3,False,False,False,Away,False,5,15,50,27,52,9,15,53,0,1,36,30,157,0.535031847133758,84,177,0.4745762711864407,25,49,163,0.5306748466257669,0.6666666666666666
4,2018-11-21-18-siena,58.6,17,0.0,0,109.5,63.2,24,0.7,50,0.58,29,0.3,15,0.667,10,1,200,127.0,22.7,5,13,80,,7.9,5,0.38,19,0.632,12,48.3,29,0.7,16.3,11,31,0.5479999999999999,17,0.8,4,"November 21, 2018",38.5,10,6.5,2,127.0,77.3,17,0.469,64,0.406,26,0.172,11,0.818,9,3,200,109.5,36.8,14,12,69,,11.1,7,0.469,30,0.267,8,51.7,31,0.498,9.2,7,34,0.529,18,0.4,2,"Times Union Center , Albany, New York",SIENA,Siena,62.7,Away,LEHIGH,Lehigh,Siena,maac,4,False,True,True,Home,False,8,18,64,31,60,12,17,50,0,1,41,45,207,0.5144927536231884,111,229,0.4847161572052402,34,64,216,0.5324074074074074,0.5
5,2018-11-24-14-siena,51.7,15,2.7,1,119.7,69.0,20,0.6509999999999999,53,0.547,29,0.358,19,0.789,15,2,200,127.3,25.0,6,17,84,,4.5,3,0.434,23,0.478,11,49.1,26,0.677,12.8,9,30,0.6,18,0.7140000000000001,5,"November 24, 2018",46.9,15,6.7,2,127.3,75.0,18,0.575,60,0.5329999999999999,32,0.3,18,0.556,10,4,200,119.7,31.0,9,19,79,,10.6,7,0.38299999999999995,23,0.217,5,50.9,27,0.5760000000000001,9.3,7,37,0.73,27,0.33299999999999996,2,"Times Union Center , Albany, New York",SIENA,Siena,65.8,Away,COLGATE,Colgate,Siena,maac,5,False,True,True,Home,False,5,27,60,27,53,11,18,53,0,1,49,63,271,0.503690036900369,142,289,0.4913494809688581,46,81,266,0.5639097744360902,0.4
6,2018-11-28-19-hofstra,56.3,18,9.5,4,132.4,66.7,16,0.619,59,0.542,32,0.35600000000000004,21,0.619,13,5,200,121.1,25.8,8,20,86,,4.2,3,0.441,26,0.34600000000000003,9,43.6,24,0.623,13.9,11,33,0.6970000000000001,23,0.28600000000000003,2,"November 28, 2018",38.7,12,12.1,4,121.1,74.2,23,0.605,57,0.544,31,0.509,29,0.862,25,3,200,132.4,33.3,8,18,94,,9.9,7,0.263,15,0.467,7,56.4,31,0.664,10.3,8,42,0.5710000000000001,24,0.5710000000000001,4,"Mack Sports Complex, Hempstead, New York",SIENA,Siena,71.4,Home,HOFSTRA,Hofstra,Siena,maac,6,False,False,False,Away,False,9,23,59,24,55,7,24,57,0,1,54,90,331,0.5166163141993958,169,342,0.49415204678362573,57,99,319,0.5783699059561128,0.3333333333333333
7,2018-12-01-15-siena,36.0,9,6.1,2,106.3,70.6,24,0.57,50,0.5,25,0.28,14,0.5,7,4,200,101.6,34.6,9,14,64,,6.3,4,0.36,18,0.389,7,55.0,33,0.565,21.1,15,32,0.563,18,0.5,4,"December 1, 2018",60.0,15,12.5,4,101.6,65.4,17,0.518,56,0.446,25,0.304,17,0.529,9,5,200,106.3,29.4,10,17,67,,11.1,7,0.41100000000000003,23,0.348,8,45.0,27,0.523,12.4,9,33,0.515,17,0.375,3,"Times Union Center , Albany, New York",HARVARD,Harvard,62.9,Home,SIENA,Siena,Siena,maac,7,True,False,True,Home,True,8,17,56,27,60,7,18,50,1,0,63,113,390,0.532051282051282,193,397,0.48614609571788414,64,123,376,0.5824468085106383,0.2857142857142857
8,2018-12-05-19-st-bonaventure,40.0,6,7.1,3,136.7,65.4,17,0.402,46,0.326,15,0.217,10,0.3,3,6,200,66.7,19.4,7,15,40,,5.0,3,0.565,26,0.26899999999999996,7,38.7,24,0.39399999999999996,22.9,15,20,0.4,8,0.33299999999999996,3,"December 5, 2018",39.4,13,25.0,5,66.7,80.6,29,0.61,59,0.5589999999999999,33,0.22,13,0.769,10,5,200,136.7,34.6,9,13,82,,10.0,6,0.28800000000000003,17,0.353,6,61.3,38,0.629,8.5,6,42,0.643,27,0.444,4,"Reilly Center, St. Bonaventure, New York",SIENA,Siena,60.5,Home,ST-BONAVENTURE,St. Bonaventure,Siena,maac,8,False,False,False,Away,False,7,8,46,24,62,6,27,59,0,1,71,130,446,0.5302690582959642,220,457,0.4814004376367615,71,141,426,0.5809859154929577,0.375
9,2018-12-08-16-robert-morris,48.1,13,2.6,1,116.4,82.6,19,0.613,53,0.509,27,0.245,13,0.6920000000000001,9,6,200,121.3,23.1,6,16,74,,6.6,4,0.47200000000000003,25,0.44,11,51.0,25,0.625,13.3,9,28,0.5710000000000001,16,0.4,4,"December 8, 2018",33.3,9,3.6,1,121.3,76.9,20,0.625,48,0.563,27,0.375,18,0.611,11,6,200,116.4,17.4,4,15,71,,4.9,3,0.20800000000000002,10,0.6,6,49.0,24,0.628,12.5,8,38,0.5529999999999999,21,0.4,4,"North Athletic Complex, Pittsburgh, Pennsylvania",ROBERT-MORRIS,Robert Morris,61.4,Away,SIENA,Siena,Siena,maac,9,False,False,False,Away,True,11,16,53,25,49,6,21,48,1,0,78,138,492,0.5182926829268293,244,519,0.4701348747591522,77,168,485,0.5845360824742268,0.3333333333333333
