,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IOWA-STATE_homegame,IOWA-STATE_homegame2,IOWA-STATE_home,IOWA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-iowa-state,55.0,11,7.3,3,108.2,66.7,22,0.445,55,0.364,20,0.182,10,0.4,4,1,200,72.6,18.8,6,17,53,,5.5,4,0.473,26,0.34600000000000003,9,43.1,28,0.444,25.2,20,29,0.379,11,0.0,0,"November 6, 2018",62.5,20,17.2,5,72.6,81.3,26,0.552,67,0.478,32,0.10400000000000001,7,0.7140000000000001,5,0,200,108.2,33.3,11,14,79,,16.4,12,0.38799999999999996,26,0.385,10,56.9,37,0.562,15.6,13,41,0.537,22,1.0,1,"James H. Hilton Coliseum , Ames, Iowa",ALABAMA-STATE,Alabama State,73.0,Home,IOWA-STATE,Iowa State,Iowa State,big-12,0,True,False,True,Home,True,10,22,67,37,65,9,11,55,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-iowa-state,63.2,12,3.8,1,107.0,85.3,29,0.534,44,0.43200000000000005,19,0.386,17,0.706,12,1,200,83.1,21.7,5,26,59,,2.8,2,0.591,26,0.34600000000000003,9,59.6,34,0.5660000000000001,32.7,25,18,0.556,10,0.5,1,"November 9, 2018",45.5,10,16.7,3,83.1,78.3,18,0.51,51,0.431,22,0.6859999999999999,35,0.6859999999999999,24,0,200,107.0,14.7,5,17,76,,12.7,9,0.49,25,0.32,8,40.4,23,0.562,9.5,7,26,0.5379999999999999,14,1.0,2,"James H. Hilton Coliseum , Ames, Iowa",MISSOURI,Missouri,70.9,Home,IOWA-STATE,Iowa State,Iowa State,big-12,1,True,False,True,Home,True,8,14,51,23,57,9,10,44,1,0,10,22,67,0.5522388059701493,37,65,0.5692307692307692,9,11,55,0.44545454545454544,1.0
2,2018-11-12-20-iowa-state,42.3,11,2.9,1,106.3,69.7,23,0.39899999999999997,74,0.35100000000000003,26,0.203,15,0.9329999999999999,14,2,200,91.3,22.2,10,21,73,,12.5,10,0.37799999999999995,28,0.25,7,42.3,33,0.45,11.0,10,46,0.413,19,0.33299999999999996,1,"November 12, 2018",42.9,12,17.4,8,91.3,77.8,35,0.5429999999999999,58,0.483,28,0.517,30,0.733,22,0,200,106.3,30.3,10,15,85,,8.8,7,0.397,23,0.304,7,57.7,45,0.588,18.3,16,35,0.6,21,1.0,3,"James H. Hilton Coliseum , Ames, Iowa",TEXAS-SOUTHERN,Texas Southern,79.7,Home,IOWA-STATE,Iowa State,Iowa State,big-12,2,True,False,True,Home,True,7,21,58,45,78,7,19,74,1,0,18,36,118,0.5338983050847458,60,122,0.4918032786885246,18,21,99,0.48484848484848486,1.0
3,2018-11-19-21-iowa-state,41.7,10,5.3,2,93.0,71.1,27,0.475,59,0.40700000000000003,24,0.305,18,0.833,15,0,200,100.0,19.4,7,12,71,,11.3,8,0.475,28,0.28600000000000003,8,45.9,34,0.526,13.0,10,31,0.516,16,1.0,4,"November 19, 2018",46.2,12,12.9,4,100.0,80.6,29,0.452,62,0.419,26,0.21,13,0.769,10,1,200,93.0,28.9,11,16,66,,11.3,8,0.387,24,0.16699999999999998,4,54.1,40,0.484,17.1,14,38,0.579,22,0.75,3,"Lahaina Civic Center, Lahaina, Hawaii",IOWA-STATE,Iowa State,70.9,Away,ARIZONA,Arizona,Iowa State,big-12,3,False,True,True,Home,False,4,22,62,40,74,8,16,59,0,1,25,57,176,0.5369318181818182,105,200,0.525,25,40,173,0.4479768786127168,1.0
4,2018-11-20-16-illinois,50.0,13,11.1,3,101.5,76.5,26,0.5660000000000001,53,0.491,26,0.547,29,0.828,24,1,200,125.4,40.7,11,15,84,,4.5,3,0.434,23,0.348,8,60.7,37,0.629,14.3,11,30,0.6,18,0.8,4,"November 20, 2018",56.5,13,6.7,2,125.4,59.3,16,0.483,60,0.38299999999999995,23,0.233,14,0.7140000000000001,10,3,200,101.5,23.5,8,22,68,,6.0,4,0.55,33,0.364,12,39.3,24,0.51,12.0,9,27,0.40700000000000003,11,0.25,1,"Lahaina Civic Center, Lahaina, Hawaii",ILLINOIS,Illinois,67.2,Away,IOWA-STATE,Iowa State,Iowa State,big-12,4,False,False,False,Away,True,8,18,53,37,61,12,11,60,1,0,29,79,238,0.5147058823529411,145,274,0.5291970802919708,33,56,232,0.4547413793103448,0.75
5,2018-11-21-14-iowa-state,50.0,9,7.4,2,140.3,63.3,19,0.42200000000000004,51,0.353,18,0.33299999999999996,17,0.8240000000000001,14,2,200,91.9,20.0,7,17,57,,3.2,2,0.41200000000000003,21,0.33299999999999996,7,40.0,26,0.48200000000000004,15.8,11,30,0.36700000000000005,11,0.6,3,"November 21, 2018",60.7,17,6.7,2,91.9,80.0,28,0.593,59,0.475,28,0.33899999999999997,20,0.85,17,1,200,140.3,36.7,11,15,87,,11.3,7,0.542,32,0.43799999999999994,14,60.0,39,0.635,5.6,4,27,0.519,14,0.833,5,"Lahaina Civic Center, Lahaina, Hawaii",SAN-DIEGO-STATE,San Diego State,62.3,Home,IOWA-STATE,Iowa State,Iowa State,big-12,5,True,False,True,Home,True,14,14,59,39,65,7,11,51,1,0,37,97,291,0.5240549828178694,182,335,0.5432835820895522,45,67,292,0.4606164383561644,0.8
6,2018-11-26-20-iowa-state,52.4,11,4.9,2,109.3,66.7,24,0.43200000000000005,59,0.35600000000000004,21,0.153,9,0.444,4,4,200,73.3,18.9,7,19,55,,5.3,4,0.542,32,0.281,9,42.5,31,0.435,23.2,19,27,0.444,12,0.429,3,"November 26, 2018",56.7,17,7.4,2,73.3,81.1,30,0.523,65,0.462,30,0.308,20,0.7,14,1,200,109.3,33.3,12,12,82,,18.7,14,0.369,24,0.33299999999999996,8,57.5,42,0.55,15.0,13,41,0.537,22,0.857,6,"James H. Hilton Coliseum , Ames, Iowa",NEBRASKA-OMAHA,Omaha,75.4,Home,IOWA-STATE,Iowa State,Iowa State,big-12,6,True,False,True,Home,True,8,22,65,42,73,9,12,59,1,0,51,111,350,0.5357142857142857,221,400,0.5525,52,78,343,0.45481049562682213,0.8333333333333334
7,2018-12-03-20-iowa-state,47.8,11,4.3,2,109.5,78.1,25,0.42100000000000004,63,0.365,23,0.127,8,0.75,6,7,200,79.7,21.6,8,15,59,,4.1,3,0.444,28,0.25,7,47.8,33,0.442,18.4,15,35,0.457,16,0.222,2,"December 3, 2018",48.5,16,28.6,10,79.7,78.4,29,0.545,66,0.5,33,0.212,14,0.643,9,1,200,109.5,21.9,7,10,81,,10.8,8,0.28800000000000003,19,0.316,6,52.2,36,0.557,11.1,9,47,0.574,27,0.875,7,"James H. Hilton Coliseum , Ames, Iowa",NORTH-DAKOTA-STATE,North Dakota State,74.2,Home,IOWA-STATE,Iowa State,Iowa State,big-12,7,True,False,True,Home,True,6,27,66,36,69,7,16,63,1,0,59,133,415,0.5337349397590362,263,473,0.5560253699788583,61,90,402,0.45149253731343286,0.8571428571428571
8,2018-12-06-20-iowa,46.7,14,4.7,2,130.7,37.0,10,0.516,64,0.469,30,0.45299999999999996,29,0.621,18,2,200,112.0,27.0,10,21,84,,14.7,11,0.359,23,0.261,6,31.3,20,0.54,11.5,10,41,0.585,24,0.778,7,"December 6, 2018",60.0,21,4.9,2,112.0,73.0,27,0.648,61,0.574,35,0.377,23,0.826,19,2,200,130.7,63.0,17,21,98,18.0,4.0,3,0.295,18,0.5,9,68.8,44,0.6809999999999999,20.2,18,43,0.605,26,0.778,7,"Carver-Hawkeye Arena, Iowa City, Iowa",IOWA-STATE,Iowa State,75.4,Home,IOWA,Iowa,Iowa State,big-12,8,False,False,False,Away,False,6,24,64,20,64,9,26,61,0,1,65,160,481,0.5353430353430353,299,542,0.551660516605166,68,106,465,0.44731182795698926,0.875
9,2018-12-09-18-iowa-state,45.8,11,0.0,0,138.4,89.5,17,0.474,58,0.414,24,0.293,17,0.588,10,9,200,89.0,19.4,7,16,65,,9.6,7,0.32799999999999996,19,0.368,7,43.6,24,0.49200000000000005,15.5,12,39,0.436,17,0.1,1,"December 9, 2018",70.0,28,17.9,7,89.0,80.6,29,0.807,57,0.7020000000000001,40,0.228,13,0.6920000000000001,9,2,200,138.4,10.5,2,16,101,,6.8,5,0.439,25,0.48,12,56.4,31,0.799,17.2,13,32,0.875,28,0.8,8,"James H. Hilton Coliseum , Ames, Iowa",SOUTHERN,Southern,72.6,Home,IOWA-STATE,Iowa State,Iowa State,big-12,9,True,False,True,Home,True,12,28,57,31,55,7,17,58,1,0,71,184,545,0.5330275229357798,319,606,0.5264026402640264,77,132,526,0.470532319391635,0.7777777777777778
