,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PROVIDENCE_homegame,PROVIDENCE_homegame2,PROVIDENCE_home,PROVIDENCE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-18-providence,69.6,16,0.0,0,128.3,58.3,14,0.569,51,0.451,23,0.255,13,0.6920000000000001,9,1,200,111.7,29.6,8,12,67,,10.0,6,0.5489999999999999,28,0.429,12,43.1,22,0.586,17.5,12,23,0.478,11,0.0,0,"November 6, 2018",55.2,16,8.7,2,111.7,70.4,19,0.67,53,0.547,29,0.132,7,0.857,6,0,200,128.3,41.7,10,13,77,,6.7,4,0.47200000000000003,25,0.52,13,56.9,29,0.684,18.8,13,28,0.5710000000000001,16,1.0,1,"Dunkin' Donuts Center, Providence, Rhode Island",SIENA,Siena,60.3,Home,PROVIDENCE,Providence,Providence,big-east,0,True,False,True,Home,True,13,16,53,29,51,12,11,51,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-18-providence,63.3,19,12.9,4,109.6,57.6,19,0.6,60,0.5,30,0.317,19,0.579,11,1,200,113.7,44.4,12,20,83,,11.0,8,0.36700000000000005,22,0.545,12,51.7,31,0.601,19.0,16,38,0.474,18,0.5,1,"November 9, 2018",67.9,19,13.2,5,113.7,55.6,15,0.5579999999999999,60,0.467,28,0.433,26,0.5,13,1,200,109.6,42.4,14,17,80,,11.0,8,0.483,29,0.379,11,48.3,29,0.5529999999999999,17.4,15,31,0.5479999999999999,17,0.5,1,"Alumni Hall, Annapolis, Maryland",PROVIDENCE,Providence,73.2,Away,WICHITA-STATE,Wichita State,Providence,big-east,1,False,True,True,Home,False,11,17,60,29,60,12,18,60,0,1,13,16,53,0.6698113207547169,29,51,0.5686274509803921,12,11,51,0.5686274509803921,1.0
2,2018-11-13-19-providence,63.6,14,2.4,1,101.4,69.4,25,0.418,61,0.361,22,0.18,11,0.909,10,2,200,88.4,25.6,10,18,61,,13.0,9,0.295,18,0.389,7,46.7,35,0.461,15.4,12,43,0.349,15,0.33299999999999996,1,"November 13, 2018",44.4,12,9.3,4,88.4,74.4,29,0.508,59,0.45799999999999996,27,0.305,18,0.556,10,1,200,101.4,30.6,11,12,70,,13.0,9,0.28800000000000003,17,0.353,6,53.3,40,0.518,16.3,13,42,0.5,21,0.667,2,"Dunkin' Donuts Center, Providence, Rhode Island",HOLY-CROSS,Holy Cross,68.9,Home,PROVIDENCE,Providence,Providence,big-east,2,True,False,True,Home,True,6,21,59,40,75,7,15,61,1,0,24,33,113,0.6106194690265486,58,111,0.5225225225225225,24,29,111,0.5855855855855856,0.5
3,2018-11-17-14-providence,32.0,8,4.7,2,104.1,71.9,23,0.452,62,0.40299999999999997,25,0.226,14,0.7859999999999999,11,2,200,91.8,25.8,8,26,67,,8.2,6,0.40299999999999997,25,0.24,6,49.2,31,0.488,15.0,12,37,0.514,19,0.5,2,"November 17, 2018",59.1,13,8.1,3,91.8,74.2,23,0.429,56,0.39299999999999996,22,0.607,34,0.8240000000000001,28,1,200,104.1,28.1,9,18,76,,6.8,5,0.23199999999999998,13,0.308,4,50.8,32,0.527,13.4,11,43,0.419,18,0.75,3,"Mohegan Sun Arena, Uncasville, Connecticut",SOUTH-CAROLINA,South Carolina,73.4,Home,PROVIDENCE,Providence,Providence,big-east,3,True,False,True,Home,True,4,18,56,32,63,6,19,62,1,0,30,54,172,0.5755813953488372,98,186,0.5268817204301075,31,44,172,0.5261627906976745,0.6666666666666666
4,2018-11-18-13-providence,65.2,15,7.7,3,73.4,67.6,25,0.5,52,0.442,23,0.385,20,0.7,14,0,200,103.1,27.6,8,18,66,18.0,4.7,3,0.34600000000000003,18,0.33299999999999996,6,50.0,33,0.537,12.9,9,34,0.5,17,1.0,5,"November 18, 2018",37.5,6,17.6,6,103.1,72.4,21,0.298,57,0.281,16,0.35100000000000003,20,0.65,13,2,200,73.4,32.4,12,19,47,,6.3,4,0.316,18,0.111,2,50.0,33,0.353,14.3,11,39,0.359,14,0.6,3,"Mohegan Sun Arena, Uncasville, Connecticut",PROVIDENCE,Providence,64.0,Away,MICHIGAN,Michigan,Providence,big-east,4,False,True,True,Home,False,2,14,57,33,66,6,17,52,0,1,34,72,228,0.5394736842105263,130,249,0.5220883534136547,37,63,234,0.5064102564102564,0.75
5,2018-11-24-16-providence,51.7,15,0.0,0,121.3,63.9,23,0.561,57,0.509,29,0.316,18,0.833,15,3,200,105.3,26.9,7,16,79,,8.0,6,0.35100000000000003,20,0.3,6,48.4,30,0.603,18.8,15,37,0.622,23,0.4,2,"November 24, 2018",51.5,17,13.5,5,105.3,73.1,19,0.56,67,0.493,33,0.299,20,0.8,16,2,200,121.3,36.1,13,17,91,,8.0,6,0.32799999999999996,22,0.409,9,51.6,32,0.595,13.7,12,45,0.5329999999999999,24,0.667,4,"Dunkin' Donuts Center, Providence, Rhode Island",IONA,Iona,74.5,Home,PROVIDENCE,Providence,Providence,big-east,5,True,False,True,Home,True,9,24,67,32,62,6,23,57,1,0,36,86,285,0.49122807017543857,163,315,0.5174603174603175,43,80,286,0.5052447552447552,0.6
6,2018-11-27-20-providence,34.8,8,5.4,2,103.0,75.9,22,0.519,53,0.434,23,0.18899999999999997,10,0.4,4,3,200,88.1,20.7,6,22,59,,11.9,8,0.45299999999999996,24,0.375,9,48.3,28,0.511,19.6,14,29,0.483,14,0.5,3,"November 27, 2018",44.0,11,13.8,4,88.1,79.3,23,0.53,50,0.5,25,0.52,26,0.615,16,2,200,103.0,24.1,7,13,69,,11.9,8,0.26,13,0.231,3,51.7,30,0.5529999999999999,17.5,13,37,0.595,22,0.7140000000000001,5,"Dunkin' Donuts Center, Providence, Rhode Island",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,67.1,Home,PROVIDENCE,Providence,Providence,big-east,6,True,False,True,Home,True,3,22,50,30,58,9,14,53,1,0,45,110,352,0.5042613636363636,195,377,0.5172413793103449,49,103,343,0.5145772594752187,0.6666666666666666
7,2018-12-01-17-providence,41.2,7,5.4,2,84.3,77.1,27,0.316,57,0.298,17,0.456,26,0.5379999999999999,14,3,200,71.4,16.7,7,25,50,,8.6,6,0.316,18,0.111,2,44.2,34,0.36,10.5,8,39,0.385,15,0.5,3,"December 1, 2018",61.1,11,15.4,6,71.4,83.3,35,0.41,50,0.36,18,0.6,30,0.6,18,2,200,84.3,22.9,8,21,59,,5.7,4,0.26,13,0.385,5,55.8,43,0.45899999999999996,18.1,14,37,0.35100000000000003,13,0.75,6,"Dunkin' Donuts Center, Providence, Rhode Island",RHODE-ISLAND,Rhode Island,70.3,Home,PROVIDENCE,Providence,Providence,big-east,7,True,False,True,Home,True,5,13,50,43,77,2,15,57,1,0,48,132,402,0.5074626865671642,225,435,0.5172413793103449,58,117,396,0.5151515151515151,0.7142857142857143
8,2018-12-04-19-boston-college,61.8,21,7.9,3,111.8,66.7,18,0.542,71,0.479,34,0.479,34,0.6759999999999999,23,2,225,117.6,33.3,13,29,100,,5.9,5,0.29600000000000004,21,0.429,9,47.0,31,0.574,10.4,10,50,0.5,25,0.778,7,"December 4, 2018",61.5,16,6.0,3,117.6,66.7,26,0.509,58,0.44799999999999995,26,0.7759999999999999,45,0.8,36,2,225,111.8,33.3,9,27,95,,9.4,8,0.345,20,0.35,7,53.0,35,0.598,17.1,16,38,0.5,19,0.75,6,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,75.8,Away,PROVIDENCE,Providence,Providence,big-east,8,False,False,False,Away,True,9,25,71,31,66,7,19,58,1,0,53,145,452,0.49668141592920356,268,512,0.5234375,60,132,453,0.4900662251655629,0.75
9,2018-12-07-19-providence,35.5,11,2.6,1,111.4,71.4,20,0.574,61,0.508,31,0.27899999999999997,17,0.529,9,4,200,112.9,29.0,9,16,79,,8.6,6,0.311,19,0.42100000000000004,8,49.2,29,0.5720000000000001,12.7,10,42,0.5479999999999999,23,0.6,6,"December 7, 2018",53.8,14,9.5,4,112.9,71.0,22,0.564,55,0.473,26,0.455,25,0.64,16,3,200,111.4,28.6,8,15,78,,7.1,5,0.309,17,0.588,10,50.8,30,0.583,15.4,12,38,0.42100000000000004,16,0.7,7,"Dunkin' Donuts Center, Providence, Rhode Island",PROVIDENCE,Providence,70.5,Away,MASSACHUSETTS,UMass,Providence,big-east,9,False,True,True,Home,False,10,16,55,30,59,8,23,61,0,1,62,170,523,0.502868068833652,299,578,0.5173010380622838,67,151,511,0.49217221135029354,0.7777777777777778
