,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOUSTON-BAPTIST_homegame,HOUSTON-BAPTIST_homegame2,HOUSTON-BAPTIST_home,HOUSTON-BAPTIST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-21-arizona,36.4,8,0.0,0,118.4,62.5,20,0.355,69,0.319,22,0.391,27,0.40700000000000003,11,1,201,78.9,31.4,16,30,60,,6.6,5,0.319,22,0.22699999999999998,5,43.4,36,0.36700000000000005,12.9,12,47,0.36200000000000004,17,0.0,0,"November 7, 2018",46.4,13,6.4,3,78.9,68.6,35,0.544,57,0.491,28,0.632,36,0.778,28,0,201,118.4,37.5,12,20,90,,7.9,6,0.386,22,0.273,6,56.6,47,0.607,15.1,13,35,0.629,22,1.0,1,"McKale Center, Tucson, Arizona",HOUSTON-BAPTIST,Houston Baptist,76.1,Home,ARIZONA,Arizona,Houston Baptist,southland,0,False,False,False,Away,False,5,17,69,36,83,6,22,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-20-houston-baptist,66.7,16,16.2,6,105.6,72.0,18,0.544,57,0.42100000000000004,24,0.21100000000000002,12,0.833,10,1,200,101.4,35.5,11,23,72,,8.5,6,0.509,29,0.483,14,51.8,29,0.574,21.4,17,28,0.35700000000000004,10,0.5,1,"November 10, 2018",68.0,17,7.1,2,101.4,64.5,20,0.5479999999999999,52,0.48100000000000004,25,0.5,26,0.6920000000000001,18,1,200,105.6,28.0,7,18,75,,11.3,8,0.28800000000000003,15,0.467,7,48.2,27,0.583,20.1,16,37,0.486,18,0.5,1,"Frank and Lucille Sharp Gymnasium, Houston, Texas",FORDHAM,Fordham,71.0,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland,1,True,False,True,Home,True,7,18,52,27,56,14,10,57,1,0,5,17,69,0.35507246376811596,36,83,0.43373493975903615,6,22,57,0.543859649122807,0.0
2,2018-11-17-20-wisconsin,31.8,7,2.5,1,129.7,73.9,17,0.447,57,0.386,22,0.21100000000000002,12,0.667,8,2,200,79.7,12.9,4,25,59,,5.4,4,0.386,22,0.318,7,38.9,21,0.47,19.4,15,35,0.429,15,0.33299999999999996,1,"November 17, 2018",51.4,18,11.4,4,79.7,87.1,27,0.664,58,0.603,35,0.431,25,0.76,19,0,200,129.7,26.1,6,14,96,,8.1,6,0.31,18,0.389,7,61.1,33,0.687,12.7,10,40,0.7,28,1.0,3,"Kohl Center, Madison, Wisconsin",HOUSTON-BAPTIST,Houston Baptist,73.8,Home,WISCONSIN,Wisconsin,Houston Baptist,southland,2,False,False,False,Away,False,7,15,57,21,54,7,28,58,0,1,12,35,121,0.4380165289256198,63,139,0.45323741007194246,20,32,114,0.543859649122807,0.5
3,2018-11-23-14-wake-forest,46.9,15,2.7,1,111.0,55.6,15,0.528,72,0.444,32,0.444,32,0.531,17,2,225,113.4,32.6,14,29,93,,9.8,8,0.389,28,0.429,12,41.4,29,0.5329999999999999,10.4,10,44,0.455,20,0.5,2,"November 23, 2018",48.4,15,13.6,6,113.4,67.4,29,0.636,55,0.564,31,0.618,34,0.618,21,2,225,111.0,44.4,12,27,91,,11.0,9,0.327,18,0.444,8,58.6,41,0.639,23.9,22,37,0.622,23,0.6,3,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,73.0,Away,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland,3,False,False,False,Away,True,12,20,72,29,70,8,23,55,1,0,19,50,178,0.4410112359550562,84,193,0.43523316062176165,27,60,172,0.5843023255813954,0.3333333333333333
4,2018-11-26-20-houston-baptist,37.9,11,6.8,3,100.0,65.0,26,0.524,62,0.46799999999999997,29,0.516,32,0.6559999999999999,21,5,200,104.9,34.2,13,25,86,,7.3,6,0.32299999999999995,20,0.35,7,50.0,39,0.557,18.3,17,42,0.524,22,0.28600000000000003,2,"November 26, 2018",60.7,17,2.4,1,104.9,65.8,25,0.44799999999999995,67,0.418,28,0.493,33,0.667,22,3,200,100.0,35.0,14,24,82,,9.8,8,0.34299999999999997,23,0.174,4,50.0,39,0.496,14.7,14,44,0.545,24,0.4,2,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,81.9,Away,TEXAS-SAN-ANTONIO,UTSA,Houston Baptist,southland,4,False,True,True,Home,False,4,24,67,39,78,7,22,62,0,1,31,70,250,0.466,113,263,0.4296577946768061,35,83,227,0.5969162995594713,0.5
5,2018-12-01-17-louisiana-tech,64.3,18,8.9,4,113.3,57.9,22,0.516,61,0.45899999999999996,28,0.295,18,0.833,15,4,200,104.0,20.7,6,21,78,,9.3,7,0.32799999999999996,20,0.35,7,41.8,28,0.561,15.9,13,41,0.512,21,0.33299999999999996,2,"December 1, 2018",58.6,17,17.1,7,104.0,79.3,23,0.484,64,0.45299999999999996,29,0.42200000000000004,27,0.852,23,3,200,113.3,42.1,16,13,85,,6.7,5,0.297,19,0.21100000000000002,4,58.2,39,0.5529999999999999,13.7,12,45,0.556,25,0.625,5,"Thomas Assembly Center, Ruston, Louisiana",HOUSTON-BAPTIST,Houston Baptist,74.7,Home,LOUISIANA-TECH,Louisiana Tech,Houston Baptist,southland,5,False,False,False,Away,False,7,21,61,28,67,4,25,64,0,1,35,94,317,0.46214511041009465,152,341,0.44574780058651026,42,105,289,0.5813148788927336,0.4
6,2018-12-08-17-texas-state,34.8,8,0.0,0,126.8,66.7,18,0.491,54,0.426,23,0.648,35,0.7709999999999999,27,5,200,112.7,37.1,13,21,80,,9.9,7,0.389,21,0.33299999999999996,7,50.0,31,0.5660000000000001,15.8,13,33,0.485,16,0.28600000000000003,2,"December 8, 2018",53.3,16,3.0,1,112.7,62.9,22,0.579,57,0.526,30,0.491,28,0.857,24,1,200,126.8,33.3,9,26,90,,9.9,7,0.316,18,0.33299999999999996,6,50.0,31,0.64,13.7,11,39,0.615,24,0.9,9,"Strahan Coliseum, San Marcos, Texas",HOUSTON-BAPTIST,Houston Baptist,71.5,Home,TEXAS-STATE,Texas State,Houston Baptist,southland,6,False,False,False,Away,False,7,16,54,31,62,6,24,57,0,1,42,115,378,0.4708994708994709,180,408,0.4411764705882353,46,130,353,0.5637393767705382,0.3333333333333333
7,2018-12-14-20-houston-baptist,60.7,17,4.9,3,125.9,48.7,19,0.585,53,0.528,28,0.28300000000000003,15,0.5329999999999999,8,0,200,82.4,3.6,1,20,70,,5.9,5,0.28300000000000003,15,0.4,6,29.9,20,0.5820000000000001,28.7,24,38,0.579,22,0.0,0,"December 14, 2018",40.0,16,0.0,0,82.4,96.4,27,0.5579999999999999,78,0.513,40,0.33299999999999996,26,0.769,20,5,200,125.9,51.3,20,20,107,,15.3,13,0.218,17,0.41200000000000003,7,70.1,47,0.5920000000000001,15.2,16,61,0.541,33,0.375,3,"Frank and Lucille Sharp Gymnasium, Houston, Texas","Arlington Baptist
			","Arlington Baptist
			",84.7,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland,7,True,False,True,Home,True,7,33,78,47,67,6,22,53,1,0,49,131,432,0.47337962962962965,211,470,0.44893617021276594,52,154,410,0.5658536585365853,0.2857142857142857
8,2018-12-17-19-samford,50.0,10,2.5,1,114.9,71.4,25,0.36200000000000004,65,0.308,20,0.308,20,0.7,14,6,200,82.4,34.9,15,15,61,,6.8,5,0.369,24,0.292,7,51.3,40,0.409,15.9,14,41,0.317,13,0.33299999999999996,3,"December 17, 2018",41.9,13,14.6,6,82.4,65.1,28,0.578,64,0.484,31,0.281,18,0.611,11,2,200,114.9,28.6,10,17,85,,10.8,8,0.375,24,0.5,12,48.7,38,0.586,13.3,11,40,0.475,19,0.833,10,"Pete Hanna Center, Birmingham, Alabama",HOUSTON-BAPTIST,Houston Baptist,73.5,Home,SAMFORD,Samford,Houston Baptist,southland,8,False,False,False,Away,False,7,13,65,40,78,12,19,64,0,1,56,164,510,0.48627450980392156,258,537,0.48044692737430167,58,176,463,0.5680345572354212,0.375
9,2018-12-19-19-miami-fl,55.6,15,3.4,1,112.7,68.8,22,0.591,55,0.491,27,0.255,14,0.5710000000000001,8,7,200,102.8,20.0,6,14,73,,7.0,5,0.418,23,0.478,11,45.2,28,0.5920000000000001,21.8,17,32,0.5,16,0.3,3,"December 19, 2018",58.6,17,21.9,7,102.8,80.0,24,0.605,57,0.509,29,0.298,17,0.647,11,4,200,112.7,31.3,10,13,80,,12.7,9,0.491,28,0.39299999999999996,11,54.8,34,0.615,17.8,14,29,0.621,18,0.6,6,"BankUnited Center, Coral Gables, Florida",HOUSTON-BAPTIST,Houston Baptist,70.9,Home,MIAMI-FL,Miami (FL),Houston Baptist,southland,9,False,False,False,Away,False,11,16,55,28,62,11,18,57,0,1,63,177,575,0.4721739130434783,298,615,0.4845528455284553,70,195,527,0.5692599620493358,0.3333333333333333
10,2018-12-29-14-houston-baptist,34.4,11,0.0,0,160.7,27.6,8,0.616,69,0.46399999999999997,32,0.13,9,0.778,7,0,200,103.4,16.7,6,23,92,,3.4,3,0.522,36,0.583,21,21.5,14,0.628,23.2,22,33,0.33299999999999996,11,0.0,0,"December 29, 2018",50.9,29,6.1,2,103.4,83.3,30,0.7440000000000001,82,0.695,57,0.37799999999999995,31,0.677,21,7,200,160.7,72.4,21,16,143,,14.6,13,0.207,17,0.47100000000000003,8,78.5,51,0.7390000000000001,11.1,12,65,0.754,49,0.364,4,"Frank and Lucille Sharp Gymnasium, Houston, Texas","Dallas Christian
			","Dallas Christian
			",88.5,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland,10,True,False,True,Home,True,8,49,82,51,65,21,11,69,1,0,74,193,630,0.48253968253968255,326,677,0.4815361890694239,81,213,584,0.5727739726027398,0.3
