,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAN-DIEGO_homegame,SAN-DIEGO_homegame2,SAN-DIEGO_home,SAN-DIEGO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-san-diego,33.3,9,8.3,4,116.9,64.7,22,0.49200000000000005,61,0.44299999999999995,27,0.131,8,0.75,6,1,200,93.0,21.2,7,18,66,,2.8,2,0.344,21,0.28600000000000003,6,43.3,29,0.509,18.9,15,40,0.525,21,0.0,0,"November 6, 2018",59.4,19,2.5,1,93.0,78.8,26,0.546,65,0.49200000000000005,32,0.27699999999999997,18,0.667,12,0,200,116.9,35.3,12,12,83,,11.3,8,0.262,17,0.41200000000000003,7,56.7,38,0.564,9.9,8,48,0.521,25,1.0,1,"Jenny Craig Pavillion, San Diego, California",WEBER-STATE,Weber State,71.2,Home,SAN-DIEGO,San Diego,San Diego,wcc,0,True,False,True,Home,True,7,25,65,38,67,6,21,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-22-california-davis,60.0,18,0.0,0,85.1,85.3,29,0.5670000000000001,60,0.5,30,0.217,13,0.615,8,0,200,113.4,24.1,7,18,76,,9.0,6,0.45,27,0.29600000000000004,8,57.1,36,0.574,10.9,8,33,0.667,22,1.0,2,"November 9, 2018",30.0,6,6.1,2,113.4,75.9,22,0.406,53,0.377,20,0.321,17,0.8240000000000001,14,2,200,85.1,14.7,5,17,57,,6.0,4,0.434,23,0.13,3,42.9,27,0.467,14.2,10,30,0.5670000000000001,17,0.0,0,"The Pavilion, Davis, California",CALIFORNIA-DAVIS,UC-Davis,66.6,Away,SAN-DIEGO,San Diego,San Diego,wcc,1,False,False,False,Away,True,8,22,60,36,63,3,17,53,1,0,7,25,65,0.5461538461538461,38,67,0.5671641791044776,6,21,61,0.4918032786885246,1.0
2,2018-11-12-23-washington,64.0,16,13.5,5,101.5,70.0,21,0.528,53,0.47200000000000003,25,0.20800000000000002,11,0.636,7,1,200,96.9,28.6,8,15,63,,3.1,2,0.302,16,0.375,6,50.0,29,0.541,22.7,17,37,0.514,19,0.667,2,"November 12, 2018",43.5,10,13.5,5,96.9,71.4,20,0.455,56,0.41100000000000003,23,0.304,17,0.882,15,1,200,101.5,30.0,9,15,66,,15.4,10,0.33899999999999997,19,0.263,5,50.0,29,0.515,11.2,8,37,0.486,18,0.667,2,"Alaska Airlines Arena, Seattle, Washington",SAN-DIEGO,San Diego,65.2,Home,WASHINGTON,Washington,San Diego,wcc,2,False,False,False,Away,False,6,19,53,29,58,5,18,56,0,1,15,47,125,0.556,74,130,0.5692307692307692,9,38,114,0.4517543859649123,1.0
3,2018-11-15-22-san-diego,41.2,7,2.8,1,137.7,53.1,17,0.373,55,0.309,17,0.182,10,0.6,6,0,200,68.1,15.4,6,17,47,,7.2,5,0.345,19,0.368,7,32.4,23,0.39299999999999996,21.2,16,36,0.278,10,0.0,0,"November 15, 2018",63.9,23,16.7,6,68.1,84.6,33,0.644,66,0.545,36,0.212,14,0.7140000000000001,10,1,200,137.7,46.9,15,15,95,,10.1,7,0.455,30,0.433,13,67.6,48,0.654,13.2,11,36,0.639,23,0.75,3,"Jenny Craig Pavillion, San Diego, California","San Diego Christian
			","San Diego Christian
			",69.2,Home,SAN-DIEGO,San Diego,San Diego,wcc,3,True,False,True,Home,True,13,23,66,48,71,7,10,55,1,0,21,66,178,0.547752808988764,103,188,0.5478723404255319,14,56,170,0.45294117647058824,0.6666666666666666
4,2018-11-20-22-san-diego,54.2,13,20.0,7,101.4,61.1,22,0.48200000000000004,57,0.42100000000000004,24,0.263,15,0.6,9,1,200,92.8,21.9,7,25,64,,8.7,6,0.33299999999999996,19,0.368,7,42.6,29,0.499,14.7,11,38,0.447,17,0.667,2,"November 20, 2018",50.0,11,10.5,4,92.8,78.1,25,0.433,60,0.36700000000000005,22,0.35,21,0.857,18,1,200,101.4,38.9,14,18,70,,4.3,3,0.41700000000000004,25,0.32,8,57.4,39,0.5,15.8,13,35,0.4,14,0.8,4,"Jenny Craig Pavillion, San Diego, California",COLORADO,Colorado,68.6,Home,SAN-DIEGO,San Diego,San Diego,wcc,4,True,False,True,Home,True,8,14,60,39,68,7,17,57,1,0,34,89,244,0.5737704918032787,151,259,0.583011583011583,21,66,225,0.43333333333333335,0.75
5,2018-11-24-22-san-diego,12.0,3,0.0,0,107.0,88.9,24,0.457,58,0.431,25,0.19,11,0.455,5,5,200,81.7,15.2,5,29,58,,7.0,5,0.259,15,0.2,3,48.3,29,0.45899999999999996,18.2,14,43,0.512,22,0.16699999999999998,1,"November 24, 2018",45.5,10,9.3,4,81.7,84.8,28,0.52,49,0.449,22,0.6729999999999999,33,0.758,25,1,200,107.0,11.1,3,13,76,,5.6,4,0.531,26,0.26899999999999996,7,51.7,31,0.588,12.4,9,23,0.652,15,0.833,5,"Jenny Craig Pavillion, San Diego, California",JACKSON-STATE,Jackson State,71.5,Home,SAN-DIEGO,San Diego,San Diego,wcc,5,True,False,True,Home,True,7,15,49,31,60,3,22,58,1,0,42,103,304,0.5460526315789473,190,327,0.581039755351682,28,83,282,0.4432624113475177,0.8
6,2018-11-28-19-mississippi,67.7,21,0.0,0,124.0,69.6,16,0.555,64,0.484,31,0.281,18,0.833,15,2,200,114.7,21.9,7,21,86,,8.0,6,0.359,23,0.391,9,41.8,23,0.593,15.3,13,41,0.537,22,0.7140000000000001,5,"November 28, 2018",60.6,20,9.8,4,114.7,78.1,25,0.6759999999999999,54,0.611,33,0.426,23,0.87,20,2,200,124.0,30.4,7,19,93,,9.3,7,0.29600000000000004,16,0.43799999999999994,7,58.2,32,0.716,17.9,14,38,0.684,26,0.667,4,"The Pavilion at Ole Miss, Oxford, Mississippi",SAN-DIEGO,San Diego,75.2,Home,MISSISSIPPI,Ole Miss,San Diego,wcc,6,False,False,False,Away,False,9,22,64,23,55,7,26,54,0,1,49,118,353,0.5424929178470255,221,387,0.5710594315245479,31,105,340,0.4455882352941177,0.8333333333333334
7,2018-12-01-22-san-diego,37.5,9,3.2,1,102.8,80.0,24,0.441,59,0.40700000000000003,24,0.40700000000000003,24,0.75,18,7,200,97.2,37.1,13,21,70,,6.9,5,0.254,15,0.267,4,56.9,37,0.49700000000000005,17.7,15,44,0.455,20,0.222,2,"December 1, 2018",60.0,15,6.8,3,97.2,62.9,22,0.536,56,0.446,25,0.28600000000000003,16,0.875,14,2,200,102.8,20.0,6,21,74,,8.3,6,0.446,25,0.4,10,43.1,28,0.5820000000000001,17.1,13,31,0.484,15,0.75,6,"Jenny Craig Pavillion, San Diego, California",LONG-BEACH-STATE,Long Beach State,71.5,Home,SAN-DIEGO,San Diego,San Diego,wcc,7,True,False,True,Home,True,10,15,56,28,65,4,20,59,1,0,58,140,417,0.5443645083932853,244,442,0.5520361990950227,38,131,394,0.47715736040609136,0.7142857142857143
8,2018-12-05-22-san-diego-state,58.3,14,17.2,5,92.4,77.8,21,0.519,53,0.45299999999999996,24,0.5660000000000001,30,0.6,18,2,200,110.6,31.0,9,23,73,,6.1,4,0.45299999999999996,24,0.292,7,53.6,30,0.5429999999999999,12.0,9,29,0.586,17,0.778,7,"December 5, 2018",55.6,10,6.9,2,110.6,69.0,20,0.455,44,0.409,18,0.682,30,0.7,21,3,200,92.4,22.2,6,25,61,,3.0,2,0.341,15,0.267,4,46.4,26,0.524,17.3,12,29,0.483,14,0.625,5,"Viejas Arena, San Diego, California",SAN-DIEGO-STATE,San Diego State,65.8,Away,SAN-DIEGO,San Diego,San Diego,wcc,8,False,False,False,Away,True,7,17,53,30,56,4,14,44,1,0,68,155,473,0.5433403805496829,272,507,0.5364891518737672,42,151,453,0.47240618101545256,0.75
9,2018-12-09-16-san-diego,72.4,21,8.1,3,113.9,80.0,24,0.508,60,0.483,29,0.2,12,0.583,7,6,200,94.4,20.0,6,11,68,,13.9,10,0.233,14,0.214,3,50.0,30,0.518,17.7,14,46,0.565,26,0.33299999999999996,3,"December 9, 2018",78.1,25,8.7,4,94.4,80.0,24,0.615,61,0.525,32,0.115,7,1.0,7,2,200,113.9,20.0,6,14,82,,11.1,8,0.39299999999999996,24,0.45799999999999996,11,50.0,30,0.637,15.8,12,37,0.568,21,0.8,8,"Jenny Craig Pavillion, San Diego, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,72.0,Home,SAN-DIEGO,San Diego,San Diego,wcc,9,True,False,True,Home,True,11,21,61,30,60,3,26,60,1,0,75,172,526,0.5408745247148289,302,563,0.5364120781527532,46,165,497,0.4708249496981891,0.7777777777777778
