,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BRIGHAM-YOUNG_homegame,BRIGHAM-YOUNG_homegame2,BRIGHAM-YOUNG_home,BRIGHAM-YOUNG_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-23-nevada,65.4,17,10.5,4,107.5,76.2,32,0.42,69,0.377,26,0.275,19,0.632,12,1,200,87.5,16.7,7,27,70,,5.0,4,0.449,31,0.19399999999999998,6,46.4,39,0.449,8.3,7,38,0.526,20,0.0,0,"November 6, 2018",76.0,19,10.5,4,87.5,83.3,35,0.439,66,0.379,25,0.591,39,0.718,28,0,200,107.5,23.8,10,20,86,7.0,5.0,4,0.424,28,0.28600000000000003,8,53.6,45,0.509,8.8,8,38,0.447,17,1.0,1,"Lawlor Events Center, Reno, Nevada",BRIGHAM-YOUNG,BYU,80.3,Home,NEVADA,Nevada,Brigham Young,wcc,0,False,False,False,Away,False,6,20,69,39,84,8,17,66,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-22-brigham-young,56.0,14,5.3,2,97.4,78.4,29,0.373,75,0.33299999999999996,25,0.2,15,0.6,9,1,202,84.4,30.6,15,22,65,,5.2,4,0.307,23,0.261,6,51.2,44,0.396,11.9,11,52,0.365,19,0.5,1,"November 9, 2018",69.2,18,11.5,6,84.4,69.4,34,0.483,60,0.433,26,0.41700000000000004,25,0.68,17,1,202,97.4,21.6,8,18,75,,10.4,8,0.36700000000000005,22,0.273,6,48.8,42,0.522,14.5,12,38,0.526,20,0.5,1,"Marriott Center, Provo, Utah",UTAH-VALLEY,Utah Valley,76.2,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,1,True,False,True,Home,True,6,20,60,42,86,6,19,75,1,0,6,20,69,0.42028985507246375,39,84,0.4642857142857143,8,17,66,0.4393939393939394,0.0
2,2018-11-13-21-brigham-young,35.0,7,2.7,1,105.1,76.7,23,0.359,64,0.313,20,0.23399999999999999,15,0.733,11,2,200,73.1,18.6,8,22,57,,10.3,8,0.297,19,0.316,6,42.5,31,0.401,16.5,14,45,0.311,14,0.33299999999999996,1,"November 13, 2018",53.6,15,17.8,8,73.1,81.4,35,0.534,59,0.475,28,0.424,25,0.76,19,1,200,105.1,23.3,7,15,82,,6.4,5,0.373,22,0.318,7,57.5,42,0.578,17.6,15,37,0.568,21,0.667,2,"Marriott Center, Provo, Utah",NORTHWESTERN-STATE,Northwestern State,78.0,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,2,True,False,True,Home,True,7,21,59,42,73,6,14,64,1,0,12,40,129,0.4496124031007752,81,170,0.4764705882352941,14,36,141,0.40425531914893614,0.5
3,2018-11-15-21-brigham-young,60.0,15,10.6,5,104.9,75.6,31,0.452,62,0.40299999999999997,25,0.29,18,0.5,9,4,200,80.2,5.0,2,22,65,,2.5,2,0.371,23,0.261,6,40.7,33,0.461,15.7,13,39,0.48700000000000004,19,0.2,1,"November 15, 2018",65.5,19,5.1,2,80.2,95.0,38,0.451,71,0.408,29,0.366,26,0.8079999999999999,21,1,200,104.9,24.4,10,18,85,,8.6,7,0.33799999999999997,24,0.25,6,59.3,48,0.51,7.8,7,47,0.489,23,0.75,3,"Marriott Center, Provo, Utah",ORAL-ROBERTS,Oral Roberts,81.0,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,3,True,False,True,Home,True,6,23,71,48,81,6,19,62,1,0,19,61,188,0.47606382978723405,123,243,0.5061728395061729,20,50,205,0.3902439024390244,0.6666666666666666
4,2018-11-17-18-brigham-young,60.9,14,4.5,2,124.7,76.5,26,0.402,66,0.348,23,0.182,12,0.583,7,4,200,82.2,17.8,8,21,60,,2.7,2,0.242,16,0.43799999999999994,7,43.0,34,0.418,11.2,9,50,0.32,16,0.0,0,"November 17, 2018",54.5,18,6.0,3,82.2,82.2,37,0.561,66,0.5,33,0.348,23,0.7390000000000001,17,1,200,124.7,23.5,8,15,91,,5.5,4,0.33299999999999996,22,0.364,8,57.0,45,0.591,5.0,4,44,0.568,25,0.8,4,"Marriott Center, Provo, Utah",ALABAMA-AM,Alabama A&M,72.8,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,4,True,False,True,Home,True,8,25,66,45,79,7,16,66,1,0,25,84,259,0.4691119691119691,171,324,0.5277777777777778,26,69,267,0.4044943820224719,0.75
5,2018-11-21-21-brigham-young,41.4,12,4.8,2,132.9,77.4,24,0.516,64,0.45299999999999996,29,0.281,18,0.667,12,3,200,98.7,16.7,6,23,78,,3.8,3,0.344,22,0.364,8,44.8,30,0.5379999999999999,15.3,13,42,0.5,21,0.5,3,"November 21, 2018",59.0,23,9.5,4,98.7,83.3,30,0.629,70,0.557,39,0.28600000000000003,20,0.85,17,1,200,132.9,22.6,7,20,105,,6.3,5,0.4,28,0.35700000000000004,10,55.2,37,0.66,7.1,6,42,0.69,29,0.833,5,"Marriott Center, Provo, Utah",RICE,Rice,79.0,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,5,True,False,True,Home,True,10,29,70,37,67,8,21,64,1,0,33,109,325,0.4876923076923077,216,403,0.5359801488833746,33,85,333,0.4039039039039039,0.8
6,2018-11-24-18-brigham-young,70.0,21,7.7,2,100.0,74.2,23,0.602,59,0.508,30,0.102,6,0.833,5,0,200,122.6,32.0,8,19,76,,9.7,6,0.441,26,0.423,11,55.4,31,0.614,11.5,8,33,0.5760000000000001,19,1.0,4,"November 24, 2018",59.1,13,0.0,0,122.6,68.0,17,0.48100000000000004,54,0.40700000000000003,22,0.259,14,0.7140000000000001,10,2,200,100.0,25.8,8,11,62,,8.1,5,0.519,28,0.28600000000000003,8,44.6,25,0.511,13.0,9,26,0.5379999999999999,14,0.7140000000000001,5,"Marriott Center, Provo, Utah",BRIGHAM-YOUNG,BYU,61.8,Away,HOUSTON,Houston,Brigham Young,wcc,6,False,True,True,Home,False,8,14,54,25,56,11,19,59,0,1,43,138,395,0.5126582278481012,253,470,0.5382978723404256,41,106,397,0.42191435768261965,0.8333333333333334
7,2018-11-28-20-illinois-state,69.0,20,6.3,3,102.2,76.1,35,0.444,72,0.40299999999999997,29,0.5,36,0.6940000000000001,25,3,225,98.9,26.1,12,19,89,,6.7,6,0.389,28,0.214,6,51.1,47,0.499,13.7,14,44,0.523,23,0.625,5,"November 28, 2018",58.1,18,9.1,4,98.9,73.9,34,0.48100000000000004,78,0.397,31,0.231,18,0.9440000000000001,17,2,225,102.2,23.9,11,26,92,,7.8,7,0.385,30,0.433,13,48.9,45,0.531,13.1,13,48,0.375,18,0.75,6,"Redbird Arena, Normal, Illinois",BRIGHAM-YOUNG,BYU,79.8,Home,ILLINOIS-STATE,Illinois State,Brigham Young,wcc,7,False,False,False,Away,False,6,23,72,47,92,13,18,78,0,1,51,152,449,0.5089086859688196,278,526,0.5285171102661597,52,125,456,0.4451754385964912,0.7142857142857143
8,2018-12-01-21-weber-state,34.1,14,4.4,2,129.9,75.0,27,0.63,69,0.594,41,0.348,24,0.667,16,4,200,118.4,13.3,4,26,103,,1.1,1,0.203,14,0.35700000000000004,5,47.0,31,0.6409999999999999,13.1,12,55,0.655,36,0.556,5,"December 1, 2018",43.2,16,7.3,4,118.4,86.7,26,0.607,70,0.529,37,0.5429999999999999,38,0.737,28,2,200,129.9,25.0,9,22,113,,9.2,8,0.35700000000000004,25,0.44,11,53.0,35,0.642,6.5,6,45,0.578,26,0.7140000000000001,5,"Dee Events Center, Ogden, Utah",BRIGHAM-YOUNG,BYU,86.7,Home,WEBER-STATE,Weber State,Brigham Young,wcc,8,False,False,False,Away,False,5,36,69,31,66,11,26,70,0,1,57,175,521,0.5,325,618,0.5258899676375405,65,143,534,0.450374531835206,0.625
9,2018-12-05-21-brigham-young,20.7,6,5.7,2,123.4,82.6,19,0.508,60,0.483,29,0.4,24,0.792,19,2,200,103.9,37.9,11,20,80,,10.4,8,0.28300000000000003,17,0.17600000000000002,3,57.7,30,0.56,17.5,15,43,0.605,26,0.778,7,"December 5, 2018",51.5,17,9.3,4,103.9,62.1,18,0.653,59,0.5589999999999999,33,0.35600000000000004,21,0.857,18,4,200,123.4,17.4,4,20,95,,14.3,11,0.40700000000000003,24,0.45799999999999996,11,42.3,22,0.6890000000000001,16.0,13,35,0.629,22,0.6,6,"Marriott Center, Provo, Utah",UTAH-STATE,Utah State,76.7,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,9,True,False,True,Home,True,11,22,59,22,52,3,26,60,1,0,62,211,590,0.5152542372881356,356,684,0.52046783625731,76,169,604,0.4685430463576159,0.5555555555555556
