,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ILLINOIS_homegame,ILLINOIS_homegame2,ILLINOIS_home,ILLINOIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-08-20-illinois,45.0,9,0.0,0,120.7,66.7,20,0.434,53,0.377,20,0.415,22,0.636,14,1,200,73.2,17.6,6,16,60,,8.5,7,0.45299999999999996,24,0.25,6,40.6,26,0.473,27.7,24,29,0.483,14,0.0,0,"November 8, 2018",55.0,22,13.8,4,73.2,82.4,28,0.648,71,0.563,40,0.19699999999999998,14,0.5,7,0,200,120.7,33.3,10,21,99,,13.4,11,0.39399999999999996,28,0.429,12,59.4,38,0.637,15.4,14,43,0.6509999999999999,28,1.0,1,"State Farm Center, Champaign, Illinois",EVANSVILLE,Evansville,81.6,Home,ILLINOIS,Illinois,Illinois,big-ten,0,True,False,True,Home,True,12,28,71,38,64,6,14,53,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-20-illinois,47.1,16,12.5,6,98.8,77.1,27,0.607,61,0.557,34,0.262,16,0.875,14,0,200,108.6,38.5,10,16,88,,6.2,5,0.295,18,0.33299999999999996,6,60.7,37,0.6409999999999999,24.4,22,43,0.6509999999999999,28,1.0,3,"November 13, 2018",54.8,17,7.0,3,108.6,61.5,16,0.507,67,0.46299999999999997,31,0.254,17,0.706,12,1,200,98.8,22.9,8,24,80,,16.0,13,0.284,19,0.316,6,39.3,24,0.5329999999999999,15.8,14,48,0.521,25,0.5,1,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,80.8,Away,GEORGETOWN,Georgetown,Illinois,big-ten,1,False,True,True,Home,False,6,25,67,24,61,6,28,61,0,1,12,28,71,0.647887323943662,38,64,0.59375,6,14,53,0.4339622641509434,1.0
2,2018-11-19-23-illinois,59.3,16,12.8,5,98.7,73.8,31,0.598,51,0.529,27,0.6859999999999999,35,0.657,23,0,200,106.3,33.3,10,22,84,3.0,6.3,5,0.373,19,0.368,7,56.9,41,0.621,24.0,21,32,0.625,20,1.0,4,"November 19, 2018",37.0,10,3.1,1,106.3,66.7,20,0.457,70,0.386,27,0.271,19,0.737,14,2,200,98.7,26.2,11,27,78,,11.4,9,0.44299999999999995,31,0.32299999999999995,10,43.1,31,0.494,13.3,12,39,0.436,17,0.33299999999999996,1,"Lahaina Civic Center, Lahaina, Hawaii",ILLINOIS,Illinois,79.3,Away,GONZAGA,Gonzaga,Illinois,big-ten,2,False,True,True,Home,False,10,17,70,31,72,7,20,51,0,1,18,53,138,0.5797101449275363,62,125,0.496,12,42,114,0.5263157894736842,0.5
3,2018-11-20-16-illinois,50.0,13,11.1,3,101.5,76.5,26,0.5660000000000001,53,0.491,26,0.547,29,0.828,24,1,200,125.4,40.7,11,15,84,,4.5,3,0.434,23,0.348,8,60.7,37,0.629,14.3,11,30,0.6,18,0.8,4,"November 20, 2018",56.5,13,6.7,2,125.4,59.3,16,0.483,60,0.38299999999999995,23,0.233,14,0.7140000000000001,10,3,200,101.5,23.5,8,22,68,,6.0,4,0.55,33,0.364,12,39.3,24,0.51,12.0,9,27,0.40700000000000003,11,0.25,1,"Lahaina Civic Center, Lahaina, Hawaii",ILLINOIS,Illinois,67.2,Away,IOWA-STATE,Iowa State,Illinois,big-ten,3,False,True,True,Home,False,12,11,60,24,61,8,18,53,0,1,28,70,208,0.5384615384615384,93,197,0.4720812182741117,19,62,165,0.5484848484848485,0.3333333333333333
4,2018-11-21-21-illinois,45.2,14,8.8,3,101.4,79.4,27,0.648,54,0.574,31,0.40700000000000003,22,0.591,13,3,200,113.7,34.6,9,18,83,,8.2,6,0.37,20,0.4,8,60.0,36,0.644,21.1,17,34,0.6759999999999999,23,0.5,3,"November 21, 2018",65.4,17,0.0,0,113.7,65.4,17,0.5529999999999999,57,0.456,26,0.298,17,0.647,11,4,200,101.4,20.6,7,20,74,,11.0,8,0.40399999999999997,23,0.478,11,40.0,24,0.569,19.9,16,34,0.441,15,0.2,1,"Lahaina Civic Center, Lahaina, Hawaii",ILLINOIS,Illinois,73.3,Away,XAVIER,Xavier,Illinois,big-ten,4,False,True,True,Home,False,11,15,57,24,60,8,23,54,0,1,40,81,268,0.5261194029850746,117,258,0.45348837209302323,27,80,218,0.5527522935779816,0.25
5,2018-11-25-14-illinois,47.8,11,5.9,2,128.4,63.3,19,0.51,50,0.46,23,0.42,21,0.762,16,6,200,100.0,18.8,6,15,67,,4.5,3,0.26,13,0.385,5,40.3,25,0.5589999999999999,15.7,11,37,0.486,18,0.14300000000000002,1,"November 25, 2018",78.8,26,8.1,3,100.0,81.3,26,0.6409999999999999,64,0.516,33,0.125,8,0.5,4,4,200,128.4,36.7,11,20,86,,4.5,3,0.469,30,0.5329999999999999,16,59.7,37,0.634,16.1,13,34,0.5,17,0.33299999999999996,2,"State Farm Center, Champaign, Illinois",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,67.4,Home,ILLINOIS,Illinois,Illinois,big-ten,5,True,False,True,Home,True,16,17,64,37,62,5,18,50,1,0,51,96,325,0.5307692307692308,141,318,0.44339622641509435,35,103,272,0.5716911764705882,0.2
6,2018-11-27-19-notre-dame,65.4,17,6.5,2,105.6,71.9,23,0.47700000000000004,64,0.406,26,0.23399999999999999,15,0.867,13,5,200,102.8,36.8,14,26,74,,11.1,8,0.375,24,0.375,9,52.9,37,0.52,15.6,13,40,0.425,17,0.28600000000000003,2,"November 27, 2018",47.8,11,25.0,10,102.8,63.2,24,0.52,50,0.46,23,0.78,39,0.615,24,1,200,105.6,28.1,9,18,76,,11.1,8,0.38,19,0.316,6,47.1,33,0.555,17.2,14,31,0.5479999999999999,17,0.857,6,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",ILLINOIS,Illinois,71.8,Home,NOTRE-DAME,Notre Dame,Illinois,big-ten,6,False,False,False,Away,False,9,17,64,37,70,6,17,50,0,1,67,113,389,0.5488431876606684,178,380,0.46842105263157896,40,121,322,0.562111801242236,0.3333333333333333
7,2018-12-02-17-nebraska,43.5,10,3.1,1,110.3,73.9,17,0.456,57,0.40399999999999997,23,0.228,13,0.615,8,6,200,88.2,31.4,11,23,60,,7.4,5,0.263,15,0.4,6,48.3,28,0.475,18.2,14,42,0.405,17,0.25,2,"December 2, 2018",59.1,13,7.1,3,88.2,68.6,24,0.5429999999999999,46,0.478,22,0.652,30,0.833,25,1,200,110.3,26.1,6,16,75,,11.8,8,0.304,14,0.429,6,51.7,30,0.622,21.3,16,32,0.5,16,0.875,7,"Pinnacle Bank Arena, Lincoln, Nebraska",ILLINOIS,Illinois,68.2,Home,NEBRASKA,Nebraska,Illinois,big-ten,7,False,False,False,Away,False,6,17,57,28,58,6,16,46,0,1,76,130,453,0.5386313465783664,215,450,0.4777777777777778,46,138,372,0.5564516129032258,0.2857142857142857
8,2018-12-05-19-illinois,58.3,14,10.3,4,88.2,77.1,27,0.529,51,0.47100000000000003,24,0.627,32,0.7190000000000001,23,1,200,101.3,29.0,9,22,77,19.0,10.5,8,0.33299999999999996,17,0.353,6,54.5,36,0.5820000000000001,22.6,19,34,0.529,18,0.889,8,"December 5, 2018",52.6,10,5.9,2,101.3,71.0,22,0.379,58,0.32799999999999996,19,0.466,27,0.852,23,7,200,88.2,22.9,8,26,67,,15.8,12,0.32799999999999996,19,0.316,6,45.5,30,0.473,15.7,13,39,0.33299999999999996,13,0.222,2,"United Center, Chicago, Illinois",ILLINOIS,Illinois,76.0,Away,OHIO-STATE,Ohio State,Illinois,big-ten,8,False,True,True,Home,False,6,13,58,30,66,6,18,51,0,1,82,147,510,0.5294117647058824,243,508,0.47834645669291337,52,154,418,0.5550239234449761,0.25
9,2018-12-08-14-illinois,30.4,7,13.5,5,95.1,69.2,18,0.382,68,0.33799999999999997,23,0.441,30,0.733,22,4,200,91.4,37.8,14,22,74,,7.4,6,0.353,24,0.25,6,50.8,32,0.45,17.3,17,44,0.386,17,0.5,4,"December 8, 2018",42.9,12,13.6,6,91.4,62.2,23,0.525,59,0.475,28,0.373,22,0.682,15,7,200,95.1,30.8,8,22,77,,7.4,6,0.373,22,0.273,6,49.2,31,0.5539999999999999,18.9,16,37,0.595,22,0.3,3,"State Farm Center, Champaign, Illinois",NEVADA-LAS-VEGAS,UNLV,81.4,Home,ILLINOIS,Illinois,Illinois,big-ten,9,True,False,True,Home,True,6,22,59,31,63,6,17,68,1,0,88,160,568,0.5140845070422535,273,574,0.47560975609756095,58,172,469,0.5522388059701493,0.2222222222222222
