,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS-STATE_homegame,TEXAS-STATE_homegame2,TEXAS-STATE_home,TEXAS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-20-texas-state,73.7,14,5.9,2,104.7,86.7,26,0.5,46,0.413,19,0.326,15,0.733,11,1,200,89.1,17.2,5,21,57,,3.1,2,0.565,26,0.308,8,52.5,31,0.536,23.3,16,20,0.55,11,0.5,1,"November 9, 2018",79.2,19,20.0,4,89.1,82.8,24,0.5489999999999999,51,0.47100000000000003,24,0.353,18,0.611,11,0,200,104.7,13.3,4,19,67,,14.1,9,0.33299999999999996,17,0.47100000000000003,8,47.5,28,0.563,12.0,8,34,0.47100000000000003,16,1.0,1,"Strahan Coliseum, San Marcos, Texas",AIR-FORCE,Air Force,63.8,Home,TEXAS-STATE,Texas State,Texas State,sun-belt,0,True,False,True,Home,True,8,16,51,28,59,8,11,46,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-19-texas-state,56.3,9,9.1,4,126.0,53.1,17,0.303,61,0.262,16,0.39299999999999996,24,0.625,15,0,200,67.5,20.0,9,22,52,,9.1,7,0.41,25,0.2,5,33.8,26,0.359,15.4,13,36,0.306,11,0.0,0,"November 13, 2018",80.6,25,11.1,4,67.5,80.0,36,0.531,65,0.47700000000000004,31,0.49200000000000005,32,0.875,28,0,200,126.0,46.9,15,21,97,,7.8,6,0.32299999999999995,21,0.33299999999999996,7,66.2,51,0.605,14.1,13,44,0.545,24,1.0,2,"Strahan Coliseum, San Marcos, Texas","Hardin-Simmons
			","Hardin-Simmons
			",77.3,Home,TEXAS-STATE,Texas State,Texas State,sun-belt,1,True,False,True,Home,True,7,24,65,51,77,5,11,61,1,0,8,16,51,0.5490196078431373,28,59,0.4745762711864407,8,11,46,0.5,1.0
2,2018-11-17-15-drake,39.3,11,9.1,2,101.4,72.7,16,0.5,61,0.45899999999999996,28,0.213,13,0.615,8,1,200,93.2,31.4,11,23,69,,17.6,13,0.32799999999999996,20,0.25,5,47.4,27,0.514,21.2,18,41,0.561,23,0.667,2,"November 17, 2018",55.6,15,7.3,3,93.2,68.6,24,0.653,49,0.551,27,0.36700000000000005,18,0.611,11,1,200,101.4,27.3,6,17,75,,8.1,6,0.551,27,0.37,10,52.6,30,0.652,27.9,22,22,0.773,17,0.667,2,"Knapp Center, Des Moines, Iowa",TEXAS-STATE,Texas State,73.9,Home,DRAKE,Drake,Texas State,sun-belt,2,False,False,False,Away,False,5,23,61,27,57,10,17,49,0,1,15,40,116,0.5387931034482759,79,136,0.5808823529411765,13,22,107,0.3878504672897196,1.0
3,2018-11-21-19-cal-poly,77.3,17,4.0,1,68.9,86.2,25,0.48100000000000004,52,0.423,22,0.115,6,0.667,4,1,200,88.5,30.4,7,20,54,,6.6,4,0.308,16,0.375,6,61.5,32,0.49200000000000005,22.7,16,36,0.444,16,0.75,3,"November 21, 2018",53.3,8,5.6,2,88.5,69.6,16,0.402,41,0.366,15,0.341,14,0.643,9,3,200,68.9,13.8,4,10,42,,14.8,9,0.39,16,0.188,3,38.5,20,0.441,24.1,15,25,0.48,12,0.25,1,"Chiles Center, Portland, Oregon",CAL-POLY,Cal Poly,61.3,Away,TEXAS-STATE,Texas State,Texas State,sun-belt,3,False,False,False,Away,True,6,16,52,32,52,3,12,41,1,0,20,63,177,0.5254237288135594,106,193,0.5492227979274611,23,39,156,0.47115384615384615,0.6666666666666666
4,2018-11-23-19-south-carolina-upstate,51.7,15,6.5,2,72.5,78.1,25,0.579,57,0.509,29,0.386,22,0.727,16,1,200,118.8,33.3,9,17,82,,13.0,9,0.40399999999999997,23,0.348,8,57.6,34,0.608,13.0,10,34,0.618,21,0.8,4,"November 23, 2018",58.8,10,11.8,4,118.8,66.7,18,0.413,52,0.327,17,0.212,11,0.636,7,4,200,72.5,21.9,7,22,50,,4.3,3,0.40399999999999997,21,0.429,9,42.4,25,0.43700000000000006,26.0,20,31,0.258,8,0.2,1,"Chiles Center, Portland, Oregon",SOUTH-CAROLINA-UPSTATE,USC Upstate,69.3,Away,TEXAS-STATE,Texas State,Texas State,sun-belt,4,False,False,False,Away,True,8,21,57,34,59,9,8,52,1,0,26,79,229,0.5152838427947598,138,245,0.563265306122449,26,51,197,0.45685279187817257,0.75
5,2018-11-24-20-portland,64.7,22,11.1,3,94.4,77.1,27,0.604,67,0.507,34,0.19399999999999998,13,0.769,10,1,200,126.4,33.3,10,26,91,,8.3,6,0.40299999999999997,27,0.48100000000000004,13,56.9,37,0.622,12.1,10,40,0.525,21,0.833,5,"November 24, 2018",72.2,13,10.0,4,126.4,66.7,20,0.423,52,0.34600000000000003,18,0.5579999999999999,29,0.828,24,3,200,94.4,22.9,8,17,68,,5.6,4,0.48100000000000004,25,0.32,8,43.1,28,0.517,16.7,13,27,0.37,10,0.625,5,"Chiles Center, Portland, Oregon",PORTLAND,Portland,72.0,Away,TEXAS-STATE,Texas State,Texas State,sun-belt,5,False,False,False,Away,True,13,21,67,37,65,8,10,52,1,0,34,100,286,0.527972027972028,172,304,0.5657894736842105,35,59,249,0.44779116465863456,0.8
6,2018-11-28-20-texas-state,63.2,12,29.6,8,110.4,69.0,20,0.425,53,0.358,19,0.396,21,0.7140000000000001,15,5,200,89.6,20.6,7,17,60,,14.9,10,0.45299999999999996,24,0.292,7,42.9,27,0.47600000000000003,16.2,12,29,0.414,12,0.375,3,"November 28, 2018",80.0,20,6.9,2,89.6,79.4,27,0.565,54,0.46299999999999997,25,0.278,15,0.867,13,1,200,110.4,31.0,9,20,74,,6.0,4,0.5,27,0.40700000000000003,11,57.1,36,0.605,18.8,14,27,0.519,14,0.857,6,"Strahan Coliseum, San Marcos, Texas",RICE,Rice,67.1,Home,TEXAS-STATE,Texas State,Texas State,sun-belt,6,True,False,True,Home,True,11,14,54,36,63,7,12,53,1,0,47,121,353,0.5424929178470255,209,369,0.5663956639566395,43,69,301,0.4435215946843854,0.8333333333333334
7,2018-12-01-16-texas-san-antonio,53.8,14,5.9,2,90.7,88.6,31,0.469,64,0.406,26,0.266,17,0.529,9,1,200,92.0,25.7,9,21,69,,5.3,4,0.359,23,0.348,8,57.1,40,0.479,16.4,14,41,0.439,18,0.875,7,"December 1, 2018",40.0,8,4.9,2,92.0,74.3,26,0.436,55,0.364,20,0.382,21,0.9520000000000001,20,6,200,90.7,11.4,4,17,68,,6.7,5,0.382,21,0.381,8,42.9,30,0.523,14.6,11,34,0.353,12,0.25,2,"Convocation Center, San Antonio, Texas",TEXAS-SAN-ANTONIO,UTSA,74.5,Away,TEXAS-STATE,Texas State,Texas State,sun-belt,7,False,False,False,Away,True,8,18,64,40,70,8,12,55,1,0,58,135,407,0.5454545454545454,245,432,0.5671296296296297,50,81,354,0.4406779661016949,0.8571428571428571
8,2018-12-05-20-texas-am-corpus-christi,83.3,15,11.9,5,80.9,72.2,26,0.41100000000000003,45,0.4,18,0.644,29,0.828,24,1,200,89.7,25.9,7,19,61,,8.8,6,0.37799999999999995,17,0.059000000000000004,1,52.4,33,0.519,21.7,16,28,0.607,17,0.889,8,"December 5, 2018",40.9,9,17.9,5,89.7,74.1,20,0.41200000000000003,57,0.386,22,0.281,16,0.5,8,5,200,80.9,27.8,10,24,55,,10.3,7,0.263,15,0.2,3,47.6,30,0.426,16.9,13,42,0.452,19,0.444,4,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,67.7,Away,TEXAS-STATE,Texas State,Texas State,sun-belt,8,False,False,False,Away,True,1,17,45,33,63,3,19,57,1,0,66,153,471,0.535031847133758,285,502,0.5677290836653387,58,93,409,0.4400977995110024,0.875
9,2018-12-08-17-texas-state,34.8,8,0.0,0,126.8,66.7,18,0.491,54,0.426,23,0.648,35,0.7709999999999999,27,5,200,112.7,37.1,13,21,80,,9.9,7,0.389,21,0.33299999999999996,7,50.0,31,0.5660000000000001,15.8,13,33,0.485,16,0.28600000000000003,2,"December 8, 2018",53.3,16,3.0,1,112.7,62.9,22,0.579,57,0.526,30,0.491,28,0.857,24,1,200,126.8,33.3,9,26,90,,9.9,7,0.316,18,0.33299999999999996,6,50.0,31,0.64,13.7,11,39,0.615,24,0.9,9,"Strahan Coliseum, San Marcos, Texas",HOUSTON-BAPTIST,Houston Baptist,71.5,Home,TEXAS-STATE,Texas State,Texas State,sun-belt,9,True,False,True,Home,True,6,24,57,31,62,7,16,54,1,0,67,170,516,0.5242248062015504,318,565,0.5628318584070796,61,112,466,0.4366952789699571,0.8888888888888888
