,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IPFW_homegame,IPFW_homegame2,IPFW_home,IPFW_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-ucla,65.4,17,2.0,1,112.9,63.6,21,0.43,71,0.366,26,0.239,17,0.588,10,1,200,83.5,14.0,6,17,71,,7.1,6,0.521,37,0.243,9,35.5,27,0.449,13.3,12,34,0.5,17,0.0,0,"November 6, 2018",55.0,22,11.8,4,83.5,86.0,37,0.595,74,0.541,40,0.23,17,0.47100000000000003,8,0,200,112.9,36.4,12,15,96,21.0,9.4,8,0.33799999999999997,25,0.32,8,64.5,49,0.585,15.5,15,49,0.653,32,1.0,1,"Pauley Pavilion, Los Angeles, California",IPFW,Purdue-Fort Wayne,85.1,Home,UCLA,UCLA,Purdue-Fort Wayne,summit,0,False,False,False,Away,False,9,17,71,27,76,8,32,74,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-19-ipfw,36.8,7,2.1,1,145.5,47.2,17,0.379,58,0.32799999999999996,19,0.121,7,1.0,7,0,200,66.2,18.2,6,24,51,,3.9,3,0.36200000000000004,21,0.28600000000000003,6,33.3,23,0.41600000000000004,25.6,21,37,0.35100000000000003,13,0.0,0,"November 8, 2018",53.7,22,16.2,6,66.2,81.8,27,0.6509999999999999,73,0.562,41,0.397,29,0.586,17,1,200,145.5,52.8,19,12,112,,16.9,13,0.35600000000000004,26,0.5,13,66.7,46,0.645,9.5,9,47,0.596,28,0.5,1,"Hilliard Gates Sports Center, Fort Wayne, Indiana","Earlham
			","Earlham
			",76.6,Home,IPFW,Purdue-Fort Wayne,Purdue-Fort Wayne,summit,1,True,False,True,Home,True,13,28,73,46,69,6,13,58,1,0,9,17,71,0.4295774647887324,27,76,0.35526315789473684,8,32,74,0.5945945945945946,0.0
2,2018-11-11-16-ohio-state,27.3,6,0.0,0,140.8,75.0,18,0.385,65,0.33799999999999997,22,0.262,17,0.647,11,2,200,80.3,25.6,10,21,61,,3.9,3,0.415,27,0.222,6,44.4,28,0.41700000000000004,17.1,15,38,0.42100000000000004,16,0.33299999999999996,1,"November 11, 2018",61.8,21,13.2,5,80.3,74.4,29,0.741,56,0.607,34,0.5,28,0.857,24,0,200,140.8,25.0,6,18,107,,7.9,6,0.5,28,0.536,15,55.6,35,0.772,13.9,11,28,0.679,19,1.0,2,"Value City Arena, Columbus, Ohio",IPFW,Purdue-Fort Wayne,76.2,Home,OHIO-STATE,Ohio State,Purdue-Fort Wayne,summit,2,False,False,False,Away,False,6,16,65,28,63,15,19,56,0,1,22,45,144,0.5416666666666666,73,145,0.503448275862069,14,45,132,0.5,0.5
3,2018-11-13-19-ipfw,23.1,6,5.3,2,132.1,59.4,19,0.445,64,0.406,26,0.141,9,0.889,8,0,200,77.4,11.8,4,20,65,,6.0,5,0.313,20,0.25,5,34.8,23,0.47600000000000003,23.6,21,44,0.47700000000000004,21,0.0,0,"November 13, 2018",60.5,26,11.4,5,77.4,88.2,30,0.685,73,0.589,43,0.26,19,0.579,11,2,200,132.1,40.6,13,13,111,,16.7,14,0.479,35,0.4,14,65.2,43,0.677,13.8,13,38,0.763,29,0.5,2,"Allen County War Memorial Coliseum, Fort Wayne, Indiana","Manchester
			","Manchester
			",83.7,Home,IPFW,Purdue-Fort Wayne,Purdue-Fort Wayne,summit,3,True,False,True,Home,True,14,29,73,43,66,5,21,64,1,0,28,61,209,0.49282296650717705,101,208,0.4855769230769231,29,64,188,0.5718085106382979,0.3333333333333333
4,2018-11-16-19-dayton,64.5,20,2.8,1,123.0,76.0,19,0.615,61,0.508,31,0.213,13,0.385,5,3,200,108.1,6.5,2,18,80,,9.5,7,0.475,29,0.44799999999999995,13,37.5,21,0.595,11.9,9,32,0.563,18,0.4,2,"November 16, 2018",58.8,20,6.3,2,108.1,93.5,29,0.67,56,0.607,34,0.446,25,0.64,16,0,200,123.0,24.0,6,12,91,,4.1,3,0.35700000000000004,20,0.35,7,62.5,35,0.67,15.2,12,36,0.75,27,1.0,3,"University of Dayton Arena, Dayton, Ohio",IPFW,Purdue-Fort Wayne,74.0,Home,DAYTON,Dayton,Purdue-Fort Wayne,summit,4,False,False,False,Away,False,13,18,61,21,56,7,27,56,0,1,42,90,282,0.5425531914893617,144,274,0.5255474452554745,34,85,252,0.5396825396825397,0.5
5,2018-11-20-19-ipfw,56.0,14,4.2,1,97.3,87.1,27,0.43,64,0.391,25,0.266,17,0.765,13,5,200,91.9,31.3,10,24,68,,6.8,5,0.203,13,0.385,5,58.7,37,0.47200000000000003,16.4,14,51,0.392,20,0.16699999999999998,1,"November 20, 2018",34.8,8,15.7,8,91.9,68.8,22,0.589,45,0.511,23,0.778,35,0.5429999999999999,19,3,200,97.3,12.9,4,16,72,,6.8,5,0.467,21,0.33299999999999996,7,41.3,26,0.584,18.8,14,24,0.667,16,0.5,3,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",SOUTH-CAROLINA-STATE,South Carolina State,73.9,Home,IPFW,Purdue-Fort Wayne,Purdue-Fort Wayne,summit,5,True,False,True,Home,True,7,16,45,26,63,5,20,64,1,0,55,108,343,0.5553935860058309,165,330,0.5,41,112,308,0.5633116883116883,0.4
6,2018-11-23-19-ipfw,44.4,12,11.1,3,94.3,63.2,24,0.596,52,0.519,27,0.308,16,0.75,12,1,200,105.7,33.3,7,13,74,,17.1,12,0.308,16,0.5,8,52.5,31,0.621,24.3,19,36,0.528,19,0.857,6,"November 23, 2018",65.2,15,13.9,5,105.7,66.7,14,0.46,62,0.371,23,0.177,11,0.818,9,4,200,94.3,36.8,14,15,66,,15.7,11,0.565,35,0.314,11,47.5,28,0.491,18.3,15,27,0.444,12,0.429,3,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",IPFW,Purdue-Fort Wayne,69.9,Away,SAMFORD,Samford,Purdue-Fort Wayne,summit,6,False,True,True,Home,False,11,12,62,28,59,8,19,52,0,1,62,124,388,0.5592783505154639,191,393,0.4860050890585242,46,132,372,0.5403225806451613,0.5
7,2018-11-25-17-cleveland-state,62.5,20,10.8,4,97.5,71.1,27,0.5,70,0.457,32,0.314,22,0.545,12,4,200,101.2,24.4,11,20,82,,18.5,15,0.314,22,0.273,6,45.8,38,0.51,11.2,10,48,0.542,26,0.5,4,"November 25, 2018",66.7,18,12.5,6,101.2,75.6,34,0.508,63,0.429,27,0.381,24,0.625,15,5,200,97.5,28.9,11,18,79,,6.2,5,0.413,26,0.385,10,54.2,45,0.531,20.5,19,37,0.45899999999999996,17,0.28600000000000003,2,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,80.9,Away,IPFW,Purdue-Fort Wayne,Purdue-Fort Wayne,summit,7,False,False,False,Away,True,6,26,70,38,83,10,17,63,1,0,73,136,450,0.5455555555555556,219,452,0.48451327433628316,54,151,424,0.5471698113207547,0.42857142857142855
8,2018-11-28-20-eastern-illinois,64.9,24,12.2,5,81.1,76.1,35,0.72,66,0.561,37,0.19699999999999998,13,0.6920000000000001,9,4,200,140.5,46.7,14,14,104,,9.5,7,0.561,37,0.568,21,64.5,49,0.72,19.2,17,29,0.552,16,0.556,5,"November 28, 2018",52.2,12,0.0,0,140.5,53.3,16,0.391,69,0.33299999999999996,23,0.145,10,0.6,6,4,200,81.1,23.9,11,14,60,,5.4,4,0.406,28,0.28600000000000003,8,35.5,27,0.40700000000000003,12.0,10,41,0.366,15,0.429,3,"Lantz Arena, Charleston, Illinois",EASTERN-ILLINOIS,Eastern Illinois,74.0,Away,IPFW,Purdue-Fort Wayne,Purdue-Fort Wayne,summit,8,False,False,False,Away,True,21,16,66,49,76,8,15,69,1,0,79,162,520,0.5394230769230769,257,535,0.4803738317757009,64,168,487,0.5420944558521561,0.5
9,2018-12-01-14-ipfw,51.4,19,6.9,2,105.8,60.7,17,0.613,71,0.521,37,0.085,6,0.5,3,7,200,130.4,24.2,8,17,90,,13.0,9,0.39399999999999996,28,0.46399999999999997,13,41.0,25,0.609,3.9,3,43,0.5579999999999999,24,0.222,2,"December 1, 2018",72.0,18,11.6,5,130.4,75.8,25,0.5660000000000001,53,0.47200000000000003,25,0.396,21,0.619,13,5,200,105.8,39.3,11,6,73,,4.3,3,0.45299999999999996,24,0.41700000000000004,10,59.0,36,0.58,21.5,17,29,0.517,15,0.5,5,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",IPFW,Purdue-Fort Wayne,68.9,Away,MISSOURI-KANSAS-CITY,UMKC,Purdue-Fort Wayne,summit,9,False,True,True,Home,False,10,15,53,36,61,13,24,71,0,1,100,178,586,0.5597269624573379,306,611,0.5008183306055647,72,183,556,0.5233812949640287,0.5555555555555556
