,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PEPPERDINE_homegame,PEPPERDINE_homegame2,PEPPERDINE_home,PEPPERDINE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-22-pepperdine,65.0,13,5.0,2,128.2,71.4,20,0.389,63,0.317,20,0.349,22,0.773,17,0,201,84.6,20.0,8,22,66,,7.7,6,0.556,35,0.257,9,41.2,28,0.449,17.1,15,28,0.39299999999999996,11,0.0,0,"November 7, 2018",60.0,21,10.7,3,84.6,80.0,32,0.643,63,0.556,35,0.365,23,0.826,19,0,201,128.2,28.6,8,19,100,,10.3,8,0.365,23,0.478,11,58.8,40,0.6759999999999999,11.0,9,40,0.6,24,1.0,1,"Firestone Fieldhouse, Malibu, California","Cal St Dominguez Hills
			","Cal St Dominguez Hills
			",77.3,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,0,True,False,True,Home,True,11,24,63,40,68,9,11,63,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-21-northern-colorado,25.0,7,17.2,5,111.4,72.4,21,0.508,63,0.444,28,0.365,23,0.696,16,1,200,101.3,25.6,10,27,80,,10.1,8,0.28600000000000003,18,0.444,8,45.6,31,0.541,13.1,11,45,0.444,20,0.5,1,"November 13, 2018",36.0,9,13.3,6,101.3,74.4,29,0.534,59,0.424,25,0.542,32,0.7809999999999999,25,0,200,111.4,27.6,8,21,88,,2.5,2,0.508,30,0.433,13,54.4,37,0.593,18.9,17,29,0.414,12,1.0,2,"Bank of Colorado Arena, Greeley, Colorado",PEPPERDINE,Pepperdine,79.1,Home,NORTHERN-COLORADO,Northern Colorado,Pepperdine,wcc,1,False,False,False,Away,False,8,20,63,31,68,13,12,59,0,1,11,24,63,0.6428571428571429,40,68,0.5882352941176471,9,11,63,0.3888888888888889,1.0
2,2018-11-16-20-pepperdine,45.5,10,9.4,3,96.1,87.0,20,0.42,56,0.39299999999999996,22,0.46399999999999997,26,0.6920000000000001,18,2,200,84.4,48.5,16,19,65,,11.7,9,0.28600000000000003,16,0.188,3,64.3,36,0.475,26.2,24,40,0.475,19,0.33299999999999996,1,"November 16, 2018",47.8,11,2.5,1,84.4,51.5,17,0.529,51,0.451,23,0.41200000000000003,21,0.9520000000000001,20,1,200,96.1,13.0,3,22,74,,14.3,11,0.373,19,0.42100000000000004,8,35.7,20,0.607,24.9,20,32,0.469,15,0.667,2,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",TOWSON,Towson,77.2,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,2,True,False,True,Home,True,8,15,51,20,56,3,19,56,1,0,19,44,126,0.5753968253968254,71,136,0.5220588235294118,22,23,122,0.45901639344262296,0.5
3,2018-11-17-20-pepperdine,43.3,13,2.6,1,96.3,74.4,29,0.657,51,0.588,30,0.608,31,0.677,21,0,200,108.6,18.2,4,19,88,,6.2,5,0.47100000000000003,24,0.292,7,54.1,33,0.669,22.7,19,27,0.852,23,1.0,4,"November 17, 2018",53.6,15,3.7,1,108.6,81.8,18,0.478,68,0.41200000000000003,28,0.25,17,0.765,13,2,200,96.3,25.6,10,23,78,,7.4,6,0.441,30,0.3,9,45.9,28,0.513,17.5,16,38,0.5,19,0.5,2,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",PEPPERDINE,Pepperdine,81.4,Away,GEORGIA-SOUTHERN,Georgia Southern,Pepperdine,wcc,3,False,True,True,Home,False,9,19,68,28,61,7,23,51,0,1,27,59,177,0.5621468926553672,91,192,0.4739583333333333,25,42,178,0.44662921348314605,0.6666666666666666
4,2018-11-18-17-pepperdine,53.6,15,0.0,0,111.7,87.5,28,0.532,63,0.444,28,0.27,17,0.765,13,3,200,103.9,27.3,9,23,80,,3.9,3,0.49200000000000005,31,0.355,11,56.9,37,0.563,16.6,14,32,0.531,17,0.4,2,"November 18, 2018",58.6,17,3.1,1,103.9,72.7,24,0.5479999999999999,62,0.46799999999999997,29,0.387,24,0.75,18,2,200,111.7,12.5,4,16,86,,6.5,5,0.484,30,0.33299999999999996,10,43.1,28,0.586,11.0,9,32,0.594,19,0.6,3,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",MIAMI-OH,Miami (OH),77.2,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,4,True,False,True,Home,True,10,19,62,28,65,11,17,63,1,0,36,78,245,0.5387755102040817,119,253,0.47035573122529645,32,65,229,0.49344978165938863,0.5
5,2018-11-26-22-pepperdine,60.0,18,8.2,4,129.3,73.5,25,0.634,56,0.536,30,0.39299999999999996,22,0.5,11,3,200,109.3,25.0,7,23,82,,2.7,2,0.446,25,0.44,11,51.6,32,0.617,19.6,16,31,0.613,19,0.4,2,"November 26, 2018",69.4,25,12.9,4,109.3,75.0,21,0.588,68,0.529,36,0.397,27,0.63,17,2,200,129.3,26.5,9,21,97,,10.7,8,0.27899999999999997,19,0.42100000000000004,8,48.4,30,0.6,3.6,3,49,0.5710000000000001,28,0.667,4,"Firestone Fieldhouse, Malibu, California",IDAHO-STATE,Idaho State,75.1,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,5,True,False,True,Home,True,8,28,68,30,62,11,19,56,1,0,46,97,307,0.5407166123778502,147,318,0.46226415094339623,43,82,292,0.5017123287671232,0.6
6,2018-12-01-20-pepperdine,52.0,13,3.6,1,108.5,80.8,21,0.435,62,0.40299999999999997,25,0.21,13,0.615,8,1,200,87.3,22.2,8,24,62,,12.7,9,0.29,18,0.222,4,46.8,29,0.455,14.0,11,44,0.47700000000000004,21,0.875,7,"December 1, 2018",72.7,16,4.5,2,87.3,77.8,28,0.565,46,0.478,22,0.652,30,0.833,25,2,200,108.5,19.2,5,16,77,,8.5,6,0.391,18,0.444,8,53.2,33,0.639,20.2,15,28,0.5,14,0.7140000000000001,5,"Firestone Fieldhouse, Malibu, California",ABILENE-CHRISTIAN,Abilene Christian,70.7,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,6,True,False,True,Home,True,8,14,46,33,62,4,21,62,1,0,54,125,375,0.5493333333333333,177,380,0.46578947368421053,54,101,348,0.5229885057471264,0.6666666666666666
7,2018-12-03-22-pepperdine,69.4,25,15.0,6,102.5,73.2,30,0.5660000000000001,68,0.529,36,0.27899999999999997,19,0.684,13,5,200,111.1,36.7,11,21,90,,8.6,7,0.235,16,0.313,5,57.7,41,0.584,17.3,16,52,0.596,31,0.28600000000000003,2,"December 3, 2018",58.6,17,9.6,5,111.1,63.3,19,0.507,69,0.42,29,0.304,21,0.619,13,3,200,102.5,26.8,11,20,83,,12.3,10,0.42,29,0.414,12,42.3,30,0.525,13.3,12,40,0.425,17,0.625,5,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,81.0,Away,CAL-STATE-NORTHRIDGE,Cal State Northridge,Pepperdine,wcc,7,False,True,True,Home,False,12,17,69,30,71,5,31,68,0,1,62,139,421,0.5510688836104513,210,442,0.4751131221719457,58,122,410,0.5097560975609756,0.7142857142857143
8,2018-12-06-22-california-riverside,36.0,9,2.9,1,111.9,69.6,16,0.555,55,0.455,25,0.255,14,0.7140000000000001,10,4,200,106.0,15.4,4,14,71,,6.0,4,0.473,26,0.423,11,40.8,20,0.5760000000000001,15.2,11,29,0.483,14,0.556,5,"December 6, 2018",55.2,16,6.9,2,106.0,84.6,22,0.6,55,0.527,29,0.23600000000000002,13,0.6920000000000001,9,7,200,111.9,30.4,7,19,75,,4.5,3,0.364,20,0.4,8,59.2,29,0.613,16.5,12,35,0.6,21,0.3,3,"UC Riverside Student Recreation Center, Riverside, California",PEPPERDINE,Pepperdine,67.4,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,Pepperdine,wcc,8,False,False,False,Away,False,11,14,55,20,49,8,21,55,0,1,74,156,490,0.5448979591836735,240,513,0.4678362573099415,63,153,478,0.5177824267782427,0.625
9,2018-12-08-22-pepperdine,46.2,12,8.8,3,95.8,81.8,27,0.5,59,0.441,26,0.18600000000000003,11,0.636,7,8,200,91.7,12.9,4,24,66,,4.2,3,0.35600000000000004,21,0.33299999999999996,7,48.4,31,0.514,15.8,12,38,0.5,19,0.111,1,"December 8, 2018",54.2,13,7.9,3,91.7,87.1,27,0.465,57,0.42100000000000004,24,0.368,21,0.762,16,4,200,95.8,18.2,6,13,69,,6.9,5,0.40399999999999997,23,0.217,5,51.6,33,0.515,14.2,11,34,0.5589999999999999,19,0.6,6,"Firestone Fieldhouse, Malibu, California",JACKSON-STATE,Jackson State,72.1,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,9,True,False,True,Home,True,5,19,57,33,64,7,19,59,1,0,85,170,545,0.5458715596330275,260,562,0.4626334519572954,71,174,533,0.5262664165103189,0.5555555555555556
