,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PRINCETON_homegame,PRINCETON_homegame2,PRINCETON_home,PRINCETON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-princeton,50.0,10,23.7,9,116.4,53.7,22,0.4,60,0.33299999999999996,20,0.1,6,0.5,3,0,200,69.9,24.3,9,24,51,,6.8,5,0.4,24,0.33299999999999996,8,39.7,31,0.406,21.3,17,36,0.33299999999999996,12,0.0,0,"November 9, 2018",55.6,15,27.8,10,69.9,75.7,28,0.47700000000000004,66,0.409,27,0.455,30,0.733,22,0,200,116.4,46.3,19,11,85,,11.0,8,0.424,28,0.321,9,60.3,47,0.53,15.0,14,38,0.474,18,1.0,1,"Jadwin Gymnasium, Princeton, New Jersey","DeSales
			","DeSales
			",73.1,Home,PRINCETON,Princeton,Princeton,ivy,0,True,False,True,Home,True,9,18,66,47,78,8,12,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-16-20-lehigh,41.2,7,11.4,5,100.0,64.5,20,0.317,60,0.28300000000000003,17,0.4,24,0.792,19,1,200,79.2,22.5,9,18,57,,4.2,3,0.5329999999999999,32,0.125,4,40.8,29,0.39899999999999997,11.3,9,28,0.46399999999999997,13,0.5,1,"November 16, 2018",56.0,14,0.0,0,79.2,77.5,31,0.43799999999999994,65,0.385,25,0.27699999999999997,18,0.833,15,1,200,100.0,35.5,11,22,72,,4.2,3,0.32299999999999995,21,0.33299999999999996,7,59.2,42,0.489,12.1,10,44,0.409,18,0.75,3,"Stabler Arena, Bethlehem, Pennsylvania",PRINCETON,Princeton,72.0,Home,LEHIGH,Lehigh,Princeton,ivy,1,False,False,False,Away,False,4,13,60,29,71,7,18,65,0,1,9,18,66,0.4772727272727273,47,78,0.6025641025641025,8,12,60,0.4,1.0
2,2018-11-21-19-princeton,40.0,10,12.5,4,95.7,81.3,26,0.585,53,0.47200000000000003,25,0.34,18,0.833,15,1,200,111.6,32.0,8,20,77,,11.6,8,0.528,28,0.429,12,59.6,34,0.626,19.8,15,25,0.52,13,0.75,3,"November 21, 2018",39.1,9,12.0,3,111.6,68.0,17,0.5,53,0.434,23,0.321,17,0.765,13,2,200,95.7,18.8,6,18,66,,14.5,10,0.396,21,0.33299999999999996,7,40.4,23,0.54,18.8,14,32,0.5,16,0.33299999999999996,1,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,68.8,Away,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Princeton,ivy,2,False,True,True,Home,False,7,16,53,23,57,12,13,53,0,1,13,31,126,0.4007936507936508,76,149,0.5100671140939598,15,30,125,0.42,0.5
3,2018-11-24-15-monmouth,47.6,10,12.0,3,91.9,68.0,17,0.46299999999999997,54,0.389,21,0.24100000000000002,13,0.769,10,2,200,96.8,22.6,7,21,60,,9.7,6,0.537,29,0.276,8,42.9,24,0.499,14.3,10,25,0.52,13,0.5,2,"November 24, 2018",43.8,7,4.0,1,96.8,77.4,24,0.44,42,0.381,16,0.595,25,0.8,20,7,200,91.9,32.0,8,17,57,,6.5,4,0.405,17,0.294,5,57.1,32,0.529,22.1,15,25,0.44,11,0.0,0,"Multipurpose Activity Center, West Long Branch, New Jersey",MONMOUTH,Monmouth,62.0,Away,PRINCETON,Princeton,Princeton,ivy,3,False,False,False,Away,True,8,13,54,24,56,5,11,42,1,0,20,47,179,0.4301675977653631,99,206,0.48058252427184467,27,43,178,0.4691011235955056,0.3333333333333333
4,2018-11-28-19-maine,66.7,14,9.1,3,92.2,73.5,25,0.589,45,0.467,21,0.622,28,0.7140000000000001,20,2,200,114.1,24.0,6,10,73,,10.9,7,0.489,22,0.5,11,52.5,31,0.626,17.3,12,23,0.435,10,0.6,3,"November 28, 2018",73.1,19,8.7,2,114.1,76.0,19,0.5,59,0.441,26,0.034,2,0.0,0,7,200,92.2,26.5,9,17,59,,7.8,5,0.441,26,0.26899999999999996,7,47.5,28,0.49200000000000005,17.8,13,33,0.5760000000000001,19,0.0,0,"Cross Insurance Center, Bangor, Maine",MAINE,Maine,64.1,Away,PRINCETON,Princeton,Princeton,ivy,4,False,False,False,Away,True,11,10,45,31,59,7,19,59,1,0,28,60,233,0.43776824034334766,123,262,0.46946564885496184,32,54,220,0.4636363636363636,0.5
5,2018-12-01-16-princeton,36.8,7,5.4,2,105.8,81.5,22,0.373,55,0.345,19,0.345,19,0.579,11,7,200,75.4,21.6,8,21,52,,10.1,7,0.364,20,0.15,3,46.9,30,0.406,17.0,13,35,0.457,16,0.125,1,"December 1, 2018",24.0,6,0.0,0,75.4,78.4,29,0.563,48,0.521,25,0.583,28,0.679,19,2,200,105.8,18.5,5,18,73,,10.1,7,0.22899999999999998,11,0.364,4,53.1,34,0.595,17.7,13,37,0.568,21,0.667,4,"Jadwin Gymnasium, Princeton, New Jersey",GEORGE-WASHINGTON,George Washington,69.2,Home,PRINCETON,Princeton,Princeton,ivy,5,True,False,True,Home,True,4,21,48,34,64,3,16,55,1,0,39,70,278,0.46223021582733814,154,321,0.4797507788161994,39,73,279,0.471326164874552,0.6
6,2018-12-05-19-princeton,36.4,12,6.5,2,112.3,78.1,25,0.642,60,0.55,33,0.317,19,0.789,15,4,200,126.0,20.0,5,15,92,,9.6,7,0.41700000000000004,25,0.44,11,52.6,30,0.6659999999999999,11.6,9,35,0.629,22,0.556,5,"December 5, 2018",48.1,13,5.7,2,126.0,80.0,20,0.5589999999999999,59,0.45799999999999996,27,0.33899999999999997,20,0.8,16,3,200,112.3,21.9,7,17,82,,5.5,4,0.475,28,0.429,12,47.4,27,0.599,15.0,12,31,0.484,15,0.5710000000000001,4,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,73.3,Away,SAINT-JOSEPHS,St. Joseph's,Princeton,ivy,6,False,True,True,Home,False,12,15,59,27,57,11,22,60,0,1,43,91,326,0.47699386503067487,188,385,0.4883116883116883,42,89,334,0.4550898203592814,0.6666666666666666
7,2018-12-09-13-st-johns-ny,53.6,15,4.7,2,112.7,75.9,22,0.5479999999999999,63,0.444,28,0.095,6,0.833,5,4,200,93.7,18.8,6,15,74,,10.1,8,0.49200000000000005,31,0.419,13,45.9,28,0.562,23.4,20,32,0.469,15,0.5,4,"December 9, 2018",41.2,14,9.4,3,93.7,81.3,26,0.615,61,0.557,34,0.344,21,0.667,14,0,200,112.7,24.1,7,9,89,,20.3,16,0.295,18,0.389,7,54.1,33,0.627,16.6,14,43,0.628,27,1.0,9,"Madison Square Garden (IV), New York, New York",PRINCETON,Princeton,78.9,Home,ST-JOHNS-NY,St. John's (NY),Princeton,ivy,7,False,False,False,Away,False,13,15,63,28,61,7,27,61,0,1,55,106,385,0.4896103896103896,215,442,0.48642533936651583,53,111,394,0.48350253807106597,0.5714285714285714
8,2018-12-15-11-iona,63.3,19,5.9,2,109.5,70.4,19,0.57,64,0.469,30,0.21899999999999997,14,0.857,12,4,200,114.9,22.2,6,14,85,,10.8,8,0.531,34,0.382,13,46.3,25,0.602,12.5,10,30,0.5670000000000001,17,0.556,5,"December 15, 2018",46.7,14,13.3,4,114.9,77.8,21,0.579,63,0.47600000000000003,30,0.159,10,0.8,8,7,200,109.5,29.6,8,16,81,,4.1,3,0.46,29,0.44799999999999995,13,53.7,29,0.598,16.2,13,34,0.5,17,0.222,2,"Boardwalk Hall, Atlantic City, New Jersey",IONA,Iona,73.7,Away,PRINCETON,Princeton,Princeton,ivy,8,False,False,False,Away,True,13,17,64,25,54,13,17,63,1,0,68,121,448,0.49776785714285715,243,503,0.4831013916500994,60,138,455,0.5010989010989011,0.5
9,2018-12-18-18-duke,72.2,13,0.0,0,131.2,51.6,16,0.369,61,0.295,18,0.098,6,0.833,5,5,200,64.9,8.8,3,16,50,,11.7,9,0.541,33,0.273,9,29.2,19,0.392,22.0,18,28,0.321,9,0.5,5,"December 18, 2018",65.7,23,50.0,14,64.9,91.2,31,0.597,67,0.522,35,0.373,25,0.84,21,1,200,131.2,48.4,15,10,101,2.0,15.6,12,0.38799999999999996,26,0.385,10,70.8,46,0.64,12.4,11,41,0.61,25,0.909,10,"Cameron Indoor Stadium, Durham, North Carolina",PRINCETON,Princeton,76.9,Home,DUKE,Duke,Princeton,ivy,9,False,False,False,Away,False,9,9,61,19,65,10,25,67,0,1,81,138,512,0.5068359375,268,557,0.48114901256732495,73,155,518,0.5106177606177607,0.5555555555555556
