,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEVADA_homegame,NEVADA_homegame2,NEVADA_home,NEVADA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-23-nevada,65.4,17,10.5,4,107.5,76.2,32,0.42,69,0.377,26,0.275,19,0.632,12,1,200,87.5,16.7,7,27,70,,5.0,4,0.449,31,0.19399999999999998,6,46.4,39,0.449,8.3,7,38,0.526,20,0.0,0,"November 6, 2018",76.0,19,10.5,4,87.5,83.3,35,0.439,66,0.379,25,0.591,39,0.718,28,0,200,107.5,23.8,10,20,86,7.0,5.0,4,0.424,28,0.28600000000000003,8,53.6,45,0.509,8.8,8,38,0.447,17,1.0,1,"Lawlor Events Center, Reno, Nevada",BRIGHAM-YOUNG,BYU,80.3,Home,NEVADA,Nevada,Nevada,mwc,0,True,False,True,Home,True,8,17,66,45,84,6,20,69,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-22-nevada,60.0,15,4.0,1,122.1,72.7,24,0.45799999999999996,60,0.41700000000000004,25,0.233,14,0.429,6,1,200,89.7,17.6,6,28,61,,5.9,4,0.33299999999999996,20,0.25,5,44.8,30,0.45799999999999996,12.0,9,40,0.5,20,0.5,1,"November 9, 2018",84.0,21,15.0,6,89.7,82.4,28,0.58,56,0.446,25,0.48200000000000004,27,0.667,18,0,200,122.1,27.3,9,18,83,7.0,7.4,5,0.5539999999999999,31,0.484,15,55.2,37,0.603,9.3,7,25,0.4,10,1.0,2,"Lawlor Events Center, Reno, Nevada",PACIFIC,Pacific,68.2,Home,NEVADA,Nevada,Nevada,mwc,1,True,False,True,Home,True,15,10,56,37,67,5,20,60,1,0,8,17,66,0.4393939393939394,45,84,0.5357142857142857,6,20,69,0.42028985507246375,1.0
2,2018-11-16-23-nevada,59.1,13,6.9,2,113.0,90.0,27,0.413,63,0.349,22,0.27,17,0.41200000000000003,7,1,200,76.6,11.4,5,24,59,,7.8,6,0.47600000000000003,30,0.267,8,43.2,32,0.415,14.5,12,33,0.424,14,0.667,2,"November 16, 2018",73.3,22,15.2,5,76.6,88.6,39,0.625,56,0.536,30,0.446,25,0.68,17,0,200,113.0,10.0,3,20,87,6.0,5.2,4,0.48200000000000004,27,0.37,10,56.8,42,0.6409999999999999,14.1,11,29,0.69,20,1.0,3,"Lawlor Events Center, Reno, Nevada",ARKANSAS-LITTLE-ROCK,Little Rock,77.0,Home,NEVADA,Nevada,Nevada,mwc,2,True,False,True,Home,True,10,20,56,42,74,8,14,63,1,0,23,27,122,0.5040983606557377,82,151,0.543046357615894,11,40,129,0.437984496124031,1.0
3,2018-11-19-22-nevada,36.8,7,5.1,2,116.9,63.3,19,0.361,61,0.311,19,0.27899999999999997,17,0.647,11,2,200,71.4,17.9,7,28,55,,5.2,4,0.41,25,0.24,6,37.7,26,0.39799999999999996,18.9,16,36,0.361,13,0.5,2,"November 19, 2018",65.5,19,11.1,4,71.4,82.1,32,0.5529999999999999,57,0.509,29,0.667,38,0.711,27,0,200,116.9,36.7,11,20,90,6.0,11.7,9,0.316,18,0.278,5,62.3,43,0.6,14.0,12,39,0.615,24,1.0,4,"Lawlor Events Center, Reno, Nevada",CALIFORNIA-BAPTIST,California Baptist,77.1,Home,NEVADA,Nevada,Nevada,mwc,3,True,False,True,Home,True,5,24,57,43,69,6,13,61,1,0,33,47,178,0.5421348314606742,124,225,0.5511111111111111,19,54,192,0.4296875,1.0
4,2018-11-22-16-nevada,44.8,13,4.0,1,133.3,59.3,16,0.602,54,0.537,29,0.5,27,0.778,21,1,200,119.4,25.9,7,28,86,,5.6,4,0.426,23,0.304,7,42.6,23,0.643,15.4,12,31,0.71,22,0.8,4,"November 22, 2018",24.0,6,12.9,4,119.4,74.1,20,0.535,57,0.439,25,0.737,42,0.833,35,0,200,133.3,40.7,11,22,96,6.0,5.6,4,0.561,32,0.344,11,57.4,31,0.624,8.5,7,25,0.56,14,1.0,5,"Orleans Arena, Paradise, Nevada",TULSA,Tulsa,72.4,Home,NEVADA,Nevada,Nevada,mwc,4,True,False,True,Home,True,11,14,57,31,54,7,22,54,1,0,38,71,235,0.5446808510638298,167,294,0.5680272108843537,25,67,253,0.41304347826086957,1.0
5,2018-11-23-22-nevada,46.2,12,6.8,3,154.9,57.1,16,0.54,62,0.419,26,0.40299999999999997,25,0.8,20,3,200,122.5,36.1,13,23,87,,2.8,2,0.581,36,0.41700000000000004,15,45.3,29,0.589,9.9,8,26,0.423,11,0.5710000000000001,4,"November 23, 2018",42.5,17,7.7,2,122.5,63.9,23,0.7,65,0.615,40,0.4,26,0.731,19,0,200,154.9,42.9,12,19,110,6.0,5.6,4,0.32299999999999995,21,0.524,11,54.7,35,0.711,8.4,7,44,0.659,29,1.0,6,"Orleans Arena, Paradise, Nevada",MASSACHUSETTS,UMass,70.6,Home,NEVADA,Nevada,Nevada,mwc,5,True,False,True,Home,True,11,29,65,35,64,15,11,62,1,0,49,85,292,0.5428082191780822,198,348,0.5689655172413793,32,89,307,0.44625407166123776,1.0
6,2018-11-27-20-loyola-il,46.9,15,15.0,6,100.0,75.0,27,0.636,55,0.5820000000000001,32,0.273,15,0.6,9,0,200,121.5,24.0,6,11,79,5.0,10.8,7,0.255,14,0.429,6,54.1,33,0.636,10.2,7,41,0.634,26,1.0,7,"November 27, 2018",57.7,15,14.6,6,121.5,76.0,19,0.49200000000000005,60,0.433,26,0.133,8,0.75,6,3,200,100.0,25.0,9,18,65,,6.2,4,0.33299999999999996,20,0.35,7,45.9,28,0.509,15.9,12,40,0.475,19,0.5710000000000001,4,"Joseph J. Gentile Center, Chicago, Illinois",LOYOLA-IL,Loyola (IL),65.0,Away,NEVADA,Nevada,Nevada,mwc,6,False,False,False,Away,True,6,26,55,33,61,7,19,60,1,0,60,114,357,0.5714285714285714,233,412,0.5655339805825242,47,100,369,0.462059620596206,1.0
7,2018-12-01-16-southern-california,57.1,16,2.6,1,87.1,93.3,28,0.5329999999999999,60,0.467,28,0.217,13,0.6920000000000001,9,0,200,104.3,17.6,6,13,73,5.0,1.4,1,0.33299999999999996,20,0.4,8,53.1,34,0.552,14.3,11,40,0.5,20,1.0,8,"December 1, 2018",42.3,11,10.0,4,104.3,82.4,28,0.475,60,0.433,26,0.133,8,0.5,4,3,200,87.1,6.7,2,14,61,,11.4,8,0.35,21,0.23800000000000002,5,46.9,30,0.478,11.2,8,39,0.5379999999999999,21,0.625,5,"Galen Center, Los Angeles, California",SOUTHERN-CALIFORNIA,USC,70.5,Away,NEVADA,Nevada,Nevada,mwc,7,False,False,False,Away,True,8,20,60,34,64,5,21,60,1,0,66,140,412,0.5800970873786407,266,473,0.5623678646934461,54,119,429,0.4662004662004662,1.0
8,2018-12-07-23-arizona-state,44.0,11,16.7,7,88.0,67.6,23,0.48200000000000004,55,0.455,25,0.436,24,0.792,19,0,200,96.0,11.5,3,15,72,6.0,4.0,3,0.327,18,0.16699999999999998,3,43.3,26,0.542,14.4,11,37,0.595,22,1.0,9,"December 7, 2018",52.0,13,5.4,2,96.0,88.5,23,0.444,62,0.40299999999999997,25,0.27399999999999997,17,0.647,11,1,200,88.0,32.4,11,25,66,20.0,5.3,4,0.32299999999999995,20,0.25,5,56.7,34,0.47100000000000003,18.7,16,42,0.47600000000000003,20,0.875,7,"Staples Center, Los Angeles, California",ARIZONA-STATE,Arizona State,74.7,Away,NEVADA,Nevada,Nevada,mwc,8,False,False,False,Away,True,3,22,55,26,60,5,20,62,1,0,74,160,472,0.5741525423728814,300,537,0.5586592178770949,59,140,489,0.467280163599182,1.0
9,2018-12-09-17-grand-canyon,50.0,11,5.0,2,93.0,75.7,28,0.49,51,0.431,22,0.569,29,0.828,24,0,200,104.2,20.0,6,13,74,6.0,9.9,7,0.431,22,0.273,6,50.7,34,0.5710000000000001,16.9,13,29,0.552,16,1.0,10,"December 9, 2018",60.0,15,3.4,1,104.2,80.0,24,0.49200000000000005,61,0.41,25,0.131,8,0.75,6,4,200,93.0,24.3,9,21,66,,7.0,5,0.344,21,0.47600000000000003,10,49.3,33,0.509,17.8,14,40,0.375,15,0.556,5,"Talking Stick Resort Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,70.8,Away,NEVADA,Nevada,Nevada,mwc,9,False,False,False,Away,True,6,16,51,34,67,10,15,61,1,0,77,182,527,0.5645161290322581,326,597,0.5460636515912898,64,160,551,0.4646098003629764,1.0
