,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CONNECTICUT_homegame,CONNECTICUT_homegame2,CONNECTICUT_home,CONNECTICUT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-08-19-connecticut,56.0,14,9.3,4,105.3,73.1,19,0.47600000000000003,62,0.40299999999999997,25,0.242,15,0.733,11,1,200,92.1,29.4,10,16,70,,7.9,6,0.452,28,0.321,9,48.3,29,0.506,19.9,17,34,0.47100000000000003,16,0.5,1,"November 8, 2018",45.2,14,23.5,8,92.1,70.6,24,0.539,64,0.484,31,0.266,17,0.647,11,0,200,105.3,26.9,7,20,80,,7.9,6,0.32799999999999996,21,0.33299999999999996,7,51.7,31,0.555,13.3,11,43,0.5579999999999999,24,1.0,1,"Harry A. Gampel Pavilion, Storrs, Connecticut",MOREHEAD-STATE,Morehead State,76.1,Home,CONNECTICUT,UConn,Connecticut,aac,0,True,False,True,Home,True,7,24,64,31,60,9,16,62,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-17-connecticut,47.6,10,5.3,2,125.3,63.3,19,0.48,50,0.42,21,0.54,27,0.667,18,3,200,88.0,18.5,5,18,66,,12.0,9,0.34,17,0.353,6,42.1,24,0.525,22.5,18,33,0.455,15,0.0,0,"November 11, 2018",48.6,17,12.1,4,88.0,81.5,22,0.631,65,0.5379999999999999,35,0.27699999999999997,18,0.667,12,0,200,125.3,36.7,11,23,94,,9.3,7,0.415,27,0.444,12,57.9,33,0.639,14.1,12,38,0.605,23,1.0,2,"Harry A. Gampel Pavilion, Storrs, Connecticut",MISSOURI-KANSAS-CITY,UMKC,75.2,Home,CONNECTICUT,UConn,Connecticut,aac,1,True,False,True,Home,True,12,23,65,33,57,6,15,50,1,0,7,24,64,0.5390625,31,60,0.5166666666666667,9,16,62,0.47580645161290325,1.0
2,2018-11-15-19-connecticut,38.5,10,11.1,4,106.4,61.3,19,0.439,66,0.39399999999999996,26,0.379,25,0.72,18,1,200,97.4,20.0,7,23,76,15.0,10.3,8,0.33299999999999996,22,0.273,6,39.4,26,0.488,11.5,10,44,0.455,20,0.667,2,"November 15, 2018",78.6,22,18.2,8,97.4,80.0,28,0.596,57,0.491,28,0.40399999999999997,23,0.652,15,0,200,106.4,38.7,12,22,83,,7.7,6,0.368,21,0.5710000000000001,12,60.6,40,0.611,22.1,19,36,0.444,16,1.0,3,"Madison Square Garden (IV), New York, New York",SYRACUSE,Syracuse,77.9,Home,CONNECTICUT,UConn,Connecticut,aac,2,True,False,True,Home,True,12,16,57,40,66,6,20,66,1,0,19,47,129,0.5852713178294574,64,117,0.5470085470085471,15,31,112,0.47767857142857145,1.0
3,2018-11-16-18-iowa,34.5,10,0.0,0,116.7,50.0,13,0.449,69,0.42,29,0.217,15,0.667,10,1,200,92.3,36.4,12,24,72,,14.1,11,0.377,26,0.154,4,42.4,25,0.473,15.6,14,43,0.581,25,0.75,3,"November 16, 2018",48.3,14,4.7,2,92.3,63.6,21,0.544,57,0.509,29,0.649,37,0.784,29,0,200,116.7,50.0,13,15,91,,6.4,5,0.228,13,0.308,4,57.6,34,0.61,18.8,17,44,0.568,25,1.0,4,"Madison Square Garden (IV), New York, New York",CONNECTICUT,UConn,78.4,Home,IOWA,Iowa,Connecticut,aac,3,False,False,False,Away,False,4,25,69,25,59,4,25,57,0,1,31,63,186,0.5887096774193549,104,183,0.5683060109289617,21,51,178,0.46348314606741575,1.0
4,2018-11-20-19-connecticut,70.8,17,6.5,3,116.7,69.0,20,0.529,52,0.462,24,0.462,24,0.792,19,3,200,94.9,18.5,5,19,74,,3.8,3,0.385,20,0.35,7,44.6,25,0.584,22.3,18,32,0.531,17,0.5,3,"November 20, 2018",36.4,12,18.8,6,94.9,81.5,22,0.5539999999999999,65,0.508,33,0.354,23,0.826,19,1,200,116.7,31.0,9,23,91,,15.4,12,0.292,19,0.316,6,55.4,31,0.599,13.8,12,46,0.5870000000000001,27,0.8,4,"XL Center, Hartford, Connecticut",CORNELL,Cornell,77.7,Home,CONNECTICUT,UConn,Connecticut,aac,4,True,False,True,Home,True,6,27,65,31,56,7,17,52,1,0,35,88,255,0.5509803921568628,129,242,0.5330578512396694,25,76,235,0.4829787234042553,0.75
5,2018-11-24-12-connecticut,52.0,13,8.2,4,121.3,67.7,21,0.433,67,0.373,25,0.22399999999999998,15,0.5329999999999999,8,4,200,88.0,20.5,9,22,66,,5.3,4,0.44799999999999995,30,0.267,8,40.0,30,0.445,9.8,8,37,0.45899999999999996,17,0.33299999999999996,2,"November 24, 2018",41.2,14,5.4,2,88.0,79.5,35,0.5539999999999999,65,0.523,34,0.431,28,0.679,19,1,200,121.3,32.3,10,18,91,,6.7,5,0.24600000000000002,16,0.25,4,60.0,45,0.581,10.4,9,49,0.612,30,0.833,5,"XL Center, Hartford, Connecticut",NEW-HAMPSHIRE,New Hampshire,75.2,Home,CONNECTICUT,UConn,Connecticut,aac,5,True,False,True,Home,True,4,30,65,45,75,8,17,67,1,0,41,115,320,0.5515625,160,298,0.5369127516778524,32,93,287,0.4912891986062718,0.8
6,2018-11-27-19-connecticut,61.5,16,6.0,3,122.8,61.1,22,0.585,53,0.491,26,0.415,22,0.591,13,5,200,94.9,13.8,4,20,75,,5.1,4,0.45299999999999996,24,0.41700000000000004,10,40.0,26,0.591,23.3,19,29,0.552,16,0.444,4,"November 27, 2018",59.5,22,17.2,5,94.9,86.2,25,0.562,73,0.507,37,0.28800000000000003,21,0.7140000000000001,15,1,200,122.8,38.9,14,20,97,,13.9,11,0.315,23,0.348,8,60.0,39,0.585,11.8,11,50,0.58,29,0.857,6,"Harry A. Gampel Pavilion, Storrs, Connecticut",MASSACHUSETTS-LOWELL,UMass-Lowell,79.2,Home,CONNECTICUT,UConn,Connecticut,aac,6,True,False,True,Home,True,8,29,73,39,65,10,16,53,1,0,45,145,385,0.551948051948052,205,373,0.5495978552278821,40,110,354,0.480225988700565,0.8333333333333334
7,2018-12-02-13-connecticut,44.4,12,11.8,4,96.0,78.6,22,0.483,59,0.45799999999999996,27,0.373,22,0.8640000000000001,19,2,200,101.3,27.6,8,15,76,,8.0,6,0.28800000000000003,17,0.17600000000000002,3,52.6,30,0.547,15.9,13,42,0.5710000000000001,24,0.75,6,"December 2, 2018",42.9,12,11.9,5,101.3,72.4,21,0.552,58,0.483,28,0.22399999999999998,13,0.615,8,2,200,96.0,21.4,6,21,72,,5.3,4,0.414,24,0.33299999999999996,8,47.4,27,0.561,22.0,18,34,0.588,20,0.75,6,"XL Center, Hartford, Connecticut",CONNECTICUT,UConn,75.3,Away,ARIZONA,Arizona,Connecticut,aac,7,False,True,True,Home,False,8,20,58,27,57,3,24,59,0,1,53,174,458,0.5534934497816594,244,438,0.5570776255707762,50,126,407,0.49385749385749383,0.8571428571428571
8,2018-12-05-18-connecticut,52.2,12,4.3,2,120.0,60.5,23,0.41100000000000003,62,0.371,23,0.226,14,0.857,12,6,200,84.0,25.0,8,15,63,,2.7,2,0.371,23,0.217,5,44.3,31,0.45899999999999996,19.0,16,39,0.462,18,0.25,2,"December 5, 2018",50.0,17,10.3,4,84.0,75.0,24,0.541,74,0.45899999999999996,34,0.17600000000000002,13,0.769,10,2,200,120.0,39.5,15,16,90,,10.7,8,0.37799999999999995,28,0.429,12,55.7,39,0.561,9.1,8,46,0.478,22,0.778,7,"Harry A. Gampel Pavilion, Storrs, Connecticut",LAFAYETTE,Lafayette,74.9,Home,CONNECTICUT,UConn,Connecticut,aac,8,True,False,True,Home,True,12,22,74,39,70,5,18,62,1,0,61,194,516,0.5532945736434108,271,495,0.5474747474747474,53,150,466,0.4924892703862661,0.75
9,2018-12-08-18-connecticut,24.0,6,12.5,5,87.7,64.9,24,0.509,55,0.455,25,0.5820000000000001,32,0.7190000000000001,23,1,200,97.5,32.1,9,27,79,11.0,13.6,11,0.309,17,0.353,6,50.8,33,0.563,23.3,21,38,0.5,19,0.889,8,"December 8, 2018",30.4,7,13.2,5,97.5,67.9,19,0.434,61,0.377,23,0.426,26,0.6920000000000001,18,3,200,87.7,35.1,13,28,71,,8.6,7,0.344,21,0.33299999999999996,7,49.2,32,0.484,20.8,19,40,0.4,16,0.7,7,"Prudential Center, Newark, New Jersey",CONNECTICUT,UConn,80.8,Away,FLORIDA-STATE,Florida State,Connecticut,aac,9,False,True,True,Home,False,7,16,61,32,65,6,19,55,0,1,73,216,590,0.5516949152542373,310,565,0.5486725663716814,58,168,528,0.48295454545454547,0.7777777777777778
