,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GRAMBLING_homegame,GRAMBLING_homegame2,GRAMBLING_home,GRAMBLING_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-20-grambling,37.5,9,0.0,0,119.3,61.8,21,0.36200000000000004,76,0.316,24,0.32899999999999996,25,0.52,13,0,200,77.3,24.5,13,24,68,,6.8,6,0.382,29,0.24100000000000002,7,39.1,34,0.387,13.0,13,47,0.36200000000000004,17,0.0,0,"November 9, 2018",45.2,19,17.0,8,77.3,75.5,40,0.618,72,0.583,42,0.375,27,0.593,16,0,200,119.3,38.2,13,23,105,,6.8,6,0.25,18,0.278,5,60.9,53,0.619,16.9,17,54,0.685,37,1.0,1,"Assembly Center, Grambling, Louisiana","Jarvis Christian
			","Jarvis Christian
			",88.4,Home,GRAMBLING,Grambling,Grambling,swac,0,True,False,True,Home,True,5,37,72,53,87,7,17,76,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-14-21-wyoming,53.6,15,19.4,7,113.2,69.7,23,0.561,57,0.491,28,0.40399999999999997,23,0.609,14,1,200,102.6,21.9,7,29,78,,6.6,5,0.281,16,0.5,8,46.2,30,0.574,18.3,15,41,0.488,20,0.5,1,"November 14, 2018",44.0,11,4.9,2,102.6,78.1,25,0.49200000000000005,60,0.41700000000000004,25,0.5329999999999999,32,0.8440000000000001,27,2,200,113.2,30.3,10,19,86,,13.2,10,0.4,24,0.375,9,53.8,35,0.5720000000000001,12.9,11,36,0.444,16,0.33299999999999996,1,"Arena-Auditorium, Laramie, Wyoming",GRAMBLING,Grambling,76.1,Home,WYOMING,Wyoming,Grambling,swac,1,False,False,False,Away,False,8,20,57,30,65,9,16,60,0,1,5,37,72,0.6180555555555556,53,87,0.6091954022988506,7,17,76,0.3618421052631579,1.0
2,2018-11-16-20-loyola-il,53.8,14,6.9,2,108.1,100.0,24,0.45899999999999996,61,0.426,26,0.213,13,0.615,8,2,200,86.5,20.0,7,23,64,,12.2,9,0.16399999999999998,10,0.4,4,52.5,31,0.47600000000000003,17.3,14,51,0.431,22,0.33299999999999996,1,"November 16, 2018",65.4,17,9.8,5,86.5,80.0,28,0.6559999999999999,45,0.578,26,0.667,30,0.7,21,1,200,108.1,0.0,0,15,80,,10.8,8,0.35600000000000004,16,0.43799999999999994,7,47.5,28,0.675,19.4,14,29,0.655,19,0.75,3,"Joseph J. Gentile Center, Chicago, Illinois",GRAMBLING,Grambling,73.7,Home,LOYOLA-IL,Loyola (IL),Grambling,swac,2,False,False,False,Away,False,4,22,61,31,59,7,19,45,0,1,13,57,129,0.5930232558139535,83,152,0.5460526315789473,16,33,136,0.41911764705882354,0.5
3,2018-11-20-20-grambling,39.1,9,3.9,2,123.8,61.3,19,0.415,65,0.354,23,0.2,13,0.308,4,0,200,72.5,13.6,6,22,58,,8.8,7,0.446,29,0.276,8,33.3,25,0.40700000000000003,17.5,15,36,0.41700000000000004,15,0.0,0,"November 20, 2018",50.0,19,16.7,6,72.5,86.4,38,0.648,64,0.594,38,0.359,23,0.696,16,2,200,123.8,38.7,12,18,99,,11.3,9,0.203,13,0.5379999999999999,7,66.7,50,0.6609999999999999,18.7,17,51,0.608,31,0.5,2,"Assembly Center, Grambling, Louisiana","Champion Christian
			","Champion Christian
			",80.1,Home,GRAMBLING,Grambling,Grambling,swac,3,True,False,True,Home,True,7,31,64,50,75,8,15,65,1,0,17,79,190,0.55,114,211,0.5402843601895735,23,52,181,0.47790055248618785,0.3333333333333333
4,2018-11-23-16-niagara,55.6,15,9.1,4,89.5,75.0,33,0.545,55,0.491,27,0.4,22,0.636,14,2,200,97.4,10.7,3,21,74,,2.6,2,0.255,14,0.429,6,50.0,36,0.565,15.6,12,41,0.512,21,0.6,3,"November 23, 2018",45.5,10,9.8,4,97.4,89.3,25,0.35600000000000004,66,0.33299999999999996,22,0.424,28,0.75,21,2,200,89.5,25.0,11,19,68,,5.3,4,0.33299999999999996,22,0.136,3,50.0,36,0.429,10.3,9,44,0.43200000000000005,19,0.5,2,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,75.9,Away,GRAMBLING,Grambling,Grambling,swac,4,False,False,False,Away,True,6,21,55,36,72,3,19,66,1,0,24,110,254,0.5748031496062992,164,286,0.5734265734265734,31,67,246,0.4613821138211382,0.5
5,2018-11-24-16-iupui,34.8,8,10.0,4,108.1,70.6,24,0.397,63,0.365,23,0.444,28,0.679,19,3,200,93.2,38.9,14,17,69,,6.8,5,0.222,14,0.28600000000000003,4,54.3,38,0.452,13.7,12,49,0.38799999999999996,19,0.5,3,"November 24, 2018",53.3,16,2.0,1,93.2,61.1,22,0.5479999999999999,63,0.47600000000000003,30,0.222,14,0.7859999999999999,11,2,200,108.1,29.4,10,23,80,,4.1,3,0.365,23,0.391,9,45.7,32,0.574,16.8,14,40,0.525,21,0.667,4,"Gallagher Center, Niagara University, New York",GRAMBLING,Grambling,74.0,Home,IUPUI,IUPUI,Grambling,swac,5,False,False,False,Away,False,4,19,63,38,70,9,21,63,0,1,30,131,309,0.56957928802589,200,358,0.5586592178770949,34,86,312,0.4391025641025641,0.6
6,2018-12-01-17-louisiana-state,35.0,7,13.2,5,105.4,56.3,18,0.441,51,0.392,20,0.33299999999999996,17,0.706,12,4,200,77.0,12.5,4,21,57,,6.8,5,0.13699999999999998,7,0.7140000000000001,5,34.4,22,0.48200000000000004,23.5,18,44,0.341,15,0.429,3,"December 1, 2018",59.3,16,22.7,10,77.0,87.5,28,0.534,59,0.45799999999999996,27,0.40700000000000003,24,0.625,15,2,200,105.4,43.8,14,16,78,,14.9,11,0.35600000000000004,21,0.429,9,65.6,42,0.5539999999999999,21.5,19,38,0.474,18,0.75,6,"Maravich Assembly Center, Baton Rouge, Louisiana",GRAMBLING,Grambling,74.2,Home,LOUISIANA-STATE,LSU,Grambling,swac,6,False,False,False,Away,False,5,15,51,22,64,9,18,59,0,1,34,150,372,0.5403225806451613,238,428,0.5560747663551402,43,107,375,0.4573333333333333,0.5
7,2018-12-04-20-grambling,31.6,6,4.9,2,106.6,70.0,21,0.36700000000000005,60,0.317,19,0.317,19,0.684,13,0,200,75.0,24.3,9,19,57,,7.9,6,0.467,28,0.214,6,44.8,30,0.413,18.0,15,32,0.406,13,0.0,0,"December 4, 2018",53.3,16,6.3,2,75.0,75.7,28,0.575,60,0.5,30,0.36700000000000005,22,0.545,12,4,200,106.6,30.0,9,19,81,,11.8,9,0.317,19,0.474,9,55.2,37,0.575,17.7,15,41,0.512,21,0.5,4,"Assembly Center, Grambling, Louisiana","Centenary (LA)
			","Centenary (LA)
			",75.7,Home,GRAMBLING,Grambling,Grambling,swac,7,True,False,True,Home,True,9,21,60,37,67,6,13,60,1,0,39,165,423,0.5283687943262412,260,492,0.5284552845528455,52,125,434,0.46774193548387094,0.42857142857142855
8,2018-12-08-13-central-florida,35.3,6,9.4,3,101.4,69.2,18,0.319,58,0.293,17,0.31,18,0.444,8,5,200,65.2,26.2,11,27,45,,7.2,5,0.276,16,0.188,3,42.6,29,0.33799999999999997,15.4,12,42,0.33299999999999996,14,0.444,4,"December 8, 2018",55.0,11,16.7,7,65.2,73.8,31,0.49,49,0.408,20,0.633,31,0.71,22,2,200,101.4,30.8,8,15,70,,8.7,6,0.34700000000000003,17,0.47100000000000003,8,57.4,39,0.5489999999999999,18.3,14,32,0.375,12,0.778,7,"CFE Arena, Orlando, Florida",GRAMBLING,Grambling,68.6,Home,CENTRAL-FLORIDA,UCF,Grambling,swac,8,False,False,False,Away,False,3,14,58,29,68,8,12,49,0,1,48,186,483,0.5341614906832298,297,559,0.5313059033989267,58,138,494,0.45546558704453444,0.5
9,2018-12-11-20-louisiana-monroe,45.0,9,16.7,5,104.3,81.6,31,0.45899999999999996,49,0.408,20,0.5920000000000001,29,0.759,22,6,200,97.1,26.7,8,26,67,,2.9,2,0.327,16,0.313,5,57.4,39,0.534,19.5,15,33,0.455,15,0.4,4,"December 11, 2018",40.0,8,9.1,3,97.1,73.3,22,0.435,54,0.37,20,0.648,35,0.7140000000000001,25,4,200,104.3,18.4,7,20,72,,10.1,7,0.444,24,0.292,7,42.6,29,0.51,6.7,5,30,0.433,13,0.5,4,"Fant-Ewing Coliseum, Monroe, Louisiana",GRAMBLING,Grambling,69.2,Home,LOUISIANA-MONROE,Louisiana-Monroe,Grambling,swac,9,False,False,False,Away,False,5,15,49,39,68,7,13,54,0,1,51,200,541,0.511090573012939,326,627,0.5199362041467305,66,150,543,0.4585635359116022,0.4444444444444444
