,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OREGON-STATE_homegame,OREGON-STATE_homegame2,OREGON-STATE_home,OREGON-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-15-oregon-state,50.0,11,0.0,0,101.6,74.2,23,0.491,55,0.4,22,0.255,14,0.857,12,2,200,106.5,34.4,11,18,66,,8.1,5,0.382,21,0.47600000000000003,10,54.0,34,0.535,15.2,11,34,0.353,12,0.818,9,"December 21, 2018",52.0,13,23.5,8,106.5,65.6,21,0.465,57,0.439,25,0.193,11,0.909,10,4,200,101.6,25.8,8,15,63,,8.1,5,0.298,17,0.17600000000000002,3,46.0,29,0.506,12.7,9,40,0.55,22,0.636,7,"Gill Coliseum, Corvallis, Oregon",OREGON-STATE,Oregon State,62.4,Away,KENT-STATE,Kent State,Oregon State,pac-12,10,False,True,True,Home,False,3,22,57,29,63,10,12,55,0,1,72,200,586,0.5255972696245734,358,641,0.5585023400936038,73,156,574,0.4625435540069686,0.7
11,2018-12-29-20-oregon-state,33.3,7,0.0,0,112.7,51.9,14,0.35200000000000004,64,0.32799999999999996,21,0.297,19,0.737,14,7,200,83.1,22.0,9,23,59,,12.7,9,0.203,13,0.231,3,33.8,23,0.40399999999999997,11.1,9,51,0.353,18,0.462,6,"December 29, 2018",52.0,13,11.8,6,83.1,78.0,32,0.539,51,0.49,25,0.569,29,0.862,25,4,200,112.7,48.1,13,16,80,,7.0,5,0.373,19,0.263,5,66.2,45,0.618,21.1,17,32,0.625,20,0.667,8,"Gill Coliseum, Corvallis, Oregon",CENTRAL-CONNECTICUT-STATE,Central Connecticut,70.9,Home,OREGON-STATE,Oregon State,Oregon State,pac-12,11,True,False,True,Home,True,5,20,51,45,68,3,18,64,1,0,75,222,643,0.5202177293934681,387,704,0.5497159090909091,83,168,629,0.46502384737678853,0.6363636363636364
12,2019-01-05-20-oregon,65.4,17,11.9,5,96.0,75.0,30,0.569,51,0.51,26,0.41200000000000003,21,0.905,19,4,200,102.7,21.7,5,16,77,,5.3,4,0.373,19,0.316,6,55.6,35,0.631,23.0,18,32,0.625,20,0.6920000000000001,9,"January 5, 2019",42.3,11,6.3,2,102.7,78.3,18,0.442,69,0.377,26,0.23199999999999998,16,0.688,11,5,200,96.0,25.0,10,22,72,,14.7,11,0.391,27,0.33299999999999996,9,44.4,28,0.47,11.6,10,42,0.405,17,0.643,9,"Matthew Knight Arena, Eugene, Oregon",OREGON,Oregon,75.3,Away,OREGON-STATE,Oregon State,Oregon State,pac-12,12,False,False,False,Away,True,6,20,51,35,63,9,17,69,1,0,80,242,694,0.521613832853026,432,772,0.5595854922279793,86,186,693,0.45454545454545453,0.6666666666666666
13,2019-01-10-23-oregon-state,46.4,13,14.7,5,108.2,76.7,23,0.49200000000000005,66,0.424,28,0.19699999999999998,13,0.6920000000000001,9,7,225,101.4,17.1,6,19,74,,8.2,6,0.379,25,0.36,9,44.6,29,0.513,10.0,8,41,0.46299999999999997,19,0.562,9,"January 10, 2019",63.0,17,19.5,8,101.4,82.9,29,0.563,56,0.48200000000000004,27,0.41100000000000003,23,0.696,16,4,225,108.2,23.3,7,13,79,,4.1,3,0.39299999999999996,22,0.409,9,55.4,36,0.59,15.4,12,34,0.529,18,0.7140000000000001,10,"Gill Coliseum, Corvallis, Oregon",SOUTHERN-CALIFORNIA,USC,64.9,Home,OREGON-STATE,Oregon State,Oregon State,pac-12,13,True,False,True,Home,True,9,18,56,36,65,9,19,66,1,0,86,262,745,0.5248322147651007,467,835,0.5592814371257485,95,203,762,0.45341207349081364,0.6923076923076923
14,2019-01-13-22-oregon-state,50.0,12,8.3,3,102.6,86.7,26,0.444,63,0.381,24,0.33299999999999996,21,0.47600000000000003,10,7,200,85.7,25.7,9,20,66,,9.1,7,0.397,25,0.32,8,53.8,35,0.452,15.3,13,38,0.42100000000000004,16,0.588,10,"January 13, 2019",72.4,21,21.1,8,85.7,74.3,26,0.5329999999999999,61,0.475,29,0.295,18,0.778,14,4,200,102.6,13.3,4,16,79,,9.1,7,0.41,25,0.28,7,46.2,30,0.568,13.8,11,36,0.611,22,0.733,11,"Gill Coliseum, Corvallis, Oregon",UCLA,UCLA,76.8,Home,OREGON-STATE,Oregon State,Oregon State,pac-12,14,True,False,True,Home,True,7,22,61,30,65,8,16,63,1,0,95,280,801,0.5274656679151061,503,900,0.5588888888888889,104,222,828,0.45652173913043476,0.7142857142857143
15,2019-01-17-22-arizona-state,77.3,17,6.3,2,102.9,67.6,23,0.48200000000000004,56,0.39299999999999996,22,0.35700000000000004,20,0.65,13,5,200,98.5,15.6,5,19,67,,10.3,7,0.518,29,0.345,10,42.4,28,0.511,12.2,9,27,0.444,12,0.688,11,"January 17, 2019",60.0,15,7.4,2,98.5,84.4,27,0.526,57,0.439,25,0.386,22,0.455,10,5,200,102.9,32.4,11,21,70,,4.4,3,0.439,25,0.4,10,57.6,38,0.519,14.2,11,32,0.469,15,0.706,12,"Wells Fargo Arena, Tempe, Arizona",OREGON-STATE,Oregon State,68.5,Home,ARIZONA-STATE,Arizona State,Oregon State,pac-12,15,False,False,False,Away,False,10,12,56,28,66,10,15,57,0,1,102,302,862,0.5278422273781903,533,965,0.5523316062176166,112,238,891,0.4556677890011223,0.7333333333333333
16,2019-01-19-19-arizona,48.0,12,17.5,7,120.6,52.8,19,0.551,49,0.51,25,0.469,23,0.7390000000000001,17,6,199,104.4,30.8,8,22,71,,7.4,5,0.34700000000000003,17,0.235,4,43.5,27,0.5920000000000001,20.2,15,32,0.6559999999999999,21,0.647,11,"January 19, 2019",63.0,17,6.3,2,104.4,69.2,18,0.5,67,0.40299999999999997,27,0.284,19,0.789,15,5,199,120.6,47.2,17,19,82,,13.2,9,0.40299999999999997,27,0.48100000000000004,13,56.5,35,0.539,12.7,11,40,0.35,14,0.737,14,"McKale Center, Tucson, Arizona",OREGON-STATE,Oregon State,68.8,Home,ARIZONA,Arizona,Oregon State,pac-12,16,False,False,False,Away,False,4,21,49,27,62,13,14,67,0,1,112,314,918,0.5250544662309368,561,1031,0.5441319107662463,122,253,948,0.459915611814346,0.6875
17,2019-01-24-23-oregon-state,53.6,15,7.9,3,130.4,56.3,18,0.607,56,0.5,28,0.179,10,0.9,9,11,200,111.6,12.0,3,18,77,,8.7,6,0.5,28,0.429,12,36.8,21,0.634,16.6,12,28,0.5710000000000001,16,0.42100000000000004,8,"January 24, 2019",67.6,23,17.9,5,111.6,88.0,22,0.6,65,0.523,34,0.24600000000000002,16,0.75,12,6,200,130.4,43.8,14,12,90,,10.1,7,0.415,27,0.37,10,63.2,36,0.62,11.1,9,38,0.632,24,0.667,12,"Gill Coliseum, Corvallis, Oregon",WASHINGTON-STATE,Washington State,68.7,Home,OREGON-STATE,Oregon State,Oregon State,pac-12,17,True,False,True,Home,True,10,24,65,36,57,12,16,56,1,0,116,335,967,0.5263702171664943,588,1093,0.5379688929551693,135,267,1015,0.4625615763546798,0.6470588235294118
18,2019-01-26-16-oregon-state,53.6,15,12.9,4,104.5,62.1,18,0.6559999999999999,48,0.583,28,0.521,25,0.64,16,4,200,119.7,24.0,6,25,79,,15.2,10,0.396,19,0.368,7,44.4,24,0.66,16.9,12,29,0.7240000000000001,21,0.8,16,"January 26, 2019",59.1,13,6.9,2,119.7,76.0,19,0.51,50,0.44,22,0.52,26,0.6920000000000001,18,7,200,104.5,37.9,11,20,69,,7.6,5,0.38,19,0.368,7,55.6,30,0.5529999999999999,19.6,15,31,0.484,15,0.632,12,"Gill Coliseum, Corvallis, Oregon",OREGON-STATE,Oregon State,66.1,Away,WASHINGTON,Washington,Oregon State,pac-12,18,False,True,True,Home,False,7,15,50,30,54,7,21,48,0,1,126,359,1032,0.5310077519379846,624,1150,0.542608695652174,147,283,1071,0.47012138188608776,0.6666666666666666
19,2019-01-31-21-colorado,40.7,11,9.4,3,105.7,78.6,22,0.545,56,0.48200000000000004,27,0.446,25,0.6,15,7,200,108.6,20.7,6,18,76,,8.6,6,0.35700000000000004,20,0.35,7,49.1,28,0.56,11.8,9,36,0.556,20,0.65,13,"January 31, 2019",57.7,15,0.0,0,108.6,79.3,23,0.5579999999999999,52,0.5,26,0.5,26,0.615,16,9,200,105.7,21.4,6,20,74,,0.0,0,0.385,20,0.3,6,50.9,29,0.575,14.8,11,32,0.625,20,0.55,11,"Coors Events/Conference Center, Boulder, Colorado",COLORADO,Colorado,70.1,Away,OREGON-STATE,Oregon State,Oregon State,pac-12,19,False,False,False,Away,True,7,20,56,28,57,6,20,52,1,0,133,374,1082,0.5300369685767098,654,1204,0.5431893687707641,154,304,1119,0.47810545129579984,0.631578947368421
20,2019-02-02-17-utah,40.0,10,27.8,10,104.3,61.8,21,0.539,51,0.49,25,0.627,32,0.813,26,7,200,117.4,37.0,10,21,81,,11.6,8,0.314,16,0.313,5,50.8,31,0.612,16.6,13,35,0.5710000000000001,20,0.667,14,"February 2, 2019",40.0,10,2.9,1,117.4,63.0,17,0.483,58,0.431,25,0.431,25,0.64,16,10,200,104.3,38.2,13,23,72,,8.7,6,0.379,22,0.273,6,49.2,30,0.515,13.8,11,36,0.528,19,0.524,11,"Jon M. Huntsman Center, Salt Lake City, Utah",UTAH,Utah,68.5,Away,OREGON-STATE,Oregon State,Oregon State,pac-12,20,False,False,False,Away,True,5,20,51,31,61,6,19,58,1,0,140,394,1138,0.5307557117750439,682,1261,0.5408406026962728,160,324,1171,0.4816396242527754,0.65
21,2019-02-07-22-oregon-state,57.1,16,10.4,5,85.7,83.8,31,0.615,52,0.5379999999999999,28,0.423,22,0.8640000000000001,19,10,200,118.6,28.0,7,22,83,,5.7,4,0.28800000000000003,15,0.5329999999999999,8,61.3,38,0.665,17.4,13,37,0.541,20,0.545,12,"February 7, 2019",56.5,13,13.5,5,118.6,72.0,18,0.392,60,0.38299999999999995,23,0.317,19,0.684,13,8,200,85.7,16.2,6,22,60,,7.1,5,0.2,12,0.083,1,38.7,24,0.435,10.5,8,48,0.45799999999999996,22,0.636,14,"Gill Coliseum, Corvallis, Oregon",OREGON-STATE,Oregon State,69.7,Away,STANFORD,Stanford,Oregon State,pac-12,21,False,True,True,Home,False,1,22,60,24,62,8,20,52,0,1,145,414,1189,0.5311185870479395,713,1322,0.5393343419062028,166,343,1229,0.4816924328722539,0.6666666666666666
22,2019-02-09-17-oregon-state,46.4,13,17.2,5,114.5,72.7,16,0.535,57,0.491,28,0.21100000000000002,12,0.833,10,18,200,102.9,15.4,4,22,71,,17.4,12,0.281,16,0.313,5,41.7,20,0.5660000000000001,16.2,12,41,0.561,23,0.217,5,"February 9, 2019",44.0,11,9.8,4,102.9,84.6,22,0.609,46,0.5429999999999999,25,0.609,28,0.821,23,8,200,114.5,27.3,6,10,79,,11.6,8,0.37,17,0.353,6,58.3,28,0.6659999999999999,19.4,14,29,0.655,19,0.652,15,"Gill Coliseum, Corvallis, Oregon",CALIFORNIA,California,69.0,Home,OREGON-STATE,Oregon State,Oregon State,pac-12,22,True,False,True,Home,True,6,19,46,28,48,5,23,57,1,0,146,436,1249,0.5244195356285029,737,1384,0.5325144508670521,174,363,1281,0.48711943793911006,0.6363636363636364
23,2019-02-16-22-oregon-state,75.0,15,11.1,3,112.5,86.2,25,0.544,45,0.444,20,0.33299999999999996,15,0.5329999999999999,8,10,200,89.1,17.9,5,18,57,,6.3,4,0.511,23,0.391,9,52.6,30,0.547,22.5,15,22,0.5,11,0.6,15,"February 16, 2019",64.0,16,22.7,5,89.1,82.1,23,0.569,51,0.49,25,0.451,23,0.609,14,8,200,112.5,13.8,4,15,72,,7.8,5,0.47100000000000003,24,0.33299999999999996,8,47.4,27,0.581,11.6,8,27,0.63,17,0.667,16,"Gill Coliseum, Corvallis, Oregon",OREGON,Oregon,64.0,Home,OREGON-STATE,Oregon State,Oregon State,pac-12,23,True,False,True,Home,True,8,17,51,27,57,9,11,45,1,0,152,455,1295,0.5274131274131274,765,1432,0.534217877094972,179,386,1338,0.4891629297458894,0.6521739130434783
24,2019-02-21-23-ucla,70.0,21,16.2,6,101.5,75.0,27,0.5589999999999999,59,0.508,30,0.051,3,0.33299999999999996,1,9,200,100.0,17.9,5,18,67,,6.0,4,0.33899999999999997,20,0.3,6,50.0,32,0.5539999999999999,15.4,11,39,0.615,24,0.64,16,"February 21, 2019",59.1,13,5.1,2,100.0,82.1,23,0.48100000000000004,52,0.423,22,0.5379999999999999,28,0.643,18,13,200,101.5,25.0,9,8,68,,7.5,5,0.28800000000000003,15,0.4,6,50.0,32,0.521,14.6,11,37,0.43200000000000005,16,0.519,14,"Pauley Pavilion, Los Angeles, California",OREGON-STATE,Oregon State,66.9,Home,UCLA,UCLA,Oregon State,pac-12,24,False,False,False,Away,False,6,24,59,32,64,6,16,52,0,1,160,472,1346,0.5289747399702823,792,1489,0.5319006044325051,188,397,1383,0.4909616775126536,0.6666666666666666
25,2019-02-23-18-southern-california,65.2,15,8.8,3,93.9,73.5,25,0.473,55,0.418,23,0.345,19,0.789,15,9,200,101.5,28.1,9,14,67,,7.6,5,0.364,20,0.3,6,51.5,34,0.523,17.0,13,35,0.486,17,0.654,17,"February 23, 2019",51.9,14,11.4,4,101.5,71.9,23,0.508,61,0.44299999999999995,27,0.098,6,0.0,0,13,200,93.9,26.5,9,19,62,,9.1,6,0.44299999999999995,27,0.29600000000000004,8,48.5,32,0.486,13.6,10,34,0.5589999999999999,19,0.536,15,"Galen Center, Los Angeles, California",SOUTHERN-CALIFORNIA,USC,66.4,Away,OREGON-STATE,Oregon State,Oregon State,pac-12,25,False,False,False,Away,True,6,17,55,34,66,8,19,61,1,0,166,496,1405,0.5302491103202847,824,1553,0.5305859626529298,194,413,1435,0.4905923344947735,0.64
26,2019-02-28-21-oregon-state,37.0,10,4.0,1,112.5,91.7,22,0.574,54,0.5,27,0.278,15,0.8,12,12,200,115.6,42.1,8,24,74,,4.7,3,0.315,17,0.47100000000000003,8,69.8,30,0.605,17.7,13,37,0.514,19,0.586,17,"February 28, 2019",55.0,11,18.9,7,115.6,57.9,11,0.547,43,0.465,20,0.721,31,0.8059999999999999,25,10,200,112.5,8.3,2,18,72,,12.5,8,0.419,18,0.389,7,30.2,13,0.624,11.0,7,25,0.52,13,0.63,17,"Gill Coliseum, Corvallis, Oregon",OREGON-STATE,Oregon State,64.4,Away,ARIZONA,Arizona,Oregon State,pac-12,26,False,True,True,Home,False,7,13,43,13,43,8,19,54,0,1,172,513,1460,0.5280821917808219,858,1619,0.5299567634342186,202,432,1496,0.4913101604278075,0.6538461538461539
