,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CREIGHTON_homegame,CREIGHTON_homegame2,CREIGHTON_home,CREIGHTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-21-oklahoma,34.5,10,2.4,1,105.1,76.5,26,0.516,63,0.46,29,0.222,14,0.35700000000000004,5,4,200,88.6,14.7,5,21,70,,5.1,4,0.47600000000000003,30,0.233,7,45.6,31,0.503,19.7,17,33,0.667,22,0.636,7,"December 18, 2018",43.3,13,15.2,5,88.6,85.3,29,0.56,58,0.517,30,0.483,28,0.643,18,1,200,105.1,23.5,8,19,83,,2.5,2,0.293,17,0.294,5,54.4,37,0.5820000000000001,16.6,14,41,0.61,25,0.909,10,"Lloyd Noble Center, Norman, Oklahoma",CREIGHTON,Creighton,79.5,Home,OKLAHOMA,Oklahoma,Creighton,big-east,10,False,False,False,Away,False,7,22,63,31,68,5,25,58,0,1,117,184,590,0.6093220338983051,313,638,0.49059561128526646,78,203,606,0.528052805280528,0.7
11,2018-12-20-20-creighton,85.7,18,10.7,3,150.7,56.0,14,0.527,55,0.382,21,0.055,3,0.667,2,0,200,82.2,0.0,0,8,60,,8.2,6,0.655,36,0.444,16,23.7,14,0.532,22.1,16,19,0.263,5,0.0,0,"December 20, 2018",69.0,29,15.8,3,82.2,100.0,34,0.815,65,0.6459999999999999,42,0.12300000000000001,8,0.5,4,4,200,150.7,44.0,11,6,110,,11.0,8,0.569,37,0.595,22,76.3,45,0.799,18.0,15,28,0.7140000000000001,20,0.667,8,"CenturyLink Center, Omaha, Nebraska","Coe
			","Coe
			",72.6,Home,CREIGHTON,Creighton,Creighton,big-east,11,True,False,True,Home,True,22,20,65,45,59,16,5,55,1,0,124,206,653,0.6003062787136294,344,706,0.48725212464589235,83,228,664,0.5308734939759037,0.6363636363636364
12,2018-12-27-20-creighton,40.9,9,2.9,1,127.1,60.0,12,0.45299999999999996,53,0.415,22,0.18899999999999997,10,0.5,5,10,200,75.7,10.0,3,15,53,,11.4,8,0.358,19,0.21100000000000002,4,30.0,15,0.45899999999999996,19.6,14,34,0.529,18,0.33299999999999996,5,"December 27, 2018",61.8,21,11.8,4,75.7,90.0,27,0.7090000000000001,55,0.618,34,0.255,14,0.7859999999999999,11,4,200,127.1,40.0,8,12,89,,11.4,8,0.364,20,0.5,10,70.0,35,0.722,22.7,18,35,0.6859999999999999,24,0.6920000000000001,9,"CenturyLink Center, Omaha, Nebraska",MISSOURI-KANSAS-CITY,UMKC,70.2,Home,CREIGHTON,Creighton,Creighton,big-east,12,True,False,True,Home,True,10,24,55,35,50,4,18,53,1,0,146,226,718,0.6197771587743732,389,765,0.5084967320261438,99,233,719,0.5305980528511822,0.6666666666666666
13,2018-12-31-16-providence,56.0,14,7.9,3,98.6,73.7,28,0.563,56,0.446,25,0.33899999999999997,19,0.8420000000000001,16,4,200,114.5,23.3,7,18,79,,5.8,4,0.518,29,0.44799999999999995,13,51.5,35,0.607,14.6,11,27,0.444,12,0.7140000000000001,10,"December 31, 2018",50.0,12,22.2,6,114.5,76.7,23,0.466,59,0.40700000000000003,24,0.33899999999999997,20,0.65,13,4,200,98.6,26.3,10,17,68,,5.8,4,0.35600000000000004,21,0.33299999999999996,7,48.5,33,0.496,12.9,10,38,0.447,17,0.7140000000000001,10,"Dunkin' Donuts Center, Providence, Rhode Island",PROVIDENCE,Providence,68.8,Away,CREIGHTON,Creighton,Creighton,big-east,13,False,False,False,Away,True,13,12,56,35,68,7,17,59,1,0,156,250,773,0.6261319534282018,424,815,0.5202453987730061,103,251,772,0.5252590673575129,0.6923076923076923
14,2019-01-05-12-butler,52.2,12,6.5,2,120.0,78.1,25,0.52,51,0.451,23,0.47100000000000003,24,0.667,16,5,200,98.6,25.8,8,19,69,,7.1,5,0.529,27,0.259,7,52.4,33,0.5529999999999999,18.5,14,24,0.667,16,0.667,10,"January 5, 2019",45.2,14,12.5,3,98.6,74.2,23,0.598,61,0.508,31,0.27899999999999997,17,0.647,11,5,200,120.0,21.9,7,23,84,,17.1,12,0.49200000000000005,30,0.36700000000000005,11,47.6,30,0.608,11.6,9,31,0.645,20,0.667,10,"Hinkle Fieldhouse, Indianapolis, Indiana",CREIGHTON,Creighton,69.7,Home,BUTLER,Butler,Creighton,big-east,14,False,False,False,Away,False,7,16,51,33,63,11,20,61,0,1,169,262,829,0.6218335343787696,459,883,0.5198187995469988,110,268,831,0.5210589651022864,0.7142857142857143
15,2019-01-09-19-creighton,36.4,12,18.8,6,128.4,87.9,29,0.695,59,0.5589999999999999,33,0.508,30,0.8,24,3,225,130.9,29.6,8,18,106,21.0,2.5,2,0.475,28,0.5710000000000001,16,61.7,37,0.7240000000000001,16.2,14,31,0.5479999999999999,17,0.812,13,"January 9, 2019",45.5,15,3.2,1,130.9,70.4,19,0.638,65,0.508,33,0.4,26,0.8079999999999999,21,6,225,128.4,12.1,4,24,104,,6.2,5,0.508,33,0.515,17,38.3,23,0.672,10.5,9,32,0.5,16,0.625,10,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,71.8,Away,MARQUETTE,Marquette,Creighton,big-east,15,False,True,True,Home,False,17,16,65,23,60,16,17,59,0,1,176,278,880,0.615909090909091,492,946,0.5200845665961945,121,288,892,0.5263452914798207,0.6666666666666666
16,2019-01-13-12-creighton,64.5,20,7.4,2,108.3,81.3,26,0.638,58,0.534,31,0.32799999999999996,19,0.8420000000000001,16,4,200,125.0,19.2,5,13,90,,11.1,8,0.466,27,0.444,12,53.4,31,0.6709999999999999,11.9,9,31,0.613,19,0.765,13,"January 13, 2019",82.1,23,6.5,2,125.0,80.8,21,0.565,62,0.452,28,0.145,9,0.889,8,7,200,108.3,18.8,6,20,78,,9.7,7,0.565,35,0.4,14,46.6,27,0.588,15.4,12,27,0.519,14,0.588,10,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,71.7,Away,VILLANOVA,Villanova,Creighton,big-east,16,False,True,True,Home,False,14,14,62,27,58,12,19,58,0,1,193,294,945,0.6174603174603175,515,1006,0.5119284294234593,137,305,951,0.5368033648790747,0.625
17,2019-01-16-18-st-johns-ny,73.1,19,8.2,4,115.7,68.8,22,0.525,60,0.433,26,0.067,4,0.75,3,8,200,94.3,20.6,7,21,66,,7.1,5,0.583,35,0.314,11,43.9,29,0.5329999999999999,17.4,13,25,0.6,15,0.556,10,"January 16, 2019",41.9,13,4.0,1,94.3,79.4,27,0.531,65,0.47700000000000004,31,0.27699999999999997,18,0.667,12,3,200,115.7,31.3,10,13,81,,8.6,6,0.24600000000000002,16,0.43799999999999994,7,56.1,37,0.551,11.0,9,49,0.49,24,0.833,15,"Carnesecca Arena, Jamaica, New York",CREIGHTON,Creighton,70.2,Home,ST-JOHNS-NY,St. John's (NY),Creighton,big-east,17,False,False,False,Away,False,11,15,60,29,66,7,24,65,0,1,207,308,1007,0.6142005958291956,542,1064,0.5093984962406015,149,324,1009,0.5426164519326065,0.5882352941176471
18,2019-01-21-20-georgetown,56.7,17,7.9,3,114.5,82.4,28,0.579,63,0.47600000000000003,30,0.381,24,0.75,18,8,200,119.7,15.6,5,17,91,,9.2,7,0.46,29,0.44799999999999995,13,50.0,33,0.612,8.7,7,34,0.5,17,0.579,11,"January 21, 2019",71.9,23,8.8,3,119.7,84.4,27,0.585,65,0.49200000000000005,32,0.24600000000000002,16,0.688,11,7,200,114.5,17.6,6,16,87,,5.3,4,0.415,27,0.444,12,50.0,33,0.599,10.0,8,38,0.526,20,0.632,12,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,75.5,Away,CREIGHTON,Creighton,Creighton,big-east,18,False,False,False,Away,True,13,17,63,33,66,12,20,65,1,0,218,323,1067,0.6091846298031866,571,1130,0.5053097345132743,156,348,1074,0.5418994413407822,0.5555555555555556
19,2019-01-25-20-creighton,52.2,12,6.5,2,101.4,82.8,24,0.44,58,0.397,23,0.259,15,0.667,10,9,200,82.4,10.8,4,20,61,,10.8,8,0.379,22,0.22699999999999998,5,42.4,28,0.46799999999999997,15.7,12,36,0.5,18,0.5710000000000001,12,"January 25, 2019",66.7,18,5.6,2,82.4,89.2,33,0.565,54,0.5,27,0.33299999999999996,18,0.778,14,8,200,101.4,17.2,5,17,75,,8.1,6,0.426,23,0.304,7,57.6,38,0.6,22.5,18,31,0.645,20,0.6,12,"CenturyLink Center, Omaha, Nebraska",BUTLER,Butler,74.3,Home,CREIGHTON,Creighton,Creighton,big-east,19,True,False,True,Home,True,7,20,54,38,66,5,18,58,1,0,231,340,1130,0.6075221238938053,604,1196,0.5050167224080268,168,368,1139,0.5443371378402108,0.5789473684210527
20,2019-01-30-20-creighton,54.5,18,3.8,1,91.8,82.1,32,0.693,57,0.579,33,0.07,4,1.0,4,5,200,113.7,13.6,3,21,83,,15.1,11,0.544,31,0.419,13,57.4,35,0.705,22.4,17,26,0.769,20,0.762,16,"January 30, 2019",80.0,20,0.0,0,113.7,86.4,19,0.49200000000000005,60,0.41700000000000004,25,0.25,15,0.5329999999999999,8,9,200,91.8,17.9,7,8,67,,9.6,7,0.5670000000000001,34,0.265,9,42.6,26,0.499,16.3,13,26,0.615,16,0.5710000000000001,12,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,73.0,Away,ST-JOHNS-NY,St. John's (NY),Creighton,big-east,20,False,True,True,Home,False,9,16,60,26,61,13,20,57,0,1,238,360,1184,0.6055743243243243,642,1262,0.508716323296355,173,386,1197,0.539264828738513,0.6
21,2019-02-03-13-creighton,90.5,19,9.1,3,120.6,77.8,14,0.5,49,0.429,21,0.14300000000000002,7,0.7140000000000001,5,12,200,85.7,30.4,7,15,54,,7.9,5,0.49,24,0.292,7,51.2,21,0.516,25.7,18,25,0.56,14,0.478,11,"February 3, 2019",50.0,14,16.0,4,85.7,69.6,16,0.6559999999999999,48,0.583,28,0.271,13,1.0,13,9,200,120.6,22.2,4,15,76,,11.1,7,0.313,15,0.467,7,48.8,20,0.701,18.3,12,33,0.636,21,0.591,13,"CenturyLink Center, Omaha, Nebraska",XAVIER,Xavier,62.8,Home,CREIGHTON,Creighton,Creighton,big-east,21,True,False,True,Home,True,7,21,48,20,41,7,14,49,1,0,247,376,1244,0.60008038585209,668,1323,0.5049130763416477,186,406,1254,0.5462519936204147,0.5714285714285714
22,2019-02-06-20-villanova,33.3,8,9.1,2,106.5,67.6,23,0.5,53,0.45299999999999996,24,0.17,9,0.667,6,10,225,95.2,23.1,6,21,59,,3.2,2,0.321,17,0.294,5,48.3,29,0.515,16.2,11,36,0.528,19,0.565,13,"February 6, 2019",66.7,14,11.1,4,95.2,76.9,20,0.46399999999999997,56,0.375,21,0.39299999999999996,22,0.636,14,4,225,106.5,32.4,11,12,66,14.0,8.1,5,0.607,34,0.294,10,51.7,31,0.49700000000000005,8.4,6,22,0.5,11,0.826,19,"Finneran Pavilion, Villanova, Pennsylvania",CREIGHTON,Creighton,55.0,Home,VILLANOVA,Villanova,Creighton,big-east,22,False,False,False,Away,False,5,19,53,29,60,10,11,56,0,1,254,397,1292,0.6021671826625387,688,1364,0.5043988269794721,193,420,1303,0.544512663085188,0.5909090909090909
23,2019-02-09-20-seton-hall,70.0,14,5.7,2,87.5,72.5,29,0.364,66,0.303,20,0.19699999999999998,13,0.769,10,11,200,80.6,29.3,12,17,58,,11.1,8,0.424,28,0.28600000000000003,8,50.6,41,0.402,15.3,13,38,0.316,12,0.542,13,"February 9, 2019",55.0,11,10.5,4,80.6,70.7,29,0.392,60,0.33299999999999996,20,0.33299999999999996,20,0.8,16,9,200,87.5,27.5,11,17,63,,9.7,7,0.41700000000000004,25,0.28,7,49.4,40,0.45299999999999996,14.9,12,35,0.371,13,0.609,14,"Prudential Center, Newark, New Jersey",CREIGHTON,Creighton,71.8,Home,SETON-HALL,Seton Hall,Creighton,big-east,23,False,False,False,Away,False,8,12,66,41,81,7,13,60,0,1,259,416,1345,0.5981412639405205,717,1424,0.5035112359550562,203,431,1359,0.5412067696835908,0.5652173913043478
24,2019-02-13-20-xavier,65.2,15,18.4,7,90.1,75.0,30,0.43,64,0.359,23,0.156,10,0.6,6,12,225,85.9,26.2,11,13,61,,16.9,12,0.45299999999999996,29,0.31,9,50.0,41,0.444,14.9,12,35,0.4,14,0.52,13,"February 13, 2019",69.2,18,25.7,9,85.9,73.8,31,0.469,64,0.406,26,0.125,8,0.5,4,13,225,90.1,25.0,10,16,64,,9.9,7,0.406,26,0.308,8,50.0,41,0.47200000000000003,18.2,15,38,0.474,18,0.48,12,"Cintas Center, Cincinnati, Ohio",CREIGHTON,Creighton,63.4,Home,XAVIER,Xavier,Creighton,big-east,24,False,False,False,Away,False,9,14,64,41,82,8,18,64,0,1,267,428,1411,0.5871722182849043,758,1505,0.5036544850498339,210,444,1419,0.5348837209302325,0.5416666666666666
25,2019-02-17-15-creighton,50.0,15,9.7,3,104.2,75.8,25,0.59,61,0.49200000000000005,30,0.23,14,0.643,9,9,200,112.5,26.7,8,17,81,,13.9,10,0.44299999999999995,27,0.444,12,52.4,33,0.599,15.2,12,34,0.529,18,0.64,16,"February 17, 2019",48.0,12,17.6,6,112.5,73.3,22,0.508,59,0.424,25,0.33899999999999997,20,0.75,15,13,200,104.2,24.2,8,14,75,,9.7,7,0.475,28,0.35700000000000004,10,47.6,30,0.547,15.0,12,31,0.484,15,0.5,13,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,72.1,Away,SETON-HALL,Seton Hall,Creighton,big-east,25,False,True,True,Home,False,10,15,59,30,63,12,18,61,0,1,276,442,1475,0.5803389830508474,799,1587,0.5034656584751103,218,462,1483,0.5320296695886716,0.52
26,2019-02-20-21-depaul,42.9,12,0.0,0,95.7,76.5,26,0.613,53,0.528,28,0.302,16,0.875,14,13,200,112.9,12.0,3,19,79,,8.6,6,0.491,26,0.34600000000000003,9,49.2,29,0.652,17.8,13,27,0.7040000000000001,19,0.519,14,"February 20, 2019",48.0,12,7.4,2,112.9,88.0,22,0.534,58,0.431,25,0.22399999999999998,13,0.385,5,12,200,95.7,23.5,8,19,67,,2.9,2,0.44799999999999995,26,0.462,12,50.8,30,0.522,18.0,14,32,0.406,13,0.52,13,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,70.4,Away,CREIGHTON,Creighton,Creighton,big-east,26,False,False,False,Away,True,9,19,53,29,59,12,13,58,1,0,286,457,1534,0.5775749674054759,829,1650,0.5024242424242424,230,480,1544,0.5343264248704663,0.5
27,2019-02-23-14-creighton,73.1,19,9.1,2,113.9,81.5,22,0.508,60,0.433,26,0.183,11,0.727,8,11,200,95.8,18.2,6,18,69,,8.3,6,0.467,28,0.321,9,46.7,28,0.529,17.8,14,32,0.531,17,0.593,16,"February 23, 2019",69.0,20,6.3,2,95.8,81.8,27,0.643,56,0.518,29,0.25,14,0.7140000000000001,10,13,200,113.9,18.5,5,11,82,,6.9,5,0.607,34,0.41200000000000003,14,53.3,32,0.654,17.3,13,22,0.682,15,0.536,15,"CenturyLink Center, Omaha, Nebraska",GEORGETOWN,Georgetown,71.9,Home,CREIGHTON,Creighton,Creighton,big-east,27,True,False,True,Home,True,14,15,56,32,60,9,17,60,1,0,295,476,1587,0.5787649653434153,858,1709,0.5020479812755998,242,493,1602,0.5343320848938826,0.5185185185185185
