,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CALIFORNIA-BAPTIST_homegame,CALIFORNIA-BAPTIST_homegame2,CALIFORNIA-BAPTIST_home,CALIFORNIA-BAPTIST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-17-20-southeastern-louisiana,28.0,7,9.1,3,76.5,79.4,27,0.63,46,0.5429999999999999,25,0.391,18,0.833,15,5,200,107.4,23.8,5,20,73,,4.4,3,0.435,20,0.4,8,58.2,32,0.669,24.0,17,26,0.654,17,0.545,6,"December 17, 2018",63.2,12,11.5,3,107.4,76.2,16,0.431,51,0.373,19,0.353,18,0.444,8,6,200,76.5,20.6,7,15,52,,13.2,9,0.353,18,0.33299999999999996,6,41.8,23,0.43700000000000006,21.4,16,33,0.39399999999999996,13,0.4,4,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,67.6,Away,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac,10,False,False,False,Away,True,8,17,46,32,55,6,13,51,1,0,103,181,639,0.525039123630673,355,682,0.5205278592375366,57,193,582,0.47852233676975947,0.5
11,2018-12-19-15-southern,35.7,10,2.9,1,105.6,76.9,20,0.6629999999999999,46,0.609,28,0.5,23,0.7829999999999999,18,5,200,109.7,25.0,4,23,79,,4.2,3,0.217,10,0.5,5,57.1,24,0.6940000000000001,24.3,18,36,0.639,23,0.583,7,"December 19, 2018",42.3,11,2.8,1,109.7,75.0,12,0.5579999999999999,52,0.5,26,0.442,23,0.7829999999999999,18,11,200,105.6,23.1,6,22,76,,6.9,5,0.34600000000000003,18,0.33299999999999996,6,42.9,18,0.604,20.5,16,34,0.588,20,0.083,1,"F. G. Clark Activity Center, Baton Rouge, Louisiana",SOUTHERN,Southern,71.9,Away,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac,11,False,False,False,Away,True,5,23,46,24,42,6,20,52,1,0,111,198,685,0.5321167883211679,387,737,0.5251017639077341,63,206,633,0.47472353870458134,0.5454545454545454
12,2018-12-29-22-california-baptist,66.7,10,2.5,1,122.8,72.7,24,0.33299999999999996,60,0.25,15,0.15,9,0.667,6,0,200,58.2,9.8,4,16,46,,3.8,3,0.517,31,0.32299999999999995,10,37.8,28,0.358,22.9,19,29,0.172,5,0.0,0,"December 29, 2018",36.1,13,24.1,7,58.2,90.2,37,0.568,74,0.486,36,0.203,15,0.867,13,5,200,122.8,27.3,9,12,97,,11.4,9,0.45899999999999996,34,0.353,12,62.2,46,0.598,6.9,6,40,0.6,24,0.615,8,"CBU Events Center, Riverside, California","La Verne
			","La Verne
			",78.7,Home,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac,12,True,False,True,Home,True,12,24,74,46,74,10,5,60,1,0,116,221,731,0.5403556771545828,411,779,0.527599486521181,69,226,685,0.481021897810219,0.5833333333333334
13,2019-01-03-22-california-baptist,47.8,11,4.3,1,112.3,76.9,20,0.358,74,0.311,23,0.419,31,0.742,23,4,200,104.1,47.8,22,25,76,,8.2,6,0.35100000000000003,26,0.26899999999999996,7,58.3,42,0.428,8.4,8,48,0.33299999999999996,16,0.733,11,"January 3, 2019",27.3,6,6.3,3,104.1,52.2,24,0.556,45,0.489,22,0.8,36,0.889,32,5,200,112.3,23.1,6,28,82,,5.5,4,0.489,22,0.273,6,41.7,30,0.66,20.8,16,23,0.696,16,0.643,9,"CBU Events Center, Riverside, California",NEW-MEXICO-STATE,New Mexico State,73.4,Home,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac,13,True,False,True,Home,True,6,16,45,30,72,7,16,74,1,0,128,245,805,0.5428571428571428,457,853,0.5357561547479485,79,231,745,0.4691275167785235,0.6153846153846154
14,2019-01-05-22-california-baptist,29.6,8,3.1,1,96.1,73.7,28,0.5,57,0.474,27,0.614,35,0.6859999999999999,24,8,200,105.2,18.2,6,24,81,,11.7,9,0.12300000000000001,7,0.429,3,47.9,34,0.55,12.1,10,50,0.48,24,0.529,9,"January 5, 2019",41.7,10,12.0,6,105.2,81.8,27,0.474,58,0.414,24,0.431,25,0.76,19,6,200,96.1,26.3,10,27,74,,2.6,2,0.44799999999999995,26,0.26899999999999996,7,52.1,37,0.53,19.8,17,32,0.531,17,0.6,9,"CBU Events Center, Riverside, California",CALIFORNIA-BAPTIST,California Baptist,77.3,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,California Baptist,wac,14,False,True,True,Home,False,7,17,58,37,71,3,24,57,0,1,134,261,850,0.5435294117647059,487,925,0.5264864864864864,86,247,819,0.4590964590964591,0.6428571428571429
15,2019-01-10-19-missouri-kansas-city,34.8,8,6.1,2,113.5,86.7,26,0.5,52,0.442,23,0.423,22,0.727,16,7,200,91.9,25.0,8,20,68,,4.1,3,0.442,23,0.261,6,54.8,34,0.544,22.6,18,29,0.586,17,0.562,9,"January 10, 2019",32.1,9,3.4,1,91.9,75.0,24,0.604,53,0.528,28,0.547,29,0.69,20,10,200,113.5,13.3,4,23,84,,14.9,11,0.377,20,0.4,8,45.2,28,0.629,15.4,12,33,0.606,20,0.41200000000000003,7,"Swinney Recreation Center, Kansas City, Missouri",CALIFORNIA-BAPTIST,California Baptist,73.6,Home,MISSOURI-KANSAS-CITY,UMKC,California Baptist,wac,15,False,False,False,Away,False,6,17,52,34,62,8,20,53,0,1,141,278,908,0.5390969162995595,524,996,0.5261044176706827,89,271,876,0.4617579908675799,0.6
16,2019-01-12-15-chicago-state,44.8,13,11.7,7,98.7,76.5,26,0.531,65,0.446,29,0.138,9,0.889,8,7,200,101.3,25.0,8,12,77,,5.3,4,0.49200000000000005,32,0.344,11,51.5,34,0.556,17.9,15,33,0.545,18,0.588,10,"January 12, 2019",41.2,14,15.2,5,101.3,75.0,24,0.514,70,0.486,34,0.071,5,0.6,3,14,200,98.7,23.5,8,11,75,,6.6,5,0.14300000000000002,10,0.4,4,48.5,32,0.518,13.2,11,60,0.5,30,0.17600000000000002,3,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",CHICAGO-STATE,Chicago State,75.8,Away,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac,16,False,False,False,Away,True,11,18,65,34,66,4,30,70,1,0,147,295,960,0.5369791666666667,558,1058,0.5274102079395085,97,291,929,0.4698600645855759,0.5625
17,2019-01-24-22-california-baptist,45.7,16,10.3,3,107.7,73.3,22,0.494,77,0.455,35,0.20800000000000002,16,0.75,12,6,200,112.8,47.2,17,16,88,,14.1,11,0.247,19,0.316,6,59.1,39,0.52,12.5,12,58,0.5,29,0.7,14,"January 24, 2019",36.7,11,5.2,3,112.8,52.8,19,0.5820000000000001,61,0.49200000000000005,30,0.262,16,0.813,13,8,200,107.7,26.7,8,16,84,,9.0,7,0.525,32,0.344,11,40.9,27,0.612,18.1,15,29,0.655,19,0.556,10,"CBU Events Center, Riverside, California",CALIFORNIA-BAPTIST,California Baptist,77.6,Away,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,California Baptist,wac,17,False,True,True,Home,False,11,19,61,27,66,6,29,77,0,1,158,313,1025,0.5365853658536586,592,1124,0.5266903914590747,101,321,999,0.47297297297297297,0.5882352941176471
18,2019-01-26-22-california-baptist,35.3,12,3.4,1,105.8,72.7,16,0.568,66,0.515,34,0.33299999999999996,22,0.682,15,7,200,130.4,38.7,12,21,90,,14.5,10,0.348,23,0.304,7,52.8,28,0.589,7.3,6,43,0.628,27,0.65,13,"January 26, 2019",56.0,14,7.0,3,130.4,61.3,19,0.622,49,0.51,25,0.34700000000000003,17,0.706,12,9,200,105.8,27.3,6,20,73,,1.4,1,0.408,20,0.55,11,47.2,25,0.64,22.1,16,29,0.483,14,0.526,10,"CBU Events Center, Riverside, California",CALIFORNIA-BAPTIST,California Baptist,68.8,Away,GRAND-CANYON,Grand Canyon,California Baptist,wac,18,False,True,True,Home,False,11,14,49,25,53,7,27,66,0,1,169,332,1086,0.5391344383057091,619,1190,0.5201680672268908,107,350,1076,0.47444237918215615,0.5555555555555556
19,2019-01-30-21-utah-valley,69.6,16,9.1,3,111.3,81.5,22,0.491,55,0.418,23,0.273,15,0.5329999999999999,8,10,200,87.3,18.8,6,20,62,,9.9,7,0.364,20,0.4,8,47.5,28,0.499,19.6,15,35,0.429,15,0.5,10,"January 30, 2019",46.2,12,2.9,1,87.3,81.3,26,0.555,55,0.473,26,0.436,24,0.75,18,7,200,111.3,18.5,5,16,79,,14.1,10,0.4,22,0.409,9,52.5,31,0.595,12.1,9,33,0.515,17,0.696,16,"UCCU Center, Orem, Utah",CALIFORNIA-BAPTIST,California Baptist,70.8,Home,UTAH-VALLEY,Utah Valley,California Baptist,wac,19,False,False,False,Away,False,8,15,55,28,59,9,17,55,0,1,180,346,1135,0.5427312775330396,644,1243,0.5181013676588898,114,377,1142,0.4798598949211909,0.5263157894736842
20,2019-02-02-22-seattle,25.9,7,7.9,3,101.6,67.7,21,0.508,60,0.45,27,0.25,15,0.9329999999999999,14,10,200,119.0,25.8,8,18,75,,11.1,7,0.317,19,0.368,7,46.8,29,0.5589999999999999,5.7,4,41,0.488,20,0.524,11,"February 2, 2019",47.8,11,12.2,5,119.0,74.2,23,0.491,55,0.418,23,0.29100000000000004,16,0.625,10,10,200,101.6,32.3,10,15,64,,1.6,1,0.309,17,0.47100000000000003,8,53.2,33,0.511,13.9,10,38,0.395,15,0.565,13,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,62.9,Away,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac,20,False,False,False,Away,True,7,20,60,29,62,8,15,55,1,0,188,361,1190,0.5403361344537815,672,1302,0.5161290322580645,123,394,1197,0.48329156223893066,0.5
21,2019-02-07-22-california-baptist,50.0,6,16.0,4,140.3,62.1,18,0.3,50,0.24,12,0.42,21,0.667,14,21,200,65.7,15.0,6,19,44,,3.0,2,0.34,17,0.353,6,34.8,24,0.36700000000000005,16.8,12,33,0.182,6,0.125,3,"February 7, 2019",65.5,19,6.1,2,65.7,85.0,34,0.623,61,0.475,29,0.344,21,0.857,18,10,200,140.3,37.9,11,22,94,,3.0,2,0.59,36,0.5,18,65.2,45,0.662,10.2,8,25,0.44,11,0.545,12,"CBU Events Center, Riverside, California",CHICAGO-STATE,Chicago State,67.0,Home,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac,21,True,False,True,Home,True,18,11,61,45,69,6,6,50,1,0,195,381,1250,0.5388,701,1364,0.5139296187683284,131,409,1252,0.4836261980830671,0.5238095238095238
22,2019-02-09-22-california-baptist,36.4,8,8.3,3,112.9,74.2,23,0.51,51,0.431,22,0.21600000000000003,11,0.727,8,16,200,96.8,16.1,5,18,60,,1.6,1,0.392,20,0.4,8,45.2,28,0.534,16.5,11,31,0.452,14,0.33299999999999996,8,"February 9, 2019",33.3,9,19.4,6,96.8,83.9,26,0.5,60,0.45,27,0.2,12,0.833,10,10,200,112.9,25.8,8,17,70,,4.8,3,0.4,24,0.25,6,54.8,34,0.5329999999999999,7.1,5,36,0.583,21,0.565,13,"CBU Events Center, Riverside, California",MISSOURI-KANSAS-CITY,UMKC,62.5,Home,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac,22,True,False,True,Home,True,6,21,60,34,62,8,14,51,1,0,213,392,1311,0.5427154843630816,746,1433,0.520586182833217,137,415,1302,0.47657450076804914,0.5454545454545454
23,2019-02-12-22-california-baptist,50.0,13,2.1,1,138.6,55.6,20,0.5,63,0.413,26,0.048,3,0.667,2,0,200,78.3,8.3,3,19,65,,4.8,4,0.603,38,0.289,11,31.9,23,0.504,25.5,22,25,0.6,15,0.0,0,"February 12, 2019",40.9,18,0.0,0,78.3,91.7,33,0.638,80,0.55,44,0.2,16,0.813,13,10,200,138.6,44.4,16,11,115,,13.3,11,0.413,33,0.424,14,68.1,49,0.6559999999999999,11.2,11,47,0.638,30,0.583,14,"CBU Events Center, Riverside, California","Bethesda University (CA)
			","Bethesda University (CA)
			",83.0,Home,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac,23,True,False,True,Home,True,14,30,80,49,72,11,15,63,1,0,219,413,1371,0.5408460977388767,780,1495,0.5217391304347826,145,429,1353,0.4778270509977827,0.5652173913043478
24,2019-02-21-21-grand-canyon,26.1,6,3.3,1,124.7,76.7,23,0.41100000000000003,62,0.371,23,0.129,8,0.875,7,11,200,79.5,23.1,9,15,58,,4.1,3,0.419,26,0.192,5,46.4,32,0.441,20.6,17,36,0.5,18,0.56,14,"February 21, 2019",70.0,21,13.9,5,79.5,76.9,30,0.619,59,0.508,30,0.33899999999999997,20,0.9,18,10,200,124.7,23.3,7,15,91,,11.0,8,0.49200000000000005,29,0.44799999999999995,13,53.6,37,0.664,12.9,10,30,0.5670000000000001,17,0.615,16,"Grand Canyon University Arena, Phoenix, Arizona",CALIFORNIA-BAPTIST,California Baptist,72.7,Home,GRAND-CANYON,Grand Canyon,California Baptist,wac,24,False,False,False,Away,False,5,18,62,32,69,13,17,59,0,1,233,443,1451,0.5461750516884907,829,1567,0.5290363752393108,156,444,1416,0.4788135593220339,0.5833333333333334
25,2019-02-23-22-cal-state-bakersfield,52.0,13,3.2,1,101.8,62.1,18,0.5870000000000001,52,0.48100000000000004,25,0.25,13,0.846,11,11,200,126.3,37.5,9,15,72,,7.0,4,0.48100000000000004,25,0.44,11,50.9,27,0.619,12.2,8,27,0.519,14,0.5770000000000001,15,"February 23, 2019",22.7,5,3.7,1,126.3,62.5,15,0.491,53,0.415,22,0.245,13,0.462,6,11,200,101.8,37.9,11,13,58,,8.8,5,0.415,22,0.364,8,49.1,26,0.49,13.3,9,31,0.452,14,0.593,16,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,57.2,Away,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac,25,False,False,False,Away,True,11,14,52,27,53,8,14,53,1,0,238,461,1513,0.5406477197620622,861,1636,0.5262836185819071,169,461,1475,0.484406779661017,0.56
26,2019-02-28-22-california-baptist,37.0,10,9.1,3,98.5,73.0,27,0.508,61,0.44299999999999995,27,0.115,7,0.7140000000000001,5,13,200,101.5,31.3,10,20,67,,4.5,3,0.361,22,0.364,8,53.6,37,0.521,16.9,13,39,0.48700000000000004,19,0.552,16,"February 28, 2019",35.3,6,10.3,4,101.5,68.8,22,0.377,53,0.321,17,0.604,32,0.7809999999999999,25,12,200,98.5,27.0,10,13,65,,12.1,8,0.377,20,0.3,6,46.4,32,0.47700000000000004,9.4,7,33,0.33299999999999996,11,0.556,15,"CBU Events Center, Riverside, California",CALIFORNIA-BAPTIST,California Baptist,66.3,Away,SEATTLE,Seattle,California Baptist,wac,26,False,True,True,Home,False,6,11,53,32,69,8,19,61,0,1,249,475,1565,0.5421725239616614,888,1689,0.5257548845470693,177,475,1528,0.48462041884816753,0.5769230769230769
