,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PRESBYTERIAN_homegame,PRESBYTERIAN_homegame2,PRESBYTERIAN_home,PRESBYTERIAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-college-of-charleston,42.3,11,2.1,1,121.4,47.6,20,0.49200000000000005,60,0.433,26,0.233,14,1.0,14,1,200,104.3,19.4,6,18,73,,1.4,1,0.45,27,0.259,7,35.6,26,0.5479999999999999,14.3,11,33,0.5760000000000001,19,0.0,0,"November 6, 2018",34.5,10,15.2,5,104.3,80.6,25,0.457,70,0.414,29,0.371,26,0.8079999999999999,21,0,200,121.4,52.4,22,14,85,,8.6,6,0.32899999999999996,23,0.261,6,64.4,47,0.516,8.9,8,47,0.489,23,1.0,1,"TD Arena, Charleston, South Carolina",PRESBYTERIAN,Presbyterian,70.0,Home,COLLEGE-OF-CHARLESTON,College of Charleston,Presbyterian,big-south,0,False,False,False,Away,False,7,19,60,26,73,6,23,70,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-19-tennessee-tech,62.5,20,2.9,1,90.3,75.8,25,0.569,65,0.49200000000000005,32,0.138,9,0.667,6,1,200,111.1,32.1,9,24,80,,12.5,9,0.354,23,0.435,10,55.7,34,0.5770000000000001,14.8,12,42,0.524,22,0.5,1,"November 10, 2018",63.6,14,19.0,8,111.1,67.9,19,0.48100000000000004,53,0.415,22,0.47200000000000003,25,0.56,14,2,200,90.3,24.2,8,19,65,,5.6,4,0.358,19,0.368,7,44.3,27,0.501,19.0,15,34,0.441,15,0.0,0,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,72.1,Away,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,1,False,False,False,Away,True,10,22,65,34,61,7,15,53,1,0,7,19,60,0.49166666666666664,26,73,0.3561643835616438,6,23,70,0.45714285714285713,0.0
2,2018-11-12-19-presbyterian,57.9,11,2.6,1,131.3,61.1,22,0.402,56,0.33899999999999997,19,0.321,18,0.667,12,0,200,68.7,15.8,6,18,57,,3.6,3,0.39299999999999996,22,0.318,7,37.8,28,0.442,28.1,25,34,0.353,12,0.0,0,"November 12, 2018",61.0,25,14.7,5,68.7,84.2,32,0.62,79,0.519,41,0.215,17,0.647,11,1,200,131.3,38.9,14,20,109,,10.8,9,0.519,41,0.39,16,62.2,46,0.626,9.4,9,38,0.6579999999999999,25,0.667,2,"Ross E.Templeton Center, Clinton, South Carolina","Welch
			","Welch
			",82.8,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,2,True,False,True,Home,True,16,25,79,46,74,7,12,56,1,0,17,41,125,0.532,60,134,0.44776119402985076,13,38,123,0.46747967479674796,0.5
3,2018-11-15-13-presbyterian,38.9,7,8.8,3,120.0,80.6,29,0.34700000000000003,62,0.29,18,0.242,15,0.4,6,0,200,57.6,15.0,6,24,49,,5.9,5,0.355,22,0.318,7,46.1,35,0.354,26.7,25,40,0.275,11,0.0,0,"November 15, 2018",54.3,19,22.5,9,57.6,85.0,34,0.601,69,0.507,35,0.478,33,0.5760000000000001,19,1,200,120.0,19.4,7,16,102,,11.8,10,0.507,35,0.371,13,53.9,41,0.602,5.6,5,34,0.647,22,0.75,3,"Ross E.Templeton Center, Clinton, South Carolina","Boyce
			","Boyce
			",85.4,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,3,True,False,True,Home,True,13,22,69,41,76,7,11,62,1,0,33,66,204,0.5661764705882353,106,208,0.5096153846153846,20,50,179,0.44692737430167595,0.6666666666666666
4,2018-11-17-13-marquette,73.7,14,10.0,3,108.8,60.9,14,0.41,61,0.311,19,0.14800000000000002,9,0.556,5,2,200,80.9,15.0,6,16,55,,13.2,9,0.475,29,0.414,12,31.7,20,0.42100000000000004,11.0,8,32,0.21899999999999997,7,0.6,3,"November 17, 2018",84.0,21,12.5,4,80.9,85.0,34,0.536,55,0.455,25,0.327,18,0.833,15,1,200,108.8,39.1,9,12,74,24.0,7.4,5,0.455,25,0.36,9,68.3,43,0.5820000000000001,19.3,15,30,0.5329999999999999,16,0.75,3,"Fiserv Forum, Milwaukee, Wisconsin",PRESBYTERIAN,Presbyterian,68.4,Home,MARQUETTE,Marquette,Presbyterian,big-south,4,False,False,False,Away,False,12,7,61,20,63,9,16,55,0,1,46,88,273,0.575091575091575,147,284,0.5176056338028169,27,61,241,0.4211618257261411,0.75
5,2018-11-19-23-ucla,70.0,14,5.1,2,102.6,62.2,23,0.42100000000000004,63,0.317,20,0.28600000000000003,18,0.667,12,3,200,83.3,18.2,8,21,65,,15.4,12,0.7140000000000001,45,0.289,13,38.3,31,0.45399999999999996,14.5,12,18,0.389,7,0.5,3,"November 19, 2018",42.9,12,22.2,4,83.3,81.8,36,0.508,63,0.444,28,0.33299999999999996,21,0.762,16,0,200,102.6,37.8,14,14,80,17.0,6.4,5,0.381,24,0.33299999999999996,8,61.7,50,0.5479999999999999,22.5,21,39,0.513,20,1.0,4,"Pauley Pavilion, Los Angeles, California",PRESBYTERIAN,Presbyterian,77.8,Home,UCLA,UCLA,Presbyterian,big-south,5,False,False,False,Away,False,13,7,63,31,81,8,20,63,0,1,58,95,334,0.5449101796407185,167,347,0.4812680115273775,36,77,296,0.44256756756756754,0.6
6,2018-11-28-19-presbyterian,30.3,10,6.7,3,108.9,83.8,31,0.569,65,0.508,33,0.308,20,0.8,16,3,200,113.9,17.9,5,23,90,,1.3,1,0.27699999999999997,18,0.444,8,55.4,36,0.604,10.9,9,47,0.532,25,0.5710000000000001,4,"November 28, 2018",56.7,17,4.3,2,113.9,82.1,23,0.522,67,0.44799999999999995,30,0.40299999999999997,27,0.593,16,4,200,108.9,16.2,6,18,86,,3.8,3,0.32799999999999996,22,0.455,10,44.6,29,0.539,7.1,6,45,0.444,20,0.429,3,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,79.2,Away,ST-FRANCIS-NY,St. Francis (NY),Presbyterian,big-south,6,False,True,True,Home,False,10,20,67,29,65,8,25,65,0,1,71,102,397,0.5251889168765743,198,428,0.46261682242990654,44,97,359,0.45403899721448465,0.5
7,2018-12-01-16-north-carolina-at,82.6,19,0.0,0,109.4,85.7,24,0.5579999999999999,52,0.442,23,0.385,20,0.85,17,4,200,117.2,24.1,7,16,75,,6.3,4,0.48100000000000004,25,0.48,12,54.4,31,0.61,14.1,10,27,0.40700000000000003,11,0.5,4,"December 1, 2018",60.9,14,18.5,5,117.2,75.9,22,0.598,51,0.451,23,0.314,16,0.563,9,6,200,109.4,14.3,4,20,70,,7.8,5,0.627,32,0.469,15,45.6,26,0.597,13.4,9,19,0.42100000000000004,8,0.25,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,64.1,Away,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,7,False,False,False,Away,True,12,11,52,31,57,15,8,51,1,0,81,122,464,0.5247844827586207,227,493,0.460446247464503,52,122,424,0.4716981132075472,0.42857142857142855
8,2018-12-04-19-presbyterian,38.7,12,4.1,2,110.0,88.9,24,0.575,60,0.517,31,0.55,33,0.758,25,5,200,117.5,27.6,8,13,94,,11.3,9,0.33299999999999996,20,0.35,7,57.1,32,0.621,14.9,13,40,0.6,24,0.5,5,"December 4, 2018",40.0,14,2.5,1,117.5,72.4,21,0.586,64,0.547,35,0.23399999999999999,15,0.867,13,5,200,110.0,11.1,3,22,88,,7.5,6,0.23399999999999999,15,0.33299999999999996,5,42.9,24,0.619,13.5,11,49,0.612,30,0.444,4,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,79.9,Away,JACKSONVILLE,Jacksonville,Presbyterian,big-south,8,False,True,True,Home,False,5,30,64,24,56,7,24,60,0,1,93,133,516,0.5281007751937985,258,550,0.4690909090909091,67,130,475,0.48526315789473684,0.5
9,2018-12-12-19-presbyterian,52.0,13,8.3,2,147.1,73.7,14,0.49200000000000005,60,0.41700000000000004,25,0.183,11,1.0,11,7,200,100.0,17.6,6,14,70,,7.1,5,0.55,33,0.273,9,37.7,20,0.537,14.5,11,27,0.593,16,0.41700000000000004,5,"December 12, 2018",84.4,27,7.4,2,100.0,82.4,28,0.804,51,0.627,32,0.451,23,0.9129999999999999,21,5,200,147.1,26.3,5,13,103,,8.6,6,0.529,27,0.667,18,62.3,33,0.8320000000000001,17.5,13,24,0.583,14,0.5,5,"Ross E.Templeton Center, Clinton, South Carolina",VIRGINIA-MILITARY-INSTITUTE,VMI,70.1,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,9,True,False,True,Home,True,18,14,51,33,53,9,16,60,1,0,98,163,580,0.5344827586206896,282,606,0.46534653465346537,74,154,535,0.4953271028037383,0.4444444444444444
