,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DRAKE_homegame,DRAKE_homegame2,DRAKE_home,DRAKE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-08-20-drake,71.4,10,0.0,0,128.9,58.8,20,0.28600000000000003,63,0.222,14,0.33299999999999996,21,0.762,16,0,200,68.4,21.3,10,12,52,,6.6,5,0.47600000000000003,30,0.267,8,37.0,30,0.35600000000000004,17.2,15,33,0.182,6,0.0,0,"November 8, 2018",41.0,16,33.3,11,68.4,78.7,37,0.629,70,0.557,39,0.214,15,0.667,10,0,200,128.9,41.2,14,18,98,,9.2,7,0.35700000000000004,25,0.4,10,63.0,51,0.635,12.6,11,45,0.644,29,1.0,1,"Knapp Center, Des Moines, Iowa","Buena Vista
			","Buena Vista
			",76.1,Home,DRAKE,Drake,Drake,mvc,0,True,False,True,Home,True,10,29,70,51,81,8,6,63,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-20-colorado,58.3,14,5.9,2,126.6,70.4,19,0.47600000000000003,62,0.387,24,0.33899999999999997,21,0.5710000000000001,12,1,200,89.9,12.2,5,26,71,,6.3,5,0.597,37,0.297,11,35.3,24,0.493,15.4,13,25,0.52,13,0.5,1,"November 13, 2018",45.5,15,20.0,5,89.9,87.8,36,0.679,56,0.589,33,0.6609999999999999,37,0.649,24,0,200,126.6,29.6,8,17,100,,6.3,5,0.39299999999999996,22,0.455,10,64.7,44,0.68,14.2,12,34,0.6759999999999999,23,1.0,1,"Coors Events/Conference Center, Boulder, Colorado",DRAKE,Drake,78.8,Home,COLORADO,Colorado,Drake,mvc,1,False,False,False,Away,False,11,13,62,24,68,10,23,56,0,1,10,29,70,0.6285714285714286,51,81,0.6296296296296297,8,6,63,0.2857142857142857,1.0
2,2018-11-17-15-drake,39.3,11,9.1,2,101.4,72.7,16,0.5,61,0.45899999999999996,28,0.213,13,0.615,8,1,200,93.2,31.4,11,23,69,,17.6,13,0.32799999999999996,20,0.25,5,47.4,27,0.514,21.2,18,41,0.561,23,0.667,2,"November 17, 2018",55.6,15,7.3,3,93.2,68.6,24,0.653,49,0.551,27,0.36700000000000005,18,0.611,11,1,200,101.4,27.3,6,17,75,,8.1,6,0.551,27,0.37,10,52.6,30,0.652,27.9,22,22,0.773,17,0.667,2,"Knapp Center, Des Moines, Iowa",TEXAS-STATE,Texas State,73.9,Home,DRAKE,Drake,Drake,mvc,2,True,False,True,Home,True,10,17,49,30,57,5,23,61,1,0,21,42,132,0.5568181818181818,75,149,0.5033557046979866,18,29,119,0.47058823529411764,0.5
3,2018-11-21-19-missouri-kansas-city,63.2,12,19.4,7,85.1,79.4,27,0.435,54,0.35200000000000004,19,0.48100000000000004,26,0.731,19,1,200,89.2,20.6,7,23,66,,6.8,5,0.5,27,0.33299999999999996,9,50.0,34,0.49700000000000005,17.6,14,27,0.37,10,0.75,3,"November 21, 2018",28.6,6,18.5,5,89.2,79.4,27,0.397,58,0.36200000000000004,21,0.44799999999999995,26,0.654,17,6,200,85.1,20.6,7,27,63,,18.9,14,0.379,22,0.182,4,50.0,34,0.44799999999999995,14.7,12,36,0.47200000000000003,17,0.0,0,"Municipal Auditorium, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,74.4,Away,DRAKE,Drake,Drake,mvc,3,False,False,False,Away,True,9,10,54,34,68,4,17,58,1,0,31,59,181,0.5828729281767956,105,206,0.5097087378640777,23,52,180,0.48055555555555557,0.6666666666666666
4,2018-11-27-20-drake,39.3,11,11.4,4,109.2,78.1,25,0.49200000000000005,65,0.431,28,0.231,15,0.667,10,4,200,97.4,21.6,8,27,74,,7.9,6,0.369,24,0.33299999999999996,8,47.8,33,0.513,15.4,13,41,0.488,20,0.33299999999999996,2,"November 27, 2018",56.0,14,24.4,10,97.4,78.4,29,0.474,58,0.431,25,0.586,34,0.8240000000000001,28,1,200,109.2,21.9,7,17,83,,11.8,9,0.397,23,0.217,5,52.2,36,0.56,9.9,8,35,0.5710000000000001,20,0.8,4,"Knapp Center, Des Moines, Iowa",BOISE-STATE,Boise State,76.1,Home,DRAKE,Drake,Drake,mvc,4,True,False,True,Home,True,5,20,58,36,69,8,20,65,1,0,40,69,235,0.548936170212766,139,274,0.5072992700729927,27,69,238,0.46008403361344535,0.75
5,2018-12-01-18-north-dakota-state,87.5,28,14.7,5,122.2,75.0,24,0.667,57,0.561,32,0.40399999999999997,23,0.826,19,1,200,131.9,25.9,7,14,95,,6.9,5,0.40399999999999997,23,0.522,12,52.5,31,0.6990000000000001,11.8,9,34,0.588,20,0.833,5,"December 1, 2018",50.0,16,2.9,1,131.9,74.1,20,0.551,68,0.47100000000000003,32,0.221,15,0.867,13,6,200,122.2,25.0,8,18,88,,9.7,7,0.5,34,0.324,11,47.5,28,0.586,8.6,7,34,0.618,21,0.25,2,"U.S. Bank Stadium, Minneapolis, Minnesota",NORTH-DAKOTA-STATE,North Dakota State,72.0,Away,DRAKE,Drake,Drake,mvc,5,False,False,False,Away,True,12,20,57,31,59,11,21,68,1,0,45,89,293,0.5341296928327645,175,343,0.5102040816326531,35,89,303,0.466996699669967,0.8
6,2018-12-06-20-milwaukee,64.0,16,6.7,2,84.7,76.5,26,0.526,57,0.439,25,0.40399999999999997,23,0.652,15,1,200,104.2,22.2,8,18,75,,9.7,7,0.526,30,0.33299999999999996,10,48.6,34,0.552,14.1,11,27,0.556,15,0.857,6,"December 6, 2018",33.3,6,11.1,3,104.2,77.8,28,0.377,53,0.34,18,0.45299999999999996,24,0.875,21,7,200,84.7,23.5,8,20,61,,9.7,7,0.434,23,0.174,4,51.4,36,0.474,20.1,16,30,0.467,14,0.222,2,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,71.7,Away,DRAKE,Drake,Drake,mvc,6,False,False,False,Away,True,10,15,57,34,70,4,14,53,1,0,57,109,350,0.5557142857142857,206,402,0.5124378109452736,46,110,371,0.48247978436657685,0.8333333333333334
7,2018-12-15-16-iowa-state,75.9,22,4.5,2,111.6,71.4,25,0.568,59,0.49200000000000005,29,0.034,2,0.5,1,2,200,98.6,8.7,2,16,68,,4.3,3,0.45799999999999996,27,0.33299999999999996,9,46.6,27,0.5670000000000001,14.3,10,32,0.625,20,0.75,6,"December 15, 2018",56.7,17,15.6,5,98.6,91.3,21,0.515,67,0.44799999999999995,30,0.179,12,0.667,8,2,200,111.6,28.6,10,11,77,,5.8,4,0.34299999999999997,23,0.391,9,53.4,31,0.53,8.8,7,44,0.47700000000000004,21,0.818,9,"Wells Fargo Arena, Des Moines, Iowa",DRAKE,Drake,68.8,Home,IOWA-STATE,Iowa State,Drake,mvc,7,False,False,False,Away,False,9,20,59,27,58,9,21,67,0,1,67,124,407,0.5515970515970516,240,472,0.5084745762711864,50,124,424,0.4693396226415094,0.8571428571428571
8,2018-12-17-20-drake,30.4,7,0.0,0,105.3,76.0,19,0.449,59,0.39,23,0.39,23,0.565,13,6,200,88.0,23.7,9,19,66,,17.3,13,0.45799999999999996,27,0.259,7,44.4,28,0.47200000000000003,17.8,15,32,0.5,16,0.25,2,"December 17, 2018",66.7,20,3.1,1,88.0,76.3,29,0.625,52,0.5770000000000001,30,0.40399999999999997,21,0.667,14,2,200,105.3,24.0,6,18,79,,13.3,10,0.327,17,0.294,5,55.6,35,0.637,23.7,19,35,0.7140000000000001,25,0.778,7,"Knapp Center, Des Moines, Iowa",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,75.5,Home,DRAKE,Drake,Drake,mvc,8,True,False,True,Home,True,5,25,52,35,63,7,16,59,1,0,76,144,466,0.5536480686695279,267,530,0.5037735849056604,59,145,491,0.4755600814663951,0.75
9,2018-12-19-20-drake,27.3,6,0.0,0,110.1,73.1,19,0.392,60,0.36700000000000005,22,0.217,13,0.846,11,5,200,84.1,21.2,7,14,58,,14.5,10,0.3,18,0.16699999999999998,3,44.1,26,0.43799999999999994,14.3,11,42,0.452,19,0.444,4,"December 19, 2018",66.7,18,4.8,2,84.1,78.8,26,0.598,56,0.48200000000000004,27,0.196,11,0.818,9,2,200,110.1,26.9,7,14,76,,5.8,4,0.518,29,0.44799999999999995,13,55.9,33,0.621,18.7,14,27,0.519,14,0.8,8,"Knapp Center, Des Moines, Iowa",RIDER,Rider,69.2,Home,DRAKE,Drake,Drake,mvc,9,True,False,True,Home,True,13,14,56,33,59,3,19,60,1,0,81,169,518,0.5608108108108109,302,593,0.5092748735244519,66,161,550,0.4727272727272727,0.7777777777777778
