,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-ALABAMA_homegame,NORTH-ALABAMA_homegame2,NORTH-ALABAMA_home,NORTH-ALABAMA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-17-north-carolina-greensboro,36.8,7,15.0,6,84.1,71.4,30,0.39299999999999996,56,0.33899999999999997,19,0.107,6,0.667,4,8,200,76.2,24.2,8,21,48,,4.8,3,0.429,24,0.25,6,50.7,38,0.408,18.1,13,32,0.406,13,0.273,3,"December 15, 2018",33.3,6,9.4,3,76.2,75.8,25,0.33299999999999996,60,0.3,18,0.317,19,0.684,13,2,200,84.1,28.6,12,12,53,,12.7,8,0.33299999999999996,20,0.2,4,49.3,37,0.384,6.8,5,40,0.35,14,0.833,10,"Fleming Gymnasium, Greensboro, North Carolina",NORTH-ALABAMA,North Alabama,62.9,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,North Alabama,atlantic-sun,10,False,False,False,Away,False,6,13,56,38,75,4,14,60,0,1,89,143,604,0.45778145695364236,333,688,0.48401162790697677,66,196,570,0.5175438596491229,0.3
11,2018-12-18-20-jacksonville-state,56.3,9,2.4,1,92.8,68.8,22,0.406,48,0.33299999999999996,16,0.292,14,0.7859999999999999,11,9,200,72.5,23.3,7,21,50,,7.2,5,0.5,24,0.292,7,46.8,29,0.457,24.9,18,24,0.375,9,0.25,3,"December 18, 2018",31.8,7,25.0,6,72.5,76.7,23,0.35700000000000004,63,0.349,22,0.381,24,0.792,19,4,200,92.8,31.3,10,17,64,,11.6,8,0.33299999999999996,21,0.048,1,53.2,33,0.43,8.7,7,42,0.5,21,0.636,7,"Pete Mathews Coliseum, Jacksonville, Alabama",NORTH-ALABAMA,North Alabama,68.5,Home,JACKSONVILLE-STATE,Jacksonville State,North Alabama,atlantic-sun,11,False,False,False,Away,False,7,9,48,29,62,1,21,63,0,1,95,156,660,0.45227272727272727,371,763,0.48623853211009177,70,210,630,0.5,0.2727272727272727
12,2018-12-21-19-virginia-military-institute,18.5,5,8.1,3,112.7,71.8,28,0.439,66,0.409,27,0.22699999999999998,15,0.667,10,10,200,86.1,23.7,9,18,68,,6.3,5,0.242,16,0.25,4,48.1,37,0.465,17.1,15,50,0.46,23,0.231,3,"December 21, 2018",56.7,17,2.0,1,86.1,76.3,29,0.529,70,0.429,30,0.28600000000000003,20,0.75,15,7,200,112.7,28.2,11,14,89,,8.9,7,0.47100000000000003,33,0.424,14,51.9,40,0.56,12.2,11,37,0.43200000000000005,16,0.462,6,"Cameron Hall, Lexington, Virginia",NORTH-ALABAMA,North Alabama,79.3,Home,VIRGINIA-MILITARY-INSTITUTE,VMI,North Alabama,atlantic-sun,12,False,False,False,Away,False,4,23,66,37,77,14,16,70,0,1,102,165,708,0.4491525423728814,400,825,0.48484848484848486,71,231,693,0.487012987012987,0.25
13,2018-12-28-21-gonzaga,33.3,6,5.1,2,128.0,69.7,23,0.364,55,0.327,18,0.364,20,0.55,11,11,200,68.0,15.2,5,19,51,,5.3,4,0.345,19,0.21100000000000002,4,42.4,28,0.395,20.1,16,36,0.389,14,0.214,3,"December 28, 2018",47.1,16,19.4,7,68.0,84.8,28,0.611,63,0.54,34,0.381,24,0.792,19,2,200,128.0,30.3,10,14,96,7.0,20.0,15,0.381,24,0.375,9,57.6,38,0.645,13.0,11,39,0.6409999999999999,25,0.857,12,"McCarthey Athletic Center, Spokane, Washington",NORTH-ALABAMA,North Alabama,75.5,Home,GONZAGA,Gonzaga,North Alabama,atlantic-sun,13,False,False,False,Away,False,4,14,55,28,66,9,25,63,0,1,106,188,774,0.4483204134366925,437,902,0.4844789356984479,85,247,763,0.4908256880733945,0.23076923076923078
14,2018-12-30-15-eastern-illinois,50.0,11,2.6,1,115.7,80.0,24,0.48200000000000004,56,0.39299999999999996,22,0.429,24,0.667,16,12,200,100.0,25.0,10,25,70,,5.7,4,0.536,30,0.33299999999999996,10,48.6,34,0.519,17.4,14,26,0.462,12,0.2,3,"December 30, 2018",56.0,14,7.7,2,100.0,75.0,30,0.5479999999999999,52,0.48100000000000004,25,0.615,32,0.75,24,6,200,115.7,20.0,6,17,81,,12.9,9,0.26899999999999996,14,0.5,7,51.4,36,0.603,9.6,7,38,0.474,18,0.5379999999999999,7,"Lantz Arena, Charleston, Illinois",NORTH-ALABAMA,North Alabama,69.8,Home,EASTERN-ILLINOIS,Eastern Illinois,North Alabama,atlantic-sun,14,False,False,False,Away,False,10,12,56,34,70,7,18,52,0,1,110,202,829,0.4427020506634499,465,968,0.48037190082644626,94,272,826,0.5,0.21428571428571427
15,2019-01-05-17-north-florida,50.0,13,8.6,3,128.0,82.6,19,0.445,64,0.406,26,0.23399999999999999,15,0.667,10,13,200,89.3,36.4,12,17,67,,13.3,10,0.25,16,0.313,5,55.4,31,0.47100000000000003,16.5,14,48,0.43799999999999994,21,0.188,3,"January 5, 2019",56.8,21,18.8,9,89.3,63.6,21,0.725,60,0.617,37,0.2,12,0.75,9,9,200,128.0,17.4,4,16,96,,10.7,8,0.41700000000000004,25,0.52,13,44.6,25,0.731,18.7,15,35,0.6859999999999999,24,0.43799999999999994,7,"UNF Arena , Jacksonville, Florida",NORTH-ALABAMA,North Alabama,74.9,Home,NORTH-FLORIDA,North Florida,North Alabama,atlantic-sun,15,False,False,False,Away,False,5,21,64,31,56,13,24,60,0,1,120,214,885,0.44519774011299434,499,1038,0.48073217726396916,101,290,878,0.5028473804100227,0.2
16,2019-01-08-21-north-alabama,57.1,8,7.7,2,89.7,71.0,22,0.413,40,0.35,14,0.85,34,0.6759999999999999,23,12,200,82.4,18.5,5,16,56,,10.3,7,0.4,16,0.313,5,46.6,27,0.499,25.7,19,24,0.375,9,0.294,5,"January 8, 2019",59.1,13,20.8,5,82.4,81.5,22,0.51,51,0.431,22,0.235,12,0.75,9,13,200,89.7,29.0,9,25,61,,8.8,6,0.49,25,0.32,8,53.4,31,0.5379999999999999,24.2,18,26,0.5379999999999999,14,0.235,4,"Flowers Hall, Florence, Alabama",FLORIDA-GULF-COAST,Florida Gulf Coast,67.9,Home,NORTH-ALABAMA,North Alabama,North Alabama,atlantic-sun,16,True,False,True,Home,True,8,14,51,31,58,5,9,40,1,0,125,235,949,0.4452054794520548,530,1094,0.4844606946983547,114,314,938,0.5170575692963753,0.1875
17,2019-01-12-16-north-alabama,44.4,8,8.8,3,82.4,74.3,26,0.429,49,0.36700000000000005,18,0.429,21,0.619,13,4,200,74.3,9.1,3,21,55,,10.8,8,0.449,22,0.273,6,42.6,29,0.466,23.6,18,27,0.444,12,0.765,13,"January 12, 2019",47.1,8,7.4,2,74.3,90.9,30,0.365,52,0.327,17,0.635,33,0.6970000000000001,23,13,200,82.4,25.7,9,20,61,,10.8,8,0.34600000000000003,18,0.222,4,57.4,39,0.451,19.4,16,34,0.382,13,0.278,5,"Flowers Hall, Florence, Alabama",NJIT,NJIT,74.3,Home,NORTH-ALABAMA,North Alabama,North Alabama,atlantic-sun,17,True,False,True,Home,True,4,13,52,39,68,6,12,49,1,0,133,249,1000,0.4485,561,1152,0.4869791666666667,119,323,978,0.5127811860940695,0.23529411764705882
18,2019-01-16-19-jacksonville,26.5,9,4.1,2,118.9,70.4,19,0.635,63,0.54,34,0.254,16,0.688,11,13,200,123.0,16.7,5,14,91,,9.5,7,0.397,25,0.48,12,42.1,24,0.644,11.4,9,38,0.579,22,0.316,6,"January 16, 2019",47.1,16,15.8,6,123.0,83.3,25,0.5870000000000001,63,0.54,34,0.27,17,0.8240000000000001,14,11,200,118.9,29.6,8,12,88,,5.4,4,0.222,14,0.429,6,57.9,33,0.619,13.5,11,49,0.5710000000000001,28,0.42100000000000004,8,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,74.3,Away,NORTH-ALABAMA,North Alabama,North Alabama,atlantic-sun,18,False,False,False,Away,True,12,22,63,24,57,6,28,63,1,0,137,262,1052,0.4443916349809886,600,1220,0.4918032786885246,125,335,1027,0.508763388510224,0.2777777777777778
19,2019-01-19-16-north-alabama,40.0,8,7.7,3,88.7,61.0,25,0.41100000000000003,56,0.35700000000000004,20,0.446,25,0.64,16,15,200,87.3,21.6,8,23,62,,8.5,6,0.321,18,0.33299999999999996,6,42.3,33,0.457,14.1,11,38,0.368,14,0.21100000000000002,4,"January 19, 2019",21.7,5,5.3,2,87.3,78.4,29,0.391,64,0.359,23,0.391,25,0.52,13,13,200,88.7,39.0,16,22,63,,11.3,8,0.391,25,0.16,4,57.7,45,0.415,12.8,11,39,0.48700000000000004,19,0.35,7,"Flowers Hall, Florence, Alabama",STETSON,Stetson,70.9,Home,NORTH-ALABAMA,North Alabama,North Alabama,atlantic-sun,19,True,False,True,Home,True,4,19,64,45,78,6,14,56,1,0,149,284,1115,0.4551569506726457,624,1277,0.48864526233359434,131,363,1090,0.513302752293578,0.3157894736842105
