,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA-STATE_homegame,FLORIDA-STATE_homegame2,FLORIDA-STATE_home,FLORIDA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-florida-state,45.0,9,12.0,3,109.5,76.9,20,0.426,54,0.37,20,0.389,21,0.667,14,1,200,81.1,24.1,7,26,60,,6.8,5,0.444,24,0.25,6,49.1,27,0.469,20.2,16,30,0.467,14,0.0,0,"November 6, 2018",43.5,10,6.7,2,81.1,75.9,22,0.594,48,0.479,23,0.708,34,0.706,24,0,200,109.5,23.1,6,22,81,17.0,12.2,9,0.479,23,0.478,11,50.9,28,0.631,20.3,16,25,0.48,12,1.0,1,"Donald L. Tucker Center, Tallahassee, Florida",FLORIDA,Florida,73.6,Home,FLORIDA-STATE,Florida State,Florida State,acc,0,True,False,True,Home,True,11,12,48,28,55,6,14,54,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-19-tulane,48.3,14,13.8,4,90.8,85.7,24,0.5329999999999999,60,0.483,29,0.4,24,0.667,16,0,200,105.3,35.7,10,21,80,17.0,10.5,8,0.317,19,0.316,6,60.7,34,0.56,16.6,14,41,0.561,23,1.0,2,"November 11, 2018",69.6,16,9.8,4,105.3,64.3,18,0.519,52,0.442,23,0.462,24,0.625,15,1,200,90.8,14.3,4,22,69,,5.3,4,0.442,23,0.348,8,39.3,22,0.544,21.4,17,29,0.517,15,0.0,0,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,75.9,Away,FLORIDA-STATE,Florida State,Florida State,acc,1,False,False,False,Away,True,6,23,60,34,56,8,15,52,1,0,11,12,48,0.59375,28,55,0.509090909090909,6,14,54,0.42592592592592593,1.0
2,2018-11-19-19-florida-state,45.5,10,13.3,6,125.7,55.2,16,0.5,52,0.423,22,0.28800000000000003,15,0.6,9,2,200,82.4,17.2,5,23,61,,5.4,4,0.40399999999999997,21,0.381,8,36.2,21,0.516,23.5,18,31,0.452,14,0.33299999999999996,1,"November 19, 2018",61.3,19,9.7,3,82.4,82.8,24,0.585,59,0.525,31,0.508,30,0.8,24,0,200,125.7,44.8,13,15,93,14.0,12.2,9,0.237,14,0.5,7,63.8,37,0.635,17.2,15,45,0.5329999999999999,24,1.0,3,"Donald L. Tucker Center, Tallahassee, Florida",CANISIUS,Canisius,73.7,Home,FLORIDA-STATE,Florida State,Florida State,acc,2,True,False,True,Home,True,7,24,59,37,58,8,14,52,1,0,17,35,108,0.5601851851851852,62,111,0.5585585585585585,14,29,106,0.4716981132075472,1.0
3,2018-11-22-21-florida-state,31.6,6,2.9,1,106.6,63.6,14,0.345,58,0.32799999999999996,19,0.483,28,0.821,23,1,200,82.9,23.7,9,21,63,,11.8,9,0.24100000000000002,14,0.14300000000000002,2,38.3,23,0.442,16.6,14,44,0.386,17,0.75,3,"November 22, 2018",46.2,12,11.4,5,82.9,76.3,29,0.547,53,0.491,26,0.491,26,0.885,23,0,200,106.6,36.4,8,22,81,14.0,9.2,7,0.34,18,0.33299999999999996,6,61.7,37,0.62,21.8,18,35,0.5710000000000001,20,1.0,4,"HP Field House, Orlando, Florida",ALABAMA-BIRMINGHAM,Alabama-Birmingham,75.8,Home,FLORIDA-STATE,Florida State,Florida State,acc,3,True,False,True,Home,True,6,20,53,37,60,2,17,58,1,0,24,59,167,0.5688622754491018,99,169,0.5857988165680473,22,43,158,0.4810126582278481,1.0
4,2018-11-23-16-florida-state,59.3,16,14.0,7,106.8,55.8,24,0.625,52,0.519,27,0.25,13,0.846,11,1,225,102.7,17.4,4,20,76,19.0,8.1,6,0.5,26,0.423,11,42.4,28,0.653,22.8,17,26,0.615,16,0.833,5,"November 23, 2018",51.7,15,3.8,1,102.7,82.6,19,0.441,76,0.382,29,0.22399999999999998,17,0.706,12,0,225,106.8,44.2,19,15,79,14.0,14.9,11,0.342,26,0.34600000000000003,9,57.6,38,0.47,12.6,12,50,0.4,20,1.0,5,"HP Field House, Orlando, Florida",LOUISIANA-STATE,LSU,65.9,Home,FLORIDA-STATE,Florida State,Florida State,acc,4,True,False,True,Home,True,9,20,76,38,66,11,16,52,1,0,30,79,220,0.5636363636363636,136,229,0.5938864628820961,24,60,216,0.4444444444444444,1.0
5,2018-11-25-13-florida-state,26.1,6,5.1,2,96.8,58.6,17,0.57,43,0.535,23,0.5579999999999999,24,0.708,17,2,200,106.5,26.3,5,15,66,,12.9,8,0.326,14,0.214,3,45.8,22,0.607,18.3,12,29,0.69,20,0.7140000000000001,5,"November 25, 2018",31.8,7,6.9,2,106.5,73.7,14,0.461,51,0.431,22,0.33299999999999996,17,0.765,13,1,200,96.8,41.4,12,23,60,14.0,4.8,3,0.235,12,0.25,3,54.2,26,0.508,21.5,16,39,0.48700000000000004,19,0.833,5,"HP Field House, Orlando, Florida",FLORIDA-STATE,Florida State,62.2,Away,VILLANOVA,Villanova,Florida State,acc,5,False,True,True,Home,False,3,19,51,26,48,3,20,43,0,1,39,99,296,0.5320945945945946,174,295,0.5898305084745763,35,76,268,0.47947761194029853,1.0
6,2018-11-28-21-florida-state,50.0,11,0.0,0,98.6,71.4,20,0.539,51,0.431,22,0.49,25,0.68,17,2,200,97.3,34.6,9,19,72,19.0,6.8,5,0.588,30,0.36700000000000005,11,53.7,29,0.573,24.4,20,21,0.524,11,0.7140000000000001,5,"November 28, 2018",50.0,12,14.3,3,97.3,65.4,17,0.509,55,0.436,24,0.364,20,0.85,17,1,200,98.6,28.6,8,24,73,15.0,8.1,6,0.509,28,0.28600000000000003,8,46.3,25,0.5660000000000001,21.0,17,27,0.593,16,0.857,6,"Donald L. Tucker Center, Tallahassee, Florida",PURDUE,Purdue,73.7,Home,FLORIDA-STATE,Florida State,Florida State,acc,6,True,False,True,Home,True,8,16,55,25,54,11,11,51,1,0,42,118,347,0.521613832853026,200,343,0.5830903790087464,38,96,311,0.4919614147909968,0.8333333333333334
7,2018-12-03-20-florida-state,43.5,10,12.5,5,103.8,59.5,22,0.49,52,0.442,23,0.34600000000000003,18,0.889,16,5,200,83.8,13.3,4,17,67,,10.0,8,0.365,19,0.263,5,38.8,26,0.5529999999999999,26.9,22,33,0.545,18,0.375,3,"December 3, 2018",48.3,14,9.1,3,83.8,86.7,26,0.493,69,0.42,29,0.29,20,0.75,15,1,200,103.8,40.5,15,18,83,11.0,11.3,9,0.42,29,0.345,10,61.2,41,0.529,17.9,17,40,0.475,19,0.875,7,"Donald L. Tucker Center, Tallahassee, Florida",TROY,Troy,79.5,Home,FLORIDA-STATE,Florida State,Florida State,acc,7,True,False,True,Home,True,10,19,69,41,67,5,18,52,1,0,50,134,402,0.5199004975124378,225,397,0.5667506297229219,49,107,362,0.4986187845303867,0.8571428571428571
8,2018-12-08-18-connecticut,24.0,6,12.5,5,87.7,64.9,24,0.509,55,0.455,25,0.5820000000000001,32,0.7190000000000001,23,1,200,97.5,32.1,9,27,79,11.0,13.6,11,0.309,17,0.353,6,50.8,33,0.563,23.3,21,38,0.5,19,0.889,8,"December 8, 2018",30.4,7,13.2,5,97.5,67.9,19,0.434,61,0.377,23,0.426,26,0.6920000000000001,18,3,200,87.7,35.1,13,28,71,,8.6,7,0.344,21,0.33299999999999996,7,49.2,32,0.484,20.8,19,40,0.4,16,0.7,7,"Prudential Center, Newark, New Jersey",CONNECTICUT,UConn,80.8,Away,FLORIDA-STATE,Florida State,Florida State,acc,8,False,False,False,Away,True,6,19,55,33,65,7,16,61,1,0,60,153,471,0.5159235668789809,266,464,0.5732758620689655,54,125,414,0.4975845410628019,0.875
9,2018-12-17-19-florida-state,56.0,14,2.8,1,118.1,58.3,21,0.542,59,0.424,25,0.16899999999999998,10,0.4,4,7,200,94.4,12.5,4,21,68,,8.3,6,0.627,37,0.37799999999999995,14,36.8,25,0.5329999999999999,14.8,11,22,0.5,11,0.41700000000000004,5,"December 17, 2018",48.4,15,22.7,5,94.4,87.5,28,0.556,62,0.5,31,0.40299999999999997,25,0.64,16,1,200,118.1,41.7,15,13,85,11.0,8.3,6,0.419,26,0.26899999999999996,7,63.2,43,0.575,17.0,15,36,0.667,24,0.9,9,"Donald L. Tucker Center, Tallahassee, Florida",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,72.3,Home,FLORIDA-STATE,Florida State,Florida State,acc,9,True,False,True,Home,True,7,24,62,43,68,14,11,59,1,0,66,172,526,0.5152091254752852,299,529,0.5652173913043478,61,141,475,0.48947368421052634,0.8888888888888888
