,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MARQUETTE_homegame,MARQUETTE_homegame2,MARQUETTE_home,MARQUETTE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-21-marquette,46.2,12,5.3,2,112.2,70.0,14,0.377,73,0.35600000000000004,26,0.205,15,0.733,11,6,200,80.5,19.6,9,14,66,,15.9,13,0.27399999999999997,20,0.15,3,34.8,23,0.41200000000000003,14.0,13,53,0.434,23,0.5,6,"December 18, 2018",52.9,18,11.3,6,80.5,80.4,37,0.6809999999999999,58,0.586,34,0.22399999999999998,13,1.0,13,2,200,112.2,30.0,6,17,92,20.0,9.8,8,0.345,20,0.55,11,65.2,43,0.7170000000000001,25.7,22,38,0.605,23,0.818,9,"Fiserv Forum, Milwaukee, Wisconsin",NORTH-DAKOTA,North Dakota,82.2,Home,MARQUETTE,Marquette,Marquette,big-east,10,True,False,True,Home,True,11,23,58,43,66,3,23,73,1,0,86,174,585,0.517948717948718,362,657,0.5509893455098934,63,176,598,0.4523411371237458,0.8
11,2018-12-21-20-marquette,44.8,13,13.2,5,130.4,65.6,21,0.493,71,0.408,29,0.35200000000000004,25,0.6,15,1,200,107.6,25.6,11,19,85,14.0,11.4,9,0.43700000000000006,31,0.387,12,42.7,32,0.513,8.9,8,40,0.425,17,0.917,11,"December 21, 2018",48.5,16,25.0,10,107.6,74.4,32,0.627,67,0.493,33,0.32799999999999996,22,0.8640000000000001,19,2,200,130.4,34.4,11,19,103,20.0,1.3,1,0.433,29,0.621,18,57.3,43,0.665,13.5,12,38,0.395,15,0.833,10,"Fiserv Forum, Milwaukee, Wisconsin",BUFFALO,Buffalo,79.2,Home,MARQUETTE,Marquette,Marquette,big-east,11,True,False,True,Home,True,18,15,67,43,75,12,17,71,1,0,97,197,643,0.5326594090202177,405,723,0.5601659751037344,66,199,671,0.44411326378539495,0.8181818181818182
12,2018-12-28-20-marquette,64.3,9,2.6,1,115.1,53.3,16,0.278,54,0.259,14,0.33299999999999996,18,0.611,11,12,200,56.2,14.6,6,22,41,,11.0,8,0.29600000000000004,16,0.125,2,31.0,22,0.32799999999999996,20.5,16,38,0.316,12,0.077,1,"December 28, 2018",37.0,10,10.5,4,56.2,85.4,35,0.525,60,0.45,27,0.5,30,0.7,21,2,200,115.1,46.7,14,18,84,18.0,15.1,11,0.35,21,0.429,9,69.0,49,0.5660000000000001,16.1,14,39,0.462,18,0.846,11,"Fiserv Forum, Milwaukee, Wisconsin",SOUTHERN,Southern,73.4,Home,MARQUETTE,Marquette,Marquette,big-east,12,True,False,True,Home,True,9,18,60,49,71,2,12,54,1,0,115,212,710,0.5415492957746478,448,798,0.5614035087719298,78,216,742,0.44878706199460916,0.8333333333333334
13,2019-01-01-19-st-johns-ny,50.0,13,0.0,0,123.6,80.6,25,0.46799999999999997,62,0.419,26,0.29,18,0.611,11,3,200,95.8,29.4,10,22,69,16.0,5.6,4,0.33899999999999997,21,0.28600000000000003,6,53.8,35,0.489,14.6,12,41,0.488,20,0.7859999999999999,11,"January 1, 2019",43.3,13,12.2,5,95.8,70.6,24,0.634,56,0.536,30,0.429,24,0.75,18,1,200,123.6,19.4,6,16,89,,8.3,6,0.429,24,0.45799999999999996,11,46.2,30,0.66,14.2,11,32,0.594,19,0.929,13,"Carnesecca Arena, Jamaica, New York",MARQUETTE,Marquette,72.5,Home,ST-JOHNS-NY,St. John's (NY),Marquette,big-east,13,False,False,False,Away,False,6,20,62,35,65,11,19,56,0,1,124,230,770,0.5402597402597402,497,869,0.571921749136939,80,228,796,0.4371859296482412,0.8461538461538461
14,2019-01-06-12-marquette,23.5,4,8.8,3,97.2,82.4,28,0.324,54,0.315,17,0.48100000000000004,26,0.654,17,7,200,72.2,17.9,7,18,52,,4.2,3,0.259,14,0.071,1,47.9,35,0.392,16.6,13,40,0.4,16,0.562,9,"January 6, 2019",55.6,15,2.5,1,72.2,82.1,32,0.508,63,0.429,27,0.159,10,0.6,6,3,200,97.2,17.6,6,21,70,16.0,6.9,5,0.46,29,0.345,10,52.1,38,0.517,12.9,10,34,0.5,17,0.8,12,"Fiserv Forum, Milwaukee, Wisconsin",XAVIER,Xavier,72.1,Home,MARQUETTE,Marquette,Marquette,big-east,14,True,False,True,Home,True,10,17,63,38,73,1,16,54,1,0,130,250,832,0.5348557692307693,532,934,0.569593147751606,91,247,852,0.45011737089201875,0.7857142857142857
15,2019-01-09-19-creighton,36.4,12,18.8,6,128.4,87.9,29,0.695,59,0.5589999999999999,33,0.508,30,0.8,24,3,225,130.9,29.6,8,18,106,21.0,2.5,2,0.475,28,0.5710000000000001,16,61.7,37,0.7240000000000001,16.2,14,31,0.5479999999999999,17,0.812,13,"January 9, 2019",45.5,15,3.2,1,130.9,70.4,19,0.638,65,0.508,33,0.4,26,0.8079999999999999,21,6,225,128.4,12.1,4,24,104,,6.2,5,0.508,33,0.515,17,38.3,23,0.672,10.5,9,32,0.5,16,0.625,10,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,71.8,Away,MARQUETTE,Marquette,Marquette,big-east,15,False,False,False,Away,True,16,17,59,37,60,17,16,65,1,0,140,267,895,0.5329608938547487,570,1007,0.5660377358490566,92,263,906,0.44260485651214126,0.8
16,2019-01-12-14-marquette,48.1,13,12.9,4,92.1,71.0,22,0.469,64,0.42200000000000004,27,0.141,9,0.667,6,5,200,86.8,32.3,10,19,66,,11.8,9,0.297,19,0.316,6,51.6,32,0.483,20.0,17,45,0.467,21,0.706,12,"January 12, 2019",63.6,14,13.3,6,86.8,67.7,21,0.46299999999999997,54,0.40700000000000003,22,0.444,24,0.833,20,3,200,92.1,29.0,9,12,70,21.0,10.5,8,0.426,23,0.261,6,48.4,30,0.535,23.7,20,31,0.516,16,0.8240000000000001,14,"Fiserv Forum, Milwaukee, Wisconsin",SETON-HALL,Seton Hall,75.8,Home,MARQUETTE,Marquette,Marquette,big-east,16,True,False,True,Home,True,6,16,54,30,62,6,21,64,1,0,156,284,954,0.5429769392033543,607,1067,0.5688847235238987,109,279,971,0.4557157569515963,0.8125
17,2019-01-15-20-georgetown,44.4,12,17.6,6,100.0,79.3,23,0.535,57,0.474,27,0.316,18,0.722,13,3,200,104.2,19.4,6,18,74,15.0,4.2,3,0.35100000000000003,20,0.35,7,48.3,29,0.564,15.6,12,37,0.541,20,0.833,15,"January 15, 2019",59.1,13,8.1,3,104.2,80.6,25,0.519,52,0.423,22,0.423,22,0.773,17,6,200,100.0,20.7,6,19,71,,9.9,7,0.34600000000000003,18,0.556,10,51.7,31,0.568,17.4,13,34,0.353,12,0.667,12,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,70.5,Away,MARQUETTE,Marquette,Marquette,big-east,17,False,False,False,Away,True,7,20,57,29,60,10,12,52,1,0,162,300,1008,0.5386904761904762,637,1129,0.5642161204605846,115,300,1035,0.45652173913043476,0.8235294117647058
18,2019-01-20-12-marquette,73.1,19,6.3,2,112.9,89.7,26,0.444,63,0.413,26,0.365,23,0.522,12,7,200,97.1,31.6,12,24,68,,8.6,6,0.302,19,0.21100000000000002,4,56.7,38,0.46,12.0,10,44,0.5,22,0.611,11,"January 20, 2019",69.6,16,13.6,6,97.1,68.4,26,0.519,54,0.426,23,0.46299999999999997,25,0.92,23,3,200,112.9,10.3,3,18,79,15.0,7.1,5,0.40700000000000003,22,0.455,10,43.3,29,0.6,8.5,6,32,0.406,13,0.8420000000000001,16,"Fiserv Forum, Milwaukee, Wisconsin",PROVIDENCE,Providence,70.4,Home,MARQUETTE,Marquette,Marquette,big-east,18,True,False,True,Home,True,10,13,54,29,67,4,22,63,1,0,169,320,1065,0.5384976525821596,666,1189,0.56013456686291,125,312,1087,0.4595216191352346,0.8333333333333334
19,2019-01-23-20-marquette,70.8,17,2.9,1,103.9,72.7,24,0.429,63,0.381,24,0.302,19,0.789,15,7,200,90.8,32.4,12,21,69,,14.5,11,0.33299999999999996,21,0.28600000000000003,6,51.4,36,0.479,17.4,15,42,0.429,18,0.611,11,"January 23, 2019",72.7,16,19.0,8,90.8,67.6,25,0.49,52,0.423,22,0.615,32,0.875,28,3,200,103.9,27.3,9,16,79,12.0,10.5,8,0.327,17,0.41200000000000003,7,48.6,34,0.588,21.4,18,35,0.429,15,0.85,17,"Fiserv Forum, Milwaukee, Wisconsin",DEPAUL,DePaul,75.6,Home,MARQUETTE,Marquette,Marquette,big-east,19,True,False,True,Home,True,7,15,52,34,70,6,18,63,1,0,179,333,1119,0.5375335120643432,695,1256,0.553343949044586,129,334,1150,0.45869565217391306,0.8421052631578947
20,2019-01-26-14-xavier,35.7,10,10.0,4,115.5,80.0,24,0.603,58,0.483,28,0.345,20,0.85,17,3,200,122.5,19.4,6,16,87,12.0,9.9,7,0.431,25,0.56,14,49.2,30,0.644,11.9,9,33,0.424,14,0.857,18,"January 26, 2019",51.7,15,15.2,5,122.5,80.6,25,0.569,58,0.5,29,0.379,22,0.727,16,10,200,115.5,20.0,6,14,82,,8.5,6,0.31,18,0.444,8,50.8,31,0.599,12.9,10,40,0.525,21,0.524,11,"Cintas Center, Cincinnati, Ohio",XAVIER,Xavier,71.5,Away,MARQUETTE,Marquette,Marquette,big-east,20,False,False,False,Away,True,14,14,58,30,61,8,21,58,1,0,186,348,1171,0.5354397950469684,729,1326,0.5497737556561086,135,352,1213,0.4571310799670239,0.85
21,2019-01-30-18-butler,27.6,8,14.3,5,85.3,72.5,29,0.647,51,0.569,29,0.255,13,0.769,10,3,200,111.8,22.7,5,17,76,10.0,5.9,4,0.314,16,0.5,8,54.8,34,0.665,18.6,13,35,0.6,21,0.8640000000000001,19,"January 30, 2019",30.0,6,2.9,1,111.8,77.3,17,0.377,61,0.32799999999999996,20,0.27899999999999997,17,0.706,12,10,200,85.3,27.5,11,15,58,,8.8,6,0.426,26,0.231,6,45.2,28,0.42,14.9,12,35,0.4,14,0.545,12,"Hinkle Fieldhouse, Indianapolis, Indiana",BUTLER,Butler,67.6,Away,MARQUETTE,Marquette,Marquette,big-east,21,False,False,False,Away,True,8,21,51,34,62,6,14,61,1,0,200,362,1229,0.5386493083807974,759,1387,0.5472242249459265,143,373,1271,0.46223446105428795,0.8571428571428571
22,2019-02-05-20-marquette,42.3,11,10.7,3,104.5,72.7,24,0.5,57,0.456,26,0.281,16,0.813,13,6,200,106.1,18.8,6,20,70,,6.1,4,0.316,18,0.278,5,46.2,30,0.542,12.3,9,39,0.5379999999999999,21,0.7390000000000001,17,"February 5, 2019",68.2,15,5.1,2,106.1,81.3,26,0.48100000000000004,54,0.40700000000000003,22,0.46299999999999997,25,0.68,17,4,200,104.5,27.3,9,16,69,10.0,9.1,6,0.48100000000000004,26,0.308,8,53.8,35,0.524,11.0,8,28,0.5,14,0.826,19,"Fiserv Forum, Milwaukee, Wisconsin",MARQUETTE,Marquette,66.2,Away,ST-JOHNS-NY,St. John's (NY),Marquette,big-east,22,False,True,True,Home,False,8,14,54,35,65,5,21,57,0,1,208,383,1280,0.54296875,793,1449,0.5472739820565907,149,387,1332,0.4583333333333333,0.8636363636363636
23,2019-02-09-14-marquette,43.5,10,9.1,3,106.5,76.9,20,0.48200000000000004,57,0.40399999999999997,23,0.263,15,0.667,10,5,200,104.8,25.0,8,10,65,14.0,14.5,9,0.509,29,0.31,9,48.3,28,0.507,9.9,7,28,0.5,14,0.792,19,"February 9, 2019",50.0,13,7.1,2,104.8,75.0,24,0.578,51,0.51,26,0.196,10,0.7,7,4,200,106.5,23.1,6,14,66,10.0,6.5,4,0.353,18,0.389,7,51.7,30,0.5920000000000001,17.8,12,33,0.5760000000000001,19,0.833,20,"Fiserv Forum, Milwaukee, Wisconsin",VILLANOVA,Villanova,62.4,Home,MARQUETTE,Marquette,Marquette,big-east,23,True,False,True,Home,True,7,19,51,30,58,9,14,57,1,0,216,397,1334,0.54047976011994,828,1514,0.5468956406869221,154,408,1389,0.46004319654427644,0.8260869565217391
24,2019-02-12-20-depaul,39.4,13,14.9,7,101.4,57.1,20,0.619,63,0.524,33,0.28600000000000003,18,0.778,14,4,200,127.8,26.9,7,23,92,10.0,5.6,4,0.46,29,0.414,12,44.3,27,0.643,7.8,6,34,0.618,21,0.84,21,"February 12, 2019",43.5,10,14.7,5,127.8,73.1,19,0.442,60,0.38299999999999995,23,0.467,28,0.7140000000000001,20,10,200,101.4,42.9,15,17,73,,1.4,1,0.217,13,0.5379999999999999,7,55.7,34,0.498,18.1,16,47,0.34,16,0.565,13,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,72.4,Away,MARQUETTE,Marquette,Marquette,big-east,24,False,False,False,Away,True,12,21,63,27,61,7,16,60,1,0,223,416,1385,0.5418772563176896,858,1572,0.5458015267175572,163,422,1446,0.46092669432918393,0.8333333333333334
25,2019-02-20-21-marquette,40.0,10,2.8,1,112.9,63.3,19,0.483,60,0.41700000000000004,25,0.2,12,0.917,11,12,200,98.6,29.4,10,17,69,,10.0,7,0.4,24,0.33299999999999996,8,45.3,29,0.525,18.7,15,36,0.47200000000000003,17,0.556,15,"February 20, 2019",50.0,14,16.7,6,98.6,70.6,24,0.57,57,0.491,28,0.316,18,0.778,14,4,200,112.9,36.7,11,15,79,11.0,7.1,5,0.368,21,0.429,9,54.7,35,0.603,18.8,15,36,0.528,19,0.846,22,"Fiserv Forum, Milwaukee, Wisconsin",BUTLER,Butler,70.1,Home,MARQUETTE,Marquette,Marquette,big-east,25,True,False,True,Home,True,9,19,57,35,64,8,17,60,1,0,235,437,1448,0.5452348066298343,885,1633,0.5419473361910594,170,438,1506,0.4601593625498008,0.84
26,2019-02-23-12-providence,42.9,12,10.8,4,90.6,76.9,30,0.647,51,0.5489999999999999,28,0.255,13,0.769,10,4,200,118.8,23.8,5,18,76,11.0,1.6,1,0.41200000000000003,21,0.47600000000000003,10,58.3,35,0.665,17.5,12,30,0.6,18,0.852,23,"February 23, 2019",45.5,10,13.3,4,118.8,76.2,16,0.439,57,0.386,22,0.281,16,0.5,8,13,200,90.6,23.1,9,14,58,,7.8,5,0.35100000000000003,20,0.3,6,41.7,25,0.449,11.1,8,37,0.43200000000000005,16,0.536,15,"Dunkin' Donuts Center, Providence, Rhode Island",PROVIDENCE,Providence,63.9,Away,MARQUETTE,Marquette,Marquette,big-east,26,False,False,False,Away,True,10,18,51,35,60,6,16,57,1,0,244,456,1505,0.5461794019933555,920,1697,0.5421331761932823,178,455,1566,0.4610472541507024,0.8461538461538461
27,2019-02-27-21-villanova,52.2,12,7.7,2,101.5,67.6,25,0.573,48,0.479,23,0.20800000000000002,10,0.6,6,5,200,92.4,18.2,4,20,61,10.0,1.5,1,0.45799999999999996,22,0.409,9,49.2,29,0.578,24.5,17,26,0.5379999999999999,14,0.821,23,"February 27, 2019",70.0,14,11.5,3,92.4,81.8,18,0.42200000000000004,58,0.345,20,0.44799999999999995,26,0.6920000000000001,18,8,200,101.5,32.4,12,15,67,,6.1,4,0.552,32,0.281,9,50.8,30,0.47600000000000003,9.2,7,26,0.423,11,0.7240000000000001,21,"Finneran Pavilion, Villanova, Pennsylvania",MARQUETTE,Marquette,65.6,Home,VILLANOVA,Villanova,Marquette,big-east,27,False,False,False,Away,False,9,14,48,29,59,9,11,58,0,1,254,474,1556,0.5494858611825193,955,1757,0.543540125213432,184,471,1623,0.4602587800369686,0.8518518518518519
