,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MOUNT-ST-MARYS_homegame,MOUNT-ST-MARYS_homegame2,MOUNT-ST-MARYS_home,MOUNT-ST-MARYS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-north-carolina-state,40.0,8,5.8,3,138.2,51.4,19,0.369,61,0.32799999999999996,20,0.262,16,0.625,10,1,200,72.4,20.5,8,19,55,,5.3,4,0.344,21,0.23800000000000002,5,35.5,27,0.401,20.9,18,40,0.375,15,0.0,0,"November 6, 2018",43.9,18,15.0,6,72.4,79.5,31,0.622,74,0.5539999999999999,41,0.27,20,0.65,13,0,200,138.2,48.6,18,13,105,,15.8,12,0.297,22,0.455,10,64.5,49,0.629,8.8,8,52,0.596,31,1.0,1,"PNC Arena, Raleigh, North Carolina",MOUNT-ST-MARYS,Mount St. Mary's,76.1,Home,NORTH-CAROLINA-STATE,NC State,Mount St. Mary's,northeast,0,False,False,False,Away,False,5,15,61,27,76,10,31,74,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-hofstra,34.8,8,4.9,2,108.2,80.6,29,0.48200000000000004,56,0.41100000000000003,23,0.304,17,0.41200000000000003,7,2,197,83.6,8.1,3,18,61,,6.8,5,0.429,24,0.33299999999999996,8,43.8,32,0.47600000000000003,14.8,11,32,0.469,15,0.0,0,"November 9, 2018",51.7,15,12.5,4,83.6,91.9,34,0.523,64,0.45299999999999996,29,0.281,18,0.667,12,0,197,108.2,19.4,7,16,79,,8.2,6,0.359,23,0.391,9,56.2,41,0.544,10.0,8,41,0.488,20,1.0,1,"Mack Sports Complex, Hempstead, New York",MOUNT-ST-MARYS,Mount St. Mary's,73.9,Home,HOFSTRA,Hofstra,Mount St. Mary's,northeast,1,False,False,False,Away,False,8,15,56,32,73,9,20,64,0,1,5,15,61,0.36885245901639346,27,76,0.35526315789473684,10,31,74,0.6216216216216216,0.0
2,2018-11-14-19-marshall,64.3,18,0.0,0,119.5,84.6,33,0.593,54,0.519,28,0.389,21,0.524,11,3,200,91.5,20.0,6,13,75,,3.7,3,0.33299999999999996,18,0.444,8,56.5,39,0.586,27.5,24,36,0.556,20,0.0,0,"November 14, 2018",75.7,28,5.6,2,91.5,80.0,24,0.637,73,0.507,37,0.192,14,0.35700000000000004,5,0,200,119.5,15.4,6,19,98,,14.6,12,0.616,45,0.42200000000000004,19,43.5,30,0.615,10.2,9,28,0.643,18,1.0,3,"Henderson Center, Huntington, West Virginia",MOUNT-ST-MARYS,Mount St. Mary's,82.3,Home,MARSHALL,Marshall,Mount St. Mary's,northeast,2,False,False,False,Away,False,8,20,54,39,69,19,18,73,0,1,13,30,117,0.4230769230769231,59,149,0.3959731543624161,19,51,138,0.5760869565217391,0.0
3,2018-11-18-16-maryland,45.8,11,2.4,1,122.7,50.0,12,0.483,60,0.4,24,0.36700000000000005,22,0.8640000000000001,19,4,200,102.7,18.8,6,18,77,,13.3,10,0.483,29,0.345,10,32.1,18,0.546,14.7,12,31,0.452,14,0.0,0,"November 18, 2018",60.5,23,16.1,5,102.7,81.3,26,0.68,61,0.623,38,0.24600000000000002,15,0.6,9,0,200,122.7,50.0,12,19,92,,9.3,7,0.311,19,0.368,7,67.9,38,0.675,21.0,18,42,0.738,31,1.0,5,"Xfinity Center, College Park, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,75.3,Home,MARYLAND,Maryland,Mount St. Mary's,northeast,3,False,False,False,Away,False,10,14,60,18,56,7,31,61,0,1,21,50,171,0.4766081871345029,98,218,0.44954128440366975,38,69,211,0.5971563981042654,0.0
4,2018-11-21-17-mount-st-marys,60.0,15,5.6,2,92.3,65.6,21,0.546,54,0.46299999999999997,25,0.37,20,0.75,15,5,200,113.8,33.3,9,9,74,,10.8,7,0.29600000000000004,16,0.563,9,50.8,30,0.583,16.0,12,38,0.42100000000000004,16,0.16699999999999998,1,"November 21, 2018",39.1,9,7.9,3,113.8,66.7,18,0.44799999999999995,58,0.397,23,0.19,11,0.727,8,5,200,92.3,34.4,11,19,60,,6.2,4,0.379,22,0.273,6,49.2,29,0.474,16.0,12,36,0.47200000000000003,17,0.0,0,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,65.4,Away,NORTH-CAROLINA-AT,North Carolina A&T,Mount St. Mary's,northeast,4,False,True,True,Home,False,6,17,58,29,59,9,16,54,0,1,31,64,231,0.47835497835497837,116,274,0.4233576642335766,45,100,272,0.6158088235294118,0.0
5,2018-11-25-13-morgan-state,57.9,11,12.2,6,92.9,75.0,27,0.406,53,0.358,19,0.774,41,0.61,25,6,200,81.0,41.7,15,24,68,,4.8,4,0.396,21,0.23800000000000002,5,58.3,42,0.469,26.8,26,32,0.43799999999999994,14,0.0,0,"November 25, 2018",52.0,13,12.5,4,81.0,58.3,21,0.431,65,0.385,25,0.415,27,0.815,22,3,200,92.9,25.0,9,30,78,,11.9,10,0.24600000000000002,16,0.375,6,41.7,30,0.501,16.3,15,49,0.38799999999999996,19,0.4,2,"Hill Field House, Baltimore, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,83.7,Home,MORGAN-STATE,Morgan State,Mount St. Mary's,northeast,5,False,False,False,Away,False,5,14,53,42,72,6,19,65,0,1,37,81,289,0.47231833910034604,145,333,0.43543543543543545,54,116,326,0.6042944785276073,0.0
6,2018-12-01-13-loyola-md,52.0,13,6.1,2,100.0,81.3,26,0.402,66,0.379,25,0.242,16,0.75,12,7,200,86.7,18.9,7,25,65,,5.3,4,0.303,20,0.15,3,47.8,33,0.442,13.1,11,46,0.478,22,0.0,0,"December 1, 2018",54.5,12,8.7,4,86.7,81.1,30,0.48,49,0.449,22,0.755,37,0.757,28,5,200,100.0,18.8,6,16,75,,9.3,7,0.327,16,0.188,3,52.2,36,0.563,15.5,12,33,0.5760000000000001,19,0.375,3,"Reitz Arena, Baltimore, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,75.1,Home,LOYOLA-MD,Loyola (MD),Mount St. Mary's,northeast,6,False,False,False,Away,False,3,22,66,33,69,3,19,49,0,1,42,95,342,0.4619883040935672,187,405,0.4617283950617284,60,135,391,0.5754475703324808,0.0
7,2018-12-05-18-st-johns-ny,48.0,12,3.7,1,121.4,84.6,22,0.517,60,0.41700000000000004,25,0.233,14,0.643,9,8,200,101.4,25.7,9,13,71,,7.1,5,0.517,31,0.387,12,50.8,31,0.5329999999999999,17.5,14,29,0.44799999999999995,13,0.0,0,"December 5, 2018",58.1,18,13.8,4,101.4,74.3,26,0.6940000000000001,54,0.574,31,0.29600000000000004,16,0.625,10,0,200,121.4,15.4,4,13,85,,8.6,6,0.5,27,0.48100000000000004,13,49.2,30,0.69,15.3,11,27,0.667,18,1.0,8,"Carnesecca Arena, Jamaica, New York",MOUNT-ST-MARYS,Mount St. Mary's,70.1,Home,ST-JOHNS-NY,St. John's (NY),Mount St. Mary's,northeast,7,False,False,False,Away,False,12,13,60,31,61,13,18,54,0,1,45,117,408,0.4522058823529412,220,474,0.4641350210970464,63,154,440,0.5647727272727273,0.0
8,2018-12-08-16-mount-st-marys,56.5,13,3.4,1,98.7,80.6,29,0.52,50,0.46,23,0.8,40,0.825,33,3,200,107.6,35.7,10,22,85,,5.1,4,0.3,15,0.4,6,60.9,39,0.616,21.9,19,35,0.486,17,0.667,6,"December 8, 2018",44.0,11,11.4,4,107.6,64.3,18,0.46,63,0.397,25,0.381,24,0.833,20,9,200,98.7,19.4,7,29,78,,10.1,8,0.54,34,0.235,8,39.1,25,0.524,14.0,12,29,0.586,17,0.0,0,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,78.7,Away,LEHIGH,Lehigh,Mount St. Mary's,northeast,8,False,True,True,Home,False,8,17,63,25,64,6,17,50,0,1,57,130,468,0.46047008547008544,251,535,0.4691588785046729,76,172,494,0.5789473684210527,0.0
9,2018-12-15-16-mount-st-marys,58.3,14,9.7,3,102.8,64.7,22,0.475,59,0.40700000000000003,24,0.068,4,0.75,3,0,200,81.9,17.6,6,16,59,,5.6,4,0.45799999999999996,27,0.29600000000000004,8,41.2,28,0.484,22.9,18,32,0.5,16,0.0,0,"December 15, 2018",50.0,14,6.3,2,81.9,82.4,28,0.541,61,0.45899999999999996,28,0.27899999999999997,17,0.47100000000000003,8,9,200,102.8,35.3,12,14,74,,12.5,9,0.49200000000000005,30,0.33299999999999996,10,58.8,40,0.536,17.0,14,31,0.581,18,0.1,1,"Knott Arena, Emmitsburg, Maryland","Wilson
			","Wilson
			",72.0,Home,MOUNT-ST-MARYS,Mount St. Mary's,Mount St. Mary's,northeast,9,True,False,True,Home,True,10,18,61,40,68,8,16,59,1,0,65,147,531,0.4604519774011299,276,599,0.4607679465776294,82,189,544,0.5735294117647058,0.0
