,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TROY_homegame,TROY_homegame2,TROY_home,TROY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-troy,15.0,3,6.5,2,135.7,65.5,19,0.5,47,0.426,20,0.319,15,0.867,13,0,200,85.7,28.0,7,18,60,,5.7,4,0.36200000000000004,17,0.41200000000000003,7,48.1,26,0.5539999999999999,29.1,22,30,0.433,13,0.0,0,"November 6, 2018",68.8,22,13.3,4,85.7,72.0,18,0.613,62,0.516,32,0.387,24,0.792,19,0,200,135.7,34.5,10,12,95,,11.4,8,0.5,31,0.387,12,51.9,28,0.647,8.8,7,31,0.645,20,1.0,1,"Trojan Arena, Troy, Alabama","Fort Valley State
			","Fort Valley State
			",69.8,Home,TROY,Troy,Troy,sun-belt,0,True,False,True,Home,True,12,20,62,28,54,7,13,47,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-20-saint-louis,71.4,15,13.3,4,91.2,66.7,26,0.435,54,0.389,21,0.278,15,0.733,11,1,200,85.3,16.7,5,22,58,,11.8,8,0.389,21,0.23800000000000002,5,44.9,31,0.474,18.8,14,33,0.485,16,0.5,1,"November 10, 2018",76.2,16,9.1,3,85.3,83.3,25,0.446,56,0.375,21,0.446,25,0.48,12,0,200,91.2,33.3,13,17,62,,10.3,7,0.46399999999999997,26,0.308,8,55.1,38,0.457,13.0,10,30,0.433,13,1.0,2,"Chaifetz Arena, St. Louis, Missouri",TROY,Troy,67.5,Home,SAINT-LOUIS,Saint Louis,Troy,sun-belt,1,False,False,False,Away,False,5,16,54,31,69,8,13,56,0,1,12,20,62,0.6129032258064516,28,54,0.5185185185185185,7,13,47,0.5,1.0
2,2018-11-12-19-pittsburgh,63.6,14,15.2,5,116.7,75.9,22,0.397,63,0.349,22,0.444,28,0.893,25,2,200,104.2,28.6,10,16,75,,5.6,4,0.33299999999999996,21,0.28600000000000003,6,50.0,32,0.491,8.5,7,42,0.381,16,0.33299999999999996,1,"November 12, 2018",66.7,20,4.8,2,104.2,71.4,25,0.583,60,0.5,30,0.28300000000000003,17,0.8240000000000001,14,0,200,116.7,24.1,7,18,84,,1.4,1,0.45,27,0.37,10,50.0,32,0.617,11.8,9,33,0.606,20,1.0,3,"Petersen Events Center, Pittsburgh, Pennsylvania",TROY,Troy,71.7,Home,PITTSBURGH,Pitt,Troy,sun-belt,2,False,False,False,Away,False,6,16,63,32,64,10,20,60,0,1,17,36,116,0.5301724137931034,59,123,0.4796747967479675,15,26,103,0.470873786407767,0.5
3,2018-11-15-19-troy,66.7,22,11.4,4,101.5,65.9,27,0.637,62,0.532,33,0.081,5,0.4,2,0,200,124.6,25.9,7,12,81,,9.2,6,0.46799999999999997,29,0.44799999999999995,13,50.0,34,0.629,11.1,8,33,0.606,20,1.0,3,"November 15, 2018",56.0,14,9.1,3,124.6,74.1,20,0.462,65,0.385,25,0.16899999999999998,11,0.545,6,3,200,101.5,34.1,14,7,66,,6.2,4,0.462,30,0.33299999999999996,10,50.0,34,0.47,11.4,9,35,0.429,15,0.25,1,"Trojan Arena, Troy, Alabama",TROY,Troy,65.3,Away,SOUTHERN-MISSISSIPPI,Southern Miss,Troy,sun-belt,3,False,True,True,Home,False,10,15,65,34,68,13,20,62,0,1,23,52,179,0.48324022346368717,91,187,0.48663101604278075,25,46,163,0.5122699386503068,0.3333333333333333
4,2018-11-18-15-troy,57.1,16,0.0,0,110.8,72.0,18,0.54,62,0.452,28,0.242,15,0.667,10,3,200,104.1,20.0,6,19,77,,5.4,4,0.484,30,0.36700000000000005,11,43.6,24,0.557,14.9,12,32,0.531,17,0.4,2,"November 18, 2018",41.4,12,15.6,5,104.1,80.0,24,0.589,56,0.518,29,0.429,24,0.667,16,3,200,110.8,28.0,7,13,82,,4.1,3,0.33899999999999997,19,0.42100000000000004,8,56.4,31,0.608,15.3,12,37,0.568,21,0.4,2,"Trojan Arena, Troy, Alabama",CENTRAL-ARKANSAS,Central Arkansas,73.8,Home,TROY,Troy,Troy,sun-belt,4,True,False,True,Home,True,8,21,56,31,55,11,17,62,1,0,33,67,244,0.4774590163934426,125,255,0.49019607843137253,38,66,225,0.5466666666666666,0.25
5,2018-11-24-12-troy,47.4,9,3.0,1,114.9,76.7,23,0.39,59,0.322,19,0.305,18,0.667,12,4,200,86.6,29.3,12,14,58,,6.0,4,0.542,32,0.25,8,49.3,35,0.429,15.2,12,27,0.40700000000000003,11,0.33299999999999996,2,"November 24, 2018",50.0,15,14.8,4,86.6,70.7,29,0.614,57,0.526,30,0.263,15,0.467,7,3,200,114.9,23.3,7,14,77,,11.9,8,0.42100000000000004,24,0.41700000000000004,10,50.7,36,0.6,13.6,10,33,0.606,20,0.5,3,"Trojan Arena, Troy, Alabama",NORTH-ALABAMA,North Alabama,67.3,Home,TROY,Troy,Troy,sun-belt,5,True,False,True,Home,True,10,20,57,36,71,8,11,59,1,0,41,88,300,0.49833333333333335,156,310,0.5032258064516129,49,83,287,0.5452961672473867,0.4
6,2018-11-29-20-troy,48.1,13,4.8,2,90.2,61.5,24,0.516,63,0.429,27,0.317,20,0.7,14,4,225,96.3,18.2,6,18,79,,9.8,8,0.429,27,0.40700000000000003,11,41.7,30,0.545,18.2,16,36,0.444,16,0.429,3,"November 29, 2018",37.0,10,11.1,4,96.3,81.8,27,0.426,68,0.397,27,0.309,21,0.762,16,4,225,90.2,38.5,15,21,74,,11.0,9,0.382,26,0.154,4,58.3,42,0.475,19.7,19,42,0.5479999999999999,23,0.429,3,"Trojan Arena, Troy, Alabama",TROY,Troy,73.1,Away,AUSTIN-PEAY,Austin Peay,Troy,sun-belt,6,False,True,True,Home,False,4,23,68,42,72,11,16,63,0,1,51,108,357,0.5168067226890757,192,381,0.5039370078740157,57,94,346,0.5187861271676301,0.5
7,2018-12-03-20-florida-state,43.5,10,12.5,5,103.8,59.5,22,0.49,52,0.442,23,0.34600000000000003,18,0.889,16,5,200,83.8,13.3,4,17,67,,10.0,8,0.365,19,0.263,5,38.8,26,0.5529999999999999,26.9,22,33,0.545,18,0.375,3,"December 3, 2018",48.3,14,9.1,3,83.8,86.7,26,0.493,69,0.42,29,0.29,20,0.75,15,1,200,103.8,40.5,15,18,83,11.0,11.3,9,0.42,29,0.345,10,61.2,41,0.529,17.9,17,40,0.475,19,0.875,7,"Donald L. Tucker Center, Tallahassee, Florida",TROY,Troy,79.5,Home,FLORIDA-STATE,Florida State,Troy,sun-belt,7,False,False,False,Away,False,5,18,52,26,67,10,19,69,0,1,55,131,425,0.5023529411764706,234,453,0.5165562913907285,68,110,409,0.5183374083129584,0.42857142857142855
8,2018-12-12-15-troy,61.1,11,0.0,0,120.5,70.4,19,0.33299999999999996,60,0.3,18,0.11699999999999999,7,0.429,3,0,200,58.9,17.9,7,15,43,,9.6,7,0.28300000000000003,17,0.235,4,39.4,26,0.34,22.2,18,43,0.326,14,0.0,0,"December 12, 2018",45.7,16,9.3,4,58.9,82.1,32,0.653,59,0.593,35,0.322,19,0.579,11,5,200,120.5,29.6,8,9,88,,13.7,10,0.33899999999999997,20,0.35,7,60.6,40,0.647,15.1,12,39,0.718,28,0.444,4,"Trojan Arena, Troy, Alabama","Carver College
			","Carver College
			",73.2,Home,TROY,Troy,Troy,sun-belt,8,True,False,True,Home,True,7,28,59,40,66,4,14,60,1,0,60,149,477,0.5010482180293501,260,520,0.5,78,129,478,0.5146443514644351,0.375
9,2018-12-16-15-western-kentucky,60.6,20,12.8,6,105.2,59.0,23,0.639,61,0.541,33,0.19699999999999998,12,0.75,9,5,200,113.0,20.0,6,20,87,,7.8,6,0.41,25,0.48,12,42.0,29,0.652,17.4,14,36,0.583,21,0.5,5,"December 16, 2018",42.3,11,2.8,1,113.0,80.0,24,0.431,65,0.4,26,0.47700000000000004,31,0.8059999999999999,25,5,200,105.2,41.0,16,16,81,,14.3,11,0.27699999999999997,18,0.222,4,58.0,40,0.508,16.9,16,47,0.46799999999999997,22,0.5,5,"E.A. Diddle Arena, Bowling Green, Kentucky",WESTERN-KENTUCKY,Western Kentucky,77.2,Away,TROY,Troy,Troy,sun-belt,9,False,False,False,Away,True,12,21,61,29,69,4,22,65,1,0,67,177,536,0.5177238805970149,300,586,0.5119453924914675,82,143,538,0.4944237918215613,0.4444444444444444
