,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,RADFORD_homegame,RADFORD_homegame2,RADFORD_home,RADFORD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-19-north-carolina-greensboro,47.8,11,6.5,2,104.8,66.7,18,0.442,60,0.38299999999999995,23,0.1,6,0.833,5,5,200,93.5,35.3,12,13,58,,6.5,4,0.4,24,0.292,7,49.2,30,0.461,13.8,10,36,0.444,16,0.545,6,"December 18, 2018",48.0,12,13.9,5,93.5,64.7,22,0.5379999999999999,53,0.47200000000000003,25,0.20800000000000002,11,0.727,8,2,200,104.8,33.3,9,11,65,,9.7,6,0.415,22,0.318,7,50.8,31,0.5579999999999999,18.4,13,31,0.581,18,0.846,11,"Greensboro Coliseum, Greensboro, North Carolina",RADFORD,Radford,61.5,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Radford,big-south,10,False,False,False,Away,False,7,16,60,30,61,7,18,53,0,1,91,188,597,0.5435510887772195,323,632,0.5110759493670886,79,167,575,0.4965217391304348,0.6
11,2018-12-21-18-radford,68.0,17,5.4,2,117.6,62.1,18,0.534,58,0.431,25,0.155,9,0.667,6,4,200,100.0,15.2,5,17,68,,5.9,4,0.534,31,0.387,12,37.1,23,0.546,15.1,11,27,0.48100000000000004,13,0.667,8,"December 21, 2018",58.1,18,14.8,4,100.0,84.8,28,0.589,62,0.5,31,0.226,14,0.5,7,5,200,117.6,37.9,11,13,80,,10.3,7,0.40299999999999997,25,0.44,11,62.9,39,0.583,13.9,11,37,0.541,20,0.583,7,"Donald N. Dedmon Center, Radford, Virginia",GEORGIA-SOUTHERN,Georgia Southern,68.5,Home,RADFORD,Radford,Radford,big-south,11,True,False,True,Home,True,11,20,62,39,62,12,13,58,1,0,98,204,657,0.5342465753424658,353,693,0.5093795093795094,86,185,628,0.5,0.5454545454545454
12,2018-12-29-18-maryland,53.8,14,12.1,4,118.2,61.5,16,0.455,66,0.39399999999999996,26,0.121,8,0.5,4,6,200,97.0,27.5,11,22,64,,12.1,8,0.28800000000000003,19,0.42100000000000004,8,40.9,27,0.45799999999999996,9.1,7,47,0.38299999999999995,18,0.5379999999999999,7,"December 29, 2018",60.0,15,12.8,6,97.0,72.5,29,0.5379999999999999,53,0.47200000000000003,25,0.47200000000000003,25,0.84,21,3,200,118.2,38.5,10,13,78,,4.5,3,0.377,20,0.35,7,59.1,39,0.601,15.8,12,33,0.545,18,0.769,10,"Xfinity Center, College Park, Maryland",RADFORD,Radford,66.3,Home,MARYLAND,Maryland,Radford,big-south,12,False,False,False,Away,False,8,18,66,27,66,7,18,53,0,1,109,224,719,0.53894297635605,392,755,0.519205298013245,98,198,686,0.5029154518950437,0.5833333333333334
13,2019-01-01-15-radford,33.3,6,2.8,1,121.2,61.3,19,0.406,48,0.375,18,0.41700000000000004,20,0.6,12,0,200,77.3,17.1,6,15,51,,9.1,6,0.375,18,0.16699999999999998,3,37.9,25,0.44299999999999995,19.8,14,30,0.5,15,0.0,0,"January 1, 2019",48.4,15,13.3,4,77.3,82.9,29,0.54,63,0.49200000000000005,31,0.23800000000000002,15,0.8,12,6,200,121.2,38.7,12,16,80,,12.1,8,0.429,27,0.222,6,62.1,41,0.57,10.3,8,36,0.6940000000000001,25,0.5710000000000001,8,"Donald N. Dedmon Center, Radford, Virginia","Mars Hill
			","Mars Hill
			",65.8,Home,RADFORD,Radford,Radford,big-south,13,True,False,True,Home,True,6,25,63,41,66,3,15,48,1,0,117,242,785,0.5318471337579618,419,821,0.510353227771011,105,216,739,0.5054127198917456,0.5384615384615384
14,2019-01-05-16-radford,47.8,11,4.0,1,102.9,76.7,23,0.491,57,0.40399999999999997,23,0.21100000000000002,12,0.667,8,6,200,92.8,17.6,6,30,64,,7.2,5,0.491,28,0.35700000000000004,10,45.3,29,0.51,16.2,12,29,0.44799999999999995,13,0.625,10,"January 5, 2019",57.9,11,17.2,5,92.8,82.4,28,0.447,47,0.40399999999999997,19,0.809,38,0.763,29,6,200,102.9,23.3,7,17,71,,8.7,6,0.46799999999999997,22,0.182,4,54.7,35,0.546,14.7,11,25,0.6,15,0.6,9,"Donald N. Dedmon Center, Radford, Virginia",LONGWOOD,Longwood,68.9,Home,RADFORD,Radford,Radford,big-south,14,True,False,True,Home,True,4,15,47,35,64,10,13,57,1,0,123,267,848,0.5324292452830188,460,887,0.5186020293122886,108,231,787,0.4993646759847522,0.5714285714285714
15,2019-01-10-19-south-carolina-upstate,57.1,16,0.0,0,102.9,75.9,22,0.62,50,0.56,28,0.5,25,0.68,17,6,200,112.9,24.0,6,16,79,,14.3,10,0.28,14,0.429,6,51.9,28,0.638,20.8,16,36,0.611,22,0.625,10,"January 10, 2019",50.0,13,2.8,1,112.9,76.0,19,0.596,52,0.5,26,0.308,16,0.625,10,12,200,102.9,24.1,7,24,72,,7.1,5,0.5579999999999999,29,0.345,10,48.1,26,0.604,21.3,16,23,0.696,16,0.294,5,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,70.2,Away,RADFORD,Radford,Radford,big-south,15,False,False,False,Away,True,6,22,50,28,54,10,16,52,1,0,127,282,895,0.5279329608938548,495,951,0.5205047318611987,118,244,844,0.49881516587677727,0.6
16,2019-01-12-16-radford,63.0,17,11.1,2,109.7,87.0,20,0.563,56,0.48200000000000004,27,0.33899999999999997,19,0.737,14,9,200,106.9,25.0,7,19,77,,13.9,10,0.46399999999999997,26,0.34600000000000003,9,52.9,27,0.5920000000000001,18.9,15,30,0.6,18,0.5,9,"January 12, 2019",66.7,16,10.0,3,106.9,75.0,21,0.66,47,0.511,24,0.447,21,0.81,17,6,200,109.7,13.0,3,16,79,,8.3,6,0.617,29,0.483,14,47.1,24,0.693,22.1,16,18,0.556,10,0.647,11,"Donald N. Dedmon Center, Radford, Virginia",PRESBYTERIAN,Presbyterian,71.5,Home,RADFORD,Radford,Radford,big-south,16,True,False,True,Home,True,14,10,47,24,51,9,18,56,1,0,133,304,945,0.5328042328042328,523,1005,0.5203980099502488,128,260,896,0.5044642857142857,0.625
17,2019-01-17-21-radford,31.8,7,6.5,2,127.1,64.0,16,0.51,48,0.45799999999999996,22,0.292,14,0.643,9,7,200,98.3,17.9,5,10,58,,6.8,4,0.292,14,0.35700000000000004,5,39.6,21,0.531,14.2,9,34,0.5,17,0.611,11,"January 17, 2019",67.9,19,2.9,1,98.3,82.1,23,0.605,57,0.491,28,0.158,9,0.667,6,6,200,127.1,36.0,9,14,75,,6.8,4,0.456,26,0.5,13,60.4,32,0.612,11.6,8,31,0.484,15,0.667,12,"Donald N. Dedmon Center, Radford, Virginia",GARDNER-WEBB,Gardner-Webb,59.5,Home,RADFORD,Radford,Radford,big-south,17,True,False,True,Home,True,13,15,57,32,53,5,17,48,1,0,147,314,992,0.5388104838709677,547,1056,0.5179924242424242,137,278,952,0.5078781512605042,0.6470588235294118
18,2019-01-19-16-north-carolina-asheville,68.0,17,14.8,4,101.6,76.7,23,0.602,49,0.51,25,0.429,21,0.5710000000000001,12,6,200,114.5,44.4,12,16,71,,8.1,5,0.469,23,0.391,9,61.4,35,0.602,20.5,15,26,0.615,16,0.684,13,"January 19, 2019",54.5,12,11.5,3,114.5,55.6,15,0.48100000000000004,53,0.415,22,0.226,12,1.0,12,17,200,101.6,23.3,7,19,63,,11.3,7,0.491,26,0.26899999999999996,7,38.6,22,0.537,14.6,10,27,0.556,15,0.105,2,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,61.8,Away,RADFORD,Radford,Radford,big-south,18,False,False,False,Away,True,9,16,49,35,57,7,15,53,1,0,160,329,1049,0.5424213536701621,579,1109,0.5220919747520288,142,295,1000,0.508,0.6666666666666666
19,2019-01-21-19-longwood,27.6,8,16.7,4,89.4,80.8,21,0.55,60,0.483,29,0.133,8,0.75,6,6,200,109.1,26.7,8,17,72,,6.1,4,0.4,24,0.33299999999999996,8,51.8,29,0.564,14.8,11,36,0.583,21,0.7,14,"January 21, 2019",47.4,9,13.9,5,109.1,73.3,22,0.479,47,0.40399999999999997,19,0.319,15,0.9329999999999999,14,9,200,89.4,19.2,5,17,59,,6.1,4,0.489,23,0.304,7,48.2,27,0.545,23.0,16,24,0.5,12,0.5710000000000001,12,"Willett Hall, Farmville, Virginia",LONGWOOD,Longwood,66.0,Away,RADFORD,Radford,Radford,big-south,19,False,False,False,Away,True,8,21,60,29,56,7,12,47,1,0,169,345,1098,0.5450819672131147,614,1166,0.5265866209262435,149,310,1053,0.50664767331434,0.6842105263157895
20,2019-01-24-19-radford,40.0,12,10.8,4,132.3,58.3,14,0.6629999999999999,52,0.5770000000000001,30,0.25,13,0.6920000000000001,9,11,200,120.0,31.8,7,16,78,,4.6,3,0.442,23,0.391,9,45.7,21,0.67,17.2,12,29,0.7240000000000001,21,0.389,7,"January 24, 2019",58.1,18,3.4,1,120.0,68.2,15,0.5920000000000001,60,0.517,31,0.28300000000000003,17,0.882,15,6,200,132.3,41.7,10,11,86,,9.2,6,0.38299999999999995,23,0.391,9,54.3,25,0.632,11.8,9,37,0.595,22,0.7140000000000001,15,"Donald N. Dedmon Center, Radford, Virginia",CHARLESTON-SOUTHERN,Charleston Southern,65.1,Home,RADFORD,Radford,Radford,big-south,20,True,False,True,Home,True,9,22,60,25,46,9,21,52,1,0,177,366,1158,0.5453367875647669,643,1222,0.5261865793780688,156,322,1100,0.5054545454545455,0.7
21,2019-01-30-19-radford,57.1,12,13.9,5,100.0,80.0,24,0.509,55,0.382,21,0.273,15,0.8,12,9,200,101.5,20.6,7,17,68,,10.4,7,0.5820000000000001,32,0.43799999999999994,14,48.4,31,0.547,14.0,10,23,0.304,7,0.5710000000000001,12,"January 30, 2019",57.7,15,0.0,0,101.5,79.4,27,0.518,56,0.46399999999999997,26,0.268,15,0.6,9,7,200,100.0,20.0,6,16,67,,7.5,5,0.35700000000000004,20,0.3,6,51.6,33,0.531,16.1,12,36,0.556,20,0.682,15,"Donald N. Dedmon Center, Radford, Virginia",RADFORD,Radford,67.1,Away,CAMPBELL,Campbell,Radford,big-south,21,False,True,True,Home,False,6,20,56,33,64,14,7,55,0,1,186,388,1218,0.5476190476190477,668,1268,0.526813880126183,165,343,1152,0.5125868055555556,0.7142857142857143
22,2019-02-02-14-winthrop,39.3,11,10.3,3,82.4,82.9,34,0.602,54,0.519,28,0.389,21,0.7140000000000001,15,7,200,108.1,10.3,3,27,80,,9.5,7,0.426,23,0.391,9,52.9,37,0.625,15.9,12,31,0.613,19,0.696,16,"February 2, 2019",40.0,8,6.5,2,108.1,89.7,26,0.39799999999999996,59,0.33899999999999997,20,0.424,25,0.56,14,8,200,82.4,17.1,7,18,61,,0.0,0,0.508,30,0.233,7,47.1,33,0.43,14.6,12,29,0.44799999999999995,13,0.636,14,"Winthrop Coliseum, Rock Hill, South Carolina",WINTHROP,Winthrop,74.4,Away,RADFORD,Radford,Radford,big-south,22,False,False,False,Away,True,9,19,54,37,70,7,13,59,1,0,192,408,1274,0.5463108320251178,701,1332,0.5262762762762763,179,350,1207,0.5124275062137531,0.6818181818181818
23,2019-02-07-19-hampton,52.8,19,13.2,5,125.6,86.2,25,0.675,63,0.5710000000000001,36,0.317,20,0.8,16,7,225,129.5,30.8,8,20,101,,5.1,4,0.381,24,0.542,13,60.0,33,0.6970000000000001,15.3,13,39,0.59,23,0.708,17,"February 7, 2019",53.1,17,7.7,3,129.5,69.2,18,0.585,65,0.49200000000000005,32,0.4,26,0.846,22,12,225,125.6,13.8,4,17,98,,5.1,4,0.415,27,0.444,12,40.0,22,0.633,7.3,6,38,0.526,20,0.455,10,"Hampton Convocation Center, Hampton, Virginia",HAMPTON,Hampton,69.7,Away,RADFORD,Radford,Radford,big-south,23,False,False,False,Away,True,13,23,63,33,55,12,20,65,1,0,201,427,1328,0.5485692771084337,738,1402,0.5263908701854494,186,363,1266,0.5071090047393365,0.6956521739130435
24,2019-02-09-16-radford,53.8,14,5.7,2,104.5,66.0,31,0.565,54,0.48100000000000004,26,0.185,10,0.5,5,11,225,100.0,22.2,6,20,66,,3.0,2,0.389,21,0.429,9,50.0,37,0.562,18.2,13,33,0.515,17,0.542,13,"February 9, 2019",52.4,11,12.1,4,100.0,77.8,21,0.381,67,0.313,21,0.358,24,0.75,18,7,225,104.5,34.0,16,11,69,,4.5,3,0.478,32,0.281,9,50.0,37,0.44,3.7,3,35,0.34299999999999997,12,0.72,18,"Donald N. Dedmon Center, Radford, Virginia",HIGH-POINT,High Point,58.3,Home,RADFORD,Radford,Radford,big-south,24,True,False,True,Home,True,9,12,67,37,74,9,17,54,1,0,214,450,1391,0.5542774982027319,771,1457,0.5291695264241593,198,383,1331,0.5108940646130729,0.7083333333333334
25,2019-02-16-17-charleston-southern,64.7,11,8.0,2,85.5,81.6,31,0.331,59,0.28800000000000003,17,0.33899999999999997,20,0.65,13,8,200,83.9,40.5,17,16,52,,9.7,6,0.475,28,0.179,5,60.0,48,0.38,12.9,10,31,0.387,12,0.6920000000000001,18,"February 16, 2019",68.8,11,12.9,4,83.9,59.5,25,0.413,52,0.308,16,0.28800000000000003,15,0.667,10,13,200,85.5,18.4,7,17,53,,4.8,3,0.519,27,0.40700000000000003,11,40.0,32,0.44799999999999995,15.8,11,25,0.2,5,0.48,12,"CSU Fieldhouse, Charleston, South Carolina",RADFORD,Radford,62.3,Home,CHARLESTON-SOUTHERN,Charleston Southern,Radford,big-south,25,False,False,False,Away,False,5,12,59,48,80,11,5,52,0,1,223,462,1458,0.5462962962962963,808,1531,0.527759634225996,207,400,1385,0.5129963898916967,0.72
26,2019-02-21-19-radford,66.7,18,2.4,1,122.5,73.1,19,0.586,58,0.466,27,0.259,15,0.867,13,10,200,114.1,25.8,8,18,81,,7.0,5,0.655,38,0.368,14,47.4,27,0.622,16.8,13,20,0.65,13,0.63,17,"February 21, 2019",57.6,19,10.0,2,114.1,74.2,23,0.613,62,0.532,33,0.226,14,0.7859999999999999,11,8,200,122.5,26.9,7,14,87,,8.5,6,0.33899999999999997,21,0.47600000000000003,10,52.6,30,0.634,13.9,11,41,0.561,23,0.7040000000000001,19,"Donald N. Dedmon Center, Radford, Virginia",WINTHROP,Winthrop,71.4,Home,RADFORD,Radford,Radford,big-south,26,True,False,True,Home,True,10,23,62,30,57,14,13,58,1,0,228,474,1517,0.5379037574159525,856,1611,0.5313469894475481,218,405,1437,0.5093945720250522,0.6923076923076923
27,2019-02-23-17-radford,40.0,10,12.8,5,100.0,80.6,25,0.509,55,0.455,25,0.364,20,0.9,18,15,200,104.2,11.5,3,16,74,,8.5,6,0.4,22,0.273,6,49.1,28,0.574,13.6,10,33,0.5760000000000001,19,0.444,12,"February 23, 2019",34.6,9,3.0,1,104.2,88.5,23,0.5,57,0.456,26,0.33299999999999996,19,0.737,14,9,200,100.0,19.4,6,13,71,,9.9,7,0.316,18,0.278,5,50.9,29,0.5379999999999999,13.3,10,39,0.5379999999999999,21,0.679,19,"Donald N. Dedmon Center, Radford, Virginia",RADFORD,Radford,70.8,Away,HAMPTON,Hampton,Radford,big-south,27,False,True,True,Home,False,5,21,57,29,57,6,19,55,0,1,238,497,1579,0.5408486383787207,886,1668,0.5311750599520384,232,418,1495,0.5123745819397993,0.7037037037037037
