,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DELAWARE-STATE_homegame,DELAWARE-STATE_homegame2,DELAWARE-STATE_home,DELAWARE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-19-19-delaware,68.0,17,7.1,2,100.0,73.5,25,0.5,63,0.397,25,0.19,12,0.833,10,8,200,102.8,24.3,9,17,73,,11.3,8,0.429,27,0.48100000000000004,13,47.9,34,0.531,13.9,11,36,0.33299999999999996,12,0.273,3,"December 19, 2018",60.0,15,13.9,5,102.8,75.7,28,0.483,58,0.431,25,0.345,20,0.75,15,5,200,100.0,26.5,9,15,71,,8.5,6,0.517,30,0.2,6,52.1,37,0.526,15.2,12,28,0.679,19,0.615,8,"Bob Carpenter Center, Newark, Delaware",DELAWARE,Delaware,70.6,Away,DELAWARE-STATE,Delaware State,Delaware State,meac,10,False,False,False,Away,True,13,12,63,34,71,6,19,58,1,0,86,135,624,0.4230769230769231,321,726,0.44214876033057854,92,189,617,0.5299837925445705,0.2
11,2018-12-22-16-weber-state,41.7,10,0.0,0,107.8,67.6,23,0.423,65,0.369,24,0.24600000000000002,16,0.875,14,9,200,89.6,24.3,9,23,69,,11.7,9,0.308,20,0.35,7,45.1,32,0.475,17.2,15,45,0.37799999999999995,17,0.25,3,"December 22, 2018",53.8,14,13.3,6,89.6,75.7,28,0.517,58,0.44799999999999995,26,0.466,27,0.852,23,5,200,107.8,32.4,11,15,83,,7.8,6,0.397,23,0.348,8,54.9,39,0.586,17.7,15,35,0.514,18,0.545,6,"Dee Events Center, Ogden, Utah",DELAWARE-STATE,Delaware State,76.7,Home,WEBER-STATE,Weber State,Delaware State,meac,11,False,False,False,Away,False,7,17,65,32,71,8,18,58,0,1,99,147,687,0.43013100436681223,355,797,0.4454203262233375,98,208,675,0.5259259259259259,0.2727272727272727
12,2018-12-29-14-ball-state,40.9,9,5.1,2,145.0,70.4,19,0.349,73,0.301,22,0.11,8,0.75,6,10,200,71.3,20.8,10,26,57,,5.0,4,0.32899999999999996,24,0.292,7,38.7,29,0.371,13.6,12,49,0.306,15,0.231,3,"December 29, 2018",73.5,25,14.3,7,71.3,79.2,38,0.648,61,0.557,34,0.721,44,0.841,37,4,200,145.0,29.6,8,9,116,,7.5,6,0.361,22,0.5,11,61.3,46,0.708,8.0,7,39,0.59,23,0.6920000000000001,9,"Worthen Arena, Muncie, Indiana",DELAWARE-STATE,Delaware State,79.9,Home,BALL-STATE,Ball State,Delaware State,meac,12,False,False,False,Away,False,7,15,73,29,75,11,23,61,0,1,106,164,752,0.4295212765957447,387,868,0.44585253456221197,106,226,733,0.5252387448840382,0.25
13,2019-01-05-18-norfolk-state,41.7,10,9.4,3,111.6,55.2,16,0.401,71,0.33799999999999997,24,0.141,10,0.6,6,11,200,91.3,28.9,13,17,63,,11.6,8,0.479,34,0.265,9,39.2,29,0.41600000000000004,7.4,6,37,0.405,15,0.214,3,"January 5, 2019",70.8,17,8.1,3,91.3,71.1,32,0.536,55,0.436,24,0.436,24,0.75,18,10,200,111.6,44.8,13,12,77,,2.9,2,0.418,23,0.478,11,60.8,45,0.58,18.6,15,32,0.406,13,0.375,6,"Echols Memorial Hall, Norfolk, Virginia",DELAWARE-STATE,Delaware State,68.6,Home,NORFOLK-STATE,Norfolk State,Delaware State,meac,13,False,False,False,Away,False,9,15,71,29,74,11,13,55,0,1,113,179,825,0.4224242424242424,416,943,0.4411452810180276,117,249,794,0.5346347607052897,0.23076923076923078
14,2019-01-07-19-delaware-state,30.0,6,8.6,3,82.2,73.7,28,0.439,49,0.408,20,0.7140000000000001,35,0.6,21,15,200,87.7,24.2,8,13,64,,13.7,10,0.306,15,0.2,3,50.7,36,0.488,17.9,14,34,0.5,17,0.11800000000000001,2,"January 7, 2019",40.9,9,5.9,2,87.7,75.8,25,0.39399999999999996,66,0.33299999999999996,22,0.182,12,0.667,8,12,200,82.2,26.3,10,21,60,,11.0,8,0.47,31,0.258,8,49.3,35,0.418,15.4,13,35,0.4,14,0.2,3,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,73.2,Away,COPPIN-STATE,Coppin State,Delaware State,meac,14,False,True,True,Home,False,8,14,66,35,71,3,17,49,0,1,122,194,896,0.42075892857142855,445,1017,0.43756145526057033,128,262,849,0.5347467608951708,0.21428571428571427
15,2019-01-12-16-delaware-state,55.6,20,3.1,1,98.6,68.6,24,0.754,57,0.632,36,0.175,10,0.7,7,9,200,131.0,10.0,2,19,93,,9.9,7,0.40399999999999997,23,0.609,14,47.3,26,0.753,15.2,11,34,0.647,22,0.43799999999999994,7,"January 12, 2019",56.5,13,5.9,2,131.0,90.0,18,0.491,55,0.418,23,0.509,28,0.5710000000000001,16,13,200,98.6,31.4,11,14,70,,14.1,10,0.418,23,0.348,8,52.7,29,0.512,17.2,14,32,0.469,15,0.188,3,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,71.0,Away,NORTH-CAROLINA-AT,North Carolina A&T,Delaware State,meac,15,False,True,True,Home,False,8,15,55,29,55,14,22,57,0,1,130,208,962,0.4189189189189189,480,1088,0.4411764705882353,131,279,898,0.529510022271715,0.2
16,2019-01-14-19-delaware-state,55.6,15,17.1,6,104.5,85.2,23,0.57,50,0.54,27,0.38,19,0.737,14,9,200,106.0,39.1,9,16,71,,1.5,1,0.2,10,0.3,3,64.0,32,0.601,20.4,15,40,0.6,24,0.47100000000000003,8,"January 14, 2019",30.8,8,10.0,4,106.0,60.9,14,0.508,60,0.433,26,0.183,11,0.818,9,14,200,104.5,14.8,4,19,70,,7.5,5,0.41700000000000004,25,0.36,9,36.0,18,0.537,11.0,8,35,0.486,17,0.17600000000000002,3,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,67.1,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,Delaware State,meac,16,False,True,True,Home,False,9,17,60,18,50,3,24,50,0,1,138,223,1017,0.42281219272369713,509,1143,0.4453193350831146,145,301,955,0.5429319371727749,0.1875
17,2019-01-19-16-bethune-cookman,68.4,13,6.1,3,94.5,64.9,24,0.29100000000000004,74,0.257,19,0.095,7,0.857,6,15,200,67.1,27.5,14,16,49,,8.2,6,0.35100000000000003,26,0.192,5,43.2,38,0.317,14.4,13,48,0.292,14,0.16699999999999998,3,"January 19, 2019",72.4,21,18.8,9,67.1,72.5,37,0.47700000000000004,66,0.439,29,0.19699999999999998,13,0.462,6,11,200,94.5,35.1,13,12,69,,13.7,10,0.258,17,0.294,5,56.8,50,0.478,13.3,11,49,0.49,24,0.389,7,"Moore Gymnasium, Daytona Beach, Florida",DELAWARE-STATE,Delaware State,73.3,Home,BETHUNE-COOKMAN,Bethune-Cookman,Delaware State,meac,17,False,False,False,Away,False,5,14,74,38,88,5,24,66,0,1,147,240,1077,0.4275766016713092,527,1193,0.44174350377200333,148,325,1005,0.5442786069651742,0.17647058823529413
18,2019-01-21-16-florida-am,47.1,8,3.2,1,89.6,84.8,28,0.33899999999999997,59,0.28800000000000003,17,0.22,13,0.5379999999999999,7,16,200,70.1,25.0,10,16,47,,14.9,10,0.40700000000000003,24,0.25,6,52.1,38,0.361,14.5,11,35,0.314,11,0.158,3,"January 21, 2019",38.1,8,22.9,8,70.1,75.0,30,0.49,50,0.42,21,0.4,20,0.55,11,14,200,89.6,15.2,5,12,60,,4.5,3,0.38,19,0.368,7,47.9,35,0.504,19.2,14,31,0.452,14,0.3,6,"Al Lawson Center, Tallahassee, Florida",DELAWARE-STATE,Delaware State,67.3,Home,FLORIDA-AM,Florida A&M,Delaware State,meac,18,False,False,False,Away,False,6,11,59,38,73,7,14,50,0,1,152,254,1151,0.41876629018245004,565,1281,0.4410616705698673,153,349,1071,0.5401493930905695,0.16666666666666666
19,2019-01-26-16-howard,57.7,15,0.0,0,106.7,82.8,24,0.49200000000000005,62,0.419,26,0.306,19,0.684,13,17,200,98.7,22.6,7,21,74,,4.0,3,0.419,26,0.34600000000000003,9,51.7,31,0.521,14.6,12,36,0.47200000000000003,17,0.15,3,"January 26, 2019",60.0,18,11.1,4,98.7,77.4,24,0.55,60,0.5,30,0.33299999999999996,20,0.7,14,12,200,106.7,17.2,5,15,80,,4.0,3,0.317,19,0.316,6,48.3,29,0.5760000000000001,11.6,9,41,0.585,24,0.429,9,"Burr Gymnasium, Washington, District of Columbia",DELAWARE-STATE,Delaware State,74.8,Home,HOWARD,Howard,Delaware State,meac,19,False,False,False,Away,False,9,17,62,31,60,6,24,60,0,1,158,265,1210,0.41487603305785126,603,1354,0.44534711964549484,160,363,1121,0.5379125780553078,0.15789473684210525
