,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PRAIRIE-VIEW_homegame,PRAIRIE-VIEW_homegame2,PRAIRIE-VIEW_home,PRAIRIE-VIEW_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-22-santa-clara,45.2,14,0.0,0,90.1,53.8,21,0.569,58,0.534,31,0.379,22,0.682,15,0,200,114.1,26.7,8,26,81,,12.7,9,0.259,15,0.267,4,42.0,29,0.5920000000000001,11.7,9,43,0.628,27,1.0,1,"November 9, 2018",52.4,11,14.0,6,114.1,73.3,22,0.439,57,0.368,21,0.509,29,0.483,14,1,200,90.1,46.2,18,24,64,,8.5,6,0.526,30,0.267,8,58.0,40,0.452,21.4,19,27,0.48100000000000004,13,0.0,0,"Leavey Center, Santa Clara, California",SANTA-CLARA,Santa Clara,70.6,Away,PRAIRIE-VIEW,Prairie View,Prairie View,swac,0,False,False,False,Away,True,4,27,58,29,69,8,13,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-20-baylor,50.0,14,3.6,1,123.0,77.8,14,0.5489999999999999,61,0.45899999999999996,28,0.41,25,0.52,13,1,200,108.1,31.4,11,22,80,,10.8,8,0.361,22,0.5,11,47.2,25,0.5489999999999999,13.3,11,39,0.436,17,0.5,1,"November 12, 2018",54.8,17,28.2,11,108.1,68.6,24,0.716,51,0.608,31,0.529,27,0.667,18,1,200,123.0,22.2,4,20,91,,5.4,4,0.451,23,0.478,11,52.8,28,0.713,20.3,16,28,0.7140000000000001,20,0.667,2,"Ferrell Center, Waco, Texas",PRAIRIE-VIEW,Prairie View,74.4,Home,BAYLOR,Baylor,Prairie View,swac,1,False,False,False,Away,False,11,17,61,25,53,11,20,51,0,1,4,27,58,0.5689655172413793,29,69,0.42028985507246375,8,13,57,0.43859649122807015,1.0
2,2018-11-14-20-texas-pan-american,36.4,8,4.8,2,87.5,72.2,26,0.32899999999999996,70,0.314,22,0.257,18,0.611,11,2,200,71.3,29.5,13,29,57,,13.8,11,0.243,17,0.11800000000000001,2,48.8,39,0.363,16.1,15,53,0.377,20,0.33299999999999996,1,"November 14, 2018",47.6,10,13.2,7,71.3,70.5,31,0.40700000000000003,54,0.389,21,0.667,36,0.722,26,1,200,87.5,27.8,10,18,70,,7.5,6,0.222,12,0.16699999999999998,2,51.3,41,0.49200000000000005,20.5,18,42,0.452,19,0.75,3,"UTRGV Fieldhouse, Edinburg, Texas",PRAIRIE-VIEW,Prairie View,79.8,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Prairie View,swac,2,False,False,False,Away,False,2,20,70,39,80,2,19,54,0,1,15,44,119,0.5588235294117647,54,122,0.4426229508196721,19,33,108,0.5694444444444444,0.5
3,2018-11-17-15-lamar,42.3,11,5.9,2,101.4,67.9,19,0.41,67,0.38799999999999996,26,0.209,14,0.857,12,3,200,91.8,35.1,13,24,67,,6.8,5,0.26899999999999996,18,0.16699999999999998,3,49.2,32,0.455,16.1,14,49,0.469,23,0.25,1,"November 17, 2018",47.8,11,8.2,4,91.8,64.9,24,0.5,51,0.451,23,0.608,31,0.742,23,2,200,101.4,32.1,9,13,74,,6.8,5,0.33299999999999996,17,0.294,5,50.8,33,0.563,17.8,14,34,0.529,18,0.5,2,"Montagne Center, Beaumont, Texas",PRAIRIE-VIEW,Prairie View,72.7,Home,LAMAR,Lamar,Prairie View,swac,3,False,False,False,Away,False,3,23,67,32,65,5,18,51,0,1,17,64,189,0.47354497354497355,93,202,0.4603960396039604,21,52,162,0.5154320987654321,0.3333333333333333
4,2018-11-19-19-north-carolina-greensboro,36.4,8,2.4,1,104.2,61.5,16,0.52,51,0.431,22,0.392,20,0.65,13,4,200,93.0,20.7,6,21,66,,11.3,8,0.353,18,0.5,9,40.0,22,0.545,19.0,14,33,0.39399999999999996,13,0.2,1,"November 19, 2018",44.4,12,12.1,4,93.0,79.3,23,0.475,59,0.45799999999999996,27,0.39,23,0.7829999999999999,18,1,200,104.2,38.5,10,18,74,,8.5,6,0.28800000000000003,17,0.11800000000000001,2,60.0,33,0.529,15.8,13,42,0.595,25,0.8,4,"Greensboro Coliseum, Greensboro, North Carolina",PRAIRIE-VIEW,Prairie View,70.7,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Prairie View,swac,4,False,False,False,Away,False,9,13,51,22,55,2,25,59,0,1,20,87,256,0.45703125,125,267,0.4681647940074906,26,70,213,0.5117370892018779,0.25
5,2018-11-21-19-east-carolina,31.8,7,8.7,4,96.2,63.2,24,0.36200000000000004,65,0.33799999999999997,22,0.33799999999999997,22,0.773,17,5,200,81.0,20.5,9,21,64,,12.7,10,0.32299999999999995,21,0.14300000000000002,3,40.2,33,0.424,12.8,11,44,0.43200000000000005,19,0.16699999999999998,1,"November 21, 2018",77.8,21,13.6,6,81.0,79.5,35,0.447,66,0.409,27,0.33299999999999996,22,0.773,17,2,200,96.2,36.8,14,17,76,,10.1,8,0.303,20,0.25,5,59.8,49,0.49700000000000005,19.2,18,46,0.478,22,0.667,4,"Williams Arena at Minges Coliseum, Greenville, North Carolina",PRAIRIE-VIEW,Prairie View,79.0,Home,EAST-CAROLINA,East Carolina,Prairie View,swac,5,False,False,False,Away,False,3,19,65,33,82,5,22,66,0,1,29,100,307,0.46742671009771986,147,322,0.45652173913043476,28,95,272,0.5036764705882353,0.2
6,2018-11-23-16-georgia-tech,44.4,8,0.0,0,98.5,80.0,20,0.42700000000000005,48,0.375,18,0.33299999999999996,16,0.813,13,6,200,81.8,13.8,4,19,54,,7.6,5,0.375,18,0.278,5,44.4,24,0.486,20.3,14,30,0.433,13,0.14300000000000002,1,"November 23, 2018",58.3,14,13.3,4,81.8,86.2,25,0.51,51,0.47100000000000003,24,0.392,20,0.65,13,1,200,98.5,20.0,5,17,65,,6.1,4,0.33299999999999996,17,0.235,4,55.6,30,0.537,15.5,11,34,0.588,20,0.8,4,"McCamish Pavilion, Atlanta, Georgia",PRAIRIE-VIEW,Prairie View,66.1,Home,GEORGIA-TECH,Georgia Tech,Prairie View,swac,6,False,False,False,Away,False,5,13,48,24,54,4,20,51,0,1,32,119,372,0.4489247311827957,180,404,0.44554455445544555,33,117,338,0.492603550295858,0.16666666666666666
7,2018-12-01-20-murray-state,33.3,7,10.7,3,118.6,63.9,23,0.40700000000000003,59,0.35600000000000004,21,0.373,22,0.8640000000000001,19,7,200,95.7,26.3,10,25,67,,4.3,3,0.28800000000000003,17,0.353,6,44.6,33,0.48200000000000004,11.6,9,42,0.35700000000000004,15,0.125,1,"December 1, 2018",68.0,17,16.7,7,95.7,73.7,28,0.491,57,0.439,25,0.649,37,0.73,27,1,200,118.6,36.1,13,22,83,,7.1,5,0.509,29,0.207,6,55.4,41,0.556,12.0,10,28,0.679,19,0.8,4,"CFSB Center, Murray, Kentucky",PRAIRIE-VIEW,Prairie View,70.0,Home,MURRAY-STATE,Murray State,Prairie View,swac,7,False,False,False,Away,False,6,15,59,33,74,6,19,57,0,1,37,132,420,0.44642857142857145,204,458,0.44541484716157204,37,137,389,0.4948586118251928,0.14285714285714285
8,2018-12-04-19-louisiana-tech,57.1,16,3.3,1,112.3,74.2,23,0.544,57,0.491,28,0.21100000000000002,12,0.5,6,8,200,93.2,25.9,7,16,68,,15.1,11,0.281,16,0.375,6,51.7,30,0.542,24.3,20,41,0.537,22,0.111,1,"December 4, 2018",60.0,18,17.1,7,93.2,74.1,20,0.612,58,0.517,30,0.276,16,0.688,11,3,200,112.3,25.8,8,11,82,,8.2,6,0.483,28,0.39299999999999996,11,48.3,28,0.625,16.7,13,30,0.633,19,0.667,6,"Thomas Assembly Center, Ruston, Louisiana",PRAIRIE-VIEW,Prairie View,73.2,Home,LOUISIANA-TECH,Louisiana Tech,Prairie View,swac,8,False,False,False,Away,False,6,22,57,30,58,11,19,58,0,1,43,147,479,0.44154488517745305,237,532,0.44548872180451127,43,156,446,0.4943946188340807,0.125
9,2018-12-11-20-louisiana-lafayette,17.2,5,2.7,1,129.8,83.3,20,0.485,68,0.426,29,0.426,29,0.828,24,9,200,95.7,17.9,7,24,90,,6.4,6,0.353,24,0.33299999999999996,8,42.9,27,0.55,19.8,20,44,0.47700000000000004,21,0.1,1,"December 11, 2018",65.1,28,11.4,5,95.7,82.1,32,0.758,66,0.652,43,0.379,25,0.88,22,3,200,129.8,16.7,4,25,122,,9.6,9,0.439,29,0.483,14,57.1,36,0.7829999999999999,20.6,20,37,0.784,29,0.7,7,"Cajundome, Lafayette, Louisiana",PRAIRIE-VIEW,Prairie View,94.3,Home,LOUISIANA-LAFAYETTE,Louisiana,Prairie View,swac,9,False,False,False,Away,False,8,21,68,27,63,14,29,66,0,1,49,169,536,0.45242537313432835,267,590,0.45254237288135596,54,175,504,0.5079365079365079,0.1111111111111111
