,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MANHATTAN_homegame,MANHATTAN_homegame2,MANHATTAN_home,MANHATTAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-manhattan,61.9,13,5.6,2,84.8,66.7,22,0.556,45,0.467,21,0.4,18,0.667,12,0,200,93.9,26.1,6,14,62,,3.0,2,0.489,22,0.364,8,50.0,28,0.579,23.2,16,23,0.565,13,1.0,1,"November 6, 2018",47.6,10,0.0,0,93.9,73.9,17,0.392,65,0.32299999999999995,21,0.138,9,0.556,5,1,200,84.8,33.3,11,23,56,,13.6,9,0.446,29,0.31,9,50.0,28,0.40399999999999997,13.8,11,36,0.33299999999999996,12,0.0,0,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,66.4,Away,ELON,Elon,Manhattan,maac,0,False,True,True,Home,False,9,12,65,28,56,8,13,45,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-19-maryland-baltimore-county,50.0,10,8.3,2,111.9,67.9,19,0.5,49,0.408,20,0.184,9,0.33299999999999996,3,2,200,77.6,21.4,6,21,52,,10.4,7,0.551,27,0.33299999999999996,9,44.6,25,0.488,28.4,21,22,0.5,11,0.0,0,"November 12, 2018",73.1,19,4.5,1,77.6,78.6,22,0.613,53,0.491,26,0.245,13,0.769,10,1,200,111.9,32.1,9,13,75,,14.9,10,0.547,29,0.44799999999999995,13,55.4,31,0.634,21.4,16,24,0.542,13,0.667,2,"UMBC Event Center, Baltimore, Maryland",MANHATTAN,Manhattan,67.2,Home,MARYLAND-BALTIMORE-COUNTY,UMBC,Manhattan,maac,1,False,False,False,Away,False,9,11,49,25,56,13,13,53,0,1,9,12,65,0.3923076923076923,28,56,0.5,8,13,45,0.5555555555555556,0.0
2,2018-11-16-16-manhattan,71.4,10,5.0,1,84.6,76.5,26,0.405,42,0.33299999999999996,14,0.81,34,0.5589999999999999,19,2,200,81.5,25.8,8,24,53,,12.3,8,0.381,16,0.375,6,52.3,34,0.456,20.8,15,26,0.308,8,0.5,2,"November 16, 2018",75.0,12,3.8,1,81.5,74.2,23,0.512,41,0.39,16,0.6829999999999999,28,0.46399999999999997,13,2,200,84.6,23.5,8,28,55,,12.3,8,0.512,21,0.47600000000000003,10,47.7,31,0.506,25.2,18,20,0.3,6,0.33299999999999996,1,"Bank of Kentucky Center, Highland Heights, Kentucky",COASTAL-CAROLINA,Coastal Carolina,64.7,Home,MANHATTAN,Manhattan,Manhattan,maac,2,True,False,True,Home,True,10,6,41,31,65,6,8,42,1,0,18,23,114,0.43859649122807015,53,112,0.4732142857142857,21,26,98,0.5867346938775511,0.0
3,2018-11-17-19-northern-kentucky,55.6,10,11.1,2,90.8,78.6,22,0.40399999999999997,52,0.34600000000000003,18,0.385,20,0.55,11,3,200,81.5,23.5,8,24,53,,9.2,6,0.34600000000000003,18,0.33299999999999996,6,48.4,30,0.431,17.6,13,34,0.353,12,0.25,1,"November 17, 2018",87.5,14,23.5,8,81.5,76.5,26,0.568,37,0.43200000000000005,16,0.865,32,0.531,17,0,200,90.8,21.4,6,21,59,,7.7,5,0.514,19,0.526,10,51.6,32,0.565,26.1,18,18,0.33299999999999996,6,1.0,5,"Bank of Kentucky Center, Highland Heights, Kentucky",MANHATTAN,Manhattan,65.4,Home,NORTHERN-KENTUCKY,Northern Kentucky,Manhattan,maac,3,False,False,False,Away,False,6,12,52,30,62,10,6,37,0,1,28,29,155,0.45806451612903226,84,177,0.4745762711864407,27,34,140,0.5321428571428571,0.3333333333333333
4,2018-11-18-15-manhattan,27.3,3,9.5,2,98.2,68.2,15,0.273,44,0.25,11,0.409,18,0.778,14,4,200,69.1,46.7,14,18,38,,21.8,12,0.341,15,0.133,2,55.8,29,0.36200000000000004,21.2,14,29,0.31,9,0.2,1,"November 18, 2018",55.6,10,6.9,2,69.1,53.3,16,0.5379999999999999,40,0.45,18,0.45,18,0.611,11,3,200,98.2,31.8,7,19,54,,14.5,8,0.475,19,0.368,7,44.2,23,0.556,25.0,16,21,0.524,11,0.4,2,"Bank of Kentucky Center, Highland Heights, Kentucky",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,55.1,Home,MANHATTAN,Manhattan,Manhattan,maac,4,True,False,True,Home,True,7,11,40,23,52,2,9,44,1,0,34,41,207,0.4444444444444444,114,239,0.4769874476987448,37,40,177,0.53954802259887,0.25
5,2018-11-24-16-george-washington,58.8,10,3.6,1,102.9,66.7,14,0.327,55,0.309,17,0.273,15,0.467,7,4,200,63.2,35.7,15,21,43,,19.1,13,0.327,18,0.111,2,46.0,29,0.34600000000000003,23.6,19,37,0.405,15,0.33299999999999996,2,"November 24, 2018",68.0,17,18.9,7,63.2,64.3,27,0.622,45,0.556,25,0.489,22,0.636,14,5,200,102.9,33.3,7,19,70,,11.8,8,0.37799999999999995,17,0.353,6,54.0,34,0.631,27.7,21,28,0.679,19,0.16699999999999998,1,"Charles E. Smith Center, Washington, District of Columbia",MANHATTAN,Manhattan,67.8,Home,GEORGE-WASHINGTON,George Washington,Manhattan,maac,5,False,False,False,Away,False,2,15,55,29,63,6,19,45,0,1,41,52,247,0.45951417004048584,137,291,0.47079037800687284,39,49,221,0.48642533936651583,0.4
6,2018-12-01-19-manhattan,50.0,11,12.1,4,93.3,60.6,20,0.531,48,0.45799999999999996,22,0.20800000000000002,10,0.6,6,1,200,95.0,17.4,4,21,57,,8.3,5,0.41700000000000004,20,0.35,7,42.9,24,0.54,17.4,11,28,0.536,15,0.857,6,"December 1, 2018",44.4,8,0.0,0,95.0,82.6,19,0.435,46,0.391,18,0.609,28,0.5710000000000001,16,5,200,93.3,39.4,13,15,56,,8.3,5,0.28300000000000003,13,0.308,4,57.1,32,0.47200000000000003,19.4,14,33,0.424,14,0.28600000000000003,2,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,60.0,Away,FORDHAM,Fordham,Manhattan,maac,6,False,True,True,Home,False,4,14,46,32,56,7,15,48,0,1,43,67,302,0.43543046357615894,166,354,0.4689265536723164,45,68,266,0.5093984962406015,0.3333333333333333
7,2018-12-05-19-manhattan,46.7,7,17.5,7,92.5,67.6,23,0.41700000000000004,42,0.35700000000000004,15,0.976,41,0.8290000000000001,34,1,200,103.0,37.9,11,21,69,,4.5,3,0.35700000000000004,15,0.33299999999999996,5,54.0,34,0.561,18.9,14,27,0.37,10,0.889,8,"December 5, 2018",47.6,10,29.6,8,103.0,62.1,18,0.375,60,0.35,21,0.38299999999999995,23,0.7390000000000001,17,6,200,92.5,32.4,11,32,62,,10.4,7,0.33299999999999996,20,0.15,3,46.0,29,0.43700000000000006,11.4,9,40,0.45,18,0.25,2,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,66.7,Away,STONY-BROOK,Stony Brook,Manhattan,maac,7,False,True,True,Home,False,3,18,60,29,63,5,10,42,0,1,47,81,348,0.4353448275862069,198,410,0.48292682926829267,52,83,314,0.5127388535031847,0.2857142857142857
8,2018-12-10-19-manhattan,55.6,15,6.1,2,78.1,76.3,29,0.667,48,0.563,27,0.375,18,0.889,16,3,200,125.0,15.0,3,17,80,,7.8,5,0.354,17,0.588,10,55.2,32,0.7070000000000001,16.4,11,31,0.5479999999999999,17,0.727,8,"December 10, 2018",77.8,14,6.5,2,125.0,85.0,17,0.39799999999999996,54,0.33299999999999996,18,0.315,17,0.41200000000000003,7,7,200,78.1,23.7,9,18,50,,1.6,1,0.389,21,0.33299999999999996,7,44.8,26,0.40299999999999997,14.0,10,33,0.33299999999999996,11,0.222,2,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,63.8,Away,HOFSTRA,Hofstra,Manhattan,maac,8,False,True,True,Home,False,7,11,54,26,58,10,17,48,0,1,50,99,408,0.4264705882352941,227,473,0.4799154334038055,57,93,356,0.5014044943820225,0.25
9,2018-12-15-20-connecticut,58.8,10,6.1,2,84.7,71.4,25,0.39799999999999996,49,0.34700000000000003,17,0.245,12,0.583,7,8,200,63.9,21.2,7,23,46,,13.9,10,0.36700000000000005,18,0.278,5,47.1,32,0.42,28.8,22,31,0.387,12,0.2,2,"December 15, 2018",66.7,14,29.0,9,63.9,78.8,26,0.41100000000000003,56,0.375,21,0.429,24,0.625,15,3,200,84.7,28.6,10,18,61,,16.7,12,0.41100000000000003,23,0.174,4,52.9,36,0.45299999999999996,20.3,17,33,0.515,17,0.727,8,"Harry A. Gampel Pavilion, Storrs, Connecticut",MANHATTAN,Manhattan,72.1,Home,CONNECTICUT,UConn,Manhattan,maac,9,False,False,False,Away,False,5,12,49,32,68,4,17,56,0,1,57,110,462,0.4231601731601732,253,531,0.4764595103578154,67,110,404,0.5210396039603961,0.2222222222222222
