,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CENTRAL-MICHIGAN_homegame,CENTRAL-MICHIGAN_homegame2,CENTRAL-MICHIGAN_home,CENTRAL-MICHIGAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-central-michigan,31.0,9,0.0,0,121.0,58.1,18,0.469,65,0.446,29,0.12300000000000001,8,0.75,6,0,200,82.7,21.9,7,21,67,,8.6,7,0.33799999999999997,22,0.136,3,39.7,25,0.48700000000000004,22.6,20,43,0.605,26,0.0,0,"November 6, 2018",36.1,13,18.6,8,82.7,78.1,25,0.6,65,0.5539999999999999,36,0.508,33,0.606,20,0,200,121.0,41.9,13,13,98,,17.3,14,0.292,19,0.316,6,60.3,38,0.607,13.1,12,46,0.652,30,1.0,1,"McGuirk Arena, Mt. Pleasant, Michigan","Concordia (MI)
			","Concordia (MI)
			",80.7,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,0,True,False,True,Home,True,6,30,65,38,63,3,26,65,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-central-michigan,20.0,4,4.8,2,124.7,62.2,23,0.375,56,0.35700000000000004,20,0.5539999999999999,31,0.581,18,3,200,74.1,31.6,12,27,60,,4.9,4,0.28600000000000003,16,0.125,2,46.7,35,0.424,24.0,22,40,0.45,18,0.0,0,"November 9, 2018",58.3,21,10.0,4,74.1,68.4,26,0.575,73,0.493,36,0.384,28,0.607,17,0,200,124.7,37.8,14,27,101,,11.1,9,0.425,31,0.387,12,53.3,40,0.585,8.6,8,42,0.5710000000000001,24,1.0,2,"McGuirk Arena, Mt. Pleasant, Michigan",CHICAGO-STATE,Chicago State,80.5,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,1,True,False,True,Home,True,12,24,73,40,75,2,18,56,1,0,6,30,65,0.6,38,63,0.6031746031746031,3,26,65,0.46923076923076923,1.0
2,2018-11-15-18-central-michigan,35.3,6,18.2,6,94.4,57.1,20,0.36,57,0.298,17,0.42100000000000004,24,0.583,14,2,200,77.5,32.6,14,31,55,,5.6,4,0.439,25,0.28,7,43.6,34,0.402,21.0,18,32,0.313,10,0.33299999999999996,1,"November 15, 2018",36.4,8,6.3,2,77.5,67.4,29,0.446,56,0.39299999999999996,22,0.536,30,0.5670000000000001,17,0,200,94.4,42.9,15,20,67,,9.9,7,0.41100000000000003,23,0.261,6,56.4,44,0.47700000000000004,17.8,15,33,0.485,16,1.0,3,"Gateway Christian Academy, Bimini",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,71.3,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,2,True,False,True,Home,True,6,16,56,44,78,7,10,57,1,0,18,54,138,0.5869565217391305,78,138,0.5652173913043478,5,44,121,0.4256198347107438,1.0
3,2018-11-16-20-weber-state,32.1,9,14.9,7,101.3,76.9,20,0.47700000000000004,65,0.431,28,0.33799999999999997,22,0.636,14,1,200,98.7,25.6,10,18,76,,10.4,8,0.262,17,0.353,6,46.2,30,0.504,11.8,10,48,0.45799999999999996,22,0.75,3,"November 16, 2018",26.9,7,14.6,7,98.7,74.4,29,0.491,57,0.456,26,0.474,27,0.815,22,1,200,101.3,23.1,6,19,78,,6.5,5,0.175,10,0.4,4,53.8,35,0.5589999999999999,16.9,14,47,0.46799999999999997,22,0.75,3,"Gateway Christian Academy, Bimini",CENTRAL-MICHIGAN,Central Michigan,76.6,Home,WEBER-STATE,Weber State,Central Michigan,mac,3,False,False,False,Away,False,6,22,65,30,65,4,22,57,0,1,24,70,194,0.5463917525773195,122,216,0.5648148148148148,12,54,178,0.4044943820224719,1.0
4,2018-11-18-18-san-jose-state,35.7,10,11.5,3,105.7,60.9,14,0.525,60,0.467,28,0.38299999999999995,23,0.565,13,1,200,108.6,36.4,12,19,76,,18.6,13,0.5,30,0.233,7,46.4,26,0.536,13.6,11,30,0.7,21,0.8,4,"November 18, 2018",60.0,15,3.3,1,108.6,63.6,21,0.612,49,0.51,25,0.449,22,0.636,14,4,200,105.7,39.1,9,19,74,,1.4,1,0.469,23,0.435,10,53.6,30,0.622,24.5,19,26,0.5770000000000001,15,0.2,1,"Gateway Christian Academy, Bimini",SAN-JOSE-STATE,San Jose State,69.7,Away,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,4,False,False,False,Away,True,7,21,60,26,56,10,15,49,1,0,30,92,259,0.528957528957529,152,281,0.5409252669039146,16,76,235,0.425531914893617,0.75
5,2018-11-25-13-central-michigan,25.0,7,10.0,4,118.4,65.5,19,0.485,66,0.424,28,0.242,16,0.688,11,0,200,86.2,29.4,10,31,75,,11.5,10,0.348,23,0.348,8,46.0,29,0.51,23.9,23,43,0.465,20,0.0,0,"November 25, 2018",25.8,8,4.7,2,86.2,70.6,24,0.5670000000000001,60,0.517,31,0.7829999999999999,47,0.745,35,1,200,118.4,34.5,10,14,103,,19.5,17,0.33299999999999996,20,0.3,6,54.0,34,0.626,16.5,16,40,0.625,25,0.833,5,"McGuirk Arena, Mt. Pleasant, Michigan","Siena Heights
			","Siena Heights
			",87.5,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,5,True,False,True,Home,True,6,25,60,34,63,8,20,66,1,0,37,113,319,0.5282131661442007,178,337,0.5281899109792285,26,91,284,0.45774647887323944,0.8
6,2018-11-28-19-sam-houston-state,61.5,16,6.3,2,84.4,73.7,28,0.5870000000000001,52,0.5,26,0.519,27,0.741,20,1,200,105.2,14.8,4,23,81,,5.2,4,0.40399999999999997,21,0.429,9,49.2,32,0.625,21.0,17,31,0.5479999999999999,17,0.857,6,"November 28, 2018",50.0,11,12.9,4,105.2,85.2,23,0.434,61,0.361,22,0.344,21,0.5710000000000001,12,5,200,84.4,26.3,10,20,65,,3.9,3,0.475,29,0.31,9,50.8,33,0.45799999999999996,17.6,15,32,0.406,13,0.375,3,"Johnson Coliseum, Huntsville, Texas",SAM-HOUSTON-STATE,Sam Houston State,76.9,Away,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,6,False,False,False,Away,True,9,17,52,32,65,9,13,61,1,0,43,138,379,0.5343007915567283,212,400,0.53,34,111,350,0.46285714285714286,0.8333333333333334
7,2018-11-30-19-texas-christian,59.1,13,12.5,5,117.1,63.3,19,0.358,67,0.32799999999999996,22,0.284,19,0.737,14,2,200,81.6,22.7,10,18,62,,6.6,5,0.34299999999999997,23,0.174,4,39.2,29,0.408,12.7,11,44,0.409,18,0.75,6,"November 30, 2018",82.9,29,18.2,8,81.6,77.3,34,0.617,64,0.547,35,0.25,16,0.625,10,1,200,117.1,36.7,11,17,89,,9.2,7,0.375,24,0.375,9,60.8,45,0.622,17.4,15,40,0.65,26,0.833,5,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",CENTRAL-MICHIGAN,Central Michigan,76.3,Home,TEXAS-CHRISTIAN,TCU,Central Michigan,mac,7,False,False,False,Away,False,4,18,67,29,74,9,26,64,0,1,52,155,431,0.5406032482598608,244,465,0.524731182795699,43,124,411,0.4586374695863747,0.8571428571428571
8,2018-12-04-19-youngstown-state,38.2,13,10.9,6,93.1,59.6,31,0.514,72,0.47200000000000003,34,0.611,44,0.591,26,2,275,99.0,25.6,11,18,100,,14.9,15,0.20800000000000002,15,0.4,6,44.2,42,0.5379999999999999,16.5,18,57,0.491,28,0.778,7,"December 4, 2018",37.8,14,14.0,8,99.0,74.4,32,0.451,92,0.402,37,0.207,19,0.579,11,7,275,93.1,40.4,21,29,94,,7.9,8,0.402,37,0.243,9,55.8,53,0.465,18.0,22,55,0.509,28,0.3,3,"Beeghly Center, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,73.4,Away,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,8,False,False,False,Away,True,6,28,72,42,95,9,28,92,1,0,56,173,498,0.5160642570281124,273,539,0.5064935064935064,52,150,475,0.48,0.75
9,2018-12-08-16-central-michigan,25.8,8,14.3,5,125.0,60.5,23,0.632,57,0.544,31,0.40399999999999997,23,0.609,14,3,200,113.2,25.8,8,26,86,,6.6,5,0.386,22,0.455,10,44.9,31,0.633,18.3,15,35,0.6,21,0.5710000000000001,4,"December 8, 2018",64.3,18,2.9,1,113.2,74.2,23,0.523,64,0.43799999999999994,28,0.625,40,0.7,28,2,200,125.0,39.5,15,16,95,,10.5,8,0.45299999999999996,29,0.379,11,55.1,38,0.5720000000000001,9.9,9,35,0.486,17,0.8,8,"McGuirk Arena, Mt. Pleasant, Michigan",SOUTHERN-UTAH,Southern Utah,76.0,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,9,True,False,True,Home,True,11,17,64,38,69,10,21,57,1,0,62,201,570,0.5157894736842106,315,634,0.4968454258675079,61,178,567,0.47530864197530864,0.7777777777777778
10,2018-12-19-19-central-michigan,41.4,12,12.2,5,112.5,60.6,20,0.5,63,0.46,29,0.23800000000000002,15,0.6,9,9,200,100.0,18.2,6,21,72,,2.8,2,0.33299999999999996,21,0.23800000000000002,5,39.4,26,0.513,11.5,9,42,0.5710000000000001,24,0.308,4,"December 19, 2018",53.8,14,11.9,5,100.0,81.8,27,0.5,60,0.433,26,0.483,29,0.7240000000000001,21,2,200,112.5,39.4,13,17,81,,5.6,4,0.317,19,0.42100000000000004,8,60.6,40,0.5489999999999999,13.1,11,41,0.439,18,0.818,9,"McGuirk Arena, Mt. Pleasant, Michigan",MISSOURI-KANSAS-CITY,UMKC,72.5,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,10,True,False,True,Home,True,8,18,60,40,66,5,24,63,1,0,73,218,634,0.5165615141955836,353,703,0.5021337126600285,71,199,624,0.4895833333333333,0.8
11,2018-12-22-13-central-michigan,43.3,13,13.8,4,112.5,82.8,24,0.46399999999999997,69,0.435,30,0.159,11,0.727,8,10,200,100.0,37.8,14,22,72,,5.6,4,0.217,15,0.267,4,57.6,38,0.485,14.0,12,54,0.48100000000000004,26,0.16699999999999998,2,"December 22, 2018",40.7,11,11.1,6,100.0,62.2,23,0.594,53,0.509,27,0.528,28,0.643,18,2,200,112.5,17.2,5,13,81,,9.7,7,0.45299999999999996,24,0.375,9,42.4,28,0.611,14.4,11,29,0.621,18,0.833,10,"McGuirk Arena, Mt. Pleasant, Michigan",JACKSON-STATE,Jackson State,72.3,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,11,True,False,True,Home,True,9,18,53,28,66,4,26,69,1,0,81,236,694,0.5151296829971181,393,769,0.5110533159947984,76,223,687,0.49053857350800584,0.8181818181818182
12,2018-12-30-13-central-michigan,37.0,10,2.9,1,153.8,60.7,17,0.5329999999999999,60,0.45,27,0.25,15,0.8,12,0,200,95.0,28.1,9,24,76,,3.8,3,0.433,26,0.385,10,43.3,26,0.5660000000000001,22.2,19,34,0.5,17,0.0,0,"December 30, 2018",55.8,24,8.8,3,95.0,71.9,23,0.7609999999999999,67,0.642,43,0.507,34,0.618,21,2,200,153.8,39.3,11,16,123,,13.8,11,0.493,33,0.485,16,56.7,34,0.74,10.9,10,34,0.794,27,0.846,11,"McGuirk Arena, Mt. Pleasant, Michigan","Indiana-South Bend
			","Indiana-South Bend
			",79.6,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,12,True,False,True,Home,True,16,27,67,34,60,10,17,60,1,0,90,254,747,0.5207496653279786,421,835,0.5041916167664671,80,249,756,0.4880952380952381,0.8333333333333334
13,2019-01-05-14-miami-oh,50.0,15,6.7,2,104.1,78.4,29,0.565,62,0.484,30,0.452,28,0.5,14,2,200,113.5,28.9,11,18,84,,6.8,5,0.387,24,0.41700000000000004,10,53.3,40,0.5579999999999999,11.9,10,38,0.526,20,0.857,12,"January 5, 2019",46.2,12,7.9,3,113.5,71.1,27,0.5,62,0.419,26,0.355,22,0.682,15,6,200,104.1,21.6,8,21,77,,2.7,2,0.516,32,0.313,10,46.7,35,0.531,11.2,9,30,0.5329999999999999,16,0.5710000000000001,8,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),73.9,Away,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,13,False,False,False,Away,True,10,20,62,40,75,10,16,62,1,0,106,281,814,0.5405405405405406,455,895,0.5083798882681564,90,266,816,0.49142156862745096,0.8461538461538461
14,2019-01-08-19-central-michigan,36.4,12,6.5,3,115.8,71.4,25,0.507,75,0.44,33,0.17300000000000001,13,0.769,10,6,225,113.2,35.3,12,17,86,,5.3,4,0.467,35,0.28600000000000003,10,53.6,37,0.53,8.0,7,40,0.575,23,0.6,9,"January 8, 2019",44.1,15,5.0,2,113.2,64.7,22,0.5660000000000001,68,0.5,34,0.221,15,0.733,11,2,225,115.8,28.6,10,14,88,,6.6,5,0.324,22,0.409,9,46.4,32,0.586,12.9,11,46,0.5429999999999999,25,0.867,13,"McGuirk Arena, Mt. Pleasant, Michigan",AKRON,Akron,67.7,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,14,True,False,True,Home,True,9,25,68,32,69,10,23,75,1,0,116,301,876,0.5422374429223744,495,970,0.5103092783505154,100,282,878,0.4920273348519362,0.8571428571428571
15,2019-01-12-16-central-michigan,30.6,11,11.8,4,97.8,81.6,31,0.519,79,0.456,36,0.29100000000000004,23,0.652,15,5,225,109.0,25.0,10,25,97,,11.2,10,0.278,22,0.455,10,52.6,41,0.539,10.1,10,57,0.456,26,0.688,11,"January 12, 2019",51.9,14,12.3,7,109.0,75.0,30,0.49200000000000005,64,0.42200000000000004,27,0.547,35,0.6859999999999999,24,3,225,97.8,18.4,7,19,87,,6.7,6,0.469,30,0.3,9,47.4,37,0.54,15.9,15,34,0.529,18,0.812,13,"McGuirk Arena, Mt. Pleasant, Michigan",CENTRAL-MICHIGAN,Central Michigan,79.4,Away,BOWLING-GREEN-STATE,Bowling Green State,Central Michigan,mac,15,False,True,True,Home,False,9,18,64,37,78,10,26,79,0,1,125,326,944,0.5439618644067796,527,1039,0.507218479307026,110,305,953,0.4931794333683106,0.8666666666666667
