,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CENTRAL-CONNECTICUT-STATE_homegame,CENTRAL-CONNECTICUT-STATE_homegame2,CENTRAL-CONNECTICUT-STATE_home,CENTRAL-CONNECTICUT-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-hartford,41.4,12,21.9,7,95.8,69.4,25,0.49200000000000005,61,0.475,29,0.32799999999999996,20,0.75,15,0,200,105.6,41.9,13,21,75,,5.6,4,0.115,7,0.28600000000000003,2,56.7,38,0.532,16.7,14,54,0.5,27,1.0,1,"November 6, 2018",45.8,11,9.3,5,105.6,58.1,18,0.5,57,0.42100000000000004,24,0.316,18,0.611,11,1,200,95.8,30.6,11,21,68,,8.5,6,0.439,25,0.36,9,43.3,29,0.519,18.8,15,32,0.469,15,0.0,0,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,70.5,Away,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,0,False,False,False,Away,True,2,27,61,38,67,9,15,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-18-georgetown,42.9,12,20.0,6,114.9,69.7,23,0.586,58,0.483,28,0.276,16,0.625,10,1,200,105.4,26.7,8,19,78,,6.8,5,0.431,25,0.48,12,49.2,31,0.595,19.7,16,33,0.485,16,0.5,1,"November 10, 2018",77.8,21,18.2,6,105.4,73.3,22,0.551,59,0.45799999999999996,27,0.441,26,0.769,20,0,200,114.9,30.3,10,10,85,,13.5,10,0.49200000000000005,29,0.379,11,50.8,32,0.596,15.6,13,30,0.5329999999999999,16,1.0,2,"Capital One Arena, Washington, District of Columbia",CENTRAL-CONNECTICUT-STATE,Central Connecticut,74.0,Home,GEORGETOWN,Georgetown,Central Connecticut State,northeast,1,False,False,False,Away,False,12,16,58,31,63,11,16,59,0,1,2,27,61,0.4918032786885246,38,67,0.5671641791044776,9,15,57,0.5,1.0
2,2018-11-13-19-central-connecticut-state,42.9,12,3.2,1,121.1,66.7,16,0.534,59,0.475,28,0.305,18,0.611,11,2,200,104.2,37.5,12,19,74,,12.7,9,0.39,23,0.304,7,50.0,28,0.5479999999999999,19.3,16,36,0.583,21,0.33299999999999996,1,"November 13, 2018",31.0,9,8.3,3,104.2,62.5,20,0.636,55,0.527,29,0.327,18,0.889,16,1,200,121.1,33.3,8,20,86,,14.1,10,0.436,24,0.5,12,50.0,28,0.677,19.3,15,31,0.5479999999999999,17,0.667,2,"Detrick Gymnasium, New Britain, Connecticut",MASSACHUSETTS-LOWELL,UMass-Lowell,71.1,Home,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,2,True,False,True,Home,True,12,17,55,28,56,7,21,59,1,0,14,43,119,0.5378151260504201,69,130,0.5307692307692308,20,31,116,0.5258620689655172,0.5
3,2018-11-16-11-central-connecticut-state,46.2,12,13.2,5,114.7,77.1,27,0.484,64,0.406,26,0.297,19,0.9470000000000001,18,2,200,117.6,37.8,14,13,80,,2.9,2,0.42200000000000004,27,0.37,10,56.9,41,0.5479999999999999,8.8,7,37,0.43200000000000005,16,0.5,2,"November 16, 2018",62.1,18,13.5,5,117.6,62.2,23,0.5479999999999999,62,0.46799999999999997,29,0.306,19,0.526,10,2,200,114.7,22.9,8,19,78,,4.4,3,0.387,24,0.41700000000000004,10,43.1,31,0.5489999999999999,9.0,7,38,0.5,19,0.5,2,"Montego Bay Convention Centre, Montego Bay",CENTRAL-CONNECTICUT-STATE,Central Connecticut,68.0,Away,AUSTIN-PEAY,Austin Peay,Central Connecticut State,northeast,3,False,True,True,Home,False,10,19,62,31,72,10,16,64,0,1,26,60,174,0.5689655172413793,97,186,0.521505376344086,27,52,175,0.5285714285714286,0.6666666666666666
4,2018-11-18-21-central-connecticut-state,59.1,13,3.6,1,118.7,73.3,11,0.40299999999999997,62,0.355,22,0.565,35,0.7140000000000001,25,2,200,100.0,31.7,13,25,75,,18.7,14,0.419,26,0.231,6,42.9,24,0.47700000000000004,10.4,9,36,0.444,16,0.5,2,"November 18, 2018",46.4,13,13.9,5,100.0,68.3,28,0.738,42,0.667,28,0.762,32,0.8440000000000001,27,2,200,118.7,26.7,4,25,89,,4.0,3,0.33299999999999996,14,0.429,6,57.1,32,0.778,28.2,22,28,0.7859999999999999,22,0.6,3,"Montego Bay Convention Centre, Montego Bay",FLORIDA-AM,Florida A&M,74.9,Home,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,4,True,False,True,Home,True,6,22,42,32,56,6,16,62,1,0,36,79,236,0.5635593220338984,128,258,0.49612403100775193,37,68,239,0.5167364016736402,0.5
5,2018-11-21-22-loyola-marymount,52.0,13,6.1,2,120.6,69.6,16,0.588,51,0.49,25,0.314,16,0.875,14,3,200,117.5,26.9,7,25,74,,7.9,5,0.392,20,0.5,10,46.9,23,0.631,18.3,13,31,0.484,15,0.5,3,"November 21, 2018",53.8,14,3.2,1,117.5,73.1,19,0.58,50,0.52,26,0.46,23,0.7829999999999999,18,0,200,120.6,30.4,7,17,76,,4.8,3,0.34,17,0.353,6,53.1,26,0.624,11.7,8,33,0.606,20,1.0,6,"Albert Gersten Pavilion, Los Angeles, California",CENTRAL-CONNECTICUT-STATE,Central Connecticut,63.3,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Central Connecticut State,northeast,5,False,False,False,Away,False,10,15,51,23,49,6,20,50,0,1,42,101,278,0.5899280575539568,160,314,0.5095541401273885,43,84,301,0.49335548172757476,0.6
6,2018-11-25-16-central-connecticut-state,33.3,8,0.0,0,114.3,65.7,23,0.391,69,0.348,24,0.203,14,0.35700000000000004,5,0,200,76.6,34.1,15,22,59,,7.8,6,0.319,22,0.273,6,48.1,38,0.39,18.4,17,47,0.38299999999999995,18,0.0,0,"November 25, 2018",51.7,15,8.5,4,76.6,65.9,29,0.5,64,0.45299999999999996,29,0.45299999999999996,29,0.828,24,3,200,114.3,34.3,12,16,88,,11.7,9,0.266,17,0.353,6,51.9,41,0.5660000000000001,12.5,11,47,0.489,23,0.5710000000000001,4,"Detrick Gymnasium, New Britain, Connecticut","Pine Manor
			","Pine Manor
			",77.2,Home,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,6,True,False,True,Home,True,6,23,64,41,79,6,18,69,1,0,52,116,329,0.5896656534954408,183,363,0.5041322314049587,49,104,351,0.5056980056980057,0.5
7,2018-11-29-19-north-carolina-at,55.6,10,7.1,2,100.0,78.6,22,0.345,58,0.31,18,0.431,25,0.8,20,4,200,83.3,37.8,14,18,60,,5.6,4,0.397,23,0.174,4,55.4,36,0.429,18.8,16,35,0.4,14,0.5,4,"November 29, 2018",62.5,15,17.1,6,83.3,62.2,23,0.529,52,0.462,24,0.5,26,0.654,17,5,200,100.0,21.4,6,21,72,,11.1,8,0.462,24,0.292,7,44.6,29,0.5589999999999999,18.1,14,28,0.607,17,0.28600000000000003,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",CENTRAL-CONNECTICUT-STATE,Central Connecticut,72.1,Home,NORTH-CAROLINA-AT,North Carolina A&T,Central Connecticut State,northeast,7,False,False,False,Away,False,4,14,58,36,65,7,17,52,0,1,58,139,393,0.5750636132315522,224,442,0.5067873303167421,55,122,420,0.4869047619047619,0.5714285714285714
8,2018-12-01-17-virginia-tech,64.3,9,13.3,4,136.2,70.8,17,0.324,54,0.259,14,0.13,7,0.7140000000000001,5,5,200,58.0,18.8,6,14,40,,5.8,4,0.519,28,0.25,7,41.1,23,0.349,22.9,17,26,0.26899999999999996,7,0.444,4,"December 1, 2018",77.8,28,11.5,3,58.0,81.3,26,0.7140000000000001,63,0.5710000000000001,36,0.159,10,0.4,4,1,200,136.2,29.2,7,14,94,13.0,13.0,9,0.524,33,0.545,18,58.9,33,0.6940000000000001,11.8,9,30,0.6,18,0.857,6,"Cassell Coliseum, Blacksburg, Virginia",CENTRAL-CONNECTICUT-STATE,Central Connecticut,69.0,Home,VIRGINIA-TECH,Virginia Tech,Central Connecticut State,northeast,8,False,False,False,Away,False,7,7,54,23,56,18,18,63,0,1,62,153,451,0.5454545454545454,260,507,0.5128205128205128,62,139,472,0.4915254237288136,0.5
9,2018-12-08-13-central-connecticut-state,35.3,6,11.4,5,109.7,60.0,24,0.40399999999999997,52,0.327,17,0.40399999999999997,21,0.762,16,0,200,80.6,13.8,4,29,58,,4.2,3,0.365,19,0.42100000000000004,8,40.6,28,0.46799999999999997,21.7,17,33,0.273,9,0.0,0,"December 8, 2018",52.0,13,21.2,7,80.6,86.2,25,0.43200000000000005,66,0.379,25,0.439,29,0.759,22,5,200,109.7,40.0,16,21,79,,9.7,7,0.33299999999999996,22,0.318,7,59.4,41,0.495,7.1,6,44,0.409,18,0.5,5,"Detrick Gymnasium, New Britain, Connecticut","Penn St.-Wilkes Barre
			","Penn St.-Wilkes Barre
			",72.4,Home,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,9,True,False,True,Home,True,7,18,66,41,69,8,9,52,1,0,69,160,505,0.5217821782178218,283,563,0.5026642984014209,80,157,535,0.5177570093457944,0.4444444444444444
10,2018-12-16-14-providence,20.8,5,8.3,3,131.8,46.7,14,0.466,58,0.414,24,0.259,15,0.6,9,6,200,95.5,31.4,11,19,63,,12.1,8,0.259,15,0.4,6,38.5,25,0.484,16.8,13,43,0.419,18,0.455,5,"December 16, 2018",86.7,26,18.6,8,95.5,68.6,24,0.602,59,0.508,30,0.39,23,0.696,16,3,200,131.8,53.3,16,15,87,,15.2,10,0.39,23,0.478,11,61.5,40,0.622,13.7,11,36,0.528,19,0.727,8,"Dunkin' Donuts Center, Providence, Rhode Island",CENTRAL-CONNECTICUT-STATE,Central Connecticut,66.0,Home,PROVIDENCE,Providence,Central Connecticut State,northeast,10,False,False,False,Away,False,6,18,58,25,65,11,19,59,0,1,76,178,571,0.51138353765324,324,632,0.5126582278481012,88,166,587,0.5076660988074957,0.5
11,2018-12-22-13-maine,61.5,16,7.5,3,101.1,67.6,25,0.525,59,0.441,26,0.593,35,0.8859999999999999,31,6,250,104.5,27.6,8,21,93,,12.4,11,0.508,30,0.33299999999999996,10,50.0,33,0.615,21.2,20,29,0.552,16,0.5,6,"December 22, 2018",59.4,19,10.3,3,104.5,72.4,21,0.507,72,0.444,32,0.34700000000000003,25,0.68,17,11,250,101.1,32.4,12,26,90,,14.6,13,0.444,32,0.281,9,50.0,33,0.537,17.8,18,40,0.575,23,0.154,2,"Cross Insurance Center, Bangor, Maine",MAINE,Maine,71.0,Away,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Central Connecticut State,northeast,11,False,False,False,Away,True,10,16,59,33,66,9,23,72,1,0,82,196,629,0.5071542130365659,349,697,0.5007173601147776,99,185,646,0.5162538699690402,0.45454545454545453
12,2018-12-29-20-oregon-state,33.3,7,0.0,0,112.7,51.9,14,0.35200000000000004,64,0.32799999999999996,21,0.297,19,0.737,14,7,200,83.1,22.0,9,23,59,,12.7,9,0.203,13,0.231,3,33.8,23,0.40399999999999997,11.1,9,51,0.353,18,0.462,6,"December 29, 2018",52.0,13,11.8,6,83.1,78.0,32,0.539,51,0.49,25,0.569,29,0.862,25,4,200,112.7,48.1,13,16,80,,7.0,5,0.373,19,0.263,5,66.2,45,0.618,21.1,17,32,0.625,20,0.667,8,"Gill Coliseum, Corvallis, Oregon",CENTRAL-CONNECTICUT-STATE,Central Connecticut,70.9,Home,OREGON-STATE,Oregon State,Central Connecticut State,northeast,12,False,False,False,Away,False,3,18,64,23,68,5,20,51,0,1,92,212,688,0.5087209302325582,382,763,0.5006553079947575,108,208,718,0.5153203342618384,0.5
13,2019-01-03-19-central-connecticut-state,77.3,17,16.1,5,84.1,82.8,24,0.5670000000000001,52,0.423,22,0.5,26,0.8079999999999999,21,6,200,115.9,20.7,6,25,80,,10.1,7,0.6729999999999999,35,0.429,15,51.7,30,0.622,13.6,10,17,0.41200000000000003,7,0.5,6,"January 3, 2019",47.4,9,17.6,3,115.9,79.3,23,0.402,51,0.373,19,0.5489999999999999,28,0.607,17,8,200,84.1,17.2,5,23,58,,2.9,2,0.392,20,0.15,3,48.3,28,0.451,13.6,10,31,0.516,16,0.429,6,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,68.8,Away,WAGNER,Wagner,Central Connecticut State,northeast,13,False,True,True,Home,False,3,16,51,28,58,15,7,52,0,1,95,230,752,0.4953457446808511,405,831,0.48736462093862815,113,228,769,0.5169050715214565,0.46153846153846156
14,2019-01-05-15-sacred-heart,26.1,6,13.3,4,100.0,57.6,19,0.35200000000000004,71,0.324,23,0.239,17,0.647,11,9,200,83.6,26.7,12,24,61,,8.2,6,0.366,26,0.154,4,39.7,31,0.386,6.0,5,45,0.42200000000000004,19,0.4,6,"January 5, 2019",63.6,14,11.1,5,83.6,73.3,33,0.47200000000000003,53,0.415,22,0.585,31,0.742,23,9,200,100.0,42.4,14,20,73,,1.4,1,0.434,23,0.261,6,60.3,47,0.539,23.1,20,30,0.5329999999999999,16,0.4,6,"William H. Pitt Center, Fairfield, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,72.9,Home,SACRED-HEART,Sacred Heart,Central Connecticut State,northeast,14,False,False,False,Away,False,4,19,71,31,78,6,16,53,0,1,98,246,803,0.48941469489414696,433,889,0.4870641169853768,128,235,821,0.5200974421437271,0.42857142857142855
