,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WAGNER_homegame,WAGNER_homegame2,WAGNER_home,WAGNER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-29-14-saint-josephs,59.1,13,3.6,1,93.7,88.0,22,0.451,61,0.361,22,0.066,4,0.5,2,6,200,90.5,30.6,11,15,57,,7.9,5,0.508,31,0.355,11,54.1,33,0.45299999999999996,13.7,10,30,0.36700000000000005,11,0.455,5,"December 29, 2018",45.0,9,16.7,5,90.5,69.4,25,0.49,48,0.41700000000000004,20,0.313,15,0.8,12,5,200,93.7,12.0,3,11,59,,7.9,5,0.41700000000000004,20,0.35,7,45.9,28,0.535,16.8,11,28,0.46399999999999997,13,0.583,7,"Hagan Arena, Philadelphia, Pennsylvania",WAGNER,Wagner,62.5,Home,SAINT-JOSEPHS,St. Joseph's,Wagner,northeast,10,False,False,False,Away,False,11,11,61,33,61,7,13,48,0,1,79,165,572,0.4956293706293706,357,635,0.5622047244094488,87,143,530,0.5160377358490567,0.5
11,2019-01-03-19-central-connecticut-state,77.3,17,16.1,5,84.1,82.8,24,0.5670000000000001,52,0.423,22,0.5,26,0.8079999999999999,21,6,200,115.9,20.7,6,25,80,,10.1,7,0.6729999999999999,35,0.429,15,51.7,30,0.622,13.6,10,17,0.41200000000000003,7,0.5,6,"January 3, 2019",47.4,9,17.6,3,115.9,79.3,23,0.402,51,0.373,19,0.5489999999999999,28,0.607,17,8,200,84.1,17.2,5,23,58,,2.9,2,0.392,20,0.15,3,48.3,28,0.451,13.6,10,31,0.516,16,0.429,6,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,68.8,Away,WAGNER,Wagner,Wagner,northeast,11,False,False,False,Away,True,15,7,52,30,58,3,16,51,1,0,90,176,633,0.4913112164296998,390,696,0.5603448275862069,94,156,578,0.513840830449827,0.45454545454545453
12,2019-01-05-16-wagner,52.4,11,0.0,0,88.1,61.3,19,0.47100000000000003,51,0.41200000000000003,21,0.51,26,0.6920000000000001,18,6,200,98.5,23.5,8,18,66,,13.4,9,0.392,20,0.3,6,41.5,27,0.521,17.2,13,31,0.484,15,0.6,9,"January 5, 2019",69.6,16,9.7,3,98.5,76.5,26,0.462,52,0.442,23,0.34600000000000003,18,0.611,11,7,200,88.1,38.7,12,22,59,,7.5,5,0.327,17,0.11800000000000001,2,58.5,38,0.48700000000000004,23.1,18,35,0.6,21,0.462,6,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,67.5,Away,ST-FRANCIS-NY,St. Francis (NY),Wagner,northeast,12,False,True,True,Home,False,2,21,52,38,65,6,15,51,0,1,105,183,685,0.49708029197080295,420,754,0.5570291777188329,97,172,629,0.5047694753577107,0.5
13,2019-01-10-19-wagner,62.5,15,16.0,4,107.0,72.4,21,0.466,59,0.40700000000000003,24,0.40700000000000003,24,0.75,18,10,200,102.8,28.1,9,21,73,,8.5,6,0.39,23,0.304,7,49.2,30,0.518,12.6,10,36,0.47200000000000003,17,0.375,6,"January 10, 2019",54.5,12,13.9,5,102.8,71.9,23,0.5589999999999999,51,0.431,22,0.451,23,0.826,19,7,200,107.0,27.6,8,23,76,,5.6,4,0.51,26,0.5,13,50.8,31,0.614,21.8,17,25,0.36,9,0.5,7,"Spiro Sports Center, Staten Island, New York",SACRED-HEART,Sacred Heart,71.2,Home,WAGNER,Wagner,Wagner,northeast,13,True,False,True,Home,True,13,9,51,31,61,7,17,59,1,0,107,204,737,0.494572591587517,458,819,0.5592185592185592,103,187,680,0.5022058823529412,0.46153846153846156
14,2019-01-12-16-wagner,76.2,16,12.5,3,103.1,50.0,12,0.49,50,0.42,21,0.3,15,0.733,11,10,200,93.8,15.4,4,19,60,,9.4,6,0.46,23,0.304,7,32.0,16,0.525,17.5,12,27,0.519,14,0.375,6,"January 12, 2019",60.9,14,11.1,3,93.8,84.6,22,0.563,48,0.479,23,0.354,17,0.706,12,7,200,103.1,50.0,12,15,66,,9.4,6,0.5,24,0.33299999999999996,8,68.0,34,0.588,25.5,19,24,0.625,15,0.5329999999999999,8,"Spiro Sports Center, Staten Island, New York",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,64.1,Home,WAGNER,Wagner,Wagner,northeast,14,True,False,True,Home,True,8,15,48,34,50,7,14,50,1,0,120,213,788,0.4987309644670051,489,880,0.5556818181818182,110,204,739,0.4993234100135318,0.5
15,2019-01-19-16-wagner,50.0,11,13.6,3,87.5,74.1,20,0.589,45,0.489,22,0.556,25,0.68,17,14,200,109.4,16.7,4,14,70,,3.1,2,0.489,22,0.409,9,47.1,24,0.615,16.4,11,23,0.565,13,0.222,4,"January 19, 2019",68.4,13,8.7,2,109.4,83.3,20,0.435,54,0.35200000000000004,19,0.24100000000000002,13,0.6920000000000001,9,8,200,87.5,25.9,7,21,56,,3.1,2,0.593,32,0.281,9,52.9,27,0.465,14.3,10,22,0.455,10,0.5,8,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,63.5,Away,MOUNT-ST-MARYS,Mount St. Mary's,Wagner,northeast,15,False,True,True,Home,False,9,10,54,27,51,9,13,45,0,1,128,228,836,0.5023923444976076,523,930,0.5623655913978495,117,218,789,0.4987325728770596,0.5333333333333333
16,2019-01-21-15-sacred-heart,45.5,5,11.4,4,92.5,72.0,18,0.221,61,0.18,11,0.27899999999999997,17,0.647,11,9,200,56.7,24.5,12,21,38,,9.0,6,0.41,25,0.2,5,40.5,30,0.275,14.9,12,36,0.16699999999999998,6,0.47100000000000003,8,"January 21, 2019",57.1,12,27.8,10,56.7,75.5,37,0.5,47,0.447,21,0.40399999999999997,19,0.789,15,11,200,92.5,28.0,7,17,62,,7.5,5,0.255,12,0.41700000000000004,5,59.5,44,0.5529999999999999,21.3,15,35,0.457,16,0.42100000000000004,8,"William H. Pitt Center, Fairfield, Connecticut",WAGNER,Wagner,66.6,Home,SACRED-HEART,Sacred Heart,Wagner,northeast,16,False,False,False,Away,False,5,6,61,30,74,5,16,47,0,1,137,238,890,0.498314606741573,550,981,0.5606523955147809,126,231,834,0.5035971223021583,0.5
17,2019-01-24-19-saint-francis-pa,63.0,17,8.6,3,123.4,58.3,14,0.579,57,0.474,27,0.35100000000000003,20,0.85,17,9,200,129.7,44.8,13,16,83,,12.5,8,0.544,31,0.387,12,50.9,27,0.624,12.0,9,26,0.5770000000000001,15,0.5,9,"January 24, 2019",50.0,15,3.8,1,129.7,55.2,16,0.593,59,0.508,30,0.22,13,0.6920000000000001,9,11,200,123.4,41.7,10,17,79,,10.9,7,0.40700000000000003,24,0.41700000000000004,10,49.1,26,0.606,14.5,11,35,0.5710000000000001,20,0.389,7,"DeGol Arena, Loretto, Pennsylvania",SAINT-FRANCIS-PA,Saint Francis (PA),64.3,Away,WAGNER,Wagner,Wagner,northeast,17,False,False,False,Away,True,12,15,57,27,53,10,20,59,1,0,142,244,951,0.480546792849632,580,1055,0.5497630331753555,131,247,881,0.503405221339387,0.47058823529411764
18,2019-01-26-17-robert-morris,60.0,9,11.1,4,89.1,56.3,18,0.375,48,0.313,15,0.33299999999999996,16,0.938,15,10,200,79.7,17.9,5,18,51,,6.3,4,0.5,24,0.25,6,38.3,23,0.45899999999999996,19.1,13,24,0.375,9,0.474,9,"January 26, 2019",47.4,9,12.5,3,79.7,82.1,23,0.366,56,0.33899999999999997,19,0.321,18,0.889,16,9,200,89.1,43.8,14,17,57,,6.3,4,0.35700000000000004,20,0.15,3,61.7,37,0.442,16.9,13,36,0.444,16,0.5710000000000001,12,"North Athletic Complex, Pittsburgh, Pennsylvania",WAGNER,Wagner,63.6,Home,ROBERT-MORRIS,Robert Morris,Wagner,northeast,18,False,False,False,Away,False,6,9,48,23,60,3,16,56,0,1,154,259,1008,0.4861111111111111,607,1108,0.5478339350180506,141,267,940,0.5090425531914894,0.5
19,2019-01-31-19-wagner,37.5,9,13.3,4,88.9,72.4,21,0.541,49,0.49,24,0.531,26,0.6920000000000001,18,12,200,98.6,12.0,3,12,71,,8.3,6,0.245,12,0.41700000000000004,5,44.4,24,0.579,17.7,13,37,0.514,19,0.4,8,"January 31, 2019",50.0,12,10.8,4,98.6,88.0,22,0.46,62,0.387,24,0.145,9,0.778,7,11,200,88.9,27.6,8,23,64,,12.5,9,0.516,32,0.281,9,55.6,30,0.483,17.5,14,30,0.5,15,0.45,9,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,71.8,Away,BRYANT,Bryant,Wagner,northeast,19,False,True,True,Home,False,9,15,62,30,54,5,19,49,0,1,160,268,1056,0.4810606060606061,630,1168,0.5393835616438356,144,283,996,0.501004016064257,0.47368421052631576
20,2019-02-02-16-wagner,62.5,10,13.8,4,101.4,64.9,24,0.42200000000000004,45,0.35600000000000004,16,0.6890000000000001,31,0.677,21,12,200,84.3,18.2,6,24,59,,4.3,3,0.511,23,0.261,6,42.9,30,0.494,21.4,16,22,0.455,10,0.455,10,"February 2, 2019",55.6,10,13.6,3,84.3,81.8,27,0.39299999999999996,56,0.321,18,0.625,35,0.7709999999999999,27,11,200,101.4,35.1,13,24,71,,14.3,10,0.48200000000000004,27,0.29600000000000004,8,57.1,40,0.489,13.3,11,29,0.345,10,0.47600000000000003,10,"Spiro Sports Center, Staten Island, New York",LONG-ISLAND-UNIVERSITY,LIU,70.2,Home,WAGNER,Wagner,Wagner,northeast,20,True,False,True,Home,True,8,10,56,40,70,6,10,45,1,0,169,283,1118,0.4798747763864043,660,1222,0.5400981996726678,149,302,1045,0.5028708133971291,0.45
21,2019-02-07-19-st-francis-ny,47.1,8,25.0,7,82.3,75.7,28,0.38,50,0.34,17,0.16,8,0.75,6,12,200,71.0,33.3,10,17,44,,9.7,6,0.32,16,0.25,4,56.7,38,0.409,26.2,19,34,0.382,13,0.455,10,"February 7, 2019",38.9,7,2.9,1,71.0,66.7,20,0.41200000000000003,51,0.353,18,0.314,16,0.563,9,10,200,82.3,24.3,9,15,51,,19.4,12,0.451,23,0.261,6,43.3,29,0.435,15.9,11,28,0.429,12,0.583,14,"Pope Physical Education Center, Brooklyn Heights, New York",WAGNER,Wagner,61.7,Home,ST-FRANCIS-NY,St. Francis (NY),Wagner,northeast,21,False,False,False,Away,False,4,13,50,38,67,6,12,51,0,1,177,293,1174,0.47572402044293016,700,1292,0.541795665634675,155,312,1090,0.49954128440366974,0.47619047619047616
22,2019-02-09-16-long-island-university,46.2,12,12.9,4,97.0,78.3,18,0.419,68,0.382,26,0.294,20,0.55,11,12,200,101.5,45.5,20,21,68,,6.0,4,0.27899999999999997,19,0.263,5,56.7,38,0.439,11.5,10,49,0.429,21,0.478,11,"February 9, 2019",72.2,13,12.2,6,101.5,54.5,24,0.478,45,0.4,18,0.622,28,0.7859999999999999,22,13,200,97.0,21.7,5,22,65,,6.0,4,0.311,14,0.5,7,43.3,29,0.557,19.6,14,31,0.355,11,0.45799999999999996,11,"Steinberg Wellness Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,67.4,Away,WAGNER,Wagner,Wagner,northeast,22,False,False,False,Away,True,5,21,68,38,67,7,11,45,1,0,181,306,1224,0.47181372549019607,738,1359,0.543046357615894,161,324,1141,0.4956178790534619,0.45454545454545453
23,2019-02-14-19-wagner,50.0,8,13.6,3,101.6,69.6,16,0.349,53,0.302,16,0.491,26,0.769,20,15,200,91.9,35.5,11,17,57,,4.8,3,0.491,26,0.192,5,50.0,27,0.436,11.0,8,27,0.40700000000000003,11,0.423,11,"February 14, 2019",65.0,13,18.5,5,91.9,64.5,20,0.521,48,0.41700000000000004,20,0.396,19,0.684,13,12,200,101.6,30.4,7,20,63,,6.5,4,0.542,26,0.385,10,50.0,27,0.552,16.3,11,22,0.455,10,0.5,12,"Spiro Sports Center, Staten Island, New York",CENTRAL-CONNECTICUT-STATE,Central Connecticut,61.7,Home,WAGNER,Wagner,Wagner,northeast,23,True,False,True,Home,True,10,10,48,27,54,5,11,53,1,0,186,327,1292,0.46904024767801855,776,1426,0.544179523141655,168,335,1186,0.49494097807757165,0.4782608695652174
24,2019-02-16-16-mount-st-marys,52.9,9,7.4,2,88.9,87.9,29,0.32799999999999996,61,0.27899999999999997,17,0.377,23,0.7829999999999999,18,12,200,92.1,32.6,14,18,58,,3.2,2,0.426,26,0.231,6,56.6,43,0.40299999999999997,6.6,5,35,0.314,11,0.52,13,"February 16, 2019",33.3,6,8.6,3,92.1,67.4,29,0.42,50,0.36,18,0.4,20,0.7,14,20,200,88.9,12.1,4,21,56,,3.2,2,0.46,23,0.261,6,43.4,33,0.47100000000000003,10.6,7,27,0.444,12,0.259,7,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,62.7,Away,WAGNER,Wagner,Wagner,northeast,24,False,False,False,Away,True,6,11,61,43,76,6,12,50,1,0,196,337,1340,0.4708955223880597,803,1480,0.5425675675675675,173,346,1239,0.4887005649717514,0.5
25,2019-02-21-19-bryant,40.7,11,20.7,6,101.5,76.2,16,0.47600000000000003,63,0.429,27,0.079,5,1.0,5,13,200,98.5,31.0,9,19,65,,12.1,8,0.27,17,0.353,6,50.0,25,0.49700000000000005,15.5,12,46,0.457,21,0.5,13,"February 21, 2019",50.0,12,4.3,2,98.5,69.0,20,0.5710000000000001,49,0.49,24,0.306,15,0.733,11,17,200,101.5,23.8,5,6,67,,7.6,5,0.408,20,0.4,8,50.0,25,0.597,17.8,12,29,0.552,16,0.34600000000000003,9,"Chace Athletic Center , Smithfield, Rhode Island",WAGNER,Wagner,65.8,Home,BRYANT,Bryant,Wagner,northeast,25,False,False,False,Away,False,6,21,63,25,50,8,16,49,0,1,202,348,1401,0.46466809421841543,846,1556,0.5437017994858612,179,358,1289,0.4860356865787432,0.52
26,2019-02-23-16-fairleigh-dickinson,47.6,10,6.3,2,125.4,62.5,15,0.47200000000000003,54,0.389,21,0.315,17,0.882,15,14,200,111.9,34.4,11,18,66,,8.5,5,0.46299999999999997,25,0.36,9,46.4,26,0.532,15.2,11,29,0.414,12,0.48100000000000004,13,"February 23, 2019",66.7,16,3.4,1,111.9,65.6,21,0.596,47,0.511,24,0.489,23,0.7829999999999999,18,13,200,125.4,37.5,9,13,74,,6.8,4,0.319,15,0.5329999999999999,8,53.6,30,0.639,10.9,7,32,0.5,16,0.536,15,"Rothman Center, Teaneck, New Jersey",WAGNER,Wagner,59.0,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Wagner,northeast,26,False,False,False,Away,False,9,12,54,26,56,8,16,47,0,1,208,369,1464,0.4651639344262295,871,1606,0.5423412204234122,187,374,1338,0.4891629297458894,0.5
