,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SANTA-CLARA_homegame,SANTA-CLARA_homegame2,SANTA-CLARA_home,SANTA-CLARA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-22-santa-clara,45.2,14,0.0,0,90.1,53.8,21,0.569,58,0.534,31,0.379,22,0.682,15,0,200,114.1,26.7,8,26,81,,12.7,9,0.259,15,0.267,4,42.0,29,0.5920000000000001,11.7,9,43,0.628,27,1.0,1,"November 9, 2018",52.4,11,14.0,6,114.1,73.3,22,0.439,57,0.368,21,0.509,29,0.483,14,1,200,90.1,46.2,18,24,64,,8.5,6,0.526,30,0.267,8,58.0,40,0.452,21.4,19,27,0.48100000000000004,13,0.0,0,"Leavey Center, Santa Clara, California",SANTA-CLARA,Santa Clara,70.6,Away,PRAIRIE-VIEW,Prairie View,Santa Clara,wcc,0,False,True,True,Home,False,8,13,57,40,69,4,27,58,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-15-22-santa-clara,61.9,13,12.5,4,70.0,81.8,27,0.42700000000000005,55,0.382,21,0.382,21,0.667,14,0,200,87.1,27.3,9,16,61,,8.6,6,0.29100000000000004,16,0.313,5,54.5,36,0.469,18.9,15,39,0.41,16,1.0,4,"November 15, 2018",62.5,10,15.4,6,87.1,72.7,24,0.361,54,0.29600000000000004,16,0.259,14,0.7140000000000001,10,2,200,70.0,18.2,6,23,49,,8.6,6,0.40700000000000003,22,0.318,7,45.5,30,0.40399999999999997,20.0,15,32,0.281,9,0.0,0,"Leavey Center, Santa Clara, California",SANTA-CLARA,Santa Clara,70.3,Away,CALIFORNIA-IRVINE,UC-Irvine,Santa Clara,wcc,1,False,True,True,Home,False,7,9,54,30,66,5,16,55,0,1,8,13,57,0.43859649122807015,40,69,0.5797101449275363,4,27,58,0.5689655172413793,0.0
2,2018-11-18-20-washington,42.3,11,3.3,1,107.9,77.3,17,0.483,58,0.44799999999999995,26,0.36200000000000004,21,0.5710000000000001,12,3,200,89.5,22.6,7,24,68,,10.5,8,0.32799999999999996,19,0.21100000000000002,4,45.3,24,0.5,18.2,15,39,0.564,22,0.0,0,"November 18, 2018",50.0,12,17.9,7,89.5,77.4,24,0.56,50,0.48,24,0.68,34,0.765,26,1,200,107.9,22.7,5,19,82,,10.5,8,0.4,20,0.4,8,54.7,29,0.62,17.7,14,30,0.5329999999999999,16,0.75,3,"Vancouver Convention Centre, Vancouver",SANTA-CLARA,Santa Clara,75.6,Home,WASHINGTON,Washington,Santa Clara,wcc,2,False,False,False,Away,False,4,22,58,24,53,8,16,50,0,1,15,22,111,0.4009009009009009,70,135,0.5185185185185185,9,43,113,0.5,0.0
3,2018-11-20-21-minnesota,48.0,12,9.1,4,105.3,69.4,25,0.535,57,0.439,25,0.158,9,0.556,5,4,200,86.8,10.7,3,28,66,,5.3,4,0.40399999999999997,23,0.478,11,43.8,28,0.539,14.1,10,34,0.41200000000000003,14,0.0,0,"November 20, 2018",50.0,12,11.8,4,86.8,89.3,25,0.425,67,0.358,24,0.5670000000000001,38,0.605,23,0,200,105.3,30.6,11,14,80,,2.6,2,0.34299999999999997,23,0.391,9,56.3,36,0.47,9.7,9,44,0.341,15,1.0,4,"Vancouver Convention Centre, Vancouver",SANTA-CLARA,Santa Clara,75.7,Home,MINNESOTA,Minnesota,Santa Clara,wcc,3,False,False,False,Away,False,11,14,57,28,64,9,15,67,0,1,19,44,169,0.4289940828402367,94,188,0.5,17,59,163,0.5184049079754601,0.0
4,2018-11-24-18-san-jose-state,58.6,17,9.3,4,94.0,62.2,23,0.5479999999999999,63,0.46,29,0.063,4,0.5,2,4,200,106.0,12.5,4,15,71,,3.0,2,0.47600000000000003,30,0.36700000000000005,11,39.1,27,0.547,11.0,8,33,0.545,18,0.2,1,"November 24, 2018",70.8,17,3.0,1,106.0,87.5,28,0.444,63,0.381,24,0.159,10,0.7,7,5,200,94.0,37.8,14,14,63,,4.5,3,0.317,20,0.4,8,60.9,42,0.465,14.0,11,43,0.37200000000000005,16,0.16699999999999998,1,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,66.8,Away,SANTA-CLARA,Santa Clara,Santa Clara,wcc,4,False,False,False,Away,True,11,18,63,27,69,8,16,63,1,0,30,58,226,0.4557522123893805,122,252,0.48412698412698413,26,74,230,0.49130434782608695,0.0
5,2018-11-26-21-california,45.5,10,7.1,3,109.9,87.5,21,0.51,48,0.45799999999999996,22,0.479,23,0.7390000000000001,17,5,200,93.0,33.3,9,18,66,,2.8,2,0.41700000000000004,20,0.25,5,58.8,30,0.56,27.5,22,28,0.607,17,0.16699999999999998,1,"November 26, 2018",34.5,10,3.6,1,93.0,66.7,18,0.565,54,0.537,29,0.40700000000000003,22,0.773,17,3,200,109.9,12.5,3,22,78,,18.3,13,0.222,12,0.25,3,41.2,21,0.605,12.4,9,42,0.619,26,0.4,2,"Haas Pavilion, Berkeley, California",SANTA-CLARA,Santa Clara,71.2,Home,CALIFORNIA,California,Santa Clara,wcc,5,False,False,False,Away,False,5,17,48,30,51,3,26,54,0,1,41,76,289,0.4757785467128028,149,321,0.46417445482866043,34,90,293,0.4812286689419795,0.2
6,2018-11-29-22-santa-clara,57.1,16,6.7,2,117.4,69.6,16,0.555,55,0.509,28,0.2,11,0.818,9,7,200,101.4,7.4,2,25,70,,8.7,6,0.327,18,0.278,5,36.0,18,0.581,14.3,10,37,0.622,23,0.125,1,"November 29, 2018",70.8,17,5.4,2,101.4,92.6,25,0.5710000000000001,49,0.49,24,0.653,32,0.7809999999999999,25,5,200,117.4,30.4,7,10,81,,2.9,2,0.38799999999999996,19,0.42100000000000004,8,64.0,32,0.631,17.1,13,30,0.5329999999999999,16,0.28600000000000003,2,"Leavey Center, Santa Clara, California",JACKSON-STATE,Jackson State,69.2,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,6,True,False,True,Home,True,8,16,49,32,50,5,23,55,1,0,46,93,337,0.4807121661721068,179,372,0.48118279569892475,37,116,347,0.4942363112391931,0.16666666666666666
7,2018-12-01-19-santa-clara,55.2,16,12.8,5,112.5,59.4,19,0.516,62,0.46799999999999997,29,0.226,14,0.7140000000000001,10,4,200,102.8,23.5,8,19,74,,9.7,7,0.355,22,0.273,6,40.9,27,0.539,13.9,11,40,0.575,23,0.33299999999999996,2,"December 1, 2018",73.1,19,10.0,4,102.8,76.5,26,0.534,59,0.441,26,0.373,22,0.818,18,5,200,112.5,40.6,13,18,81,,4.2,3,0.33899999999999997,20,0.55,11,59.1,39,0.583,17.9,15,39,0.385,15,0.375,3,"Leavey Center, Santa Clara, California",NORTHERN-ARIZONA,Northern Arizona,71.6,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,7,True,False,True,Home,True,11,15,59,39,66,6,23,62,1,0,54,109,386,0.49222797927461137,211,422,0.5,42,139,402,0.5024875621890548,0.2857142857142857
8,2018-12-07-22-santa-clara,58.3,14,9.4,3,98.5,79.3,23,0.408,65,0.369,24,0.27699999999999997,18,0.833,15,3,200,101.5,27.5,11,13,68,,13.4,9,0.2,13,0.385,5,49.3,34,0.462,6.4,5,52,0.365,19,0.5710000000000001,4,"December 7, 2018",62.5,15,15.4,8,101.5,72.5,29,0.519,53,0.45299999999999996,24,0.28300000000000003,15,0.733,11,6,200,98.5,20.7,6,17,66,,6.0,4,0.396,21,0.33299999999999996,7,50.7,35,0.5489999999999999,17.9,13,32,0.531,17,0.33299999999999996,3,"Leavey Center, Santa Clara, California",SANTA-CLARA,Santa Clara,67.3,Away,IDAHO-STATE,Idaho State,Santa Clara,wcc,8,False,True,True,Home,False,7,17,53,35,69,5,19,65,0,1,65,124,445,0.49775280898876406,250,488,0.5122950819672131,48,162,464,0.5043103448275862,0.375
9,2018-12-09-17-santa-clara,61.1,11,5.7,2,110.8,72.4,21,0.336,58,0.31,18,0.397,23,0.652,15,0,200,73.0,22.0,9,18,54,,6.8,5,0.22399999999999998,13,0.231,3,42.9,30,0.392,13.9,11,45,0.33299999999999996,15,0.0,0,"December 9, 2018",74.1,20,20.0,9,73.0,78.0,32,0.535,57,0.474,27,0.456,26,0.8079999999999999,21,6,200,110.8,27.6,8,21,82,,2.7,2,0.386,22,0.318,7,57.1,40,0.591,18.0,15,35,0.5710000000000001,20,0.4,4,"Leavey Center, Santa Clara, California","Sonoma State
			","Sonoma State
			",73.6,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,9,True,False,True,Home,True,7,20,57,40,70,3,15,58,1,0,72,141,498,0.5,285,557,0.5116696588868941,53,181,529,0.4924385633270321,0.3333333333333333
