,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HAWAII_homegame,HAWAII_homegame2,HAWAII_home,HAWAII_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-17-hawaii,41.7,10,10.8,4,86.8,67.5,27,0.509,56,0.429,24,0.375,21,0.762,16,4,200,107.4,50.0,14,16,73,,1.5,1,0.429,24,0.375,9,60.3,41,0.5529999999999999,21.6,18,32,0.469,15,0.6,6,"December 22, 2018",60.0,12,6.3,2,107.4,50.0,14,0.392,60,0.33299999999999996,20,0.35,21,0.5710000000000001,12,5,200,86.8,32.5,13,17,59,,11.8,8,0.38299999999999995,23,0.304,7,39.7,27,0.42200000000000004,11.5,9,37,0.35100000000000003,13,0.545,6,"Stan Sheriff Center, Honolulu, Hawaii",HAWAII,Hawaii,68.0,Away,NEVADA-LAS-VEGAS,UNLV,Hawaii,big-west,10,False,True,True,Home,False,7,13,60,27,68,9,15,56,0,1,88,171,558,0.543010752688172,307,601,0.5108153078202995,58,182,543,0.4953959484346225,0.6
11,2018-12-23-19-hawaii,38.1,8,12.9,4,92.1,65.8,25,0.371,62,0.33899999999999997,21,0.387,24,0.667,16,3,225,81.6,21.4,9,20,62,,6.6,5,0.355,22,0.182,4,42.5,34,0.42200000000000004,14.2,12,40,0.425,17,0.727,8,"December 23, 2018",54.5,12,5.0,2,81.6,78.6,33,0.434,61,0.361,22,0.41,25,0.68,17,5,225,92.1,34.2,13,23,70,,7.9,6,0.49200000000000005,30,0.3,9,57.5,46,0.48,18.2,16,31,0.419,13,0.583,7,"Stan Sheriff Center, Honolulu, Hawaii",COLORADO,Colorado,67.7,Home,HAWAII,Hawaii,Hawaii,big-west,11,True,False,True,Home,True,9,13,61,46,80,4,17,62,1,0,95,184,618,0.5283171521035599,334,669,0.4992526158445441,67,197,599,0.496661101836394,0.5454545454545454
12,2018-12-25-15-rhode-island,40.0,10,2.6,1,89.6,68.8,22,0.474,58,0.431,25,0.31,18,0.722,13,5,200,101.5,28.1,9,13,68,,4.5,3,0.397,23,0.217,5,48.4,31,0.511,14.3,11,35,0.5710000000000001,20,0.615,8,"December 25, 2018",41.7,10,8.6,3,101.5,71.9,23,0.45,60,0.4,24,0.2,12,0.5,6,5,200,89.6,31.3,10,18,60,,11.9,8,0.36700000000000005,22,0.273,6,51.6,33,0.457,13.3,10,38,0.474,18,0.545,6,"Stan Sheriff Center, Honolulu, Hawaii",RHODE-ISLAND,Rhode Island,67.1,Away,HAWAII,Hawaii,Hawaii,big-west,12,False,False,False,Away,True,5,20,58,31,64,6,18,60,1,0,104,197,679,0.5198821796759941,380,749,0.507343124165554,71,214,661,0.4848714069591528,0.5833333333333334
13,2018-12-29-23-hawaii,45.8,11,7.7,2,101.4,68.8,22,0.5,58,0.414,24,0.121,7,0.7140000000000001,5,12,200,90.0,7.7,2,18,63,,17.1,12,0.44799999999999995,26,0.385,10,41.4,24,0.514,17.5,13,32,0.43799999999999994,14,0.077,1,"December 29, 2018",79.2,19,12.5,4,90.0,92.3,24,0.546,54,0.444,24,0.33299999999999996,18,0.667,12,5,200,101.4,31.3,10,12,71,,7.1,5,0.519,28,0.39299999999999996,11,58.6,34,0.568,20.5,16,26,0.5,13,0.643,9,"Stan Sheriff Center, Honolulu, Hawaii",ALABAMA-AM,Alabama A&M,70.4,Home,HAWAII,Hawaii,Hawaii,big-west,13,True,False,True,Home,True,11,13,54,34,58,10,14,58,1,0,109,217,737,0.5162822252374492,411,813,0.5055350553505535,77,232,721,0.48196948682385576,0.6153846153846154
14,2019-01-09-23-hawaii,16.7,4,12.9,4,109.7,89.7,26,0.52,50,0.48,24,0.48,24,0.667,16,11,200,94.4,6.7,2,19,68,,8.3,6,0.28,14,0.28600000000000003,4,47.5,28,0.5539999999999999,17.7,13,36,0.556,20,0.267,4,"January 9, 2019",56.0,14,2.8,1,94.4,93.3,28,0.575,53,0.47200000000000003,25,0.434,23,0.7829999999999999,18,5,200,109.7,10.3,3,23,79,,8.3,6,0.415,22,0.5,11,52.5,31,0.618,14.8,11,31,0.452,14,0.667,10,"Stan Sheriff Center, Honolulu, Hawaii",CAL-STATE-FULLERTON,Cal State Fullerton,72.2,Home,HAWAII,Hawaii,Hawaii,big-west,14,True,False,True,Home,True,11,14,53,31,59,4,20,50,1,0,120,230,791,0.5183312262958281,445,871,0.5109070034443168,87,246,779,0.4833119383825417,0.6428571428571429
15,2019-01-17-22-cal-state-northridge,64.3,18,0.0,0,112.9,71.9,23,0.5429999999999999,58,0.483,28,0.534,31,0.677,21,5,200,120.0,31.3,10,17,84,,8.6,6,0.36200000000000004,21,0.33299999999999996,7,51.6,33,0.578,8.9,7,37,0.568,21,0.688,11,"January 17, 2019",48.3,14,8.1,3,120.0,68.8,22,0.5479999999999999,63,0.46,29,0.175,11,0.909,10,11,200,112.9,28.1,9,24,79,,4.3,3,0.397,25,0.44,11,48.4,31,0.579,14.0,11,38,0.474,18,0.42100000000000004,8,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,70.0,Away,HAWAII,Hawaii,Hawaii,big-west,15,False,False,False,Away,True,7,21,58,33,64,11,18,63,1,0,131,244,844,0.5219194312796208,476,930,0.5118279569892473,91,266,829,0.485524728588661,0.6666666666666666
16,2019-01-19-20-california-riverside,86.2,25,0.0,0,123.0,78.6,22,0.644,52,0.5579999999999999,29,0.154,8,0.5,4,6,200,116.4,20.0,5,16,71,,13.1,8,0.462,24,0.375,9,50.9,27,0.636,13.9,9,28,0.7140000000000001,20,0.647,11,"January 19, 2019",89.7,26,3.6,1,116.4,80.0,20,0.657,54,0.537,29,0.14800000000000002,8,0.5,4,13,200,123.0,21.4,6,10,75,,6.6,4,0.46299999999999997,25,0.52,13,49.1,26,0.649,14.8,10,29,0.552,16,0.35,7,"UC Riverside Student Recreation Center, Riverside, California",HAWAII,Hawaii,60.8,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,Hawaii,big-west,16,False,False,False,Away,False,9,20,52,27,53,13,16,54,0,1,138,265,902,0.5232815964523282,509,994,0.5120724346076458,102,284,892,0.4899103139013453,0.6875
17,2019-01-23-23-hawaii,33.3,10,17.9,5,98.7,80.0,28,0.5579999999999999,60,0.5,30,0.317,19,0.42100000000000004,8,5,225,100.0,28.1,9,23,75,,4.0,3,0.28300000000000003,17,0.41200000000000003,7,55.2,37,0.5429999999999999,18.0,15,43,0.535,23,0.762,16,"January 23, 2019",59.1,13,7.0,3,100.0,71.9,23,0.48200000000000004,57,0.386,22,0.439,25,0.76,19,7,225,98.7,20.0,7,22,74,,9.3,7,0.509,29,0.379,11,44.8,30,0.537,17.1,14,28,0.39299999999999996,11,0.611,11,"Stan Sheriff Center, Honolulu, Hawaii",HAWAII,Hawaii,67.1,Away,CALIFORNIA-IRVINE,UC-Irvine,Hawaii,big-west,17,False,True,True,Home,False,11,11,57,30,67,7,23,60,0,1,147,285,954,0.529874213836478,536,1047,0.5119388729703916,115,300,946,0.49947145877378435,0.6470588235294118
18,2019-01-26-23-hawaii,70.0,14,3.3,1,112.7,73.1,19,0.47,50,0.4,20,0.32,16,0.813,13,14,200,84.5,15.6,5,20,60,,12.7,9,0.44,22,0.318,7,41.4,24,0.521,24.0,18,28,0.46399999999999997,13,0.263,5,"January 26, 2019",62.1,18,3.6,1,84.5,84.4,27,0.635,52,0.5579999999999999,29,0.423,22,0.636,14,7,200,112.7,26.9,7,18,80,,14.1,10,0.423,22,0.364,8,58.6,34,0.6409999999999999,19.6,15,30,0.7,21,0.632,12,"Stan Sheriff Center, Honolulu, Hawaii",CALIFORNIA-DAVIS,UC-Davis,70.5,Home,HAWAII,Hawaii,Hawaii,big-west,18,True,False,True,Home,True,8,21,52,34,58,7,13,50,1,0,158,296,1011,0.5272007912957468,566,1114,0.5080789946140036,122,323,1006,0.5029821073558648,0.6111111111111112
19,2019-01-31-23-hawaii,30.0,6,6.3,2,101.4,73.0,27,0.413,52,0.385,20,0.5770000000000001,30,0.467,14,14,200,78.1,15.2,5,21,57,,4.1,3,0.231,12,0.25,3,45.7,32,0.43,17.7,14,40,0.425,17,0.364,8,"January 31, 2019",56.0,14,5.0,2,78.1,84.8,28,0.475,60,0.41700000000000004,25,0.41700000000000004,25,0.68,17,7,200,101.4,27.0,10,27,74,,5.5,4,0.467,28,0.25,7,54.3,38,0.515,10.1,8,32,0.563,18,0.65,13,"Stan Sheriff Center, Honolulu, Hawaii",LONG-BEACH-STATE,Long Beach State,72.6,Home,HAWAII,Hawaii,Hawaii,big-west,19,True,False,True,Home,True,7,18,60,38,70,3,17,52,1,0,166,317,1063,0.5324553151458138,600,1172,0.5119453924914675,129,336,1056,0.5014204545454546,0.631578947368421
