,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,KENTUCKY_homegame,KENTUCKY_homegame2,KENTUCKY_home,KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-kentucky,51.2,22,7.1,3,101.2,73.5,25,0.62,79,0.544,43,0.36700000000000005,29,0.69,20,0,199,142.2,35.1,13,26,118,4.0,12.0,10,0.32899999999999996,26,0.462,12,53.5,38,0.636,4.2,4,53,0.585,31,1.0,1,"November 6, 2018",65.4,17,9.4,5,142.2,64.9,24,0.475,59,0.441,26,0.644,38,0.737,28,1,199,101.2,26.5,9,25,84,2.0,1.2,1,0.28800000000000003,17,0.235,4,46.5,33,0.545,16.5,15,42,0.524,22,0.0,0,"Bankers Life Fieldhouse, Indianapolis, Indiana",KENTUCKY,Kentucky,83.8,Away,DUKE,Duke,Kentucky,sec,0,False,True,True,Home,False,4,22,59,33,71,12,31,79,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-kentucky,56.5,13,5.0,2,104.4,40.0,12,0.455,56,0.41100000000000003,23,0.214,12,0.667,8,1,200,86.8,16.7,6,24,59,,10.3,7,0.28600000000000003,16,0.313,5,27.3,18,0.478,17.5,13,40,0.45,18,0.0,0,"November 9, 2018",45.8,11,15.0,6,86.8,83.3,30,0.48100000000000004,54,0.444,24,0.5,27,0.7040000000000001,19,1,200,104.4,60.0,18,15,71,2.0,7.4,5,0.259,14,0.28600000000000003,4,72.7,48,0.531,22.4,19,40,0.5,20,0.5,1,"Rupp Arena, Lexington, Kentucky",SOUTHERN-ILLINOIS,Southern Illinois,68.3,Home,KENTUCKY,Kentucky,Kentucky,sec,1,True,False,True,Home,True,4,20,54,48,66,5,18,56,1,0,4,22,59,0.4745762711864407,33,71,0.4647887323943662,12,31,79,0.620253164556962,0.0
2,2018-11-14-21-kentucky,42.1,8,10.2,5,131.5,40.0,10,0.469,48,0.396,19,0.375,18,0.722,13,1,200,79.5,10.7,3,19,58,,6.8,5,0.396,19,0.368,7,24.5,13,0.513,25.4,19,29,0.414,12,0.667,2,"November 14, 2018",45.5,15,17.2,5,79.5,89.3,25,0.581,62,0.532,33,0.484,30,0.8,24,1,200,131.5,60.0,15,15,96,10.0,16.4,12,0.21,13,0.462,6,75.5,40,0.63,14.7,13,49,0.551,27,0.667,2,"Rupp Arena, Lexington, Kentucky",NORTH-DAKOTA,North Dakota,73.4,Home,KENTUCKY,Kentucky,Kentucky,sec,2,True,False,True,Home,True,6,27,62,40,53,7,12,48,1,0,8,42,113,0.4778761061946903,81,137,0.5912408759124088,17,49,135,0.5518518518518518,0.5
3,2018-11-18-18-kentucky,48.3,14,2.2,1,129.6,48.4,15,0.621,62,0.46799999999999997,29,0.081,5,1.0,5,2,200,115.5,19.4,6,26,82,,2.8,2,0.613,38,0.5,19,33.9,21,0.637,16.8,13,24,0.41700000000000004,10,0.6,3,"November 18, 2018",51.7,15,25.0,6,115.5,80.6,25,0.534,59,0.49200000000000005,29,0.593,35,0.8290000000000001,29,1,200,129.6,51.6,16,12,92,10.0,8.5,6,0.237,14,0.35700000000000004,5,66.1,41,0.608,12.9,11,45,0.5329999999999999,24,0.75,3,"Rupp Arena, Lexington, Kentucky",VIRGINIA-MILITARY-INSTITUTE,VMI,71.0,Home,KENTUCKY,Kentucky,Kentucky,sec,3,True,False,True,Home,True,5,24,59,41,62,19,10,62,1,0,14,69,175,0.5142857142857142,121,190,0.6368421052631579,24,61,183,0.5300546448087432,0.6666666666666666
4,2018-11-21-13-kentucky,57.1,16,0.0,0,110.1,74.1,20,0.585,59,0.475,28,0.136,8,0.625,5,3,200,93.7,6.5,2,21,74,,5.1,4,0.475,28,0.46399999999999997,13,37.9,22,0.589,22.4,18,31,0.484,15,0.4,2,"November 21, 2018",64.5,20,19.4,6,93.7,93.5,29,0.627,55,0.564,31,0.436,24,0.75,18,1,200,110.1,25.9,7,16,87,10.0,10.1,8,0.327,18,0.389,7,62.1,36,0.655,22.5,19,37,0.649,24,0.8,4,"Rupp Arena, Lexington, Kentucky",WINTHROP,Winthrop,78.6,Home,KENTUCKY,Kentucky,Kentucky,sec,4,True,False,True,Home,True,7,24,55,36,58,13,15,59,1,0,19,93,234,0.5192307692307693,162,252,0.6428571428571429,43,71,245,0.5530612244897959,0.75
5,2018-11-23-19-kentucky,50.0,11,2.7,1,108.5,56.3,18,0.46299999999999997,54,0.40700000000000003,22,0.35200000000000004,19,0.632,12,4,200,87.3,25.8,8,29,62,,7.0,5,0.29600000000000004,16,0.375,6,41.3,26,0.49200000000000005,19.4,15,38,0.42100000000000004,16,0.33299999999999996,2,"November 23, 2018",34.8,8,13.2,5,87.3,74.2,23,0.48100000000000004,52,0.442,23,0.7879999999999999,41,0.659,27,1,200,108.5,43.8,14,14,77,10.0,5.6,4,0.28800000000000003,15,0.267,4,58.7,37,0.539,16.7,14,37,0.514,19,0.833,5,"Rupp Arena, Lexington, Kentucky",TENNESSEE-STATE,Tennessee State,70.8,Home,KENTUCKY,Kentucky,Kentucky,sec,5,True,False,True,Home,True,4,19,52,37,63,6,16,54,1,0,26,117,289,0.5397923875432526,198,310,0.6387096774193548,56,86,304,0.5592105263157895,0.8
6,2018-11-28-20-kentucky,25.0,4,6.9,2,128.6,66.7,12,0.293,58,0.276,16,0.276,16,0.625,10,8,200,62.9,29.5,13,21,44,,8.6,6,0.276,16,0.125,2,40.3,25,0.335,19.7,16,42,0.33299999999999996,14,0.0,0,"November 28, 2018",50.0,15,11.9,5,62.9,70.5,31,0.66,53,0.5660000000000001,30,0.434,23,0.87,20,1,200,128.6,33.3,6,16,90,10.0,11.4,8,0.45299999999999996,24,0.41700000000000004,10,59.7,37,0.7040000000000001,18.2,14,29,0.69,20,0.857,6,"Rupp Arena, Lexington, Kentucky",MONMOUTH,Monmouth,70.3,Home,KENTUCKY,Kentucky,Kentucky,sec,6,True,False,True,Home,True,10,20,53,37,62,2,14,58,1,0,30,136,341,0.530791788856305,235,373,0.6300268096514745,62,102,358,0.5446927374301676,0.8333333333333334
7,2018-12-01-13-kentucky,29.2,7,6.5,3,106.8,55.2,16,0.41,67,0.358,24,0.149,10,0.6,6,2,200,83.6,26.2,11,17,61,,11.0,8,0.299,20,0.35,7,38.0,27,0.425,13.3,11,47,0.36200000000000004,17,0.778,7,"December 1, 2018",42.9,12,8.5,4,83.6,73.8,31,0.526,58,0.483,28,0.414,24,0.708,17,1,200,106.8,44.8,13,15,78,10.0,6.8,5,0.207,12,0.41700000000000004,5,62.0,44,0.562,19.9,17,46,0.5,23,0.875,7,"Rupp Arena, Lexington, Kentucky",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,72.6,Home,KENTUCKY,Kentucky,Kentucky,sec,7,True,False,True,Home,True,5,23,58,44,71,7,17,67,1,0,40,156,394,0.5482233502538071,272,435,0.6252873563218391,64,116,416,0.5096153846153846,0.8571428571428571
8,2018-12-08-12-seton-hall,51.9,14,21.2,7,103.7,77.4,24,0.47600000000000003,62,0.435,27,0.484,30,0.8,24,2,225,102.5,29.0,9,21,83,9.0,3.7,3,0.32299999999999995,20,0.25,5,53.2,33,0.544,16.6,15,42,0.524,22,0.778,7,"December 8, 2018",55.6,15,11.9,5,102.5,71.0,22,0.551,59,0.45799999999999996,27,0.441,26,0.731,19,3,225,103.7,22.6,7,25,84,,9.9,8,0.441,26,0.423,11,46.8,29,0.589,18.5,16,33,0.485,16,0.667,6,"Madison Square Garden (IV), New York, New York",KENTUCKY,Kentucky,72.3,Home,SETON-HALL,Seton Hall,Kentucky,sec,8,False,False,False,Away,False,5,22,62,33,62,11,16,59,0,1,45,179,452,0.5453539823008849,316,506,0.6245059288537549,71,133,483,0.49585921325051757,0.875
9,2018-12-15-17-kentucky,50.0,12,5.4,2,141.9,73.9,17,0.509,54,0.444,24,0.14800000000000002,8,0.75,6,5,200,98.4,45.8,11,15,61,,3.2,2,0.426,23,0.304,7,59.6,28,0.528,19.6,14,31,0.5479999999999999,17,0.444,4,"December 15, 2018",38.2,13,16.1,5,98.4,54.2,13,0.69,58,0.586,34,0.207,12,0.667,8,2,200,141.9,26.1,6,10,88,19.0,9.7,6,0.36200000000000004,21,0.5710000000000001,12,40.4,19,0.691,8.7,6,37,0.595,22,0.8,8,"Rupp Arena, Lexington, Kentucky",UTAH,Utah,62.3,Home,KENTUCKY,Kentucky,Kentucky,sec,9,True,False,True,Home,True,12,22,58,19,47,7,17,54,1,0,50,201,514,0.5369649805447471,349,568,0.6144366197183099,82,149,542,0.5018450184501845,0.7777777777777778
10,2018-12-22-17-north-carolina,85.7,24,17.8,8,86.7,85.3,29,0.5,65,0.431,28,0.33799999999999997,22,0.682,15,2,200,96.4,26.3,10,18,80,19.0,14.5,12,0.4,26,0.34600000000000003,9,54.2,39,0.53,18.5,17,39,0.48700000000000004,19,0.818,9,"December 22, 2018",66.7,18,7.7,3,96.4,73.7,28,0.484,63,0.429,27,0.254,16,0.688,11,3,200,86.7,14.7,5,19,72,9.0,9.6,8,0.28600000000000003,18,0.389,7,45.8,33,0.51,20.4,18,45,0.444,20,0.727,8,"United Center, Chicago, Illinois",NORTH-CAROLINA,UNC,83.0,Away,KENTUCKY,Kentucky,Kentucky,sec,10,False,False,False,Away,True,9,19,65,39,72,7,20,63,1,0,62,223,572,0.5524475524475524,368,615,0.5983739837398374,89,166,596,0.50251677852349,0.8
11,2018-12-29-14-louisville,37.9,11,22.9,8,92.1,67.6,23,0.561,57,0.509,29,0.193,11,0.636,7,2,200,112.7,33.3,10,21,71,16.0,14.3,9,0.35100000000000003,20,0.3,6,51.6,33,0.5710000000000001,12.7,9,37,0.622,23,0.833,10,"December 29, 2018",35.0,7,5.4,2,112.7,66.7,20,0.409,55,0.364,20,0.345,19,0.684,13,4,200,92.1,32.4,11,12,58,,7.9,5,0.364,20,0.25,5,48.4,31,0.45299999999999996,15.9,12,35,0.429,15,0.6920000000000001,9,"KFC Yum! Center, Louisville, Kentucky",LOUISVILLE,Louisville,63.1,Away,KENTUCKY,Kentucky,Kentucky,sec,11,False,False,False,Away,True,6,23,57,33,64,5,15,55,1,0,71,242,637,0.5470957613814756,407,687,0.5924308588064047,96,186,659,0.5007587253414264,0.8181818181818182
12,2019-01-05-13-alabama,50.0,14,2.8,1,100.0,78.1,25,0.469,65,0.431,28,0.262,17,0.8240000000000001,14,3,200,97.4,15.8,6,15,75,13.0,9.1,7,0.27699999999999997,18,0.278,5,44.3,31,0.513,13.2,11,47,0.489,23,0.769,10,"January 5, 2019",51.9,14,8.5,4,97.4,84.2,32,0.542,59,0.45799999999999996,27,0.28800000000000003,17,0.765,13,3,200,100.0,21.9,7,16,77,,2.6,2,0.39,23,0.435,10,55.7,39,0.574,19.4,16,36,0.47200000000000003,17,0.769,10,"Coleman Coliseum , Tuscaloosa, Alabama",KENTUCKY,Kentucky,77.1,Home,ALABAMA,Alabama,Kentucky,sec,12,False,False,False,Away,False,5,23,65,31,70,10,17,59,0,1,77,265,694,0.5482708933717579,440,751,0.5858854860186418,101,201,714,0.49369747899159666,0.8333333333333334
