,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MASSACHUSETTS_homegame,MASSACHUSETTS_homegame2,MASSACHUSETTS_home,MASSACHUSETTS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-massachusetts,71.4,20,2.4,1,103.8,70.0,21,0.44299999999999995,70,0.4,28,0.22899999999999998,16,0.813,13,1,200,93.8,23.1,9,26,75,,10.0,8,0.32899999999999996,23,0.261,6,43.5,30,0.483,13.5,12,47,0.46799999999999997,22,0.0,0,"November 6, 2018",54.8,17,8.5,4,93.8,76.9,30,0.557,61,0.508,31,0.44299999999999995,27,0.556,15,0,200,103.8,30.0,9,17,83,,2.5,2,0.32799999999999996,20,0.3,6,56.5,39,0.562,17.1,15,41,0.61,25,1.0,1,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,80.2,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,0,True,False,True,Home,True,6,25,61,39,69,6,22,70,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-massachusetts,65.4,17,0.0,0,135.1,83.3,15,0.484,64,0.406,26,0.32799999999999996,21,0.619,13,1,200,97.4,28.6,10,24,75,,2.6,2,0.375,24,0.41700000000000004,10,47.2,25,0.507,14.1,12,40,0.4,16,0.5,1,"November 9, 2018",70.6,24,10.0,4,97.4,71.4,25,0.765,51,0.667,34,0.627,32,0.813,26,0,200,135.1,16.7,3,21,104,,6.5,5,0.373,19,0.526,10,52.8,28,0.785,17.7,14,32,0.75,24,1.0,2,"Mullins Center, Amherst, Massachusetts",NEW-HAMPSHIRE,New Hampshire,76.6,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,1,True,False,True,Home,True,10,24,51,28,53,10,16,64,1,0,6,25,61,0.5573770491803278,39,69,0.5652173913043478,6,22,70,0.44285714285714284,1.0
2,2018-11-13-19-massachusetts,75.0,21,15.4,6,106.0,78.1,25,0.552,58,0.483,28,0.207,12,0.833,10,1,200,110.4,25.0,7,17,74,,4.5,3,0.397,23,0.348,8,53.3,32,0.581,13.6,10,35,0.5710000000000001,20,0.667,2,"November 13, 2018",53.8,14,8.6,3,110.4,75.0,21,0.5,59,0.441,26,0.254,15,0.8,12,1,200,106.0,21.9,7,16,71,,7.5,5,0.33899999999999997,20,0.35,7,46.7,28,0.537,12.1,9,39,0.48700000000000004,19,0.667,2,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,67.4,Away,HARVARD,Harvard,Massachusetts,atlantic-10,2,False,True,True,Home,False,7,19,59,28,60,8,20,58,0,1,16,49,112,0.6517857142857143,67,122,0.5491803278688525,16,38,134,0.4626865671641791,1.0
3,2018-11-16-19-massachusetts,52.2,12,11.8,4,84.0,83.8,31,0.433,60,0.38299999999999995,23,0.36700000000000005,22,0.727,16,0,200,90.7,33.3,12,24,68,,4.0,3,0.317,19,0.316,6,58.9,43,0.483,18.7,16,41,0.415,17,1.0,4,"November 16, 2018",72.7,16,4.9,2,90.7,66.7,24,0.40299999999999997,62,0.355,22,0.371,23,0.565,13,2,200,84.0,16.2,6,19,63,,8.0,6,0.452,28,0.214,6,41.1,30,0.43200000000000005,10.0,8,34,0.47100000000000003,16,0.5,2,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,74.7,Away,HOWARD,Howard,Massachusetts,atlantic-10,3,False,True,True,Home,False,6,16,62,30,73,6,17,60,0,1,23,68,171,0.5994152046783626,95,182,0.521978021978022,24,58,192,0.4895833333333333,0.6666666666666666
4,2018-11-19-19-massachusetts,52.4,11,4.9,2,121.1,67.9,19,0.41700000000000004,54,0.389,21,0.37,20,0.75,15,4,200,78.9,14.3,5,19,60,,6.6,5,0.222,12,0.25,3,38.1,24,0.47200000000000003,21.3,17,42,0.429,18,0.0,0,"November 19, 2018",64.7,22,7.1,3,78.9,85.7,30,0.619,63,0.54,34,0.317,20,0.7,14,2,200,121.1,32.1,9,23,92,,13.2,10,0.349,22,0.455,10,61.9,39,0.634,14.3,12,41,0.585,24,0.6,3,"Mullins Center, Amherst, Massachusetts",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,75.5,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,4,True,False,True,Home,True,10,24,63,39,63,3,18,54,1,0,29,84,233,0.5472103004291845,125,255,0.49019607843137253,30,75,252,0.47619047619047616,0.5
5,2018-11-22-13-southern-illinois,61.3,19,13.2,5,87.3,71.9,23,0.583,66,0.47,31,0.136,9,0.778,7,2,200,118.3,46.9,15,18,84,,7.0,5,0.545,36,0.41700000000000004,15,59.4,38,0.598,17.7,15,30,0.5329999999999999,16,0.667,4,"November 22, 2018",52.2,12,6.7,2,118.3,53.1,17,0.455,55,0.418,23,0.364,20,0.6,12,3,200,87.3,28.1,9,18,62,,7.0,5,0.309,17,0.235,4,40.6,26,0.48100000000000004,21.0,17,38,0.5,19,0.4,2,"Orleans Arena, Paradise, Nevada",SOUTHERN-ILLINOIS,Southern Illinois,71.4,Away,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,5,False,False,False,Away,True,15,16,66,38,64,4,19,55,1,0,39,108,296,0.5625,164,318,0.5157232704402516,33,93,306,0.46568627450980393,0.6
6,2018-11-23-22-nevada,46.2,12,6.8,3,154.9,57.1,16,0.54,62,0.419,26,0.40299999999999997,25,0.8,20,3,200,122.5,36.1,13,23,87,,2.8,2,0.581,36,0.41700000000000004,15,45.3,29,0.589,9.9,8,26,0.423,11,0.5710000000000001,4,"November 23, 2018",42.5,17,7.7,2,122.5,63.9,23,0.7,65,0.615,40,0.4,26,0.731,19,0,200,154.9,42.9,12,19,110,6.0,5.6,4,0.32299999999999995,21,0.524,11,54.7,35,0.711,8.4,7,44,0.659,29,1.0,6,"Orleans Arena, Paradise, Nevada",MASSACHUSETTS,UMass,70.6,Home,NEVADA,Nevada,Massachusetts,atlantic-10,6,False,False,False,Away,False,15,11,62,29,64,11,29,65,0,1,54,124,362,0.5662983425414365,202,382,0.5287958115183246,37,112,361,0.46398891966759004,0.6666666666666666
7,2018-11-28-19-massachusetts,72.2,13,3.2,1,92.0,77.8,21,0.38299999999999995,60,0.3,18,0.4,24,0.667,16,3,200,82.7,27.3,12,16,62,,9.3,7,0.617,37,0.27,10,46.5,33,0.434,17.5,15,23,0.348,8,0.4,2,"November 28, 2018",52.0,13,13.0,3,82.7,72.7,32,0.527,56,0.446,25,0.25,14,0.7140000000000001,10,3,200,92.0,22.2,6,21,69,,8.0,6,0.446,25,0.36,9,53.5,38,0.551,23.4,19,31,0.516,16,0.625,5,"Mullins Center, Amherst, Massachusetts",QUINNIPIAC,Quinnipiac,75.0,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,7,True,False,True,Home,True,9,16,56,38,71,10,8,60,1,0,69,135,424,0.5625,231,446,0.5179372197309418,48,141,426,0.5,0.5714285714285714
8,2018-12-04-19-massachusetts,77.4,24,8.6,3,108.3,71.4,20,0.614,57,0.544,31,0.298,17,0.706,12,3,200,113.9,20.7,6,18,82,,9.7,7,0.33299999999999996,19,0.42100000000000004,8,45.6,26,0.63,12.2,9,38,0.605,23,0.667,6,"December 4, 2018",75.0,18,10.5,4,113.9,79.3,23,0.5,58,0.414,24,0.44799999999999995,26,0.769,20,4,200,108.3,28.6,8,19,78,,5.6,4,0.397,23,0.435,10,54.4,31,0.5539999999999999,16.8,14,35,0.4,14,0.556,5,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,72.2,Away,HOLY-CROSS,Holy Cross,Massachusetts,atlantic-10,8,False,True,True,Home,False,10,14,58,31,57,8,23,57,0,1,78,151,480,0.5583333333333333,269,517,0.5203094777562862,58,149,486,0.48559670781893005,0.625
9,2018-12-07-19-providence,35.5,11,2.6,1,111.4,71.4,20,0.574,61,0.508,31,0.27899999999999997,17,0.529,9,4,200,112.9,29.0,9,16,79,,8.6,6,0.311,19,0.42100000000000004,8,49.2,29,0.5720000000000001,12.7,10,42,0.5479999999999999,23,0.6,6,"December 7, 2018",53.8,14,9.5,4,112.9,71.0,22,0.564,55,0.473,26,0.455,25,0.64,16,3,200,111.4,28.6,8,15,78,,7.1,5,0.309,17,0.588,10,50.8,30,0.583,15.4,12,38,0.42100000000000004,16,0.7,7,"Dunkin' Donuts Center, Providence, Rhode Island",PROVIDENCE,Providence,70.5,Away,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,9,False,False,False,Away,True,8,23,61,29,59,10,16,55,1,0,88,165,538,0.5520446096654275,300,574,0.5226480836236934,66,172,543,0.4990791896869245,0.5555555555555556
