,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS-SAN-ANTONIO_homegame,TEXAS-SAN-ANTONIO_homegame2,TEXAS-SAN-ANTONIO_home,TEXAS-SAN-ANTONIO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-20-texas-san-antonio,56.0,14,2.1,1,91.6,66.7,28,0.47700000000000004,65,0.385,25,0.308,20,0.75,15,0,200,92.8,21.1,8,12,77,,8.4,7,0.5379999999999999,35,0.34299999999999997,12,45.0,36,0.517,17.8,16,30,0.433,13,0.0,0,"November 7, 2018",36.4,12,10.0,3,92.8,78.9,30,0.48,74,0.446,33,0.135,10,0.5,5,1,200,91.6,33.3,14,18,76,,8.4,7,0.35100000000000003,26,0.192,5,55.0,44,0.483,19.5,19,48,0.583,28,0.0,0,"Convocation Center, San Antonio, Texas",TEXAS-SAN-ANTONIO,UTSA,83.1,Away,"St. Edward's
			","St. Edward's
			",UTSA,cusa,0,False,True,True,Home,False,5,28,74,44,80,12,13,65,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-12-20-texas-san-antonio,37.1,13,11.4,5,81.7,72.1,31,0.565,69,0.507,35,0.159,11,0.818,9,0,200,106.1,27.3,9,13,87,,9.8,8,0.275,19,0.42100000000000004,8,52.6,40,0.586,15.9,14,50,0.54,27,1.0,2,"November 12, 2018",50.0,13,6.0,3,106.1,72.7,24,0.418,73,0.35600000000000004,26,0.096,7,0.857,6,2,200,81.7,27.9,12,16,67,,6.1,5,0.397,29,0.31,9,47.4,36,0.439,20.8,20,44,0.386,17,0.0,0,"Convocation Center, San Antonio, Texas",TEXAS-SAN-ANTONIO,UTSA,81.8,Away,OKLAHOMA,Oklahoma,UTSA,cusa,1,False,True,True,Home,False,9,17,73,36,76,8,27,69,0,1,5,28,74,0.4797297297297297,44,80,0.55,12,13,65,0.47692307692307695,0.0
2,2018-11-14-20-oklahoma-state,42.9,9,0.0,0,109.3,61.8,21,0.36700000000000005,64,0.32799999999999996,21,0.32799999999999996,21,0.619,13,3,200,80.0,32.6,14,18,60,,14.7,11,0.406,26,0.192,5,45.5,35,0.406,18.8,17,38,0.42100000000000004,16,0.0,0,"November 14, 2018",64.5,20,10.5,4,80.0,67.4,29,0.581,62,0.5,31,0.32299999999999995,20,0.5,10,1,200,109.3,38.2,13,17,82,,10.7,8,0.32299999999999995,20,0.5,10,54.5,42,0.573,16.5,14,42,0.5,21,0.5,1,"Gallagher-Iba Arena, Stillwater, Oklahoma",TEXAS-SAN-ANTONIO,UTSA,74.7,Home,OKLAHOMA-STATE,Oklahoma State,UTSA,cusa,2,False,False,False,Away,False,5,16,64,35,77,10,21,62,0,1,14,45,147,0.4489795918367347,80,156,0.5128205128205128,20,40,134,0.5223880597014925,0.0
3,2018-11-19-13-california-irvine,22.2,4,2.4,1,90.3,70.6,24,0.35,60,0.3,18,0.3,18,0.778,14,4,200,77.8,17.1,6,17,56,,9.7,7,0.35,21,0.28600000000000003,6,43.5,30,0.408,13.9,11,39,0.308,12,0.0,0,"November 19, 2018",39.1,9,12.8,5,77.8,82.9,29,0.44,58,0.397,23,0.32799999999999996,19,0.737,14,0,200,90.3,29.4,10,19,65,,8.3,6,0.276,16,0.313,5,56.5,39,0.485,17.4,14,42,0.429,18,1.0,5,"Germain Arena, Estero, Florida",TEXAS-SAN-ANTONIO,UTSA,72.3,Home,CALIFORNIA-IRVINE,UC-Irvine,UTSA,cusa,3,False,False,False,Away,False,6,12,60,30,69,5,18,58,0,1,19,61,211,0.42417061611374407,115,233,0.49356223175965663,30,61,196,0.5408163265306123,0.0
4,2018-11-20-11-south-dakota-state,36.0,9,2.9,1,132.0,70.8,17,0.419,68,0.368,25,0.41200000000000003,28,0.7859999999999999,22,5,200,105.3,22.5,9,18,79,,12.0,9,0.441,30,0.233,7,40.6,26,0.486,7.0,6,38,0.474,18,0.0,0,"November 20, 2018",36.1,13,10.5,4,105.3,77.5,31,0.708,60,0.6,36,0.28300000000000003,17,0.8240000000000001,14,2,200,132.0,29.2,7,21,99,,2.7,2,0.41700000000000004,25,0.52,13,59.4,38,0.727,14.0,11,35,0.657,23,0.667,4,"Germain Arena, Estero, Florida",TEXAS-SAN-ANTONIO,UTSA,75.2,Home,SOUTH-DAKOTA-STATE,South Dakota State,UTSA,cusa,4,False,False,False,Away,False,7,18,68,26,64,13,23,60,0,1,25,73,271,0.4077490774907749,145,302,0.48013245033112584,35,79,254,0.5177165354330708,0.0
5,2018-11-21-11-texas-san-antonio,50.0,11,6.7,3,102.7,75.9,22,0.43799999999999994,56,0.39299999999999996,22,0.41100000000000003,23,0.696,16,5,200,87.8,18.2,6,8,65,,5.4,4,0.268,15,0.33299999999999996,5,45.2,28,0.486,14.3,11,41,0.415,17,0.28600000000000003,2,"November 21, 2018",53.3,16,0.0,0,87.8,81.8,27,0.522,67,0.44799999999999995,30,0.10400000000000001,7,0.857,6,5,200,102.7,24.1,7,15,76,,9.5,7,0.32799999999999996,22,0.455,10,54.8,34,0.54,14.6,12,45,0.444,20,0.16699999999999998,1,"Germain Arena, Estero, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,73.6,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,5,True,False,True,Home,True,10,20,67,34,62,5,17,56,1,0,32,91,339,0.41002949852507375,171,366,0.4672131147540984,48,102,314,0.554140127388535,0.0
6,2018-11-26-20-houston-baptist,37.9,11,6.8,3,100.0,65.0,26,0.524,62,0.46799999999999997,29,0.516,32,0.6559999999999999,21,5,200,104.9,34.2,13,25,86,,7.3,6,0.32299999999999995,20,0.35,7,50.0,39,0.557,18.3,17,42,0.524,22,0.28600000000000003,2,"November 26, 2018",60.7,17,2.4,1,104.9,65.8,25,0.44799999999999995,67,0.418,28,0.493,33,0.667,22,3,200,100.0,35.0,14,24,82,,9.8,8,0.34299999999999997,23,0.174,4,50.0,39,0.496,14.7,14,44,0.545,24,0.4,2,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,81.9,Away,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,6,False,False,False,Away,True,7,22,62,39,78,4,24,67,1,0,42,111,406,0.42857142857142855,205,428,0.47897196261682246,53,119,370,0.5364864864864864,0.16666666666666666
7,2018-12-01-16-texas-san-antonio,53.8,14,5.9,2,90.7,88.6,31,0.469,64,0.406,26,0.266,17,0.529,9,1,200,92.0,25.7,9,21,69,,5.3,4,0.359,23,0.348,8,57.1,40,0.479,16.4,14,41,0.439,18,0.875,7,"December 1, 2018",40.0,8,4.9,2,92.0,74.3,26,0.436,55,0.364,20,0.382,21,0.9520000000000001,20,6,200,90.7,11.4,4,17,68,,6.7,5,0.382,21,0.381,8,42.9,30,0.523,14.6,11,34,0.353,12,0.25,2,"Convocation Center, San Antonio, Texas",TEXAS-SAN-ANTONIO,UTSA,74.5,Away,TEXAS-STATE,Texas State,UTSA,cusa,7,False,True,True,Home,False,8,12,55,30,70,8,18,64,0,1,49,133,468,0.4412393162393162,244,506,0.48221343873517786,57,143,437,0.522883295194508,0.2857142857142857
8,2018-12-08-16-texas-san-antonio,51.9,14,2.6,1,128.4,66.7,18,0.46299999999999997,67,0.40299999999999997,27,0.239,16,0.75,12,0,200,91.4,17.9,7,14,74,,11.1,9,0.358,24,0.33299999999999996,8,37.9,25,0.496,15.9,14,43,0.442,19,0.0,0,"December 8, 2018",43.9,18,11.6,5,91.4,82.1,32,0.6990000000000001,68,0.603,41,0.17600000000000002,12,0.75,9,6,200,128.4,33.3,9,16,104,,8.6,7,0.441,30,0.433,13,62.1,41,0.706,17.0,15,38,0.737,28,0.33299999999999996,3,"Convocation Center, San Antonio, Texas","Mid-America Christian
			","Mid-America Christian
			",80.7,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa,8,True,False,True,Home,True,13,28,68,41,66,8,19,67,1,0,57,145,523,0.44072657743785854,274,576,0.4756944444444444,65,161,501,0.5159680638722555,0.25
9,2018-12-15-20-arkansas,38.1,8,7.7,3,103.9,68.0,17,0.41,61,0.344,21,0.39299999999999996,24,0.708,17,7,200,88.2,27.8,10,29,67,,9.2,7,0.475,29,0.276,8,44.3,27,0.46299999999999997,14.4,12,32,0.406,13,0.3,3,"December 15, 2018",73.9,17,25.0,8,88.2,72.2,26,0.473,55,0.418,23,0.618,34,0.794,27,2,200,103.9,32.0,8,20,79,,9.2,7,0.29100000000000004,16,0.375,6,55.7,34,0.555,17.7,15,39,0.436,17,0.778,7,"Verizon Arena, North Little Rock, Arkansas",TEXAS-SAN-ANTONIO,UTSA,76.3,Home,ARKANSAS,Arkansas,UTSA,cusa,9,False,False,False,Away,False,8,13,61,27,61,6,17,55,0,1,70,173,591,0.4703891708967851,315,642,0.49065420560747663,73,180,568,0.5096830985915493,0.3333333333333333
