,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VALPARAISO_homegame,VALPARAISO_homegame2,VALPARAISO_home,VALPARAISO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-valparaiso,65.2,15,0.0,0,139.1,73.1,19,0.37,73,0.315,23,0.205,15,0.733,11,0,200,74.7,21.2,11,27,65,,8.0,7,0.41100000000000003,30,0.267,8,38.5,30,0.406,18.4,18,43,0.349,15,0.0,0,"November 6, 2018",53.5,23,14.0,6,74.7,78.8,41,0.705,66,0.652,43,0.5760000000000001,38,0.737,28,0,200,139.1,26.9,7,14,121,,11.5,10,0.273,18,0.389,7,61.5,48,0.72,10.8,10,48,0.75,36,1.0,1,"Athletics-Recreation Center, Valparaiso, Indiana","Concordia (IL)
			","Concordia (IL)
			",87.1,Home,VALPARAISO,Valparaiso,Valparaiso,mvc,0,True,False,True,Home,True,7,36,66,48,78,8,15,73,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-15-17-western-kentucky,62.5,15,0.0,0,120.3,53.6,15,0.467,61,0.39299999999999996,24,0.295,18,0.778,14,1,200,102.9,31.4,11,24,71,,7.2,5,0.508,31,0.29,9,41.3,26,0.51,13.8,11,30,0.5,15,0.5,1,"November 15, 2018",48.1,13,13.3,4,102.9,68.6,24,0.594,53,0.509,27,0.623,33,0.606,20,1,200,120.3,46.4,13,19,83,,11.6,8,0.321,17,0.529,9,58.7,37,0.604,16.1,13,36,0.5,18,0.667,2,"The HTC Center, Conway, South Carolina",VALPARAISO,Valparaiso,69.1,Home,WESTERN-KENTUCKY,Western Kentucky,Valparaiso,mvc,1,False,False,False,Away,False,9,15,61,26,63,9,18,53,0,1,7,36,66,0.7045454545454546,48,78,0.6153846153846154,8,15,73,0.3698630136986301,1.0
2,2018-11-16-18-monmouth,56.0,14,2.9,1,82.8,76.7,23,0.57,50,0.5,25,0.26,13,0.5379999999999999,7,1,200,100.0,25.9,7,15,64,,9.4,6,0.44,22,0.318,7,52.6,30,0.57,24.4,18,28,0.643,18,0.667,2,"November 16, 2018",28.6,6,3.6,1,100.0,74.1,20,0.434,53,0.396,21,0.17,9,0.778,7,5,200,82.8,23.3,7,15,53,,10.9,7,0.34,18,0.222,4,47.4,27,0.46299999999999997,16.2,11,35,0.486,17,0.0,0,"The HTC Center, Conway, South Carolina",MONMOUTH,Monmouth,64.2,Away,VALPARAISO,Valparaiso,Valparaiso,mvc,2,False,False,False,Away,True,7,18,50,30,57,4,17,53,1,0,16,51,127,0.5905511811023622,74,141,0.524822695035461,17,33,126,0.4642857142857143,0.5
3,2018-11-18-10-valparaiso,52.2,12,0.0,0,95.5,73.3,22,0.51,52,0.442,23,0.423,22,0.727,16,1,200,104.5,33.3,9,16,69,,4.5,3,0.308,16,0.43799999999999994,7,54.4,31,0.552,17.4,13,36,0.444,16,0.75,3,"November 18, 2018",56.5,13,0.0,0,104.5,66.7,18,0.46299999999999997,54,0.426,23,0.315,17,0.765,13,2,200,95.5,26.7,8,19,63,,9.1,6,0.35200000000000004,19,0.21100000000000002,4,45.6,26,0.507,15.2,11,35,0.5429999999999999,19,0.5,2,"The HTC Center, Conway, South Carolina",VALPARAISO,Valparaiso,65.8,Away,WAKE-FOREST,Wake Forest,Valparaiso,mvc,3,False,True,True,Home,False,4,19,54,26,57,7,16,52,0,1,23,69,177,0.5847457627118644,104,198,0.5252525252525253,21,50,179,0.4553072625698324,0.6666666666666666
4,2018-11-21-20-valparaiso,34.5,10,2.8,1,104.2,70.3,26,0.49200000000000005,63,0.46,29,0.23800000000000002,15,0.5329999999999999,8,3,225,97.2,32.4,11,27,70,,9.7,7,0.33299999999999996,21,0.19,4,52.1,37,0.499,17.7,15,42,0.595,25,0.0,0,"November 21, 2018",58.3,14,7.1,3,97.2,67.6,23,0.509,53,0.45299999999999996,24,0.623,33,0.636,21,2,225,104.2,29.7,11,17,75,,6.9,5,0.321,17,0.353,6,47.9,34,0.546,16.1,13,36,0.5,18,0.6,3,"Athletics-Recreation Center, Valparaiso, Indiana",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,64.4,Home,VALPARAISO,Valparaiso,Valparaiso,mvc,4,True,False,True,Home,True,6,18,53,34,71,4,25,63,1,0,27,88,231,0.5562770562770563,130,255,0.5098039215686274,28,66,231,0.4675324675324675,0.5
5,2018-11-24-14-west-virginia,63.3,19,12.5,6,127.5,61.8,21,0.616,56,0.536,30,0.179,10,0.7,7,3,200,110.1,22.2,6,20,76,,4.3,3,0.35700000000000004,20,0.45,9,44.3,27,0.626,18.8,14,36,0.583,21,0.5,3,"November 24, 2018",53.1,17,5.6,2,110.1,77.8,21,0.546,65,0.49200000000000005,32,0.33799999999999997,22,0.773,17,2,200,127.5,38.2,13,11,88,,8.7,6,0.262,17,0.41200000000000003,7,55.7,34,0.583,8.6,7,48,0.521,25,0.6,3,"WVU Coliseum, Morgantown, West Virginia",VALPARAISO,Valparaiso,69.1,Home,WEST-VIRGINIA,West Virginia,Valparaiso,mvc,5,False,False,False,Away,False,9,21,56,27,61,7,25,65,0,1,33,106,284,0.5475352112676056,164,326,0.5030674846625767,32,91,294,0.47278911564625853,0.6
6,2018-11-28-22-nevada-las-vegas,61.5,16,8.2,4,79.0,61.1,22,0.40700000000000003,70,0.371,26,0.257,18,0.833,15,3,200,88.9,35.7,15,13,72,,16.0,13,0.257,18,0.278,5,47.4,37,0.45799999999999996,17.9,17,52,0.40399999999999997,21,0.5710000000000001,4,"November 28, 2018",37.0,10,13.5,7,88.9,64.3,27,0.43200000000000005,66,0.409,27,0.136,9,0.778,7,2,200,79.0,38.9,14,19,64,,9.9,8,0.258,17,0.17600000000000002,3,52.6,41,0.455,26.3,25,49,0.49,24,0.667,4,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,80.9,Away,VALPARAISO,Valparaiso,Valparaiso,mvc,6,False,False,False,Away,True,5,21,70,37,78,3,24,66,1,0,42,127,340,0.5588235294117647,191,387,0.4935400516795866,39,116,359,0.4860724233983287,0.5
7,2018-12-02-14-valparaiso,42.3,11,5.4,2,130.2,66.7,14,0.525,59,0.441,26,0.22,13,0.846,11,7,200,115.9,31.0,9,13,73,,9.5,6,0.39,23,0.435,10,46.0,23,0.56,11.0,8,36,0.444,16,0.222,2,"December 2, 2018",51.5,17,2.8,1,115.9,69.0,20,0.682,55,0.6,33,0.182,10,0.7,7,3,200,130.2,33.3,7,11,82,,3.2,2,0.327,18,0.5,9,54.0,27,0.6859999999999999,14.4,10,37,0.649,24,0.625,5,"Athletics-Recreation Center, Valparaiso, Indiana",CALIFORNIA-RIVERSIDE,UC-Riverside,63.5,Home,VALPARAISO,Valparaiso,Valparaiso,mvc,7,True,False,True,Home,True,9,24,55,27,50,10,16,59,1,0,47,148,410,0.5329268292682927,228,465,0.49032258064516127,42,140,425,0.4776470588235294,0.5714285714285714
8,2018-12-04-20-valparaiso,29.2,7,9.1,3,81.5,71.1,27,0.446,56,0.429,24,0.107,6,0.833,5,5,200,84.6,11.1,3,18,55,,9.2,6,0.23199999999999998,13,0.154,2,46.2,30,0.467,17.0,12,43,0.512,22,0.444,4,"December 4, 2018",55.6,10,16.3,7,84.6,88.9,24,0.355,55,0.327,18,0.364,20,0.7,14,4,200,81.5,28.9,11,9,53,,10.8,7,0.4,22,0.136,3,53.8,35,0.41100000000000003,12.4,9,33,0.455,15,0.556,5,"Athletics-Recreation Center, Valparaiso, Indiana",VALPARAISO,Valparaiso,65.2,Away,HIGH-POINT,High Point,Valparaiso,mvc,8,False,True,True,Home,False,3,15,55,35,65,2,22,56,0,1,56,172,465,0.5505376344086022,255,515,0.49514563106796117,52,156,484,0.4834710743801653,0.625
9,2018-12-08-16-george-washington,70.0,21,5.7,2,117.9,84.6,22,0.67,56,0.536,30,0.196,11,0.636,7,4,200,122.4,25.0,7,12,82,,7.5,5,0.48200000000000004,27,0.556,15,53.7,29,0.67,16.5,12,29,0.517,15,0.6,6,"December 8, 2018",54.8,17,10.3,3,122.4,75.0,21,0.6509999999999999,53,0.585,31,0.358,19,0.526,10,8,200,117.9,15.4,4,13,79,,13.4,9,0.34,18,0.389,7,46.3,25,0.637,14.0,10,35,0.6859999999999999,24,0.2,2,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,67.1,Away,VALPARAISO,Valparaiso,Valparaiso,mvc,9,False,False,False,Away,True,15,15,56,29,54,7,24,53,1,0,59,187,520,0.5298076923076923,290,580,0.5,54,178,540,0.47962962962962963,0.5555555555555556
