,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ALCORN-STATE_homegame,ALCORN-STATE_homegame2,ALCORN-STATE_home,ALCORN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-tulsa,42.1,8,10.0,3,107.4,76.7,23,0.48,49,0.38799999999999996,19,0.245,12,0.75,9,1,200,82.4,22.2,6,24,56,,14.7,10,0.531,26,0.34600000000000003,9,50.9,29,0.512,23.8,17,23,0.435,10,0.0,0,"November 6, 2018",50.0,12,17.4,4,82.4,77.8,21,0.541,49,0.49,24,0.653,32,0.625,20,0,200,107.4,23.3,7,14,73,,14.7,10,0.38799999999999996,19,0.263,5,49.1,28,0.569,17.1,13,30,0.633,19,1.0,1,"Donald W. Reynolds Center, Tulsa, Oklahoma",ALCORN-STATE,Alcorn State,68.0,Home,TULSA,Tulsa,Alcorn State,swac,0,False,False,False,Away,False,9,10,49,29,57,5,19,49,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-alcorn-state,66.7,12,3.1,1,101.3,69.0,29,0.389,54,0.33299999999999996,18,0.33299999999999996,18,0.722,13,0,200,70.5,28.1,9,17,55,,9.0,7,0.40700000000000003,22,0.273,6,51.4,38,0.44,30.4,27,32,0.375,12,0.0,0,"November 9, 2018",66.7,18,12.5,4,70.5,71.9,23,0.515,65,0.415,27,0.308,20,0.6,12,1,200,101.3,31.0,13,17,79,,15.4,12,0.508,33,0.39399999999999996,13,48.6,36,0.53,15.9,14,32,0.43799999999999994,14,0.5,1,"Davey L. Whitney Complex, Alcorn State, Mississippi","Blue Mountain College
			","Blue Mountain College
			",78.0,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,1,True,False,True,Home,True,13,14,65,36,74,6,12,54,1,0,9,10,49,0.47959183673469385,29,57,0.5087719298245614,5,19,49,0.5408163265306123,0.0
2,2018-11-16-20-vanderbilt,42.9,9,0.0,0,106.8,73.5,25,0.364,66,0.318,21,0.136,9,0.667,6,2,200,73.0,23.3,10,18,54,,10.8,8,0.33299999999999996,22,0.273,6,45.5,35,0.384,15.7,13,44,0.341,15,0.33299999999999996,1,"November 16, 2018",62.1,18,15.9,7,73.0,76.7,33,0.516,64,0.45299999999999996,29,0.266,17,0.765,13,0,200,106.8,26.5,9,11,79,,5.4,4,0.406,26,0.308,8,54.5,42,0.5479999999999999,13.3,11,38,0.5529999999999999,21,1.0,3,"Memorial Gymnasium, Nashville, Tennessee",ALCORN-STATE,Alcorn State,73.7,Home,VANDERBILT,Vanderbilt,Alcorn State,swac,2,False,False,False,Away,False,6,15,66,35,77,8,21,64,0,1,22,24,114,0.5,65,131,0.4961832061068702,11,31,103,0.46116504854368934,0.5
3,2018-11-18-16-kent-state,38.9,7,5.9,2,111.3,66.7,18,0.436,47,0.38299999999999995,18,0.27699999999999997,13,0.5379999999999999,7,3,200,67.6,21.4,6,16,48,,7.0,5,0.38299999999999995,18,0.278,5,43.6,24,0.451,29.4,22,29,0.44799999999999995,13,0.25,1,"November 18, 2018",56.7,17,17.2,5,67.6,78.6,22,0.5660000000000001,61,0.49200000000000005,30,0.262,16,0.625,10,1,200,111.3,33.3,9,15,79,,14.1,10,0.44299999999999995,27,0.33299999999999996,9,56.4,31,0.5760000000000001,16.0,13,34,0.618,21,0.75,3,"Memorial Athletic & Convocation Center, Kent, Ohio",ALCORN-STATE,Alcorn State,70.9,Home,KENT-STATE,Kent State,Alcorn State,swac,3,False,False,False,Away,False,5,13,47,24,55,9,21,61,0,1,28,39,180,0.45,100,208,0.4807692307692308,19,52,167,0.4820359281437126,0.3333333333333333
4,2018-11-23-14-liberty,30.0,6,8.8,3,126.7,63.2,12,0.49,49,0.408,20,0.204,10,0.6,6,4,200,90.0,30.8,8,14,54,,5.0,3,0.306,15,0.5329999999999999,8,44.4,20,0.502,20.8,14,34,0.353,12,0.2,1,"November 23, 2018",51.7,15,5.9,2,90.0,69.2,18,0.623,53,0.547,29,0.20800000000000002,11,0.909,10,1,200,126.7,36.8,7,12,76,,10.0,6,0.358,19,0.42100000000000004,8,55.6,25,0.653,14.7,10,34,0.618,21,0.8,4,"Vines Center, Lynchburg, Virginia",ALCORN-STATE,Alcorn State,60.5,Home,LIBERTY,Liberty,Alcorn State,swac,4,False,False,False,Away,False,8,12,49,20,45,8,21,53,0,1,33,52,227,0.44713656387665196,124,263,0.4714828897338403,28,73,228,0.5043859649122807,0.25
5,2018-11-24-14-alcorn-state,65.4,17,6.7,2,100.0,70.6,24,0.5,62,0.419,26,0.40299999999999997,25,0.72,18,4,200,106.7,36.4,12,12,80,,9.3,7,0.6609999999999999,41,0.244,10,53.7,36,0.541,17.0,15,21,0.762,16,0.429,3,"November 24, 2018",71.4,20,4.8,1,106.7,63.6,21,0.532,63,0.444,28,0.159,10,0.8,8,5,200,100.0,29.4,10,22,75,,4.0,3,0.524,33,0.33299999999999996,11,46.3,31,0.5539999999999999,18.2,15,30,0.5670000000000001,17,0.16699999999999998,1,"Vines Center, Lynchburg, Virginia",ALCORN-STATE,Alcorn State,74.8,Away,SAVANNAH-STATE,Savannah State,Alcorn State,swac,5,False,True,True,Home,False,11,17,63,31,67,10,16,62,0,1,41,64,276,0.45471014492753625,144,308,0.4675324675324675,36,94,281,0.5266903914590747,0.2
6,2018-11-26-20-mississippi-state,45.5,10,3.3,1,123.9,71.4,15,0.43200000000000005,59,0.373,22,0.33899999999999997,20,0.7,14,6,200,91.5,23.7,9,15,65,,12.7,9,0.508,30,0.233,7,40.7,24,0.474,14.0,11,29,0.517,15,0.14300000000000002,1,"November 26, 2018",72.7,24,3.4,1,91.5,76.3,29,0.713,54,0.611,33,0.259,14,0.7859999999999999,11,1,200,123.9,28.6,6,15,88,25.0,7.0,5,0.444,24,0.45799999999999996,11,59.3,35,0.725,22.0,17,30,0.733,22,0.833,5,"Humphrey Coliseum, Starkville, Mississippi",ALCORN-STATE,Alcorn State,71.1,Home,MISSISSIPPI-STATE,Mississippi State,Alcorn State,swac,6,False,False,False,Away,False,7,15,59,24,59,11,22,54,0,1,52,81,339,0.4690265486725664,175,375,0.4666666666666667,46,110,343,0.521865889212828,0.16666666666666666
7,2018-12-01-12-alcorn-state,81.0,17,0.0,0,135.5,56.7,17,0.491,53,0.396,21,0.377,20,0.7,14,0,200,86.8,30.3,10,17,66,,9.2,7,0.47200000000000003,25,0.4,10,42.9,27,0.528,27.1,23,28,0.39299999999999996,11,0.0,0,"December 1, 2018",80.0,28,3.6,1,86.8,69.7,23,0.675,63,0.556,35,0.349,22,0.818,18,6,200,135.5,43.3,13,17,103,,26.3,20,0.5870000000000001,37,0.405,15,57.1,36,0.701,18.0,16,26,0.769,20,0.25,2,"Davey L. Whitney Complex, Alcorn State, Mississippi","Rust
			","Rust
			",76.0,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,7,True,False,True,Home,True,15,20,63,36,63,10,11,53,1,0,59,96,398,0.4635678391959799,199,434,0.45852534562211983,57,132,397,0.5478589420654912,0.14285714285714285
8,2018-12-08-17-alcorn-state,70.6,12,4.2,2,139.7,50.0,17,0.315,62,0.27399999999999997,17,0.242,15,0.4,6,0,200,57.7,10.6,5,15,45,,6.4,5,0.40299999999999997,25,0.2,5,27.2,22,0.325,14.9,12,37,0.324,12,0.0,0,"December 8, 2018",68.3,28,8.1,3,57.7,89.4,42,0.608,79,0.519,41,0.266,21,0.619,13,6,200,139.7,50.0,17,14,109,,6.4,5,0.392,31,0.452,14,72.8,59,0.613,7.3,7,48,0.563,27,0.33299999999999996,3,"Davey L. Whitney Complex, Alcorn State, Mississippi","Champion Christian
			","Champion Christian
			",77.6,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,8,True,False,True,Home,True,14,27,79,59,81,5,12,62,1,0,74,116,461,0.4924078091106291,235,497,0.47283702213279677,67,143,450,0.5411111111111111,0.25
9,2018-12-09-16-alcorn-state,76.5,13,7.9,3,98.7,66.7,22,0.32799999999999996,58,0.293,17,0.207,12,0.583,7,0,200,59.2,16.3,7,24,45,,7.9,6,0.414,24,0.16699999999999998,4,38.2,29,0.353,23.1,19,34,0.382,13,0.0,0,"December 9, 2018",59.1,13,14.7,5,59.2,83.7,36,0.436,55,0.4,22,0.636,35,0.7709999999999999,27,6,200,98.7,33.3,11,16,75,,19.7,15,0.309,17,0.235,4,61.8,47,0.524,17.6,15,38,0.474,18,0.4,4,"Davey L. Whitney Complex, Alcorn State, Mississippi","Fisk
			","Fisk
			",75.7,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,9,True,False,True,Home,True,4,18,55,47,76,4,13,58,1,0,88,143,540,0.5092592592592593,294,578,0.5086505190311419,72,155,512,0.513671875,0.3333333333333333
